timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2020-12-25,0.00000851,0.00016800,0.00000851,0.00009319,31915447.10000000,1608940799999,3145.36703942,226447,14596423.10000000,1434.64126608,0
2020-12-26,0.00009289,0.00009999,0.00006005,0.00006021,16588695.50000000,1609027199999,1215.78288975,93597,8104295.30000000,591.25744392,0
2020-12-27,0.00006029,0.00006222,0.00003921,0.00004034,18382333.90000000,1609113599999,883.26023123,83251,8917701.50000000,427.55259774,0
2020-12-28,0.00004028,0.00004720,0.00003952,0.00004117,9797253.10000000,1609199999999,421.12551535,42828,5068853.40000000,217.67836105,0
2020-12-29,0.00004118,0.00004123,0.00002868,0.00003236,11666843.30000000,1609286399999,391.16343032,48704,5470667.20000000,184.11497007,0
2020-12-30,0.00003238,0.00004459,0.00003046,0.00003767,16039364.50000000,1609372799999,617.08557093,63077,7855401.90000000,301.65874351,0
2020-12-31,0.00003780,0.00004844,0.00003716,0.00004717,11931366.80000000,1609459199999,524.13906190,63014,5780390.70000000,253.76281660,0
2021-01-01,0.00004708,0.00004825,0.00003770,0.00003930,4624974.80000000,1609545599999,191.89092384,23968,2216055.70000000,91.55432874,0
2021-01-02,0.00003930,0.00004659,0.00003120,0.00003187,2897325.30000000,1609631999999,100.42243250,14866,1515667.20000000,52.83395630,0
2021-01-03,0.00003188,0.00003429,0.00002758,0.00003353,4015820.90000000,1609718399999,124.73209616,18387,2016164.70000000,62.77167747,0
2021-01-04,0.00003360,0.00003713,0.00003199,0.00003228,3024325.70000000,1609804799999,103.70271356,19503,1525747.00000000,52.52528599,0
2021-01-05,0.00003217,0.00003829,0.00003204,0.00003693,4241009.00000000,1609891199999,150.62302552,19833,2072891.40000000,73.66922621,0
2021-01-06,0.00003690,0.00004366,0.00003422,0.00004106,5752419.50000000,1609977599999,224.35997166,26073,2836879.80000000,110.62049275,0
2021-01-07,0.00004114,0.00004212,0.00003216,0.00003278,4708212.40000000,1610063999999,181.78422985,23137,2232301.10000000,86.17686881,0
2021-01-08,0.00003287,0.00003449,0.00002758,0.00002929,4398436.00000000,1610150399999,138.26163237,20074,2242469.80000000,70.43150351,0
2021-01-09,0.00002917,0.00003205,0.00002800,0.00003096,2886058.50000000,1610236799999,87.06447648,15146,1352840.40000000,40.83221116,0
2021-01-10,0.00003102,0.00003425,0.00003031,0.00003150,2477279.20000000,1610323199999,79.63957254,17726,1252290.50000000,40.25052553,0
2021-01-11,0.00003161,0.00003312,0.00003042,0.00003172,1816421.80000000,1610409599999,57.89828607,14249,1037932.50000000,33.14804013,0
2021-01-12,0.00003181,0.00003459,0.00003078,0.00003308,1861770.20000000,1610495999999,60.89760454,11192,1029773.30000000,33.69126226,0
2021-01-13,0.00003313,0.00003765,0.00003285,0.00003408,3433940.30000000,1610582399999,121.40010339,18125,1587313.00000000,56.23678129,0
2021-01-14,0.00003415,0.00003750,0.00003302,0.00003415,2311003.60000000,1610668799999,79.44271166,11766,1224018.40000000,42.10723236,0
2021-01-15,0.00003418,0.00003926,0.00003346,0.00003668,3628211.50000000,1610755199999,132.26270494,20569,1779198.00000000,65.05047303,0
2021-01-16,0.00003677,0.00004924,0.00003614,0.00004534,5717057.40000000,1610841599999,250.74385268,35608,3054262.60000000,134.43820277,0
2021-01-17,0.00004530,0.00006043,0.00004457,0.00005678,10847135.50000000,1610927999999,578.86833993,52770,4776937.60000000,256.07197439,0
2021-01-18,0.00005665,0.00005807,0.00004750,0.00005143,5129038.80000000,1611014399999,269.30061434,31846,2499663.20000000,131.67674867,0
2021-01-19,0.00005135,0.00005589,0.00004889,0.00005301,3623446.10000000,1611100799999,191.22344098,23100,1731307.20000000,91.30091945,0
2021-01-20,0.00005313,0.00005445,0.00004788,0.00005193,2323436.20000000,1611187199999,118.53929936,14725,1080842.60000000,55.23567181,0
2021-01-21,0.00005210,0.00005601,0.00004925,0.00005092,2687025.40000000,1611273599999,141.38898460,15949,1301917.40000000,68.76772468,0
2021-01-22,0.00005117,0.00005736,0.00004760,0.00005330,3067063.40000000,1611359999999,163.52305252,19189,1408972.80000000,75.25766495,0
2021-01-23,0.00005326,0.00006265,0.00005264,0.00006016,2488262.30000000,1611446399999,146.83650462,16904,1301055.00000000,76.57677640,0
2021-01-24,0.00006016,0.00007717,0.00005918,0.00007673,5120264.80000000,1611532799999,352.41597648,38515,2581553.50000000,177.95833135,0
2021-01-25,0.00007665,0.00008230,0.00007079,0.00007295,6623520.60000000,1611619199999,501.54593740,48788,3393370.10000000,256.86511233,0
2021-01-26,0.00007297,0.00008298,0.00006984,0.00008270,4170113.60000000,1611705599999,318.69068260,37315,2078343.00000000,159.15902709,0
2021-01-27,0.00008271,0.00008599,0.00007416,0.00008228,4005691.40000000,1611791999999,318.02678474,35736,2044989.80000000,162.12910033,0
2021-01-28,0.00008228,0.00010601,0.00008119,0.00009332,6774859.60000000,1611878399999,660.59886786,49565,3368357.50000000,330.27274816,0
2021-01-29,0.00009328,0.00010420,0.00006877,0.00009821,5567895.10000000,1611964799999,482.71233848,45608,2725118.30000000,236.65201476,0
2021-01-30,0.00009798,0.00013634,0.00009588,0.00013390,9862933.30000000,1612051199999,1162.70777929,85900,4864917.60000000,574.44832189,0
2021-01-31,0.00013366,0.00016745,0.00013267,0.00014914,12976182.60000000,1612137599999,1955.59064870,137755,6124729.50000000,923.64746217,0
2021-02-01,0.00014913,0.00015500,0.00012301,0.00014968,7039454.10000000,1612223999999,985.87444502,78032,3568271.50000000,501.25612703,0
2021-02-02,0.00014967,0.00015071,0.00012725,0.00013164,3439156.50000000,1612310399999,471.36642211,44248,1789281.60000000,244.81592424,0
2021-02-03,0.00013168,0.00014261,0.00012123,0.00013408,3652958.70000000,1612396799999,487.33780677,43823,1663701.30000000,221.58730818,0
2021-02-04,0.00013405,0.00016000,0.00012345,0.00015043,5703344.30000000,1612483199999,810.40545233,73946,2569968.00000000,362.31659462,0
2021-02-05,0.00015065,0.00016700,0.00014799,0.00015220,4158472.20000000,1612569599999,649.92029541,63835,2075610.80000000,324.60458326,0
2021-02-06,0.00015220,0.00015390,0.00012722,0.00013405,3732896.70000000,1612655999999,505.84272845,62424,1709256.80000000,231.33255733,0
2021-02-07,0.00013413,0.00013546,0.00011500,0.00012768,2846563.50000000,1612742399999,356.56794601,49688,1388707.80000000,173.91900781,0
2021-02-08,0.00012768,0.00013385,0.00011175,0.00011478,3753766.80000000,1612828799999,459.04318691,47052,1866923.30000000,228.76620433,0
2021-02-09,0.00011465,0.00011560,0.00010288,0.00010870,3996739.70000000,1612915199999,433.37141442,52318,2275095.40000000,246.36323589,0
