timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2020-10-15,1.65910000,1.96000000,1.36110000,1.36110000,5487.88000000,1602806399999,8539.18948900,1415,3596.30000000,5639.12366200,0
2020-10-16,1.37360000,1.42410000,1.30180000,1.31600000,1504.31000000,1602892799999,2051.21271800,721,466.72000000,638.29223000,0
2020-10-17,1.31440000,1.41700000,1.29080000,1.35570000,658.84000000,1602979199999,899.11914800,326,368.16000000,504.37286200,0
2020-10-18,1.35930000,1.35930000,1.29280000,1.32520000,594.91000000,1603065599999,780.99087900,244,191.10000000,251.20380900,0
2020-10-19,1.33000000,1.34510000,1.19220000,1.19990000,1676.51000000,1603151999999,2111.35139500,374,421.55000000,541.98769000,0
2020-10-20,1.19950000,1.22280000,1.10570000,1.12470000,2299.88000000,1603238399999,2676.25267700,651,851.44000000,995.67943100,0
2020-10-21,1.11350000,1.22340000,1.09600000,1.18720000,1167.53000000,1603324799999,1352.66858000,451,472.19000000,553.99181700,0
2020-10-22,1.18700000,1.30000000,1.07600000,1.21970000,3023.99000000,1603411199999,3547.92048800,625,703.90000000,823.75557500,0
2020-10-23,1.23910000,1.39800000,1.21680000,1.35670000,2195.03000000,1603497599999,2886.50237100,711,1042.65000000,1369.68338200,0
2020-10-24,1.35120000,1.39260000,1.27110000,1.29810000,1539.85000000,1603583999999,2034.62024500,460,769.95000000,1016.94388900,0
2020-10-25,1.27370000,1.33510000,1.25000000,1.25790000,1508.48000000,1603670399999,1950.87834600,361,685.06000000,880.64489100,0
2020-10-26,1.24240000,1.28360000,1.14720000,1.15990000,577.01000000,1603756799999,699.79075400,235,223.86000000,273.67125700,0
2020-10-27,1.16000000,1.24460000,1.08720000,1.10900000,1764.63000000,1603843199999,2030.97056000,507,681.67000000,786.87957700,0
2020-10-28,1.10900000,1.12140000,1.05790000,1.06700000,1196.68000000,1603929599999,1296.84819500,486,704.81000000,764.67628800,0
2020-10-29,1.07180000,1.09410000,0.95000000,0.97450000,1076.21000000,1604015999999,1066.91532400,563,432.56000000,431.23842700,0
2020-10-30,0.97270000,1.11970000,0.94110000,1.09620000,1134.18000000,1604102399999,1207.92683500,706,620.12000000,660.87426100,0
2020-10-31,1.09080000,1.14790000,1.04090000,1.04650000,1704.23000000,1604188799999,1831.72394600,632,917.03000000,987.14537100,0
2020-11-01,1.04090000,1.09750000,1.00170000,1.08060000,787.63000000,1604275199999,817.30104900,404,414.42000000,433.21560900,0
2020-11-02,1.08630000,1.18890000,1.04540000,1.06470000,1434.82000000,1604361599999,1588.91202500,874,599.11000000,666.52434200,0
2020-11-03,1.06930000,1.11590000,1.03010000,1.04650000,680.51000000,1604447999999,721.61206200,400,290.01000000,308.01744400,0
2020-11-04,1.05220000,1.06930000,1.00110000,1.02760000,338.63000000,1604534399999,351.03991500,245,108.67000000,112.80806400,0
2020-11-05,1.02630000,1.16840000,0.95440000,1.12400000,2232.39000000,1604620799999,2403.30966900,878,848.95000000,910.06889600,0
2020-11-06,1.12390000,1.40510000,1.10630000,1.32910000,2824.88000000,1604707199999,3519.87937700,2100,1243.75000000,1558.48689500,0
2020-11-07,1.32910000,1.74580000,1.32910000,1.60700000,3900.03000000,1604793599999,5933.75929400,3204,2154.38000000,3260.58378800,0
2020-11-08,1.60550000,1.93400000,1.55400000,1.90400000,4688.79000000,1604879999999,8129.41903800,3853,2117.41000000,3672.25664900,0
2020-11-09,1.89400000,2.06250000,1.76950000,1.96300000,4659.62000000,1604966399999,8954.92451300,4488,2381.71000000,4602.66551100,0
2020-11-10,1.97350000,2.51900000,1.91250000,2.37500000,9356.94000000,1605052799999,21072.38834200,5882,4273.95000000,9662.83439700,0
2020-11-11,2.38470000,2.43200000,1.92110000,1.95130000,7539.16000000,1605139199999,16086.59424600,6926,2726.60000000,5801.38363300,0
2020-11-12,1.94400000,2.17500000,1.83800000,1.87220000,2320.65000000,1605225599999,4635.19662200,2971,1115.64000000,2232.79309800,0
2020-11-13,1.87750000,2.38830000,1.85410000,2.24390000,3751.31000000,1605311999999,8219.24484400,4048,2310.30000000,5065.65138100,0
2020-11-14,2.26110000,2.47500000,2.10110000,2.39790000,5433.23000000,1605398399999,12489.91692000,3470,2640.62000000,6252.53143000,0
2020-11-15,2.39780000,2.54460000,2.19200000,2.32050000,4596.55000000,1605484799999,11073.35740100,3388,1978.72000000,4770.78549800,0
2020-11-16,2.32060000,2.66090000,2.21850000,2.60890000,3447.53000000,1605571199999,8415.49311000,3155,2294.80000000,5631.60101300,0
2020-11-17,2.61000000,2.81420000,2.42060000,2.76190000,3755.91000000,1605657599999,9814.09164900,2908,1788.77000000,4755.20093900,0
2020-11-18,2.75930000,2.80370000,2.43800000,2.67660000,4295.38000000,1605743999999,11532.74806200,3692,2144.27000000,5795.55078800,0
2020-11-19,2.69310000,2.88600000,2.53800000,2.71600000,4325.23000000,1605830399999,11761.29822500,3566,2169.99000000,5858.41908600,0
2020-11-20,2.71700000,2.86010000,2.58500000,2.59440000,2660.43000000,1605916799999,7254.01421000,2755,1117.06000000,3060.23942300,0
2020-11-21,2.60170000,2.65220000,2.24400000,2.32050000,2856.04000000,1606003199999,6973.16335000,2973,1443.29000000,3506.04904600,0
2020-11-22,2.30400000,2.47490000,2.13350000,2.28000000,4150.81000000,1606089599999,9551.93971700,4033,2343.69000000,5431.48242200,0
2020-11-23,2.29310000,2.74370000,2.18200000,2.33630000,3218.11000000,1606175999999,7545.42123200,4480,2025.61000000,4797.27257300,0
2020-11-24,2.32760000,2.36180000,1.96440000,1.97980000,3466.58000000,1606262399999,7401.63113400,3541,1875.90000000,4014.51643900,0
2020-11-25,1.96440000,2.02960000,1.80000000,1.97780000,2666.67000000,1606348799999,5189.96394200,2315,1310.02000000,2572.96764900,0
2020-11-26,1.97800000,2.29320000,1.70530000,2.28000000,5186.26000000,1606435199999,10724.36819000,7073,2722.14000000,5677.48245500,0
2020-11-27,2.28410000,2.42340000,2.04350000,2.13350000,2971.34000000,1606521599999,6572.43323300,3854,1529.35000000,3392.69511000,0
2020-11-28,2.13090000,2.24380000,2.09670000,2.19310000,1416.09000000,1606607999999,3085.50444500,1733,692.11000000,1510.80721700,0
2020-11-29,2.19300000,2.30000000,2.11300000,2.28950000,1414.00000000,1606694399999,3131.95628400,2032,695.88000000,1553.23319400,0
2020-11-30,2.28950000,2.58260000,2.28000000,2.41570000,3194.76000000,1606780799999,7888.51828600,4999,1671.01000000,4124.54902600,0
2020-12-01,2.41380000,2.54150000,2.35370000,2.46000000,1560.31000000,1606867199999,3819.32249000,3328,745.64000000,1835.77757900,0
2020-12-02,2.45980000,3.01290000,2.41900000,2.85000000,3568.49000000,1606953599999,9949.69968500,4333,2030.83000000,5638.59989600,0
2020-12-03,2.86770000,3.15000000,2.71440000,2.99240000,2802.93000000,1607039999999,8116.38104700,3337,1320.10000000,3872.92434900,0
2020-12-04,2.99120000,3.03250000,2.73990000,2.78350000,2942.19000000,1607126399999,8537.98265200,3129,1210.87000000,3524.18850500,0
2020-12-05,2.78160000,3.12610000,2.73940000,3.12610000,1223.65000000,1607212799999,3627.88008200,2271,610.56000000,1814.24131500,0
