timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2020-10-15,0.13720000,0.23997000,0.11214000,0.11412000,13250.43600000,1602806399999,1688.47763367,2277,4037.21200000,515.87095121,0
2020-10-16,0.11460000,0.12248000,0.10656000,0.10775000,4005.38300000,1602892799999,450.55486147,1402,1843.28000000,208.56861718,0
2020-10-17,0.10759000,0.11721000,0.10554000,0.11234000,6686.63300000,1602979199999,748.24828950,1463,3480.63900000,388.39074792,0
2020-10-18,0.11234000,0.11273000,0.10490000,0.10799000,5605.71500000,1603065599999,604.32798190,1352,2330.01700000,251.62246623,0
2020-10-19,0.10796000,0.10855000,0.09420000,0.09511000,8368.92300000,1603151999999,828.22486692,1866,2368.93000000,237.23502386,0
2020-10-20,0.09516000,0.09662000,0.08150000,0.08743000,13953.45500000,1603238399999,1273.51062687,2752,3514.34900000,321.18367554,0
2020-10-21,0.08737000,0.09365000,0.08571000,0.08998000,8317.76900000,1603324799999,742.35909789,1736,2305.81500000,207.54255957,0
2020-10-22,0.08945000,0.09569000,0.08448000,0.09145000,12011.35300000,1603411199999,1096.13885902,2538,3244.91600000,293.37414902,0
2020-10-23,0.09166000,0.10424000,0.09013000,0.10183000,10025.67100000,1603497599999,979.33821198,2611,3961.36000000,384.48083877,0
2020-10-24,0.10190000,0.10371000,0.09363000,0.09540000,8538.26100000,1603583999999,836.48584458,2734,4560.46900000,448.04716468,0
2020-10-25,0.09593000,0.09837000,0.09196000,0.09325000,7764.20900000,1603670399999,743.83463322,1800,2091.10300000,200.26107851,0
2020-10-26,0.09325000,0.09659000,0.08996000,0.09161000,8051.70300000,1603756799999,753.89606466,1830,2570.08400000,240.82126994,0
2020-10-27,0.09161000,0.09634000,0.08529000,0.08673000,9937.18900000,1603843199999,897.29176631,2055,3014.80900000,273.19955055,0
2020-10-28,0.08652000,0.08782000,0.08260000,0.08347000,9698.40300000,1603929599999,825.68537237,1506,2485.14200000,211.65807372,0
2020-10-29,0.08352000,0.08494000,0.07290000,0.07529000,16359.97300000,1604015999999,1245.94351274,2032,4035.35100000,312.95554488,0
2020-10-30,0.07529000,0.08327000,0.07200000,0.08133000,10456.86600000,1604102399999,810.63311814,1492,5625.63400000,430.80572154,0
2020-10-31,0.08157000,0.08512000,0.07659000,0.07664000,10747.73500000,1604188799999,852.17320463,1426,3534.63000000,280.12086470,0
2020-11-01,0.07658000,0.07850000,0.07341000,0.07744000,9077.78000000,1604275199999,682.12732518,1075,4509.57400000,339.11598335,0
2020-11-02,0.07744000,0.08562000,0.07638000,0.07762000,15040.74700000,1604361599999,1213.88152629,2126,5284.21100000,423.07569026,0
2020-11-03,0.07779000,0.07816000,0.07150000,0.07256000,12380.05300000,1604447999999,923.50912355,1274,4854.74300000,360.18258001,0
2020-11-04,0.07246000,0.07351000,0.06724000,0.06895000,13319.79200000,1604534399999,942.18357148,1392,2874.12000000,198.77748127,0
2020-11-05,0.06911000,0.07798000,0.06469000,0.07466000,12793.62200000,1604620799999,914.84146007,1657,5512.56700000,389.39488402,0
2020-11-06,0.07481000,0.09214000,0.07419000,0.08446000,16735.52900000,1604707199999,1392.24809686,3617,6534.10400000,541.37854612,0
2020-11-07,0.08441000,0.11250000,0.08441000,0.10264000,25659.27100000,1604793599999,2509.39595058,5987,10683.23800000,1043.88685508,0
2020-11-08,0.10208000,0.12031000,0.09867000,0.11882000,18208.60400000,1604879999999,1997.72471017,4562,8953.49600000,985.49290211,0
2020-11-09,0.11856000,0.12977000,0.11192000,0.12403000,19837.57700000,1604966399999,2413.76120089,5815,8307.63000000,1011.13909523,0
2020-11-10,0.12454000,0.15749000,0.12039000,0.14869000,34861.54800000,1605052799999,4814.45081938,7651,14743.94100000,2078.82251986,0
2020-11-11,0.14935000,0.15259000,0.11522000,0.11789000,48768.72800000,1605139199999,6221.96619272,10471,22037.34400000,2836.83561448,0
