timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2022-05-27,0.00351000,0.00400000,0.00085000,0.00324000,22547586.00000000,1653695999999,77076.68416000,733,7989145.00000000,27809.04399000,0
2022-05-28,0.00329000,0.00357000,0.00322000,0.00338000,56365260.00000000,1653782399999,189554.16736000,1609,9838290.00000000,33124.73593000,0
2022-05-29,0.00339000,0.00741000,0.00331000,0.00572000,4023552853.00000000,1653868799999,22554762.94215000,146009,1872876470.00000000,10545582.27214000,0
2022-05-30,0.00573000,0.00726000,0.00504000,0.00538000,2250913823.00000000,1653955199999,13769631.82631000,86055,1059372355.00000000,6509259.29261000,0
2022-05-31,0.00538000,0.00566000,0.00460000,0.00471000,251568375.00000000,1654041599999,1273243.92819000,12105,112626184.00000000,570280.13951000,0
2022-06-01,0.00471000,0.00685000,0.00464000,0.00578000,2027327225.00000000,1654127999999,12055492.29087000,80054,967023435.00000000,5768248.16832000,0
2022-06-02,0.00580000,0.00585000,0.00509000,0.00547000,573802660.00000000,1654214399999,3095768.62591000,21090,272620840.00000000,1473706.34091000,0
2022-06-03,0.00544000,0.00586000,0.00518000,0.00526000,376612814.00000000,1654300799999,2073362.22161000,12424,170243052.00000000,940294.30287000,0
2022-06-04,0.00526000,0.00547000,0.00504000,0.00527000,106067136.00000000,1654387199999,558303.92969000,3923,51043474.00000000,269017.76246000,0
2022-06-05,0.00529000,0.00532000,0.00473000,0.00487000,100059968.00000000,1654473599999,495003.49400000,3142,46449861.00000000,229996.46946000,0
2022-06-06,0.00485000,0.00528000,0.00485000,0.00492000,75790812.00000000,1654559999999,383680.69671000,3131,34053110.00000000,172663.22035000,0
2022-06-07,0.00491000,0.00510000,0.00442000,0.00471000,83492106.00000000,1654646399999,391645.07178000,2860,40427797.00000000,189958.39765000,0
2022-06-08,0.00473000,0.00516000,0.00455000,0.00481000,148412150.00000000,1654732799999,719708.65741000,4340,67688708.00000000,329132.28893000,0
2022-06-09,0.00480000,0.00480000,0.00443000,0.00453000,66241898.00000000,1654819199999,305000.08276000,1816,32851367.00000000,151227.72395000,0
2022-06-10,0.00453000,0.00472000,0.00426000,0.00442000,42324720.00000000,1654905599999,189603.29625000,1448,18963085.00000000,85185.13500000,0
2022-06-11,0.00442000,0.00575000,0.00416000,0.00423000,739210958.00000000,1654991999999,3699094.31872000,21695,346278010.00000000,1737810.00346000,0
2022-06-12,0.00423000,0.00587000,0.00382000,0.00517000,1403953833.00000000,1655078399999,7024782.91823000,38589,688912509.00000000,3452549.64087000,0
2022-06-13,0.00516000,0.00530000,0.00444000,0.00479000,704648076.00000000,1655164799999,3425903.57903000,20806,331013091.00000000,1616421.15298000,0
2022-06-14,0.00480000,0.00510000,0.00456000,0.00481000,134148189.00000000,1655251199999,649486.80359000,4029,72104909.00000000,350424.77685000,0
2022-06-15,0.00478000,0.00490000,0.00423000,0.00485000,174450572.00000000,1655337599999,796997.59867000,5635,77017188.00000000,351472.34500000,0
2022-06-16,0.00486000,0.00491000,0.00432000,0.00432000,51529954.00000000,1655423999999,236788.03861000,1700,24241857.00000000,111075.38309000,0
2022-06-17,0.00434000,0.00454000,0.00432000,0.00437000,23024130.00000000,1655510399999,101753.36961000,874,10114613.00000000,44694.96470000,0
2022-06-18,0.00437000,0.00443000,0.00388000,0.00412000,73830084.00000000,1655596799999,303858.63054000,1875,47717564.00000000,195715.15994000,0
2022-06-19,0.00412000,0.00465000,0.00398000,0.00454000,65942467.00000000,1655683199999,287106.74363000,2044,34148007.00000000,147701.06483000,0
2022-06-20,0.00456000,0.00516000,0.00441000,0.00475000,101461761.00000000,1655769599999,485657.51258000,3355,51493789.00000000,246550.89246000,0
2022-06-21,0.00474000,0.00546000,0.00460000,0.00476000,75627765.00000000,1655855999999,378897.60834000,2694,33771230.00000000,168686.97729000,0
2022-06-22,0.00476000,0.00485000,0.00454000,0.00454000,21931206.00000000,1655942399999,102978.49551000,865,13448597.00000000,63361.95361000,0
2022-06-23,0.00454000,0.00480000,0.00454000,0.00463000,35107435.00000000,1656028799999,163639.97826000,1101,15107967.00000000,70494.98648000,0
2022-06-24,0.00463000,0.00476000,0.00455000,0.00469000,37070689.00000000,1656115199999,173657.27276000,1316,22052327.00000000,103400.21907000,0
2022-06-25,0.00468000,0.00510000,0.00460000,0.00466000,51640699.00000000,1656201599999,248464.83425000,1729,23190722.00000000,111170.13764000,0
2022-06-26,0.00469000,0.00479000,0.00449000,0.00451000,28958255.00000000,1656287999999,134656.73558000,1102,12855982.00000000,59915.17328000,0
2022-06-27,0.00453000,0.00471000,0.00446000,0.00454000,21479309.00000000,1656374399999,98892.20632000,1069,9745141.00000000,45009.40455000,0
2022-06-28,0.00457000,0.00459000,0.00413000,0.00414000,49403785.00000000,1656460799999,215144.31363000,1566,21130413.00000000,92339.67923000,0
2022-06-29,0.00414000,0.00447000,0.00403000,0.00426000,56130019.00000000,1656547199999,236490.66096000,1683,34291518.00000000,144418.57318000,0
2022-06-30,0.00426000,0.00447000,0.00387000,0.00406000,84408408.00000000,1656633599999,347573.92338000,3054,42823067.00000000,177748.48725000,0
2022-07-01,0.00407000,0.00424000,0.00401000,0.00414000,31372719.00000000,1656719999999,129776.55366000,1258,14310423.00000000,59439.26723000,0
2022-07-02,0.00415000,0.00450000,0.00408000,0.00415000,88148296.00000000,1656806399999,376434.71070000,3041,41209440.00000000,176698.10365000,0
2022-07-03,0.00416000,0.00441000,0.00413000,0.00422000,70469293.00000000,1656892799999,298972.83851000,1716,36377527.00000000,154600.39113000,0
2022-07-04,0.00423000,0.00458000,0.00423000,0.00457000,28275629.00000000,1656979199999,123418.82755000,1018,13651210.00000000,59836.26365000,0
2022-07-05,0.00455000,0.00460000,0.00407000,0.00421000,39694885.00000000,1657065599999,171429.59440000,1590,15260114.00000000,66221.59813000,0
2022-07-06,0.00421000,0.00441000,0.00417000,0.00430000,29802616.00000000,1657151999999,127219.82326000,960,14955588.00000000,63875.65017000,0
2022-07-07,0.00430000,0.00468000,0.00426000,0.00465000,49442872.00000000,1657238399999,223743.04566000,1724,23864646.00000000,107801.54104000,0
2022-07-08,0.00467000,0.00486000,0.00437000,0.00444000,36094696.00000000,1657324799999,166186.60139000,1232,15910861.00000000,73444.55594000,0
2022-07-09,0.00444000,0.00479000,0.00442000,0.00466000,29410529.00000000,1657411199999,136886.65122000,939,16261267.00000000,75776.91377000,0
2022-07-10,0.00465000,0.00467000,0.00435000,0.00437000,18638691.00000000,1657497599999,83350.33595000,767,9621641.00000000,43082.53543000,0
2022-07-11,0.00435000,0.00442000,0.00418000,0.00435000,12792596.00000000,1657583999999,54916.43448000,651,7040059.00000000,30267.71061000,0
2022-07-12,0.00435000,0.00507000,0.00424000,0.00425000,211082957.00000000,1657670399999,982600.30214000,6387,95407678.00000000,444557.11972000,0
2022-07-13,0.00424000,0.00442000,0.00378000,0.00437000,71613703.00000000,1657756799999,296725.65640000,1713,36728652.00000000,152825.29637000,0
2022-07-14,0.00438000,0.00468000,0.00418000,0.00445000,58197913.00000000,1657843199999,256583.15685000,1667,24239979.00000000,106666.53187000,0
2022-07-15,0.00443000,0.00502000,0.00439000,0.00460000,60156183.00000000,1657929599999,280721.38551000,1681,27998296.00000000,130751.64998000,0
2022-07-16,0.00463000,0.00745000,0.00458000,0.00522000,2341530181.00000000,1658015999999,15041591.88700000,91682,1112356031.00000000,7166269.45476000,0
2022-07-17,0.00522000,0.00545000,0.00470000,0.00479000,258310950.00000000,1658102399999,1312773.16369000,9003,116712220.00000000,594334.61245000,0
2022-07-18,0.00479000,0.00520000,0.00474000,0.00497000,115721138.00000000,1658188799999,579698.52231000,3809,60838475.00000000,306061.37851000,0
2022-07-19,0.00497000,0.00530000,0.00487000,0.00518000,62417352.00000000,1658275199999,320366.25047000,2284,30056493.00000000,154596.98653000,0
2022-07-20,0.00517000,0.00539000,0.00466000,0.00477000,83624808.00000000,1658361599999,429029.29189000,2605,35633654.00000000,184224.45665000,0
2022-07-21,0.00479000,0.00497000,0.00458000,0.00493000,42099436.00000000,1658447999999,202067.03425000,1496,22888987.00000000,110123.57591000,0
2022-07-22,0.00492000,0.00507000,0.00472000,0.00475000,40924848.00000000,1658534399999,201813.26425000,1505,16223069.00000000,79616.16302000,0
2022-07-23,0.00475000,0.00521000,0.00475000,0.00501000,45385526.00000000,1658620799999,226041.65657000,1703,21717308.00000000,108356.39191000,0
2022-07-24,0.00501000,0.00515000,0.00484000,0.00489000,19668398.00000000,1658707199999,97692.88096000,943,8888003.00000000,44119.99857000,0
2022-07-25,0.00487000,0.00518000,0.00471000,0.00478000,54106004.00000000,1658793599999,265827.06703000,1986,24376181.00000000,119381.72719000,0
2022-07-26,0.00477000,0.00477000,0.00459000,0.00470000,20669179.00000000,1658879999999,96554.31567000,781,10132435.00000000,47313.32561000,0
2022-07-27,0.00471000,0.00490000,0.00465000,0.00487000,18609602.00000000,1658966399999,88897.79145000,871,9428406.00000000,45099.55338000,0
2022-07-28,0.00489000,0.00549000,0.00485000,0.00517000,45584326.00000000,1659052799999,231131.20873000,1745,25277988.00000000,128757.29372000,0
2022-07-29,0.00515000,0.00567000,0.00496000,0.00514000,94896515.00000000,1659139199999,493186.68671000,2312,40254765.00000000,210439.79838000,0
2022-07-30,0.00516000,0.00574000,0.00507000,0.00518000,104967206.00000000,1659225599999,568606.44309000,2766,46920589.00000000,253957.23829000,0
2022-07-31,0.00516000,0.00572000,0.00503000,0.00535000,51875818.00000000,1659311999999,277037.41674000,1632,28156328.00000000,150660.23523000,0
2022-08-01,0.00535000,0.00650000,0.00505000,0.00527000,214314955.00000000,1659398399999,1247904.48261000,6591,107266655.00000000,625793.30015000,0
2022-08-02,0.00529000,0.00531000,0.00486000,0.00503000,46520425.00000000,1659484799999,233685.45523000,1154,22229920.00000000,111313.11030000,0
2022-08-03,0.00502000,0.00527000,0.00501000,0.00504000,27393426.00000000,1659571199999,140971.63368000,977,13665687.00000000,70303.54976000,0
2022-08-04,0.00504000,0.00513000,0.00489000,0.00497000,22724768.00000000,1659657599999,113684.35291000,623,11104519.00000000,55742.65800000,0
2022-08-05,0.00497000,0.00517000,0.00496000,0.00508000,32903210.00000000,1659743999999,167101.81320000,755,19640329.00000000,99707.18072000,0
2022-08-06,0.00510000,0.00533000,0.00507000,0.00513000,22601130.00000000,1659830399999,116946.81996000,811,10627120.00000000,55053.11951000,0
2022-08-07,0.00513000,0.00523000,0.00490000,0.00516000,25784209.00000000,1659916799999,130993.62192000,563,14396309.00000000,73514.35891000,0
2022-08-08,0.00520000,0.00527000,0.00511000,0.00519000,18702068.00000000,1660003199999,97345.40254000,637,10062184.00000000,52496.26397000,0
2022-08-09,0.00519000,0.00525000,0.00493000,0.00502000,16052254.00000000,1660089599999,81889.88260000,566,7702161.00000000,39245.65013000,0
2022-08-10,0.00502000,0.00525000,0.00490000,0.00519000,14540802.00000000,1660175999999,74160.68218000,620,7577830.00000000,38669.20720000,0
2022-08-11,0.00520000,0.00574000,0.00515000,0.00520000,94806943.00000000,1660262399999,515463.33497000,3017,45315025.00000000,246366.82765000,0
2022-08-12,0.00521000,0.00559000,0.00510000,0.00545000,48725646.00000000,1660348799999,259169.50095000,1429,22835270.00000000,121182.28419000,0
2022-08-13,0.00545000,0.00558000,0.00522000,0.00530000,27745542.00000000,1660435199999,147996.86752000,901,18031276.00000000,96125.89287000,0
2022-08-14,0.00531000,0.00547000,0.00504000,0.00511000,22699851.00000000,1660521599999,119832.07512000,805,11770669.00000000,62171.45955000,0
2022-08-15,0.00511000,0.00551000,0.00495000,0.00517000,36849476.00000000,1660607999999,189190.99975000,1081,14674313.00000000,75879.17054000,0
2022-08-16,0.00517000,0.00518000,0.00487000,0.00495000,32467955.00000000,1660694399999,163416.21088000,855,15984271.00000000,80416.71162000,0
2022-08-17,0.00498000,0.00518000,0.00464000,0.00471000,22057702.00000000,1660780799999,107526.92036000,791,8723148.00000000,42775.54243000,0
2022-08-18,0.00471000,0.00484000,0.00443000,0.00443000,24699648.00000000,1660867199999,115111.62212000,610,13339937.00000000,62339.65039000,0
2022-08-19,0.00444000,0.00446000,0.00392000,0.00409000,34664837.00000000,1660953599999,142603.83351000,799,12806247.00000000,52401.21165000,0
2022-08-20,0.00410000,0.00510000,0.00396000,0.00409000,207496481.00000000,1661039999999,928316.57609000,5046,95566438.00000000,431912.75133000,0
2022-08-21,0.00406000,0.00417000,0.00400000,0.00410000,22121726.00000000,1661126399999,90318.92158000,447,9420705.00000000,38531.95791000,0
2022-08-22,0.00410000,0.00414000,0.00378000,0.00393000,28913414.00000000,1661212799999,112665.25869000,645,10543739.00000000,40925.94885000,0
2022-08-23,0.00393000,0.00419000,0.00385000,0.00403000,29238758.00000000,1661299199999,117543.68335000,523,9994761.00000000,40120.81413000,0
2022-08-24,0.00406000,0.00426000,0.00394000,0.00399000,24389749.00000000,1661385599999,98301.12697000,524,11186882.00000000,45193.39014000,0
2022-08-25,0.00400000,0.00418000,0.00399000,0.00403000,17114328.00000000,1661471999999,69201.37819000,368,11567287.00000000,46814.81310000,0
2022-08-26,0.00403000,0.00406000,0.00361000,0.00363000,21032247.00000000,1661558399999,81007.49970000,502,8592011.00000000,32993.94160000,0
2022-08-27,0.00367000,0.00378000,0.00354000,0.00360000,14495099.00000000,1661644799999,52993.07756000,333,6762269.00000000,24737.21806000,0
2022-08-28,0.00358000,0.00376000,0.00350000,0.00350000,9994126.00000000,1661731199999,36245.30899000,300,4898451.00000000,17794.69394000,0
2022-08-29,0.00349000,0.00369000,0.00348000,0.00365000,12370334.00000000,1661817599999,44464.95943000,324,6976802.00000000,25136.77299000,0
2022-08-30,0.00366000,0.00424000,0.00356000,0.00370000,128860273.00000000,1661903999999,505060.91754000,2699,60914217.00000000,239765.07584000,0
2022-08-31,0.00373000,0.00379000,0.00345000,0.00357000,49852136.00000000,1661990399999,180266.21894000,968,19849328.00000000,71799.72066000,0
2022-09-01,0.00357000,0.00366000,0.00344000,0.00359000,15546805.00000000,1662076799999,55269.14613000,405,7015126.00000000,24983.21621000,0
2022-09-02,0.00357000,0.00370000,0.00352000,0.00362000,47624295.00000000,1662163199999,171544.15252000,690,21245575.00000000,76741.86078000,0
2022-09-03,0.00360000,0.00374000,0.00355000,0.00365000,12039845.00000000,1662249599999,43649.35185000,314,5240337.00000000,19024.25347000,0
2022-09-04,0.00364000,0.00415000,0.00364000,0.00373000,258961921.00000000,1662335999999,999960.30234000,4752,125255023.00000000,485355.89584000,0
2022-09-05,0.00373000,0.00374000,0.00346000,0.00359000,32184938.00000000,1662422399999,115527.36765000,637,13703414.00000000,49207.41850000,0
2022-09-06,0.00361000,0.00370000,0.00338000,0.00338000,43990372.00000000,1662508799999,157435.33596000,782,22150704.00000000,79365.05233000,0
2022-09-07,0.00338000,0.00350000,0.00328000,0.00346000,13460908.00000000,1662595199999,45248.50690000,327,6261929.00000000,21080.73343000,0
2022-09-08,0.00348000,0.00420000,0.00342000,0.00350000,280663686.00000000,1662681599999,1055258.94068000,5354,128334199.00000000,483813.69280000,0
2022-09-09,0.00350000,0.00380000,0.00344000,0.00377000,47999714.00000000,1662767999999,174616.31809000,918,29266372.00000000,106640.65122000,0
2022-09-10,0.00375000,0.00382000,0.00366000,0.00375000,17068019.00000000,1662854399999,63989.68812000,482,8794802.00000000,32959.68976000,0
2022-09-11,0.00375000,0.00388000,0.00362000,0.00379000,58112129.00000000,1662940799999,219526.83825000,790,28853557.00000000,109225.31530000,0
