timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2022-10-19,149.60000000,149.60000000,73.80000000,138.20000000,289200.17000000,1666223999999,39965229.79400000,14602,125485.40000000,17304439.18700000,0
2022-10-20,138.30000000,146.10000000,130.10000000,139.20000000,487083.19000000,1666310399999,67527501.75100000,18782,240098.27000000,33310439.11400000,0
2022-10-21,139.10000000,145.10000000,132.80000000,141.70000000,389724.22000000,1666396799999,54383194.05000000,12305,200413.07000000,27971478.94900000,0
2022-10-22,141.80000000,175.80000000,138.90000000,169.20000000,1419015.29000000,1666483199999,232649259.19100000,47816,672577.77000000,110203243.88900000,0
2022-10-23,169.20000000,194.50000000,168.00000000,184.40000000,2415000.90000000,1666569599999,438700607.03400000,76811,1193326.76000000,216548658.80100000,0
2022-10-24,184.30000000,187.90000000,174.40000000,179.90000000,976245.98000000,1666655999999,176917801.98900000,32495,497112.09000000,90109612.72200000,0
2022-10-25,179.70000000,180.30000000,158.60000000,164.90000000,1016635.60000000,1666742399999,172639971.97300000,29649,477776.86000000,81281042.82500000,0
2022-10-26,164.90000000,173.50000000,161.20000000,172.40000000,1189734.36000000,1666828799999,200032809.14700000,34273,610186.97000000,102688651.64200000,0
2022-10-27,172.20000000,180.00000000,162.00000000,163.80000000,860328.88000000,1666915199999,148571085.44400000,26242,453032.92000000,78371893.20000000,0
2022-10-28,163.70000000,166.00000000,149.30000000,153.70000000,929875.47000000,1667001599999,143662867.57000000,27719,411939.57000000,63682373.13200000,0
2022-10-29,153.60000000,156.90000000,142.30000000,148.90000000,953363.59000000,1667087999999,144011412.10700000,26094,469491.13000000,70965614.33500000,0
2022-10-30,149.10000000,156.80000000,142.30000000,145.80000000,750612.56000000,1667174399999,110696770.65700000,20942,365823.05000000,54050834.17300000,0
2022-10-31,145.80000000,153.00000000,144.40000000,149.00000000,543124.53000000,1667260799999,80462210.36300000,14955,280040.02000000,41512617.25800000,0
2022-11-01,148.70000000,156.20000000,146.50000000,153.90000000,543129.33000000,1667347199999,82673031.31700000,14603,281120.64000000,42820083.77900000,0
2022-11-02,154.20000000,154.20000000,134.20000000,139.30000000,673355.98000000,1667433599999,94543773.03000000,20414,283100.56000000,39763712.35600000,0
2022-11-03,139.30000000,142.20000000,135.50000000,136.60000000,315349.36000000,1667519999999,43907770.24700000,9240,147160.75000000,20507955.91300000,0
2022-11-04,136.70000000,145.70000000,135.20000000,143.20000000,383604.08000000,1667606399999,53513750.12700000,10511,207916.77000000,29077659.43400000,0
2022-11-05,143.20000000,148.70000000,140.20000000,142.40000000,313006.59000000,1667692799999,45134107.61600000,9559,159309.51000000,23002088.19100000,0
2022-11-06,142.50000000,154.30000000,136.50000000,137.80000000,482219.44000000,1667779199999,71639418.57300000,15186,230556.01000000,34327896.64300000,0
2022-11-07,137.80000000,140.40000000,128.30000000,131.20000000,426355.83000000,1667865599999,56870723.24400000,12786,183296.17000000,24481213.50500000,0
2022-11-08,131.10000000,131.50000000,86.50000000,101.60000000,949793.29000000,1667951999999,106943754.00500000,29047,443228.59000000,49536083.07200000,0
2022-11-09,101.90000000,102.30000000,67.20000000,76.40000000,575830.57000000,1668038399999,47747782.56400000,17517,285835.51000000,23541599.70900000,0
2022-11-10,76.00000000,104.60000000,74.70000000,97.80000000,866651.11000000,1668124799999,79906640.08300000,16004,435535.47000000,40062785.47200000,0
2022-11-11,97.60000000,100.90000000,85.80000000,97.80000000,599416.65000000,1668211199999,56309616.98800000,8465,295804.95000000,27810592.88200000,0
2022-11-12,97.80000000,97.80000000,84.80000000,86.30000000,194956.52000000,1668297599999,17315563.19500000,2966,91854.11000000,8168375.84200000,0
2022-11-13,86.80000000,88.20000000,79.30000000,81.10000000,239573.34000000,1668383999999,19823595.22500000,4306,111071.23000000,9215961.96700000,0
2022-11-14,81.00000000,86.20000000,72.70000000,80.10000000,370356.07000000,1668470399999,29600898.16000000,6471,176061.18000000,14081897.87100000,0
2022-11-15,80.30000000,89.80000000,78.80000000,82.20000000,365902.10000000,1668556799999,30894261.40400000,6512,171471.03000000,14527336.43000000,0
2022-11-16,82.30000000,94.40000000,79.30000000,86.10000000,1132584.87000000,1668643199999,99759808.65500000,19372,558682.49000000,49234992.03800000,0
2022-11-17,86.20000000,92.20000000,83.10000000,88.80000000,603227.53000000,1668729599999,52869239.76100000,10334,300922.60000000,26393604.72700000,0
2022-11-18,88.50000000,93.70000000,86.50000000,89.90000000,293132.58000000,1668815999999,26425345.13100000,5249,142398.40000000,12845652.95400000,0
2022-11-19,89.40000000,91.00000000,86.10000000,88.10000000,96125.68000000,1668902399999,8435548.23900000,2060,45888.95000000,4032096.02300000,0
2022-11-20,88.10000000,88.20000000,77.70000000,78.90000000,117541.59000000,1668988799999,9842116.70400000,2248,52594.67000000,4421380.79600000,0
2022-11-21,78.60000000,79.30000000,74.20000000,77.60000000,155339.59000000,1669075199999,12026313.88700000,3026,70459.35000000,5459076.47100000,0
2022-11-22,77.50000000,86.00000000,73.90000000,82.00000000,194362.14000000,1669161599999,15787737.22000000,3588,101467.50000000,8246141.53900000,0
2022-11-23,82.40000000,87.50000000,81.00000000,84.60000000,110738.90000000,1669247999999,9338250.04200000,1938,55125.25000000,4653086.30500000,0
2022-11-24,84.60000000,90.00000000,80.60000000,84.60000000,181998.37000000,1669334399999,15555785.10100000,3438,87256.88000000,7478793.04300000,0
2022-11-25,84.30000000,86.90000000,81.10000000,84.50000000,119189.92000000,1669420799999,10031530.27600000,2178,60175.22000000,5074124.60300000,0
2022-11-26,84.20000000,95.80000000,84.10000000,91.00000000,346355.23000000,1669507199999,31926226.52200000,6883,184608.49000000,17000081.84400000,0
2022-11-27,90.60000000,95.80000000,87.90000000,91.30000000,153676.15000000,1669593599999,13888316.17200000,2972,68811.58000000,6236650.61100000,0
2022-11-28,91.30000000,91.30000000,82.30000000,85.30000000,87102.06000000,1669679999999,7429799.95600000,2297,37044.52000000,3161993.89600000,0
2022-11-29,85.20000000,91.00000000,84.20000000,89.00000000,94364.11000000,1669766399999,8400682.82500000,2400,55206.16000000,4912839.73800000,0
2022-11-30,89.30000000,92.30000000,87.10000000,90.70000000,67298.00000000,1669852799999,6030717.46600000,1584,33629.74000000,3017310.09400000,0
2022-12-01,90.10000000,90.40000000,86.90000000,88.20000000,32543.82000000,1669939199999,2881523.35300000,636,15491.32000000,1374269.96100000,0
2022-12-02,88.10000000,96.00000000,85.80000000,92.80000000,177983.49000000,1670025599999,16346773.24400000,3403,90304.46000000,8305779.64000000,0
2022-12-03,92.70000000,99.70000000,92.10000000,97.10000000,273515.65000000,1670111999999,26601791.66400000,5771,130673.39000000,12709677.24500000,0
2022-12-04,97.00000000,102.20000000,95.70000000,98.20000000,217084.47000000,1670198399999,21559452.04600000,4128,113980.95000000,11319080.90200000,0
