timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2021-05-14,27.16000000,60.00000000,27.16000000,29.50000000,250297.33000000,1621036799999,9038780.24885000,28797,115952.82000000,4218210.75489000,0
2021-05-15,29.28300000,36.50000000,26.30000000,26.66000000,72083.91000000,1621123199999,2097542.01299000,9796,30747.33000000,899306.51582000,0
2021-05-16,26.66000000,28.14100000,22.61700000,23.94900000,23369.98000000,1621209599999,605514.90183000,2971,9935.87000000,258184.05658000,0
2021-05-17,23.96400000,24.80100000,21.19800000,22.73700000,34537.90000000,1621295999999,787959.88711000,2716,13988.68000000,319781.14590000,0
2021-05-18,22.74100000,26.00000000,22.02200000,23.04100000,17161.08000000,1621382399999,409638.67171000,1813,9189.68000000,219672.35738000,0
2021-05-19,23.03900000,23.03900000,12.00800000,16.48200000,34053.18000000,1621468799999,621780.71706000,3177,15578.36000000,289048.51842000,0
2021-05-20,16.68000000,18.88000000,14.63000000,18.70900000,23586.67000000,1621555199999,394453.03765000,1773,11522.60000000,196137.95007000,0
2021-05-21,18.87100000,21.00000000,13.68900000,15.39100000,53342.91000000,1621641599999,895383.55454000,4949,25298.65000000,429152.40152000,0
2021-05-22,15.45400000,18.26700000,12.50100000,14.36000000,35206.18000000,1621727999999,520621.90433000,3442,16928.84000000,256438.31569000,0
2021-05-23,14.14600000,14.99000000,9.87900000,13.22700000,12140.92000000,1621814399999,150144.23355000,1277,5954.75000000,74714.71137000,0
2021-05-24,13.22700000,16.55400000,12.42600000,15.17300000,17137.45000000,1621900799999,245926.44179000,1720,8324.58000000,118958.66320000,0
2021-05-25,15.17300000,15.65000000,12.91800000,14.55500000,27252.01000000,1621987199999,378678.24274000,1871,14190.63000000,198168.01302000,0
2021-05-26,14.83300000,19.27900000,14.82600000,17.66900000,19767.29000000,1622073599999,334341.61336000,2507,9581.60000000,161627.70168000,0
2021-05-27,17.53600000,17.53600000,15.12700000,15.70700000,17513.09000000,1622159999999,284220.37124000,1807,8696.58000000,142417.44972000,0
2021-05-28,15.55100000,15.65300000,13.00200000,14.58100000,24941.78000000,1622246399999,355266.88722000,1946,11205.30000000,157286.80591000,0
2021-05-29,14.57900000,16.48000000,11.83600000,12.70000000,31205.78000000,1622332799999,446335.78112000,2862,13812.71000000,200560.22768000,0
2021-05-30,12.74200000,15.70000000,12.21700000,14.27500000,18992.20000000,1622419199999,270422.76606000,1711,9992.11000000,138906.47519000,0
2021-05-31,14.13600000,15.30500000,12.47700000,15.30500000,18264.84000000,1622505599999,254778.85368000,1192,7768.93000000,106922.00914000,0
2021-06-01,15.25200000,17.07900000,14.59800000,15.50000000,22332.32000000,1622591999999,350883.09203000,2407,10444.06000000,163925.92134000,0
2021-06-02,15.50000000,17.75900000,15.01300000,16.86500000,14581.15000000,1622678399999,241206.38074000,2031,6932.92000000,114225.62209000,0
2021-06-03,16.86500000,19.00000000,15.99700000,18.58900000,24185.08000000,1622764799999,427408.83561000,3337,10154.34000000,179280.56691000,0
2021-06-04,18.58900000,19.94000000,15.06300000,15.97300000,38487.90000000,1622851199999,654192.30303000,5331,16826.19000000,288096.70801000,0
2021-06-05,15.95700000,17.50000000,14.91600000,15.32500000,10992.29000000,1622937599999,177175.93117000,2120,4906.33000000,79570.40784000,0
2021-06-06,15.33200000,16.34200000,15.18000000,15.72100000,4932.95000000,1623023999999,78162.84977000,715,2864.43000000,45480.43817000,0
2021-06-07,15.72200000,22.46000000,15.52500000,17.43900000,228937.12000000,1623110399999,4492462.24643000,21579,104531.44000000,2059732.18961000,0
2021-06-08,17.38200000,21.50000000,15.47000000,17.03100000,314358.02000000,1623196799999,5749603.87311000,26630,154553.12000000,2835961.63342000,0
2021-06-09,17.03100000,18.78000000,15.52600000,18.04500000,64206.73000000,1623283199999,1100283.54547000,8769,33265.41000000,571250.41349000,0
2021-06-10,18.04500000,19.40000000,16.33400000,16.64000000,36960.02000000,1623369599999,657165.34102000,7195,19835.75000000,352383.27882000,0
2021-06-11,16.67600000,16.88700000,15.09200000,15.58600000,20441.36000000,1623455999999,330519.13749000,4568,7214.67000000,116621.66329000,0
2021-06-12,15.55000000,15.58600000,13.92000000,14.61300000,15046.52000000,1623542399999,221081.62050000,2919,7346.08000000,108225.00523000,0
2021-06-13,14.61300000,17.43500000,13.57300000,15.79200000,45140.48000000,1623628799999,701652.38952000,5844,20752.03000000,325105.04947000,0
2021-06-14,15.85600000,16.83500000,15.14500000,16.16900000,19884.06000000,1623715199999,318841.24092000,3504,10791.81000000,173531.13750000,0
2021-06-15,16.20400000,16.65800000,15.72000000,15.86100000,7080.07000000,1623801599999,114000.47400000,1518,4099.80000000,66097.00327000,0
2021-06-16,15.84600000,15.84600000,14.50000000,14.99400000,10061.17000000,1623887999999,152673.26359000,1942,4323.08000000,65863.38426000,0
2021-06-17,15.02100000,16.91500000,14.85300000,16.19800000,16588.05000000,1623974399999,264966.36659000,2570,7368.71000000,117299.21823000,0
2021-06-18,16.10400000,18.50000000,15.10000000,15.68800000,47938.96000000,1624060799999,793239.56361000,6695,24214.43000000,402976.73523000,0
2021-06-19,15.68600000,18.15000000,15.38900000,17.40100000,40737.34000000,1624147199999,691656.73720000,5509,21768.40000000,369246.28005000,0
2021-06-20,17.47200000,19.33100000,15.45000000,18.35100000,137492.73000000,1624233599999,2448964.38542000,14109,68782.11000000,1219107.98979000,0
2021-06-21,18.31300000,18.48000000,13.14900000,13.54800000,42621.89000000,1624319999999,660066.69997000,5603,17072.15000000,267518.92827000,0
2021-06-22,13.52200000,14.76000000,10.93000000,11.99800000,37893.44000000,1624406399999,492122.89351000,4954,15900.77000000,208849.15799000,0
2021-06-23,11.99800000,13.77500000,11.15000000,11.73200000,68410.91000000,1624492799999,842089.51090000,5331,26388.62000000,327151.68644000,0
2021-06-24,11.74800000,12.39500000,10.80500000,11.40900000,82765.69000000,1624579199999,967104.82032000,4668,37846.19000000,444186.81480000,0
2021-06-25,11.40900000,11.71100000,9.12200000,9.53100000,88849.84000000,1624665599999,897590.74971000,4053,31833.10000000,322810.32300000,0
2021-06-26,9.51100000,9.77300000,8.28400000,8.98900000,102774.48000000,1624751999999,902209.14666000,4822,46031.26000000,403249.02514000,0
2021-06-27,8.95300000,10.49900000,8.87500000,10.20300000,230201.18000000,1624838399999,2211497.98994000,8896,113856.96000000,1095163.51176000,0
2021-06-28,10.28200000,10.65000000,9.65400000,10.02500000,49769.60000000,1624924799999,499843.22469000,3096,25846.89000000,259222.08859000,0
2021-06-29,9.97100000,11.43500000,9.85500000,10.71100000,36270.70000000,1625011199999,390357.92196000,2629,15636.01000000,168995.15241000,0
2021-06-30,10.63600000,10.77500000,9.83200000,10.39900000,32429.14000000,1625097599999,329801.99833000,2223,13394.48000000,136453.68503000,0
2021-07-01,10.31600000,12.77300000,9.91200000,10.86600000,180059.03000000,1625183999999,2023948.34366000,10443,87096.14000000,978519.71349000,0
2021-07-02,10.86000000,11.08200000,9.73900000,10.58000000,49378.01000000,1625270399999,510326.46049000,3217,26643.71000000,275445.45038000,0
