timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2018-07-18,0.00003890,0.00004370,0.00002959,0.00003238,79680593.00000000,1531958399999,2782.22280353,48700,37667655.00000000,1320.73900763,0
2018-07-19,0.00003249,0.00003269,0.00002780,0.00002878,16161713.00000000,1532044799999,492.69281952,17242,7106904.00000000,216.48342083,0
2018-07-20,0.00002886,0.00002887,0.00002519,0.00002568,7079016.00000000,1532131199999,188.05752779,6986,3179993.00000000,84.40201129,0
2018-07-21,0.00002570,0.00002620,0.00002384,0.00002590,4766873.00000000,1532217599999,119.65041824,4983,2398111.00000000,60.08145023,0
2018-07-22,0.00002591,0.00002829,0.00002495,0.00002521,5176834.00000000,1532303999999,139.53377494,6462,2376488.00000000,64.30257107,0
2018-07-23,0.00002521,0.00002599,0.00002200,0.00002263,4775939.00000000,1532390399999,112.50163811,4776,1638985.00000000,38.45554345,0
2018-07-24,0.00002263,0.00002296,0.00002079,0.00002128,2783861.00000000,1532476799999,60.39051470,2938,1174528.00000000,25.54017301,0
2018-07-25,0.00002129,0.00002700,0.00002082,0.00002296,9052860.00000000,1532563199999,217.53701604,8946,4765092.00000000,115.12597872,0
2018-07-26,0.00002302,0.00002427,0.00002201,0.00002224,1383070.00000000,1532649599999,31.95439118,1732,601703.00000000,13.94434154,0
2018-07-27,0.00002230,0.00002405,0.00002142,0.00002276,1132278.00000000,1532735999999,25.02784074,1697,423141.00000000,9.43934110,0
2018-07-28,0.00002283,0.00002336,0.00002172,0.00002231,1341462.00000000,1532822399999,30.11040264,1464,626284.00000000,14.08016097,0
2018-07-29,0.00002236,0.00002237,0.00002144,0.00002182,507093.00000000,1532908799999,11.04281981,636,265714.00000000,5.79381085,0
2018-07-30,0.00002181,0.00002195,0.00002064,0.00002068,1362571.00000000,1532995199999,28.79954766,1155,641814.00000000,13.59966993,0
2018-07-31,0.00002074,0.00002095,0.00001893,0.00001949,744813.00000000,1533081599999,14.73780724,946,312828.00000000,6.21773831,0
2018-08-01,0.00001950,0.00001976,0.00001855,0.00001906,705570.00000000,1533167999999,13.54983532,970,393303.00000000,7.57607956,0
2018-08-02,0.00001917,0.00002148,0.00001823,0.00001846,1633308.00000000,1533254399999,32.56564108,2449,642272.00000000,12.80006399,0
2018-08-03,0.00001844,0.00001980,0.00001717,0.00001813,1561476.00000000,1533340799999,28.62442506,1577,523862.00000000,9.64392517,0
2018-08-04,0.00001830,0.00001926,0.00001800,0.00001892,1532478.00000000,1533427199999,28.25497248,1649,586435.00000000,10.85363694,0
2018-08-05,0.00001891,0.00001949,0.00001860,0.00001926,758910.00000000,1533513599999,14.53713996,854,299092.00000000,5.75553926,0
2018-08-06,0.00001921,0.00001943,0.00001874,0.00001881,442238.00000000,1533599999999,8.41769712,439,270395.00000000,5.14987753,0
2018-08-07,0.00001895,0.00001904,0.00001789,0.00001816,1339449.00000000,1533686399999,24.47532912,1360,587529.00000000,10.76328527,0
2018-08-08,0.00001814,0.00001864,0.00001730,0.00001747,1393598.00000000,1533772799999,25.03652901,1240,717530.00000000,12.94904627,0
2018-08-09,0.00001747,0.00002100,0.00001747,0.00001967,2295158.00000000,1533859199999,44.58598588,3231,1298289.00000000,25.30529112,0
2018-08-10,0.00001950,0.00001965,0.00001792,0.00001828,1175689.00000000,1533945599999,21.96095458,1591,488170.00000000,9.20402954,0
2018-08-11,0.00001851,0.00001991,0.00001754,0.00001835,1281904.00000000,1534031999999,23.95876597,1521,606236.00000000,11.33994032,0
2018-08-12,0.00001838,0.00001917,0.00001807,0.00001834,587665.00000000,1534118399999,10.84114184,935,294854.00000000,5.45750072,0
2018-08-13,0.00001821,0.00001847,0.00001731,0.00001731,907525.00000000,1534204799999,16.09467393,581,275384.00000000,4.90781638,0
2018-08-14,0.00001748,0.00001932,0.00001578,0.00001772,2545641.00000000,1534291199999,44.24570014,2715,1446420.00000000,25.29905352,0
2018-08-15,0.00001764,0.00001857,0.00001713,0.00001759,1012686.00000000,1534377599999,18.02047935,1509,544459.00000000,9.69516412,0
2018-08-16,0.00001775,0.00001775,0.00001668,0.00001729,710683.00000000,1534463999999,12.17943314,595,427720.00000000,7.35439131,0
2018-08-17,0.00001729,0.00001911,0.00001707,0.00001880,1224718.00000000,1534550399999,22.14163812,1240,590221.00000000,10.65446043,0
2018-08-18,0.00001889,0.00001927,0.00001667,0.00001721,1488757.00000000,1534636799999,26.46446525,1211,481782.00000000,8.57485936,0
2018-08-19,0.00001728,0.00001793,0.00001664,0.00001763,492857.00000000,1534723199999,8.51335006,600,214181.00000000,3.73028023,0
2018-08-20,0.00001763,0.00001778,0.00001635,0.00001668,343693.00000000,1534809599999,5.84670254,507,142264.00000000,2.43210813,0
