timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2022-01-14,544085.00,604092.00,518258.00,582114.00,682.66100000,1642204799999,379704239.04,204,390.95800000,217523967.29,0
2022-01-15,579500.00,597533.00,560793.00,560793.00,772.07600000,1642291199999,441692551.46,314,416.57300000,239124294.95,0
2022-01-16,559887.00,629997.00,558019.00,624997.00,1498.29800000,1642377599999,907710532.09,504,858.05700000,520023910.72,0
2022-01-17,625000.00,637792.00,546840.00,566311.00,1984.31800000,1642463999999,1182146662.12,624,967.77400000,581391808.83,0
2022-01-18,564531.00,579197.00,518000.00,549051.00,1814.24700000,1642550399999,991619645.72,424,797.92500000,438924085.98,0
2022-01-19,566657.00,566657.00,510005.00,540032.00,896.33200000,1642636799999,474961888.63,240,373.03300000,197993556.97,0
2022-01-20,532500.00,608878.00,532500.00,562552.00,2763.29700000,1642723199999,1606907021.66,688,1540.81900000,891772012.34,0
2022-01-21,562552.00,595000.00,454787.00,500389.00,2219.33100000,1642809599999,1200274708.07,604,967.60800000,529091896.48,0
2022-01-22,519998.00,519998.00,385175.00,444998.00,3249.03200000,1642895999999,1502718827.01,460,1511.44900000,703128301.81,0
2022-01-23,444998.00,509999.00,417096.00,500581.00,11546.58800000,1642982399999,5406548035.72,512,6136.89100000,2918354415.16,0
2022-01-24,497583.00,530002.00,428457.00,518814.00,2177.86000000,1643068799999,1048150170.09,573,999.98300000,480515144.35,0
2022-01-25,518814.00,544999.00,492820.00,514190.00,2503.98400000,1643155199999,1299095933.63,559,1389.23700000,724477533.57,0
2022-01-26,517440.00,520222.00,450684.00,468001.00,3483.68900000,1643241599999,1728845114.89,1048,1529.29900000,760483077.26,0
2022-01-27,466720.00,479307.00,411206.00,435440.00,1777.94100000,1643327999999,798409995.17,846,755.22300000,341760324.60,0
2022-01-28,441882.00,441882.00,400000.00,424965.00,2701.61700000,1643414399999,1125976985.27,711,1139.06200000,476153091.90,0
2022-01-29,424965.00,434998.00,408500.00,417327.00,1790.35700000,1643500799999,753901890.22,454,739.17700000,312213408.06,0
2022-01-30,419617.00,419618.00,382000.00,386722.00,2117.91200000,1643587199999,855559856.89,782,897.55300000,364250751.87,0
2022-01-31,389395.00,417000.00,366466.00,402777.00,2599.03700000,1643673599999,1016306778.69,616,1232.00300000,482034068.05,0
2022-02-01,402777.00,430000.00,397600.00,418461.00,3207.39400000,1643759999999,1338167478.61,663,1367.62700000,575741309.26,0
2022-02-02,419709.00,419709.00,375061.00,378964.00,2232.46000000,1643846399999,895736063.32,715,547.60300000,219315084.75,0
2022-02-03,378964.00,428275.00,370000.00,427023.00,3535.48700000,1643932799999,1389138311.59,856,1970.00400000,781161191.68,0
2022-02-04,423550.00,450493.00,410884.00,447916.00,3230.21900000,1644019199999,1386588808.29,828,1830.82700000,791080086.95,0
2022-02-05,447512.00,463979.00,430005.00,441353.00,3145.47100000,1644105599999,1414663603.40,715,1383.43500000,622615197.69,0
2022-02-06,445261.00,459999.00,433324.00,451482.00,2230.10300000,1644191999999,994444154.45,627,1349.75700000,603533080.27,0
2022-02-07,451482.00,479748.00,438390.00,456119.00,3006.50800000,1644278399999,1390133179.44,949,1272.32500000,587453595.72,0
2022-02-08,456115.00,470997.00,429000.00,440972.00,3090.11400000,1644364799999,1385317140.02,896,1406.82600000,633519769.92,0
2022-02-09,440972.00,452000.00,424971.00,442589.00,1413.23400000,1644451199999,622013747.19,564,603.70800000,265696308.37,0
2022-02-10,442396.00,455789.00,413122.00,422120.00,2001.30500000,1644537599999,864300080.33,830,755.91700000,328321930.10,0
2022-02-11,415554.00,422119.00,377532.00,383590.00,2308.13900000,1644623999999,940029823.51,483,528.82900000,215866144.00,0
2022-02-12,380996.00,409999.00,375000.00,389859.00,1851.07200000,1644710399999,725266146.21,459,612.05800000,240968698.88,0
2022-02-13,389859.00,395991.00,374709.00,377490.00,1313.06900000,1644796799999,511265849.54,439,527.24300000,206009002.11,0
2022-02-14,381631.00,392761.00,364807.00,390206.00,1582.38100000,1644883199999,598796919.22,465,591.92400000,223801325.52,0
2022-02-15,391491.00,416000.00,360000.00,412727.00,3150.15500000,1644969599999,1263823867.70,727,1283.12200000,521378953.71,0
2022-02-16,412727.00,416527.00,393591.00,406191.00,1300.75800000,1645055999999,528804001.24,436,530.37200000,215906022.37,0
2022-02-17,407000.00,442027.00,395458.00,403835.00,3519.42500000,1645142399999,1479464121.92,858,1748.72900000,741013894.06,0
2022-02-18,401445.00,415957.00,384179.00,389945.00,1305.07800000,1645228799999,524185712.67,438,739.07900000,297806819.46,0
2022-02-19,386567.00,412898.00,373087.00,380722.00,1043.78200000,1645315199999,402242351.12,374,501.24100000,193945503.83,0
2022-02-20,398762.00,398762.00,366600.00,375136.00,2086.59700000,1645401599999,780990131.58,429,903.77900000,339459651.84,0
2022-02-21,373733.00,391000.00,340500.00,340907.00,2689.58400000,1645487999999,995621922.88,532,1257.13500000,468900519.32,0
2022-02-22,343932.00,357751.00,332049.00,356411.00,3521.08900000,1645574399999,1219064776.93,588,1892.58900000,656822154.84,0
2022-02-23,356411.00,389999.00,353538.00,364631.00,2480.73500000,1645660799999,913225979.63,546,1193.03400000,439646091.58,0
2022-02-24,360000.00,366828.00,310649.00,359806.00,3677.75200000,1645747199999,1220735244.13,805,1745.87800000,579427741.23,0
2022-02-25,355697.00,394999.00,348279.00,391904.00,1727.98100000,1645833599999,628613233.94,411,872.90500000,318135984.09,0
2022-02-26,390001.00,435568.00,390000.00,429398.00,2965.82800000,1645919999999,1218849396.59,800,1475.56900000,607822884.92,0
2022-02-27,429400.00,429529.00,378810.00,384514.00,2311.11600000,1646006399999,945040657.65,970,1019.20300000,416777062.65,0
2022-02-28,385978.00,452809.00,378817.00,449145.00,3904.18000000,1646092799999,1596884672.38,1159,2049.88200000,839432390.14,0
2022-03-01,449145.00,474000.00,430004.00,446065.00,2920.20600000,1646179199999,1317277591.22,703,1479.56400000,668638981.15,0
2022-03-02,448379.00,470925.00,429000.00,462331.00,2863.91400000,1646265599999,1281129452.17,1079,1379.36200000,620954146.28,0
2022-03-03,464665.00,499999.00,445686.00,490334.00,2986.42400000,1646351999999,1406140675.10,1129,1525.72300000,724458013.51,0
