timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2020-09-24,0.00130400,0.00600000,0.00130400,0.00316700,41631879.00000000,1600991999999,125478.66642500,15786,18881586.00000000,58103.86947200,0
2020-09-25,0.00316700,0.00475000,0.00272000,0.00303100,34850710.00000000,1601078399999,125005.96179400,20152,15831715.00000000,57982.83023400,0
2020-09-26,0.00303200,0.00310700,0.00242000,0.00271300,8311100.00000000,1601164799999,22736.20893300,4612,3080709.00000000,8439.52577100,0
2020-09-27,0.00271300,0.00353000,0.00266800,0.00347200,10270204.00000000,1601251199999,31028.37661500,8165,4712628.00000000,14429.20489600,0
2020-09-28,0.00347100,0.00347100,0.00273400,0.00306100,29403512.00000000,1601337599999,86583.10912600,18464,13535322.00000000,39833.57695400,0
2020-09-29,0.00306100,0.00308700,0.00174000,0.00201300,29390189.00000000,1601423999999,72700.10921100,18481,13276223.00000000,32828.26107500,0
2020-09-30,0.00201300,0.00206000,0.00100900,0.00134100,47984706.00000000,1601510399999,78373.55704600,25648,22981945.00000000,37808.36588700,0
2020-10-01,0.00134100,0.00168800,0.00122000,0.00148300,50260716.00000000,1601596799999,71902.63015600,30168,24451379.00000000,34859.36349100,0
2020-10-02,0.00148400,0.00153200,0.00128100,0.00129400,47288668.00000000,1601683199999,65509.65170700,26440,23341702.00000000,32318.41100400,0
2020-10-03,0.00129500,0.00141300,0.00126500,0.00132400,59467367.00000000,1601769599999,78574.23615600,21144,28713250.00000000,37894.30425800,0
2020-10-04,0.00132300,0.00132800,0.00120000,0.00123100,88970110.00000000,1601855999999,113264.02347400,48118,45785135.00000000,58276.99926000,0
2020-10-05,0.00123500,0.00127600,0.00113200,0.00116000,3530322.00000000,1601942399999,4220.09889200,1173,1582784.00000000,1898.28218500,0
2020-10-06,0.00116000,0.00117800,0.00083000,0.00090200,4695703.00000000,1602028799999,4452.28235300,1311,1657604.00000000,1574.96743700,0
2020-10-07,0.00090500,0.00093000,0.00073900,0.00077500,2238092.00000000,1602115199999,1820.83859000,585,747458.00000000,616.27644100,0
2020-10-08,0.00077500,0.00094000,0.00076800,0.00091800,3032055.00000000,1602201599999,2579.42647000,669,999600.00000000,855.40474600,0
2020-10-09,0.00091700,0.00093600,0.00083100,0.00086800,1553441.00000000,1602287999999,1351.16745600,319,521397.00000000,456.48256300,0
2020-10-10,0.00084300,0.00088600,0.00083000,0.00085000,989262.00000000,1602374399999,841.00693400,274,338819.00000000,293.67053000,0
2020-10-11,0.00086500,0.00086500,0.00069800,0.00075200,2002198.00000000,1602460799999,1504.71038300,525,982748.00000000,741.83363700,0
2020-10-12,0.00074100,0.00076800,0.00065000,0.00069100,1567980.00000000,1602547199999,1132.16582000,351,697426.00000000,504.72529400,0
