timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2018-02-06,0.00069000,0.00100000,0.00030000,0.00084344,31918169.00000000,1517961599999,20340.19920327,38615,19336701.00000000,12328.56834330,0
2018-02-07,0.00084359,0.00109800,0.00064550,0.00087521,31775252.00000000,1518047999999,28731.83676410,73445,16706661.00000000,15225.67484258,0
2018-02-08,0.00087520,0.00096000,0.00086506,0.00094698,553192.00000000,1518049697565,511.03758760,1151,349094.00000000,322.54041473,0
2018-02-09,0.00095000,0.00103700,0.00083266,0.00084952,7707581.00000000,1518220799999,7273.30056067,18425,3427201.00000000,3262.39774567,0
2018-02-10,0.00084952,0.00086786,0.00068000,0.00071500,8909298.00000000,1518307199999,6962.76312329,23333,4068982.00000000,3196.18374237,0
2018-02-11,0.00071500,0.00084300,0.00065800,0.00078440,8466711.00000000,1518393599999,6249.83927911,23867,3754622.00000000,2787.03897566,0
2018-02-12,0.00078492,0.00083580,0.00073100,0.00075000,6691066.00000000,1518479999999,5267.26987661,19806,3203132.00000000,2531.59727703,0
2018-02-13,0.00075000,0.00077900,0.00070319,0.00071926,3176553.00000000,1518566399999,2348.57559677,9568,1521024.00000000,1128.99332028,0
2018-02-14,0.00071923,0.00072845,0.00067900,0.00071400,3717489.00000000,1518652799999,2608.76696631,9551,1726486.00000000,1212.19839531,0
2018-02-15,0.00071527,0.00072500,0.00063555,0.00072494,3923354.00000000,1518739199999,2652.96101105,12041,1746633.00000000,1187.57657826,0
2018-02-16,0.00072149,0.00075500,0.00067521,0.00071760,2951860.00000000,1518825599999,2086.62845849,9266,1457987.00000000,1035.35507795,0
2018-02-17,0.00071308,0.00072838,0.00066689,0.00068695,2321405.00000000,1518911999999,1609.30505422,6600,1073153.00000000,744.41545401,0
2018-02-18,0.00068693,0.00072000,0.00066500,0.00069864,2230323.00000000,1518998399999,1534.43810681,6409,1203496.00000000,832.35737995,0
2018-02-19,0.00069666,0.00071656,0.00064193,0.00064800,1860476.00000000,1519084799999,1234.88899987,5886,650324.00000000,433.20818887,0
2018-02-20,0.00064801,0.00066411,0.00057701,0.00059831,3548718.00000000,1519171199999,2208.09100621,9052,1445364.00000000,901.91108003,0
2018-02-21,0.00059830,0.00068400,0.00055204,0.00066695,2820059.00000000,1519257599999,1759.13702160,9065,1417616.00000000,891.85936639,0
2018-02-22,0.00066696,0.00072800,0.00064000,0.00064730,5332421.00000000,1519343999999,3649.66849142,14136,3118738.00000000,2144.80631895,0
2018-02-23,0.00065239,0.00070900,0.00062555,0.00062720,2784360.00000000,1519430399999,1821.01419610,8648,1250118.00000000,820.48341381,0
2018-02-24,0.00062780,0.00064530,0.00059000,0.00060746,1673336.00000000,1519516799999,1029.75557850,4878,512632.00000000,318.54876595,0
