timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2019-09-19,21.20210000,21.59980000,20.74150000,21.59980000,2416.72000000,1568937599999,51176.89918300,568,151.22000000,3233.33550200,0
2019-09-20,21.49180000,21.53800000,20.97280000,21.22800000,1014.81000000,1569023999999,21637.03283500,334,689.47000000,14745.15351100,0
2019-09-21,21.31340000,21.41380000,20.81280000,20.87550000,35.59000000,1569110399999,749.19611200,22,24.60000000,517.20723500,0
2019-09-22,20.74150000,20.74150000,20.01460000,20.41810000,198.81000000,1569196799999,4059.97991700,37,105.99000000,2165.87868500,0
2019-09-23,20.32580000,20.32580000,19.20920000,19.32670000,804.23000000,1569283199999,15831.14051400,68,384.79000000,7571.61098400,0
2019-09-24,19.36360000,19.37890000,5.11000000,15.62540000,4752.91000000,1569369599999,86429.32266400,484,535.45000000,9377.72872300,0
2019-09-25,16.09870000,16.42160000,14.92200000,16.16960000,1638.93000000,1569455999999,25641.58780600,138,799.40000000,12609.32169600,0
2019-09-26,15.88280000,16.30000000,14.39960000,15.22170000,3430.76000000,1569542399999,52409.65547800,317,601.06000000,9494.60651100,0
2019-09-27,15.01610000,15.70600000,14.73640000,15.63200000,2140.38000000,1569628799999,32517.69417100,161,494.82000000,7554.47205300,0
2019-09-28,15.64150000,15.85830000,15.36740000,15.85830000,1408.24000000,1569715199999,22034.66490000,181,1354.30000000,21192.71189400,0
2019-09-29,15.70430000,15.70430000,14.95400000,15.29570000,2448.31000000,1569801599999,37306.77550000,159,789.69000000,12060.61383800,0
2019-09-30,15.12180000,15.83740000,14.72550000,15.79320000,2907.79000000,1569887999999,44566.56790100,159,1683.42000000,25583.09735700,0
2019-10-01,15.85340000,16.27080000,15.70640000,15.85270000,5981.72000000,1569974399999,95382.01369900,672,4944.14000000,78786.30727700,0
2019-10-02,15.77200000,15.84770000,15.52810000,15.81030000,1070.14000000,1570060799999,16776.08180100,175,813.66000000,12757.15265100,0
2019-10-03,15.81490000,15.92400000,15.39810000,15.47000000,304.72000000,1570147199999,4787.51284300,48,266.08000000,4178.90466900,0
2019-10-04,15.45800000,15.79580000,15.38390000,15.69640000,380.72000000,1570233599999,5959.56831900,67,320.61000000,5027.49043200,0
2019-10-05,15.55800000,15.64830000,15.45080000,15.63650000,550.87000000,1570319999999,8598.25865600,35,476.64000000,7439.52609600,0
2019-10-06,15.70530000,15.71040000,15.05950000,15.20000000,1681.97000000,1570406399999,25528.93076600,129,1491.64000000,22648.60496100,0
2019-10-07,14.90470000,16.03090000,14.90040000,16.03090000,4751.86000000,1570492799999,73385.52475700,336,1821.07000000,28356.93089600,0
2019-10-08,15.98700000,16.31580000,15.83820000,15.97720000,1082.77000000,1570579199999,17357.55723200,98,818.88000000,13140.33309600,0
2019-10-09,16.05760000,18.00000000,15.92640000,17.76620000,10099.48000000,1570665599999,174155.68963600,725,5351.83000000,92674.81479600,0
2019-10-10,17.75420000,17.92610000,17.07980000,17.64070000,2908.21000000,1570751999999,50825.56114400,309,1989.58000000,34751.91446900,0
2019-10-11,17.59700000,17.68500000,16.55500000,16.58650000,4217.67000000,1570838399999,71686.20807500,557,1914.66000000,32601.79851200,0
2019-10-12,16.56820000,17.46800000,16.55500000,17.20880000,3376.99000000,1570924799999,57763.96444600,736,1961.49000000,33623.84331300,0
2019-10-13,17.18820000,18.75290000,17.14490000,18.26000000,9300.01000000,1571011199999,167641.84320800,1979,4113.75000000,73944.71374700,0
2019-10-14,18.22440000,18.62500000,17.89330000,18.42120000,8691.11000000,1571097599999,158820.36524000,1552,3260.69000000,59629.67876700,0
2019-10-15,18.47190000,19.13800000,18.09580000,18.57140000,13226.12000000,1571183999999,246921.95537600,2328,4468.91000000,83360.67108300,0
2019-10-16,18.56200000,18.60460000,17.39320000,17.74340000,12969.92000000,1571270399999,233063.31892600,2001,5820.19000000,104684.26998000,0
2019-10-17,17.77080000,18.80000000,17.60000000,18.52640000,8845.83000000,1571356799999,161889.51043300,1560,3612.65000000,65983.09099500,0
2019-10-18,18.50590000,18.74410000,17.70580000,18.21200000,11021.53000000,1571443199999,200528.23101500,1754,2456.58000000,44730.82144100,0
