timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2019-12-02,959.70000000,986.23000000,959.70000000,974.52000000,253.93000000,1575331199999,247855.48980000,80,39.73000000,38941.70450000,0
2019-12-03,974.78000000,990.70000000,966.77000000,986.12000000,335.55000000,1575417599999,328155.26600000,246,207.55000000,203561.04020000,0
2019-12-04,977.15000000,1003.44000000,959.72000000,965.30000000,693.14000000,1575503999999,679496.79600000,281,529.26000000,520170.97650000,0
2019-12-05,966.91000000,1000.00000000,945.95000000,998.54000000,593.14000000,1575590399999,580329.29280000,174,315.97000000,311440.03360000,0
2019-12-06,997.71000000,1014.64000000,976.65000000,996.49000000,179.82000000,1575676799999,178742.47130000,108,149.24000000,148557.07330000,0
2019-12-07,996.57000000,1008.59000000,990.00000000,991.80000000,144.37000000,1575763199999,143607.58940000,116,67.85000000,67382.76380000,0
2019-12-08,996.17000000,1002.49000000,982.76000000,994.88000000,164.74000000,1575849599999,164388.85350000,88,109.03000000,108962.89840000,0
2019-12-09,1001.73000000,1002.18000000,967.48000000,972.39000000,131.69000000,1575935999999,130541.96990000,69,106.51000000,105649.23330000,0
2019-12-10,967.48000000,970.86000000,927.70000000,937.56000000,622.65000000,1576022399999,589983.79050000,175,267.78000000,254363.56790000,0
2019-12-11,941.87000000,948.10000000,925.15000000,932.93000000,129.32000000,1576108799999,121406.46960000,98,90.85000000,85329.54990000,0
2019-12-12,932.93000000,933.83000000,909.47000000,927.12000000,5256.24000000,1576195199999,4860395.51270000,1635,4279.61000000,3957673.84430000,0
2019-12-13,930.17000000,940.24000000,919.25000000,932.53000000,5578.90000000,1576281599999,5176818.62850000,1320,1983.19000000,1836196.39960000,0
2019-12-14,933.83000000,937.36000000,897.88000000,902.94000000,548.38000000,1576367999999,500246.63580000,131,490.57000000,447422.32890000,0
2019-12-15,904.02000000,910.33000000,874.67000000,901.52000000,362.43000000,1576454399999,327594.63730000,112,341.89000000,309141.23960000,0
2019-12-16,901.52000000,905.24000000,832.44000000,841.83000000,454.94000000,1576540799999,391401.54430000,162,338.14000000,290463.74810000,0
2019-12-17,837.36000000,840.12000000,762.00000000,763.91000000,816.61000000,1576627199999,650653.29460000,394,678.13000000,539823.68710000,0
2019-12-18,771.90000000,856.60000000,766.00000000,846.29000000,948.53000000,1576713599999,762497.54750000,413,817.11000000,654273.97070000,0
2019-12-19,861.19000000,861.19000000,814.32000000,826.57000000,445.56000000,1576799999999,371369.01680000,175,391.25000000,326113.84880000,0
2019-12-20,830.79000000,842.25000000,824.10000000,842.25000000,278.07000000,1576886399999,231697.05410000,98,265.26000000,221044.68580000,0
2019-12-21,842.25000000,843.70000000,828.40000000,832.05000000,243.88000000,1576972799999,203145.99300000,77,211.01000000,175783.66880000,0
2019-12-22,836.61000000,862.62000000,829.44000000,862.62000000,545.34000000,1577059199999,460116.17000000,203,480.78000000,405213.22600000,0
2019-12-23,862.62000000,872.40000000,830.97000000,833.60000000,438.09000000,1577145599999,373607.43960000,238,405.06000000,345401.97770000,0
2019-12-24,836.18000000,838.67000000,822.59000000,830.93000000,120.60000000,1577231999999,100172.95010000,44,35.60000000,29577.68020000,0
2019-12-25,827.37000000,827.37000000,800.94000000,806.80000000,110.32000000,1577318399999,89348.67120000,69,72.58000000,58699.97770000,0
2019-12-26,814.07000000,837.25000000,808.26000000,814.54000000,162.76000000,1577404799999,134613.53680000,87,109.35000000,90278.29640000,0
2019-12-27,822.69000000,825.24000000,798.14000000,825.24000000,246.12000000,1577491199999,200697.24540000,100,121.52000000,99063.29340000,0
2019-12-28,826.11000000,858.35000000,823.10000000,849.73000000,343.64000000,1577577599999,291454.63800000,96,275.10000000,233712.29400000,0
2019-12-29,849.67000000,880.52000000,842.18000000,875.67000000,175.82000000,1577663999999,151248.33200000,78,91.71000000,78753.70950000,0
2019-12-30,873.91000000,892.61000000,856.43000000,862.21000000,389.12000000,1577750399999,339904.55870000,134,299.86000000,261841.79450000,0
2019-12-31,858.80000000,871.58000000,846.20000000,846.20000000,192.63000000,1577836799999,165314.80230000,74,106.41000000,91136.61550000,0
2020-01-01,851.25000000,858.38000000,847.23000000,847.23000000,179.86000000,1577923199999,153395.52600000,44,26.47000000,22575.60350000,0
2020-01-02,848.54000000,849.05000000,802.14000000,803.54000000,292.73000000,1578009599999,242771.00230000,83,141.06000000,116935.44240000,0
2020-01-03,802.98000000,851.95000000,802.00000000,842.64000000,245.88000000,1578095999999,205422.28410000,102,175.11000000,146506.29100000,0
2020-01-04,845.45000000,858.86000000,845.45000000,850.27000000,160.00000000,1578182399999,136388.61230000,68,149.01000000,127003.12720000,0
2020-01-05,854.53000000,886.10000000,854.53000000,865.52000000,129.36000000,1578268799999,112619.24410000,38,70.56000000,61303.11630000,0
2020-01-06,886.10000000,923.52000000,886.10000000,923.52000000,238.00000000,1578355199999,213024.06640000,79,36.62000000,33312.22850000,0
2020-01-07,924.15000000,934.85000000,895.98000000,928.52000000,348.67000000,1578441599999,321516.22540000,114,148.66000000,136773.89100000,0
2020-01-08,935.95000000,945.31000000,870.39000000,890.27000000,153.73000000,1578527999999,138980.60360000,100,66.35000000,59734.92000000,0
2020-01-09,888.47000000,890.71000000,873.93000000,874.76000000,195.42000000,1578614399999,172548.55800000,54,148.95000000,131350.06770000,0
2020-01-10,874.76000000,918.08000000,864.71000000,917.13000000,389.26000000,1578700799999,350309.81590000,127,148.30000000,133993.72550000,0
2020-01-11,918.88000000,933.00000000,895.26000000,915.87000000,222.31000000,1578787199999,204677.59340000,113,39.33000000,35793.83590000,0
2020-01-12,908.88000000,938.89000000,903.61000000,933.13000000,219.96000000,1578873599999,204373.10000000,99,34.15000000,31845.70370000,0
2020-01-13,929.50000000,937.00000000,913.70000000,928.07000000,64.02000000,1578959999999,58911.61900000,42,20.60000000,18992.20690000,0
2020-01-14,928.25000000,1036.94000000,928.25000000,1022.90000000,864.31000000,1579046399999,857366.42380000,316,367.73000000,368409.29110000,0
2020-01-15,1039.59000000,1114.54000000,999.23000000,1085.50000000,606.07000000,1579132799999,646142.47310000,239,117.47000000,124303.73930000,0
2020-01-16,1085.50000000,1085.50000000,1006.21000000,1043.51000000,527.76000000,1579219199999,549397.97380000,169,299.47000000,311880.95390000,0
2020-01-17,1061.72000000,1133.53000000,1061.72000000,1121.09000000,517.02000000,1579305599999,570896.41260000,186,163.25000000,180115.97230000,0
2020-01-18,1113.39000000,1125.19000000,1080.47000000,1097.65000000,252.45000000,1579391999999,279829.34440000,121,99.60000000,110391.30910000,0
2020-01-19,1097.65000000,1130.00000000,1025.36000000,1065.39000000,401.39000000,1579478399999,436627.53310000,204,179.28000000,195598.12040000,0
2020-01-20,1068.18000000,1079.70000000,1040.00000000,1068.89000000,156.05000000,1579564799999,164538.34980000,38,18.88000000,20052.92050000,0
2020-01-21,1068.89000000,1122.12000000,1061.01000000,1121.09000000,330.93000000,1579651199999,362045.86050000,252,106.23000000,115572.83050000,0
2020-01-22,1120.57000000,1131.64000000,1087.43000000,1101.90000000,391.94000000,1579737599999,435867.22780000,121,60.84000000,67803.72430000,0
2020-01-23,1082.01000000,1082.01000000,1036.78000000,1049.55000000,592.30000000,1579823999999,622844.27470000,145,299.28000000,314184.83730000,0
2020-01-24,1047.83000000,1076.77000000,1016.78000000,1055.84000000,568.25000000,1579910399999,602188.70630000,143,238.00000000,250366.37420000,0
2020-01-25,1056.93000000,1063.73000000,1029.81000000,1049.36000000,222.39000000,1579996799999,232039.92470000,130,154.44000000,161342.41550000,0
2020-01-26,1047.64000000,1079.70000000,1047.64000000,1077.87000000,505.44000000,1580083199999,539449.76930000,143,58.27000000,62024.64720000,0
2020-01-27,1083.35000000,1127.10000000,1073.84000000,1110.57000000,1167.64000000,1580169599999,1271638.18130000,337,695.28000000,755622.24410000,0
2020-01-28,1119.58000000,1129.21000000,1088.45000000,1125.64000000,580.33000000,1580255999999,644819.10610000,220,163.17000000,181211.86940000,0
2020-01-29,1125.64000000,1147.97000000,1119.76000000,1119.76000000,347.11000000,1580342399999,393135.48620000,194,52.98000000,60378.12260000,0
2020-01-30,1116.45000000,1176.88000000,1106.91000000,1173.29000000,715.14000000,1580428799999,819741.84660000,296,78.92000000,90299.47550000,0
2020-01-31,1169.91000000,1187.56000000,1132.70000000,1162.13000000,679.89000000,1580515199999,784190.31680000,403,110.73000000,127372.98130000,0
2020-02-01,1167.74000000,1185.82000000,1150.68000000,1159.60000000,641.94000000,1580601599999,747376.62540000,136,58.06000000,67846.94320000,0
2020-02-02,1158.88000000,1199.42000000,1148.37000000,1180.93000000,416.37000000,1580687999999,490651.53510000,182,165.74000000,195548.03290000,0
2020-02-03,1183.34000000,1200.25000000,1160.00000000,1167.23000000,922.21000000,1580774399999,1078264.35910000,147,483.79000000,565194.87280000,0
2020-02-04,1171.97000000,1179.75000000,1116.13000000,1139.65000000,469.09000000,1580860799999,538365.94050000,138,59.68000000,68018.71480000,0
2020-02-05,1145.65000000,1220.50000000,1145.65000000,1211.99000000,612.13000000,1580947199999,731548.65730000,277,155.21000000,184350.71850000,0
2020-02-06,1201.26000000,1313.96000000,1196.90000000,1301.17000000,1426.54000000,1581033599999,1809837.63250000,461,80.72000000,101809.55710000,0
2020-02-07,1300.10000000,1429.36000000,1298.57000000,1408.88000000,1532.87000000,1581119999999,2117512.45990000,467,152.26000000,208517.94420000,0
2020-02-08,1399.77000000,1420.45000000,1339.99000000,1392.86000000,1317.18000000,1581206399999,1837472.00870000,392,125.62000000,175972.36080000,0
2020-02-09,1403.10000000,1556.04000000,1403.10000000,1556.04000000,2040.09000000,1581292799999,3039856.45150000,906,193.18000000,279605.45200000,0
2020-02-10,1558.93000000,1637.10000000,1495.76000000,1615.64000000,1419.48000000,1581379199999,2236319.35920000,429,409.10000000,645801.34760000,0
2020-02-11,1615.64000000,1633.66000000,1544.86000000,1633.66000000,1245.51000000,1581465599999,1982843.44480000,328,793.03000000,1265537.62430000,0
2020-02-12,1633.68000000,1694.73000000,1605.41000000,1668.93000000,703.01000000,1581551999999,1146433.28660000,335,440.24000000,720307.12320000,0
2020-02-13,1692.37000000,1714.01000000,1565.95000000,1614.84000000,1102.92000000,1581638399999,1797883.33000000,357,574.88000000,932085.58990000,0
2020-02-14,1614.84000000,1686.90000000,1586.44000000,1659.32000000,574.91000000,1581724799999,938704.39880000,234,419.63000000,687178.37960000,0
2020-02-15,1673.00000000,1679.40000000,1495.84000000,1538.15000000,1534.62000000,1581811199999,2456235.83070000,452,1203.89000000,1925321.17550000,0
2020-02-16,1506.62000000,1596.59000000,1373.51000000,1494.75000000,677.03000000,1581897599999,999298.10770000,252,224.82000000,336925.96600000,0
2020-02-17,1482.47000000,1486.30000000,1367.14000000,1485.01000000,848.17000000,1581983999999,1199290.00850000,324,302.77000000,432462.69420000,0
2020-02-18,1473.37000000,1552.83000000,1450.00000000,1534.63000000,823.58000000,1582070399999,1247026.72740000,382,347.31000000,525199.34660000,0
2020-02-19,1528.42000000,1539.20000000,1377.73000000,1412.02000000,454.28000000,1582156799999,678570.38970000,196,199.89000000,299592.41620000,0
2020-02-20,1418.91000000,1432.86000000,1354.51000000,1419.54000000,733.50000000,1582243199999,1024901.53530000,226,281.06000000,392321.15860000,0
2020-02-21,1423.95000000,1471.19000000,1401.00000000,1418.78000000,690.51000000,1582329599999,988095.49290000,229,195.95000000,282018.03500000,0
2020-02-22,1410.82000000,1425.36000000,1386.17000000,1410.00000000,181.46000000,1582415999999,256450.04640000,78,124.31000000,175958.03660000,0
2020-02-23,1414.54000000,1472.10000000,1414.54000000,1471.90000000,857.52000000,1582502399999,1253203.46060000,292,396.37000000,580407.08790000,0
2020-02-24,1472.11000000,1492.94000000,1403.58000000,1422.91000000,290.27000000,1582588799999,424771.92940000,215,65.51000000,95429.62650000,0
2020-02-25,1422.91000000,1426.38000000,1300.01000000,1309.90000000,857.06000000,1582675199999,1161222.36990000,281,406.31000000,545523.72710000,0
2020-02-26,1303.37000000,1303.37000000,1156.76000000,1208.64000000,1031.92000000,1582761599999,1263958.30450000,443,759.05000000,930345.33790000,0
2020-02-27,1199.22000000,1295.83000000,1153.42000000,1250.77000000,717.72000000,1582847999999,869510.34460000,275,343.84000000,417796.24080000,0
2020-02-28,1266.31000000,1300.00000000,1195.27000000,1266.97000000,841.28000000,1582934399999,1048235.67450000,325,538.20000000,670398.59390000,0
2020-02-29,1280.21000000,1345.55000000,1260.00000000,1289.68000000,638.25000000,1583020799999,826679.20330000,150,102.95000000,134032.59820000,0
2020-03-01,1280.11000000,1328.27000000,1235.50000000,1271.47000000,573.23000000,1583107199999,730388.30860000,145,210.25000000,266624.75880000,0
2020-03-02,1256.89000000,1330.44000000,1256.89000000,1315.00000000,554.79000000,1583193599999,725976.30210000,120,279.25000000,365704.32570000,0
2020-03-03,1315.00000000,1350.03000000,1273.89000000,1294.00000000,506.63000000,1583279999999,665371.12910000,152,120.23000000,158201.01950000,0
2020-03-04,1295.61000000,1327.24000000,1289.50000000,1321.25000000,302.58000000,1583366399999,396299.36110000,90,135.56000000,178273.14520000,0
2020-03-05,1321.25000000,1437.15000000,1321.25000000,1390.40000000,852.31000000,1583452799999,1187377.53310000,317,217.07000000,297750.95110000,0
2020-03-06,1399.00000000,1466.40000000,1398.22000000,1454.70000000,764.42000000,1583539199999,1101660.92770000,262,125.90000000,180910.96880000,0
2020-03-07,1457.72000000,1462.37000000,1351.64000000,1380.08000000,1092.10000000,1583625599999,1533192.06530000,252,355.69000000,500107.25540000,0
2020-03-08,1359.32000000,1365.31000000,1203.46000000,1206.77000000,3840.33000000,1583711999999,4846567.96680000,847,1330.97000000,1682032.74560000,0
2020-03-09,1210.66000000,1284.11000000,1150.02000000,1222.74000000,2629.12000000,1583798399999,3215065.75910000,756,985.24000000,1197015.22640000,0
2020-03-10,1229.52000000,1248.08000000,1175.80000000,1204.71000000,1680.51000000,1583884799999,2047166.76050000,388,1188.20000000,1447691.91630000,0
2020-03-11,1198.62000000,1212.19000000,1123.52000000,1211.82000000,925.18000000,1583971199999,1092915.60250000,361,459.52000000,545079.65360000,0
2020-03-12,1210.66000000,1210.66000000,676.84000000,701.34000000,11879.97000000,1584057599999,10601373.48220000,2401,8777.09000000,7734666.46920000,0
2020-03-13,725.84000000,887.16000000,508.90000000,840.56000000,7904.36000000,1584143999999,5720437.64580000,1522,5363.56000000,3850838.98500000,0
2020-03-14,836.29000000,869.01000000,755.34000000,780.54000000,1883.38000000,1584230399999,1542693.35180000,505,1323.92000000,1091766.03730000,0
2020-03-15,780.54000000,853.04000000,773.56000000,802.00000000,2084.28000000,1584316799999,1667216.85190000,504,1324.74000000,1058620.09600000,0
2020-03-16,794.63000000,794.63000000,655.00000000,738.53000000,3877.55000000,1584403199999,2795423.48080000,926,2400.45000000,1730262.93710000,0
2020-03-17,740.49000000,845.16000000,740.49000000,821.74000000,1550.83000000,1584489599999,1235855.28420000,339,838.04000000,671205.32760000,0
2020-03-18,821.74000000,870.45000000,785.00000000,864.94000000,3623.19000000,1584575999999,2980893.39490000,1284,2298.72000000,1867033.35580000,0
2020-03-19,867.63000000,1022.80000000,854.89000000,993.55000000,4290.24000000,1584662399999,3982439.24470000,862,653.93000000,605722.48990000,0
2020-03-20,1003.65000000,1084.97000000,850.00000000,943.84000000,2262.34000000,1584748799999,2261686.40920000,597,591.19000000,575912.75550000,0
2020-03-21,953.88000000,1000.92000000,914.69000000,977.28000000,1715.59000000,1584835199999,1650217.53100000,307,531.86000000,512966.99260000,0
2020-03-22,972.59000000,1010.60000000,898.96000000,900.00000000,1231.04000000,1584921599999,1189499.86780000,268,261.67000000,250026.81020000,0
2020-03-23,900.01000000,1013.57000000,886.53000000,980.05000000,1368.00000000,1585007999999,1302180.61270000,410,312.59000000,300707.06430000,0
2020-03-24,984.80000000,1004.62000000,965.87000000,990.73000000,2550.70000000,1585094399999,2510795.16950000,548,289.90000000,287245.37400000,0
2020-03-25,979.50000000,996.07000000,964.67000000,979.16000000,860.68000000,1585180799999,844546.92920000,287,300.60000000,296072.60660000,0
2020-03-26,983.09000000,1047.61000000,971.01000000,1047.61000000,520.71000000,1585267199999,517381.48860000,204,321.97000000,321683.98130000,0
2020-03-27,1045.26000000,1054.63000000,972.77000000,995.75000000,840.12000000,1585353599999,865454.92740000,327,338.01000000,348412.62700000,0
2020-03-28,991.13000000,994.91000000,944.00000000,969.17000000,940.74000000,1585439999999,914133.74770000,366,741.22000000,720306.90010000,0
2020-03-29,972.11000000,974.00000000,910.00000000,917.82000000,403.04000000,1585526399999,378596.38420000,190,220.44000000,207344.68700000,0
2020-03-30,911.08000000,1004.00000000,910.00000000,982.50000000,565.78000000,1585612799999,548975.97940000,235,203.00000000,197805.68330000,0
2020-03-31,991.38000000,1019.85000000,982.51000000,1011.08000000,964.99000000,1585699199999,964820.02780000,194,298.40000000,300847.42420000,0
2020-04-01,1011.08000000,1016.00000000,960.12000000,1016.00000000,832.35000000,1585785599999,820841.36600000,241,152.87000000,151612.69680000,0
2020-04-02,1020.00000000,1076.41000000,998.03000000,1025.67000000,2068.11000000,1585871999999,2134442.71220000,515,287.70000000,298063.64660000,0
2020-04-03,1022.65000000,1057.33000000,1008.38000000,1042.80000000,601.55000000,1585958399999,615909.00420000,172,170.60000000,176937.77370000,0
2020-04-04,1042.80000000,1083.35000000,1032.79000000,1070.56000000,444.40000000,1586044799999,471367.70860000,146,93.44000000,99319.76370000,0
2020-04-05,1073.74000000,1085.31000000,1028.47000000,1052.19000000,970.19000000,1586131199999,1022710.73810000,150,470.27000000,494023.42220000,0
2020-04-06,1055.78000000,1151.76000000,1052.45000000,1143.85000000,469.09000000,1586217599999,515820.37690000,245,224.64000000,246821.87890000,0
2020-04-07,1151.77000000,1174.80000000,1084.04000000,1095.82000000,632.16000000,1586303999999,715767.53760000,282,294.11000000,333645.30240000,0
2020-04-08,1110.50000000,1150.79000000,1110.50000000,1142.47000000,336.02000000,1586390399999,380465.18260000,191,138.70000000,157587.43600000,0
2020-04-09,1138.42000000,1140.00000000,1097.76000000,1116.80000000,455.58000000,1586476799999,509213.83010000,151,281.96000000,315946.78980000,0
2020-04-10,1111.12000000,1116.81000000,1003.59000000,1013.67000000,1847.60000000,1586563199999,1914127.44910000,476,1429.85000000,1477859.25590000,0
2020-04-11,1017.99000000,1046.17000000,1011.40000000,1025.40000000,730.80000000,1586649599999,744711.03360000,267,582.51000000,593799.44980000,0
2020-04-12,1026.72000000,1098.51000000,1015.01000000,1083.25000000,399.41000000,1586735999999,422514.78450000,165,204.90000000,217950.09000000,0
2020-04-13,1053.08000000,1108.34000000,1003.29000000,1108.34000000,1138.62000000,1586822399999,1207151.74510000,289,865.50000000,918566.33310000,0
2020-04-14,1107.43000000,1169.23000000,1107.43000000,1144.85000000,1940.21000000,1586908799999,2217805.81330000,290,1027.79000000,1173024.53940000,0
2020-04-15,1143.23000000,1163.74000000,1097.20000000,1100.00000000,984.11000000,1586995199999,1121373.03850000,220,763.47000000,870994.87910000,0
2020-04-16,1096.00000000,1169.00000000,1071.43000000,1159.53000000,1064.62000000,1587081599999,1192633.25590000,226,559.77000000,626213.08450000,0
2020-04-17,1155.50000000,1185.22000000,1126.67000000,1166.09000000,1008.32000000,1587167999999,1170869.15220000,179,783.91000000,911463.95740000,0
2020-04-18,1174.80000000,1235.61000000,1162.77000000,1222.85000000,502.55000000,1587254399999,603809.22130000,176,288.02000000,345849.26290000,0
2020-04-19,1213.76000000,1234.07000000,1177.73000000,1185.00000000,580.83000000,1587340799999,696984.95330000,136,61.10000000,73541.17310000,0
2020-04-20,1184.72000000,1219.30000000,1125.00000000,1137.93000000,791.11000000,1587427199999,921865.50430000,204,510.88000000,588683.23290000,0
2020-04-21,1130.00000000,1177.53000000,1125.27000000,1163.18000000,714.70000000,1587513599999,823814.83270000,180,176.03000000,203615.01260000,0
2020-04-22,1157.28000000,1194.70000000,1145.84000000,1184.47000000,774.15000000,1587599999999,908975.39230000,166,381.50000000,448951.98210000,0
2020-04-23,1179.91000000,1220.49000000,1156.77000000,1199.84000000,1379.06000000,1587686399999,1647389.09940000,396,675.90000000,812650.79230000,0
2020-04-24,1201.00000000,1206.54000000,1162.80000000,1168.25000000,788.10000000,1587772799999,931176.39480000,210,107.58000000,127755.74270000,0
2020-04-25,1167.75000000,1210.72000000,1167.75000000,1193.91000000,240.20000000,1587859199999,286480.58200000,153,102.64000000,122395.34330000,0
2020-04-26,1202.80000000,1214.01000000,1189.77000000,1211.04000000,221.47000000,1587945599999,267101.66480000,133,145.74000000,176209.97930000,0
2020-04-27,1210.99000000,1225.43000000,1189.80000000,1215.14000000,695.95000000,1588031999999,842042.52570000,160,390.76000000,473737.16640000,0
2020-04-28,1210.11000000,1219.47000000,1191.40000000,1200.70000000,731.49000000,1588118399999,877489.36830000,240,355.26000000,426106.36160000,0
2020-04-29,1205.27000000,1264.70000000,1194.76000000,1256.70000000,735.23000000,1588204799999,902934.52590000,680,304.99000000,376412.89340000,0
