timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2022-04-22,17.07000000,18.00000000,13.74000000,16.87000000,1272400.74000000,1650671999999,21704636.21070000,9365,525350.32000000,8950559.57920000,0
2022-04-23,16.84000000,17.90000000,16.72000000,17.19000000,1986922.49000000,1650758399999,34408508.66280000,10120,939707.49000000,16266212.47370000,0
2022-04-24,17.21000000,17.70000000,14.68000000,16.75000000,589266.91000000,1650844799999,10003329.99680000,3241,302208.75000000,5138540.03280000,0
2022-04-25,16.83000000,17.31000000,15.33000000,17.12000000,1209961.55000000,1650931199999,20111587.94590000,6087,619457.90000000,10289468.33550000,0
2022-04-26,17.14000000,17.70000000,15.72000000,16.28000000,530195.57000000,1651017599999,8978362.55820000,3626,247830.67000000,4193463.31660000,0
2022-04-27,16.36000000,20.50000000,16.24000000,18.58000000,7688209.08000000,1651103999999,142825711.28970000,32326,3622828.69000000,67425422.76900000,0
2022-04-28,18.58000000,21.43000000,18.05000000,20.09000000,6676544.98000000,1651190399999,133549743.91810000,34866,3379972.60000000,67568253.93750000,0
2022-04-29,20.09000000,21.48000000,17.30000000,17.33000000,2251441.99000000,1651276799999,43428520.16700000,15180,1130975.80000000,21776651.43520000,0
2022-04-30,17.36000000,17.90000000,15.63000000,15.87000000,732366.38000000,1651363199999,12493845.36370000,5245,366187.79000000,6242096.67050000,0
2022-05-01,15.90000000,18.90000000,15.48000000,17.16000000,2139796.97000000,1651449599999,37302865.34350000,14042,1049897.20000000,18275817.63900000,0
2022-05-02,17.17000000,17.60000000,16.13000000,16.72000000,419369.79000000,1651535999999,7125444.85390000,3626,229347.17000000,3895058.61430000,0
2022-05-03,16.74000000,18.00000000,16.58000000,17.28000000,742502.02000000,1651622399999,12782267.01810000,5162,369424.06000000,6360411.31940000,0
2022-05-04,17.18000000,17.97000000,16.90000000,17.84000000,606150.97000000,1651708799999,10536211.35020000,4753,301861.96000000,5245908.72920000,0
2022-05-05,17.87000000,19.30000000,16.54000000,17.24000000,1226798.25000000,1651795199999,22038213.30570000,10781,605113.02000000,10868394.38510000,0
2022-05-06,17.22000000,18.08000000,16.42000000,16.85000000,404324.87000000,1651881599999,6880153.42960000,3626,213446.55000000,3632781.88840000,0
2022-05-07,16.86000000,16.95000000,16.20000000,16.40000000,246802.26000000,1651967999999,4120950.36930000,2005,124418.95000000,2078339.23180000,0
2022-05-08,16.38000000,16.45000000,14.00000000,14.83000000,559440.14000000,1652054399999,8572967.57960000,4019,265707.93000000,4078764.69440000,0
2022-05-09,14.85000000,15.28000000,12.06000000,12.15000000,2232174.20000000,1652140799999,30581760.63650000,13973,1106956.31000000,15159132.13680000,0
2022-05-10,12.12000000,13.99000000,11.68000000,12.19000000,1012046.45000000,1652227199999,12968157.40770000,6529,533291.72000000,6843810.52480000,0
2022-05-11,12.19000000,12.46000000,7.75000000,7.98000000,1149148.82000000,1652313599999,11483801.93940000,7176,553234.57000000,5556900.15820000,0
2022-05-12,8.09000000,8.59000000,6.00000000,7.94000000,3374410.55000000,1652399999999,27294797.43750000,5850,1676703.33000000,13700311.38610000,0
2022-05-13,7.92000000,9.80000000,7.83000000,8.84000000,696680.80000000,1652486399999,6344016.90590000,5080,337678.54000000,3066447.64180000,0
2022-05-14,8.83000000,9.10000000,8.01000000,8.88000000,350111.81000000,1652572799999,2978574.61830000,2019,181320.07000000,1539854.69780000,0
2022-05-15,8.88000000,9.37000000,8.58000000,9.34000000,348358.68000000,1652659199999,3125554.81530000,2310,162928.44000000,1463050.24670000,0
2022-05-16,9.37000000,9.38000000,8.33000000,8.81000000,390029.07000000,1652745599999,3467843.21480000,2619,195595.22000000,1740261.09760000,0
2022-05-17,8.82000000,10.10000000,8.82000000,9.96000000,963138.75000000,1652831999999,9284088.35040000,4672,466130.60000000,4494720.77410000,0
2022-05-18,9.92000000,10.46000000,8.98000000,9.07000000,959180.67000000,1652918399999,9428755.34510000,4666,450021.62000000,4417548.38140000,0
2022-05-19,9.07000000,9.80000000,9.04000000,9.53000000,381940.32000000,1653004799999,3597975.91310000,1855,201878.53000000,1900204.98610000,0
2022-05-20,9.47000000,9.94000000,9.09000000,9.43000000,535776.02000000,1653091199999,5097773.40590000,2526,298680.88000000,2844655.13370000,0
2022-05-21,9.43000000,10.34000000,9.42000000,9.61000000,486689.35000000,1653177599999,4702636.29770000,2303,255135.06000000,2467591.19710000,0
2022-05-22,9.63000000,9.91000000,9.56000000,9.83000000,188344.29000000,1653263999999,1834159.83340000,939,99213.32000000,964960.16470000,0
2022-05-23,9.83000000,10.40000000,9.59000000,9.86000000,490124.96000000,1653350399999,4914223.89280000,2587,253362.68000000,2540987.94130000,0
2022-05-24,9.79000000,10.26000000,9.49000000,9.98000000,447477.44000000,1653436799999,4445234.59660000,2284,210717.11000000,2088623.00600000,0
2022-05-25,9.99000000,10.83000000,9.87000000,10.18000000,424696.97000000,1653523199999,4308132.50270000,2339,214719.70000000,2177446.39410000,0
2022-05-26,10.16000000,10.50000000,9.11000000,9.37000000,566776.54000000,1653609599999,5526148.97330000,2762,274486.27000000,2669884.62930000,0
2022-05-27,9.37000000,9.52000000,8.92000000,9.11000000,450103.56000000,1653695999999,4119984.91190000,2102,227295.15000000,2080328.97800000,0
2022-05-28,9.13000000,9.38000000,8.65000000,9.28000000,308235.18000000,1653782399999,2826661.92570000,1526,154201.22000000,1414582.98130000,0
2022-05-29,9.28000000,9.35000000,8.96000000,9.32000000,378128.10000000,1653868799999,3476214.61020000,1491,175291.68000000,1611249.03590000,0
2022-05-30,9.32000000,10.33000000,9.10000000,10.23000000,835977.01000000,1653955199999,8238006.11260000,4176,421355.66000000,4155334.33100000,0
