timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2021-10-22,2.73100000,10.00000000,2.73100000,4.61700000,10385820.50000000,1634947199999,55580909.74860000,185542,5036070.90000000,26956484.88940000,0
2021-10-23,4.60600000,4.88900000,3.73500000,3.78800000,2406060.40000000,1635033599999,10317236.88640000,41952,1094157.90000000,4709961.23240000,0
2021-10-24,3.78400000,3.95200000,3.24600000,3.43000000,1631884.60000000,1635119999999,5778313.91100000,23913,714772.10000000,2543190.43760000,0
2021-10-25,3.42200000,4.09800000,3.28700000,3.44600000,3136349.10000000,1635206399999,11476652.58110000,50032,1500003.20000000,5512069.36140000,0
2021-10-26,3.44600000,3.99800000,3.35000000,3.52900000,2562712.40000000,1635292799999,9326949.59740000,43128,1291242.00000000,4712046.37310000,0
2021-10-27,3.52900000,3.73400000,2.95800000,2.97500000,1509008.10000000,1635379199999,4941288.38680000,26206,623062.20000000,2045520.25240000,0
2021-10-28,2.97900000,3.15400000,2.79500000,2.94300000,1608646.80000000,1635465599999,4792160.52780000,26715,762882.60000000,2274471.17460000,0
2021-10-29,2.94900000,3.17400000,2.91200000,3.06000000,1014057.30000000,1635551999999,3045514.54570000,19764,484538.90000000,1456785.74780000,0
2021-10-30,3.06300000,3.28500000,2.95500000,2.99200000,812690.60000000,1635638399999,2505296.82220000,17782,398294.20000000,1230609.72160000,0
2021-10-31,2.99400000,3.01900000,2.81100000,2.92500000,630906.70000000,1635724799999,1842728.87380000,11820,276652.90000000,807622.85010000,0
2021-11-01,2.92600000,3.50900000,2.85300000,3.26300000,1097185.40000000,1635811199999,3527337.57430000,27202,555234.10000000,1781174.76650000,0
2021-11-02,3.26300000,3.81900000,3.16200000,3.22100000,1444559.60000000,1635897599999,5003097.29340000,30249,673665.50000000,2342717.89640000,0
2021-11-03,3.22600000,3.58100000,3.14400000,3.29200000,770581.20000000,1635983999999,2559174.91290000,17520,387961.00000000,1295488.85800000,0
2021-11-04,3.28700000,3.39800000,2.90500000,3.05800000,628693.50000000,1636070399999,1948480.62850000,12492,272294.60000000,848017.20130000,0
2021-11-05,3.05500000,3.05500000,2.82000000,2.86600000,631497.00000000,1636156799999,1841157.00840000,9335,286993.50000000,834817.02030000,0
2021-11-06,2.86200000,2.94700000,2.81200000,2.93700000,396798.20000000,1636243199999,1139942.38730000,6482,206938.40000000,595561.64490000,0
2021-11-07,2.94100000,3.10200000,2.86900000,2.88700000,423830.00000000,1636329599999,1247318.05580000,7484,202381.30000000,596064.41660000,0
2021-11-08,2.89100000,2.99800000,2.78000000,2.91300000,473425.20000000,1636415999999,1356139.00750000,6875,223002.00000000,640025.07240000,0
2021-11-09,2.91300000,3.05300000,2.77600000,2.80400000,370159.10000000,1636502399999,1066723.28190000,7007,162669.30000000,470106.51850000,0
2021-11-10,2.80700000,2.90600000,2.55300000,2.58900000,613173.80000000,1636588799999,1695722.68710000,8429,272654.70000000,754910.26880000,0
2021-11-11,2.58600000,2.69400000,2.49000000,2.55800000,625467.50000000,1636675199999,1603828.79660000,7955,292559.00000000,751345.56090000,0
2021-11-12,2.56100000,2.64000000,2.32100000,2.39500000,548090.30000000,1636761599999,1340466.84120000,6945,238085.10000000,581187.43360000,0
2021-11-13,2.41000000,2.62800000,2.33600000,2.61700000,719576.90000000,1636847999999,1794158.25710000,10597,363358.90000000,907256.27540000,0
2021-11-14,2.61900000,2.75200000,2.46200000,2.53000000,1079277.40000000,1636934399999,2795569.62600000,15524,516274.00000000,1337012.78140000,0
