timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2021-06-18,0.20480000,0.24600000,0.15230000,0.17970000,510652.00000000,1624060799999,92587.71190000,1141,241041.00000000,44067.62310000,0
2021-06-19,0.17910000,0.18670000,0.17020000,0.17440000,1050473.00000000,1624147199999,183971.32850000,990,581225.00000000,100881.58400000,0
2021-06-20,0.17180000,0.18020000,0.16030000,0.17460000,345983.00000000,1624233599999,59301.96750000,638,123033.00000000,21167.43840000,0
2021-06-21,0.17460000,0.17550000,0.13320000,0.13540000,669823.00000000,1624319999999,99746.34450000,907,277398.00000000,41923.69740000,0
2021-06-22,0.13510000,0.14450000,0.11570000,0.13240000,578691.00000000,1624406399999,76516.62410000,490,246022.00000000,32603.39200000,0
2021-06-23,0.13180000,0.17000000,0.12880000,0.14310000,1283187.00000000,1624492799999,188267.76800000,942,272052.00000000,39598.25120000,0
2021-06-24,0.14310000,0.15100000,0.13690000,0.14730000,897750.00000000,1624579199999,129108.89600000,815,527665.00000000,76034.75030000,0
2021-06-25,0.14730000,0.14840000,0.12720000,0.12950000,502426.00000000,1624665599999,66527.17170000,560,184564.00000000,24307.18570000,0
2021-06-26,0.12760000,0.13600000,0.12200000,0.13400000,1129500.00000000,1624751999999,144205.30470000,737,313943.00000000,40196.92310000,0
2021-06-27,0.13470000,0.13720000,0.12650000,0.13720000,584009.00000000,1624838399999,76801.82710000,540,239417.00000000,31475.84820000,0
2021-06-28,0.13660000,0.15490000,0.13550000,0.14550000,830290.00000000,1624924799999,117788.39750000,865,372967.00000000,53261.09370000,0
2021-06-29,0.14510000,0.15510000,0.14380000,0.14610000,800664.00000000,1625011199999,118787.15230000,926,385009.00000000,57495.50340000,0
2021-06-30,0.14500000,0.15150000,0.13800000,0.14840000,1151619.00000000,1625097599999,165882.82750000,1309,579144.00000000,83964.86180000,0
2021-07-01,0.14730000,0.15150000,0.13470000,0.13750000,1227626.00000000,1625183999999,172990.08520000,1053,475992.00000000,66573.81270000,0
2021-07-02,0.13770000,0.14570000,0.13000000,0.13520000,1501613.00000000,1625270399999,202120.78630000,1348,883989.00000000,120193.75340000,0
2021-07-03,0.13520000,0.14590000,0.13270000,0.14060000,946172.00000000,1625356799999,131643.77480000,766,476630.00000000,66328.65740000,0
2021-07-04,0.14080000,0.16820000,0.13650000,0.15010000,3371465.00000000,1625443199999,521744.23590000,4219,1551847.00000000,239878.41050000,0
2021-07-05,0.14930000,0.15220000,0.13710000,0.14150000,1671688.00000000,1625529599999,242586.38470000,1855,772351.00000000,112512.23890000,0
2021-07-06,0.14290000,0.15860000,0.14290000,0.14880000,3323624.00000000,1625615999999,497444.57480000,3067,1141842.00000000,172480.26360000,0
2021-07-07,0.14930000,0.17850000,0.14730000,0.16000000,4720400.00000000,1625702399999,775797.72350000,4179,2270164.00000000,372920.87170000,0
2021-07-08,0.15880000,0.18590000,0.15070000,0.15290000,28212295.00000000,1625788799999,4715316.12760000,48468,13427528.00000000,2249582.44050000,0
2021-07-09,0.15290000,0.16000000,0.14510000,0.15530000,7224972.00000000,1625875199999,1093885.37830000,12556,3218541.00000000,488438.86840000,0
2021-07-10,0.15520000,0.19280000,0.15400000,0.19080000,16778990.00000000,1625961599999,2950614.23680000,21752,8768646.00000000,1545962.29600000,0
2021-07-11,0.19020000,0.19490000,0.17370000,0.17660000,11512125.00000000,1626047999999,2105742.61970000,14456,4918438.00000000,902576.57530000,0
2021-07-12,0.17700000,0.18370000,0.15970000,0.16500000,7915310.00000000,1626134399999,1355862.76790000,12673,3839179.00000000,658397.70520000,0
2021-07-13,0.16470000,0.21710000,0.16170000,0.20520000,21100244.00000000,1626220799999,3901876.85020000,25437,9992120.00000000,1847851.31830000,0
2021-07-14,0.20540000,0.26010000,0.18500000,0.25220000,53506651.00000000,1626307199999,11667139.60680000,53982,24257891.00000000,5301841.80830000,0
2021-07-15,0.25150000,0.34000000,0.24470000,0.25290000,56445410.00000000,1626393599999,16693822.53060000,77668,28914132.00000000,8531986.48760000,0
2021-07-16,0.25230000,0.27130000,0.20740000,0.21160000,21745868.00000000,1626479999999,5195017.39920000,27214,9760648.00000000,2316698.61000000,0
2021-07-17,0.21180000,0.21440000,0.19010000,0.19690000,16863933.00000000,1626566399999,3382307.71500000,16730,8040960.00000000,1611643.14120000,0
2021-07-18,0.19640000,0.28200000,0.19610000,0.26330000,59833472.00000000,1626652799999,14794708.11850000,67759,29992399.00000000,7398707.59040000,0
2021-07-19,0.26320000,0.28000000,0.22300000,0.22730000,33815099.00000000,1626739199999,8605741.00470000,43287,16746093.00000000,4267433.13310000,0
2021-07-20,0.22730000,0.26100000,0.19630000,0.24170000,38021136.00000000,1626825599999,8735174.20950000,41581,18683333.00000000,4300294.72870000,0
2021-07-21,0.24190000,0.29630000,0.23900000,0.26910000,31383533.00000000,1626911999999,8263131.49330000,41845,15760859.00000000,4160033.88950000,0
2021-07-22,0.26880000,0.31220000,0.26410000,0.26920000,25430650.00000000,1626998399999,7406784.40930000,35843,12489175.00000000,3650051.32510000,0
2021-07-23,0.27000000,0.35090000,0.26490000,0.33440000,27054593.00000000,1627084799999,8214794.14290000,38196,13574705.00000000,4124950.33690000,0
2021-07-24,0.33520000,0.39100000,0.32400000,0.34820000,29101786.00000000,1627171199999,10280083.11280000,49097,14325503.00000000,5054912.61550000,0
2021-07-25,0.34760000,0.43240000,0.32430000,0.39730000,31911148.00000000,1627257599999,12412669.71800000,48525,14616548.00000000,5702222.94700000,0
2021-07-26,0.39730000,0.41230000,0.31360000,0.32740000,21752947.00000000,1627343999999,7926762.59190000,28632,10409022.00000000,3811302.24480000,0
2021-07-27,0.32680000,0.40700000,0.30000000,0.35650000,28765913.00000000,1627430399999,10268144.41950000,40372,13828668.00000000,4954537.14560000,0
2021-07-28,0.35580000,0.38500000,0.33070000,0.33780000,18892256.00000000,1627516799999,6695835.05980000,24712,8844733.00000000,3144699.44000000,0
2021-07-29,0.33920000,0.36000000,0.32300000,0.33650000,11328889.00000000,1627603199999,3878812.15830000,15536,5364584.00000000,1842700.22420000,0
2021-07-30,0.33650000,0.34160000,0.30730000,0.32770000,7518363.00000000,1627689599999,2424059.85360000,11942,3218066.00000000,1039924.09480000,0
2021-07-31,0.32670000,0.34160000,0.31220000,0.32220000,8734936.00000000,1627775999999,2850578.15920000,13222,3498463.00000000,1144096.56710000,0
2021-08-01,0.32330000,0.32730000,0.29430000,0.30740000,10185810.00000000,1627862399999,3191394.33780000,12253,4978831.00000000,1564982.41590000,0
2021-08-02,0.30560000,0.33920000,0.29690000,0.30120000,10466812.00000000,1627948799999,3369373.34520000,13181,4732870.00000000,1526167.54360000,0
2021-08-03,0.30130000,0.31330000,0.28750000,0.29270000,5822508.00000000,1628035199999,1728879.88900000,8009,2647950.00000000,787005.66920000,0
2021-08-04,0.29420000,0.32490000,0.28850000,0.32460000,6711550.00000000,1628121599999,2069164.21100000,10272,3202312.00000000,986781.59240000,0
2021-08-05,0.32470000,0.32510000,0.29790000,0.31410000,8903469.00000000,1628207999999,2774668.01740000,10595,3881561.00000000,1211181.34310000,0
2021-08-06,0.31400000,0.32500000,0.30350000,0.31870000,7724573.00000000,1628294399999,2420673.50370000,11221,4204365.00000000,1318309.68960000,0
2021-08-07,0.32010000,0.33990000,0.30450000,0.32500000,9508023.00000000,1628380799999,3103051.15080000,15430,4487135.00000000,1463818.42840000,0
2021-08-08,0.32500000,0.33460000,0.29710000,0.30560000,6124336.00000000,1628467199999,1937863.16250000,10239,2907124.00000000,920931.52200000,0
2021-08-09,0.30560000,0.32120000,0.29420000,0.30920000,5837921.00000000,1628553599999,1812476.63720000,8660,2649503.00000000,824045.25140000,0
2021-08-10,0.30910000,0.35230000,0.30740000,0.33910000,14657921.00000000,1628639999999,4868153.57990000,21998,7381853.00000000,2454542.69240000,0
2021-08-11,0.33850000,0.36000000,0.32660000,0.32940000,9416667.00000000,1628726399999,3252454.91690000,16919,4170350.00000000,1440637.40780000,0
2021-08-12,0.32940000,0.34790000,0.30300000,0.32080000,8732504.00000000,1628812799999,2814732.96490000,16481,4689263.00000000,1514413.91350000,0
2021-08-13,0.32090000,0.34410000,0.31560000,0.33570000,7151979.00000000,1628899199999,2381596.12450000,12058,3655894.00000000,1218959.86610000,0
2021-08-14,0.33650000,0.34220000,0.31650000,0.33700000,5380351.00000000,1628985599999,1773434.74360000,10148,2771724.00000000,915045.60940000,0
2021-08-15,0.33710000,0.48350000,0.32540000,0.41840000,92356641.00000000,1629071999999,39507050.58040000,138260,45588035.00000000,19502881.08010000,0
2021-08-16,0.41850000,0.43600000,0.36870000,0.39120000,24878005.00000000,1629158399999,10231214.79240000,36375,11927237.00000000,4916214.68550000,0
2021-08-17,0.39100000,0.43230000,0.34950000,0.35470000,14905598.00000000,1629244799999,5852555.03000000,16051,7054697.00000000,2778590.36780000,0
2021-08-18,0.35480000,0.37770000,0.33530000,0.36400000,9702836.00000000,1629331199999,3481937.19150000,12704,4852285.00000000,1741759.34920000,0
2021-08-19,0.36400000,0.39200000,0.34940000,0.38240000,15729506.00000000,1629417599999,5774595.77640000,20591,8007311.00000000,2942541.55900000,0
2021-08-20,0.38240000,0.39230000,0.36270000,0.38400000,7717236.00000000,1629503999999,2923458.76040000,12489,3804893.00000000,1439530.82730000,0
2021-08-21,0.38380000,0.46280000,0.38270000,0.40250000,29077267.00000000,1629590399999,12495267.91760000,44205,13797823.00000000,5922695.97850000,0
2021-08-22,0.40250000,0.41750000,0.38450000,0.40120000,10891733.00000000,1629676799999,4384585.43960000,15855,5395023.00000000,2174421.37100000,0
2021-08-23,0.40310000,0.43100000,0.39900000,0.41150000,11052446.00000000,1629763199999,4538591.18770000,17788,5668863.00000000,2328615.92360000,0
2021-08-24,0.41180000,0.41460000,0.35100000,0.36380000,9203512.00000000,1629849599999,3516021.65880000,17681,4340273.00000000,1659946.36360000,0
2021-08-25,0.36350000,0.43960000,0.35250000,0.41490000,21059769.00000000,1629935999999,8482440.03820000,36198,10623284.00000000,4281724.44480000,0
2021-08-26,0.41500000,0.47220000,0.38940000,0.38990000,36026389.00000000,1630022399999,15360005.09550000,61501,17495808.00000000,7467538.54870000,0
2021-08-27,0.39070000,0.41020000,0.35770000,0.40740000,20881162.00000000,1630108799999,8061578.10310000,31593,10588123.00000000,4104409.92700000,0
2021-08-28,0.40740000,0.46600000,0.39950000,0.46070000,18178551.00000000,1630195199999,7792044.60590000,35141,8996819.00000000,3861843.79750000,0
2021-08-29,0.46040000,0.52370000,0.44320000,0.47860000,50779161.00000000,1630281599999,24722187.50630000,80341,25968838.00000000,12638968.20520000,0
2021-08-30,0.47850000,0.53900000,0.43320000,0.43820000,21770798.00000000,1630367999999,10664432.37500000,42060,10625451.00000000,5219168.78960000,0
2021-08-31,0.43790000,0.45910000,0.41950000,0.43200000,11687855.00000000,1630454399999,5161292.81550000,22085,5958803.00000000,2632452.26380000,0
2021-09-01,0.43080000,0.45500000,0.41050000,0.44430000,10683711.00000000,1630540799999,4666176.11560000,17780,5172662.00000000,2260856.04010000,0
2021-09-02,0.44410000,0.45810000,0.42600000,0.43220000,5960179.00000000,1630627199999,2635254.69420000,12648,3041474.00000000,1345686.59640000,0
2021-09-03,0.43220000,0.44870000,0.41650000,0.43310000,7389446.00000000,1630713599999,3211380.57060000,13900,3508920.00000000,1525995.75660000,0
2021-09-04,0.43310000,0.46720000,0.42560000,0.44270000,10673766.00000000,1630799999999,4786514.70950000,22716,5346812.00000000,2398371.74860000,0
2021-09-05,0.44290000,0.45430000,0.43250000,0.45430000,5054515.00000000,1630886399999,2242757.17220000,10306,2738245.00000000,1214832.00970000,0
2021-09-06,0.45400000,0.46860000,0.40200000,0.43180000,9605632.00000000,1630972799999,4225134.35080000,17234,4766017.00000000,2095612.63230000,0
2021-09-07,0.43230000,0.43600000,0.27140000,0.32560000,23864513.00000000,1631059199999,8565267.92250000,31143,11328080.00000000,4059990.78370000,0
2021-09-08,0.32540000,0.34500000,0.28700000,0.32900000,20926183.00000000,1631145599999,6644931.39530000,27003,10125917.00000000,3214380.99850000,0
2021-09-09,0.32930000,0.36830000,0.31340000,0.32030000,13124327.00000000,1631231999999,4335662.22960000,18364,6546220.00000000,2165957.61880000,0
2021-09-10,0.32030000,0.37590000,0.31050000,0.34050000,31249622.00000000,1631318399999,10720416.60620000,39364,16081039.00000000,5519560.67530000,0
2021-09-11,0.34070000,0.35800000,0.32520000,0.33870000,12534159.00000000,1631404799999,4280401.20000000,15841,6440418.00000000,2201619.02760000,0
2021-09-12,0.33890000,0.35990000,0.31490000,0.33180000,10783388.00000000,1631491199999,3674486.72510000,13317,5312031.00000000,1812224.62680000,0
