timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2021-11-04,0.00000036,0.00023000,0.00000036,0.00005386,18741897.00000000,1636070399999,1077.76487228,170943,8482960.00000000,486.35639290,0
2021-11-05,0.00005384,0.00005539,0.00004115,0.00004260,5927290.00000000,1636156799999,274.49547989,49572,2733395.00000000,125.83016958,0
2021-11-06,0.00004272,0.00004750,0.00003550,0.00003578,3431137.00000000,1636243199999,139.50510644,22076,1458742.00000000,59.56990017,0
2021-11-07,0.00003582,0.00003818,0.00003262,0.00003289,1794612.00000000,1636329599999,63.99992238,9627,742107.00000000,26.47346564,0
2021-11-08,0.00003277,0.00003277,0.00002741,0.00002837,2745293.00000000,1636415999999,79.95520687,10726,1208456.00000000,35.17300801,0
2021-11-09,0.00002844,0.00003113,0.00002633,0.00002772,2062851.00000000,1636502399999,59.11264719,7229,972254.00000000,27.88908829,0
2021-11-10,0.00002770,0.00003398,0.00002758,0.00003019,2978290.00000000,1636588799999,89.79052491,10709,1486665.00000000,44.77903568,0
2021-11-11,0.00003029,0.00003044,0.00002871,0.00002907,884036.00000000,1636675199999,26.01832689,3500,424929.00000000,12.51451920,0
2021-11-12,0.00002918,0.00002918,0.00002640,0.00002777,1814116.00000000,1636761599999,49.94789401,5866,978258.00000000,26.96801725,0
2021-11-13,0.00002784,0.00004500,0.00002759,0.00003563,10410004.00000000,1636847999999,383.70215772,44065,5310317.00000000,195.15098686,0
2021-11-14,0.00003563,0.00003596,0.00003223,0.00003246,1911968.00000000,1636934399999,64.62930633,8849,913881.00000000,30.82023884,0
2021-11-15,0.00003246,0.00003570,0.00003083,0.00003114,1236570.00000000,1637020799999,40.30504107,4563,624214.00000000,20.41872035,0
2021-11-16,0.00003111,0.00003409,0.00002997,0.00003177,1393697.00000000,1637107199999,43.71213866,4724,663925.00000000,20.86660207,0
2021-11-17,0.00003176,0.00004454,0.00003154,0.00003715,4764684.00000000,1637193599999,179.90518514,24858,2377711.00000000,89.83970650,0
2021-11-18,0.00003734,0.00004358,0.00003529,0.00004231,3417007.00000000,1637279999999,134.58928218,18526,1702549.00000000,67.15970726,0
2021-11-19,0.00004245,0.00005375,0.00003964,0.00004315,4231604.00000000,1637366399999,191.54183537,23212,2281998.00000000,103.59551792,0
2021-11-20,0.00004324,0.00006500,0.00004178,0.00005578,7087456.00000000,1637452799999,384.94295818,46659,3799391.00000000,206.52351522,0
2021-11-21,0.00005583,0.00007767,0.00005060,0.00005356,9844257.00000000,1637539199999,622.41556334,64991,5089108.00000000,323.01272684,0
2021-11-22,0.00005338,0.00005957,0.00004813,0.00005099,4355709.00000000,1637625599999,224.90605385,25362,2143734.00000000,110.84626509,0
2021-11-23,0.00005099,0.00006500,0.00005099,0.00005860,4719151.00000000,1637711999999,279.41883569,36443,2402179.00000000,142.34188092,0
2021-11-24,0.00005859,0.00008000,0.00005768,0.00007283,4623359.00000000,1637798399999,315.29475247,53307,2370128.00000000,162.11095845,0
2021-11-25,0.00007277,0.00008489,0.00006025,0.00006651,5674682.00000000,1637884799999,401.38009578,55905,2863673.00000000,201.85445368,0
2021-11-26,0.00006651,0.00007483,0.00005560,0.00006122,4509750.00000000,1637971199999,284.20860225,41818,2201601.00000000,139.14616654,0
2021-11-27,0.00006123,0.00006314,0.00005426,0.00005667,2457992.00000000,1638057599999,143.08696676,19407,1188318.00000000,69.37620298,0
2021-11-28,0.00005674,0.00006909,0.00005186,0.00006362,6323632.00000000,1638143999999,397.18678976,51523,2463547.00000000,155.12327003,0
2021-11-29,0.00006350,0.00007279,0.00005980,0.00005980,3546969.00000000,1638230399999,232.66181155,40213,1771160.00000000,116.49986332,0
2021-11-30,0.00005978,0.00006501,0.00005669,0.00006381,1723665.00000000,1638316799999,103.28613911,20844,901705.00000000,54.17377654,0
2021-12-01,0.00006354,0.00006800,0.00005682,0.00005774,3806478.00000000,1638403199999,228.14257727,30573,2496818.00000000,147.48279119,0
2021-12-02,0.00005775,0.00005951,0.00005405,0.00005474,1840644.00000000,1638489599999,102.60353809,21060,951409.00000000,53.10041460,0
2021-12-03,0.00005474,0.00005839,0.00005191,0.00005297,1851949.00000000,1638575999999,99.73001143,28262,858880.00000000,46.36610348,0
2021-12-04,0.00005272,0.00005272,0.00004264,0.00004931,3519645.00000000,1638662399999,169.10148978,44114,1540281.00000000,74.47173622,0
2021-12-05,0.00004948,0.00005013,0.00004363,0.00004385,1315905.00000000,1638748799999,61.45748217,21853,605674.00000000,28.32614863,0
2021-12-06,0.00004384,0.00004632,0.00003976,0.00004581,1590075.00000000,1638835199999,67.69818428,18192,798989.00000000,34.11497213,0
2021-12-07,0.00004580,0.00004594,0.00004131,0.00004226,1035545.00000000,1638921599999,44.85446950,11599,478767.00000000,20.74940605,0
2021-12-08,0.00004214,0.00005470,0.00004140,0.00005078,3437582.00000000,1639007999999,165.19310497,49250,1869031.00000000,89.92099082,0
2021-12-09,0.00005081,0.00005375,0.00004625,0.00004721,1951958.00000000,1639094399999,97.23025345,25611,961596.00000000,48.14676690,0
2021-12-10,0.00004741,0.00004815,0.00004440,0.00004486,849209.00000000,1639180799999,39.12674657,10027,423301.00000000,19.54174024,0
2021-12-11,0.00004474,0.00004589,0.00004360,0.00004488,697987.00000000,1639267199999,31.19909351,7768,359514.00000000,16.08613120,0
2021-12-12,0.00004493,0.00004909,0.00004446,0.00004487,845877.00000000,1639353599999,39.10763476,12200,427008.00000000,19.73545318,0
2021-12-13,0.00004487,0.00004523,0.00004112,0.00004241,1181397.00000000,1639439999999,50.72038321,10108,543217.00000000,23.33595473,0
2021-12-14,0.00004242,0.00004367,0.00004005,0.00004038,882304.00000000,1639526399999,36.53984360,7593,412174.00000000,17.10031755,0
2021-12-15,0.00004036,0.00004325,0.00003970,0.00004207,1342540.00000000,1639612799999,55.12688185,10044,681062.00000000,28.02580109,0
2021-12-16,0.00004188,0.00004513,0.00004080,0.00004204,918769.00000000,1639699199999,39.38422066,10526,471780.00000000,20.26391608,0
2021-12-17,0.00004211,0.00004251,0.00004043,0.00004151,637103.00000000,1639785599999,26.34798271,5044,297272.00000000,12.29028276,0
2021-12-18,0.00004149,0.00004255,0.00004117,0.00004143,482030.00000000,1639871999999,20.13095767,3561,225118.00000000,9.41124470,0
2021-12-19,0.00004150,0.00004237,0.00004046,0.00004201,471893.00000000,1639958399999,19.37969831,3569,227959.00000000,9.37116821,0
2021-12-20,0.00004201,0.00004884,0.00004167,0.00004612,2190109.00000000,1640044799999,99.47848508,30022,1170530.00000000,53.20881587,0
2021-12-21,0.00004616,0.00004834,0.00004446,0.00004645,983480.00000000,1640131199999,45.66155036,13380,512489.00000000,23.83919025,0
2021-12-22,0.00004648,0.00004649,0.00004344,0.00004407,608277.00000000,1640217599999,27.00797614,5990,292054.00000000,12.99411430,0
2021-12-23,0.00004419,0.00004616,0.00004208,0.00004474,903825.00000000,1640303999999,39.56321339,8669,465131.00000000,20.29254601,0
2021-12-24,0.00004475,0.00004932,0.00004449,0.00004603,1293198.00000000,1640390399999,60.42007744,15134,700215.00000000,32.87452481,0
2021-12-25,0.00004603,0.00005398,0.00004588,0.00005350,1748842.00000000,1640476799999,89.55871387,20722,1015334.00000000,51.90153689,0
