timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2018-07-30,0.00001049,0.00001299,0.00000683,0.00000717,314147824.00000000,1532995199999,2536.34703972,37728,131022015.00000000,1058.70901703,0
2018-07-31,0.00000716,0.00000720,0.00000541,0.00000597,109068017.00000000,1533081599999,672.68433610,19063,42104483.00000000,259.11843852,0
2018-08-01,0.00000596,0.00000650,0.00000512,0.00000523,72488718.00000000,1533167999999,422.23267011,14795,25505616.00000000,149.04871781,0
2018-08-02,0.00000523,0.00000550,0.00000434,0.00000458,86432339.00000000,1533254399999,415.80100203,16078,35090363.00000000,168.86270476,0
2018-08-03,0.00000458,0.00000484,0.00000412,0.00000461,52113621.00000000,1533340799999,235.76098116,8572,22840326.00000000,103.51179933,0
2018-08-04,0.00000461,0.00000510,0.00000451,0.00000484,31305540.00000000,1533427199999,149.95999974,5733,12362776.00000000,59.45885653,0
2018-08-05,0.00000484,0.00000494,0.00000464,0.00000474,25371949.00000000,1533513599999,121.22153423,4043,10542429.00000000,50.43930005,0
2018-08-06,0.00000476,0.00000483,0.00000451,0.00000459,31183680.00000000,1533599999999,143.62270554,3794,13206469.00000000,60.90796451,0
2018-08-07,0.00000459,0.00000464,0.00000427,0.00000450,84006669.00000000,1533686399999,376.57582166,8578,38434128.00000000,172.31990860,0
2018-08-08,0.00000450,0.00000454,0.00000346,0.00000365,79227638.00000000,1533772799999,315.24992416,10744,37345192.00000000,148.69026546,0
2018-08-09,0.00000367,0.00000380,0.00000337,0.00000368,61859154.00000000,1533859199999,219.76317141,14902,30291416.00000000,107.85014108,0
2018-08-10,0.00000369,0.00000408,0.00000333,0.00000348,54018675.00000000,1533945599999,193.10132036,10139,25245249.00000000,90.32565574,0
2018-08-11,0.00000348,0.00000376,0.00000295,0.00000297,37209576.00000000,1534031999999,119.77079981,7828,16562455.00000000,53.51467845,0
2018-08-12,0.00000298,0.00000307,0.00000276,0.00000281,21268124.00000000,1534118399999,62.07332146,6550,10189469.00000000,29.80711920,0
2018-08-13,0.00000282,0.00000285,0.00000220,0.00000222,26687527.00000000,1534204799999,68.87233460,8238,9952273.00000000,26.01991457,0
2018-08-14,0.00000223,0.00000226,0.00000190,0.00000203,16145089.00000000,1534291199999,32.76594251,4178,5870654.00000000,11.90891934,0
2018-08-15,0.00000203,0.00000253,0.00000202,0.00000214,23926875.00000000,1534377599999,53.54346869,6805,10871021.00000000,24.28009578,0
2018-08-16,0.00000215,0.00000234,0.00000205,0.00000220,24399829.00000000,1534463999999,53.47492240,7026,12025250.00000000,26.38227209,0
2018-08-17,0.00000220,0.00000271,0.00000219,0.00000267,31110739.00000000,1534550399999,76.95044864,7174,16493489.00000000,40.94962115,0
2018-08-18,0.00000268,0.00000341,0.00000255,0.00000288,146776684.00000000,1534636799999,431.16465676,21873,67257325.00000000,197.59333212,0
2018-08-19,0.00000288,0.00000308,0.00000271,0.00000298,84128591.00000000,1534723199999,244.29645767,12797,39525076.00000000,114.98687021,0
2018-08-20,0.00000299,0.00000301,0.00000250,0.00000256,85498156.00000000,1534809599999,236.00878804,11476,39482826.00000000,109.05065564,0
2018-08-21,0.00000255,0.00000266,0.00000232,0.00000246,73750685.00000000,1534895999999,185.41591063,10309,35905940.00000000,90.33170779,0
2018-08-22,0.00000247,0.00000257,0.00000213,0.00000220,78872068.00000000,1534982399999,188.32001143,9984,38820288.00000000,92.81268145,0
2018-08-23,0.00000219,0.00000280,0.00000218,0.00000271,93771106.00000000,1535068799999,225.34467750,12510,45500430.00000000,109.41545836,0
2018-08-24,0.00000273,0.00000289,0.00000249,0.00000263,109898214.00000000,1535155199999,292.51945538,16382,52815661.00000000,140.69141478,0
2018-08-25,0.00000263,0.00000276,0.00000242,0.00000246,74094358.00000000,1535241599999,187.94751889,12441,34639471.00000000,87.97656863,0
2018-08-26,0.00000247,0.00000250,0.00000238,0.00000242,69379813.00000000,1535327999999,168.80060568,9138,35040434.00000000,85.31044377,0
2018-08-27,0.00000243,0.00000266,0.00000239,0.00000260,56488246.00000000,1535414399999,142.97316498,8042,28993570.00000000,73.59970866,0
2018-08-28,0.00000261,0.00000275,0.00000255,0.00000263,54888336.00000000,1535500799999,144.83768437,6875,26474380.00000000,69.95954174,0
2018-08-29,0.00000263,0.00000267,0.00000239,0.00000243,86846416.00000000,1535587199999,219.26296236,8790,40301878.00000000,101.73761697,0
2018-08-30,0.00000244,0.00000256,0.00000233,0.00000248,83318746.00000000,1535673599999,201.86984838,11291,41763890.00000000,101.28543795,0
2018-08-31,0.00000247,0.00000290,0.00000242,0.00000275,83549388.00000000,1535759999999,220.59553022,8408,42064453.00000000,110.86748461,0
2018-09-01,0.00000275,0.00000307,0.00000273,0.00000285,108156693.00000000,1535846399999,308.06048682,12319,52544211.00000000,149.94617273,0
2018-09-02,0.00000287,0.00000288,0.00000254,0.00000260,86257437.00000000,1535932799999,233.46248269,6898,41138253.00000000,111.41557148,0
2018-09-03,0.00000260,0.00000277,0.00000247,0.00000269,83466366.00000000,1536019199999,217.66432190,7515,40875995.00000000,106.49399093,0
2018-09-04,0.00000269,0.00000291,0.00000269,0.00000274,92714033.00000000,1536105599999,259.65390931,10090,49697344.00000000,139.53676300,0
2018-09-05,0.00000273,0.00000285,0.00000228,0.00000228,99405921.00000000,1536191999999,258.42719744,7988,47704009.00000000,124.84415424,0
2018-09-06,0.00000229,0.00000256,0.00000218,0.00000251,90808790.00000000,1536278399999,218.79570440,6619,47720021.00000000,115.11124699,0
2018-09-07,0.00000251,0.00000258,0.00000234,0.00000241,104507637.00000000,1536364799999,256.31855959,5436,52539312.00000000,128.93751304,0
2018-09-08,0.00000241,0.00000246,0.00000221,0.00000229,95035019.00000000,1536451199999,226.48496323,5742,46692974.00000000,111.36734688,0
2018-09-09,0.00000229,0.00000236,0.00000219,0.00000224,74566267.00000000,1536537599999,169.15395330,5109,37045443.00000000,84.01955014,0
2018-09-10,0.00000224,0.00000244,0.00000223,0.00000241,78167439.00000000,1536623999999,181.67313254,6034,40031060.00000000,93.09937089,0
2018-09-11,0.00000241,0.00000263,0.00000213,0.00000223,69681261.00000000,1536710399999,163.61915691,7914,33239739.00000000,78.28160539,0
2018-09-12,0.00000223,0.00000251,0.00000207,0.00000242,84175700.00000000,1536796799999,190.09441878,7211,40970198.00000000,92.78109012,0
2018-09-13,0.00000241,0.00000253,0.00000230,0.00000239,69678149.00000000,1536883199999,167.95896677,6486,35320256.00000000,85.18068770,0
2018-09-14,0.00000239,0.00000246,0.00000223,0.00000229,97765452.00000000,1536969599999,226.83636213,7061,47382938.00000000,110.11289395,0
2018-09-15,0.00000229,0.00000329,0.00000227,0.00000297,220649936.00000000,1537055999999,615.71424823,22999,105836669.00000000,294.39563318,0
2018-09-16,0.00000297,0.00000320,0.00000273,0.00000285,147487970.00000000,1537142399999,433.17891192,17620,68074359.00000000,200.39525188,0
2018-09-17,0.00000285,0.00000291,0.00000257,0.00000265,102802753.00000000,1537228799999,278.60137885,10742,48765425.00000000,132.32882675,0
2018-09-18,0.00000265,0.00000380,0.00000253,0.00000348,258558176.00000000,1537315199999,805.59153631,27782,121054317.00000000,378.16984379,0
2018-09-19,0.00000348,0.00000351,0.00000281,0.00000300,139560717.00000000,1537401599999,428.94341715,15998,62981400.00000000,193.43047139,0
2018-09-20,0.00000300,0.00000337,0.00000288,0.00000315,135936639.00000000,1537487999999,420.38641456,13966,67467003.00000000,208.77566376,0
2018-09-21,0.00000314,0.00000318,0.00000287,0.00000303,76673019.00000000,1537574399999,233.48838323,10214,36528059.00000000,111.45578926,0
2018-09-22,0.00000303,0.00000304,0.00000278,0.00000300,91477441.00000000,1537660799999,264.73587011,11973,47673781.00000000,138.08962467,0
2018-09-23,0.00000300,0.00000300,0.00000273,0.00000288,51415462.00000000,1537747199999,148.99536448,8106,24575179.00000000,71.39548793,0
2018-09-24,0.00000289,0.00000302,0.00000269,0.00000278,87487467.00000000,1537833599999,248.74321001,9764,42722236.00000000,121.65545410,0
2018-09-25,0.00000279,0.00000290,0.00000256,0.00000274,59821337.00000000,1537919999999,161.59777717,7763,29146778.00000000,79.00067365,0
2018-09-26,0.00000273,0.00000283,0.00000265,0.00000275,68374684.00000000,1538006399999,186.54991433,6644,36020046.00000000,98.33266720,0
2018-09-27,0.00000273,0.00000309,0.00000271,0.00000288,105187022.00000000,1538092799999,302.42446977,11829,52424331.00000000,150.77715629,0
2018-09-28,0.00000287,0.00000292,0.00000271,0.00000277,51403023.00000000,1538179199999,144.13809938,6628,25994847.00000000,73.00487109,0
2018-09-29,0.00000277,0.00000287,0.00000268,0.00000278,56554060.00000000,1538265599999,157.28056346,7207,26849047.00000000,74.82391845,0
2018-09-30,0.00000278,0.00000308,0.00000275,0.00000292,86234291.00000000,1538351999999,246.65993123,9040,45236329.00000000,129.45349402,0
2018-10-01,0.00000292,0.00000297,0.00000276,0.00000287,53175242.00000000,1538438399999,151.42298084,11660,25632097.00000000,72.99871810,0
2018-10-02,0.00000287,0.00000292,0.00000281,0.00000287,63828529.00000000,1538524799999,182.93611101,7484,33922122.00000000,97.31345807,0
2018-10-03,0.00000287,0.00000288,0.00000276,0.00000279,41624860.00000000,1538611199999,117.15372464,4769,21084507.00000000,59.38780773,0
2018-10-04,0.00000279,0.00000307,0.00000276,0.00000297,56002690.00000000,1538697599999,162.29200452,7834,29919940.00000000,86.81023354,0
2018-10-05,0.00000299,0.00000362,0.00000297,0.00000334,153248473.00000000,1538783999999,505.07658095,25533,79645394.00000000,262.45403927,0
2018-10-06,0.00000335,0.00000336,0.00000301,0.00000314,63327865.00000000,1538870399999,201.06930075,11996,29713573.00000000,94.49517006,0
2018-10-07,0.00000314,0.00000315,0.00000295,0.00000304,58161044.00000000,1538956799999,177.70794239,6458,28875930.00000000,88.30676445,0
2018-10-08,0.00000304,0.00000317,0.00000299,0.00000308,61833544.00000000,1539043199999,189.34733254,6675,29871018.00000000,91.57951008,0
2018-10-09,0.00000308,0.00000319,0.00000297,0.00000301,39848591.00000000,1539129599999,122.48863168,5571,18876349.00000000,58.08373657,0
2018-10-10,0.00000302,0.00000318,0.00000287,0.00000312,63807321.00000000,1539215999999,193.55197946,7479,33788542.00000000,102.60191305,0
2018-10-11,0.00000312,0.00000314,0.00000273,0.00000281,82899495.00000000,1539302399999,237.05400113,8644,41362227.00000000,118.35732391,0
2018-10-12,0.00000281,0.00000335,0.00000274,0.00000309,96824649.00000000,1539388799999,290.28634338,11517,49973549.00000000,149.89773967,0
2018-10-13,0.00000309,0.00000322,0.00000296,0.00000314,54162280.00000000,1539475199999,166.02924373,8098,28528590.00000000,87.67021922,0
2018-10-14,0.00000315,0.00000369,0.00000311,0.00000342,127243697.00000000,1539561599999,424.30230395,17894,63689994.00000000,212.30849541,0
2018-10-15,0.00000341,0.00000341,0.00000285,0.00000310,155979887.00000000,1539647999999,487.56757591,18381,75827175.00000000,237.34432611,0
2018-10-16,0.00000310,0.00000334,0.00000308,0.00000315,85696112.00000000,1539734399999,273.72998782,11363,44799184.00000000,143.17222576,0
2018-10-17,0.00000314,0.00000322,0.00000310,0.00000317,61556522.00000000,1539820799999,193.77863183,6410,29161445.00000000,91.91600296,0
2018-10-18,0.00000317,0.00000321,0.00000298,0.00000308,72860329.00000000,1539907199999,227.66512371,32664,36072207.00000000,112.89920486,0
2018-10-19,0.00000308,0.00000317,0.00000300,0.00000311,55537143.00000000,1539993599999,172.08892302,6748,29121685.00000000,90.36057225,0
2018-10-20,0.00000312,0.00000326,0.00000309,0.00000323,67773250.00000000,1540079999999,214.98353417,7291,34648658.00000000,109.93529561,0
2018-10-21,0.00000323,0.00000334,0.00000313,0.00000318,73765440.00000000,1540166399999,238.08737103,7874,36841750.00000000,119.03344314,0
2018-10-22,0.00000318,0.00000336,0.00000312,0.00000331,47794638.00000000,1540252799999,152.44369181,7136,25338579.00000000,81.01092386,0
2018-10-23,0.00000330,0.00000498,0.00000326,0.00000411,761071914.00000000,1540339199999,3346.03185249,87328,372647782.00000000,1638.88964724,0
2018-10-24,0.00000411,0.00000464,0.00000391,0.00000394,425647957.00000000,1540425599999,1808.62191168,54067,227578307.00000000,971.55629923,0
2018-10-25,0.00000393,0.00000447,0.00000388,0.00000419,247343187.00000000,1540511999999,1028.41686047,20470,138850426.00000000,579.73020611,0
2018-10-26,0.00000419,0.00000454,0.00000391,0.00000398,110289099.00000000,1540598399999,463.50721590,15022,47400089.00000000,200.94342272,0
2018-10-27,0.00000400,0.00000496,0.00000361,0.00000416,230326990.00000000,1540684799999,963.02670809,28070,103910819.00000000,439.22749857,0
2018-10-28,0.00000417,0.00000683,0.00000390,0.00000529,963138586.00000000,1540771199999,5299.98180753,95817,453344041.00000000,2497.10492047,0
2018-10-29,0.00000528,0.00000561,0.00000448,0.00000466,275946943.00000000,1540857599999,1368.48233369,33727,112851293.00000000,560.79676212,0
2018-10-30,0.00000465,0.00000490,0.00000430,0.00000435,135080498.00000000,1540943999999,624.50424292,18759,56525181.00000000,262.51445046,0
2018-10-31,0.00000436,0.00000452,0.00000415,0.00000439,65888504.00000000,1541030399999,287.78610293,9473,28094748.00000000,123.14656586,0
2018-11-01,0.00000439,0.00000477,0.00000430,0.00000444,71576562.00000000,1541116799999,326.47463622,12082,31553406.00000000,144.42969819,0
2018-11-02,0.00000444,0.00000491,0.00000438,0.00000462,106909771.00000000,1541203199999,499.16191833,17658,49482253.00000000,231.84115472,0
2018-11-03,0.00000459,0.00000462,0.00000432,0.00000447,50490345.00000000,1541289599999,224.67760837,8888,18099605.00000000,80.80168767,0
2018-11-04,0.00000448,0.00000452,0.00000392,0.00000406,88726406.00000000,1541375999999,366.04273018,11353,35257250.00000000,145.13275272,0
2018-11-05,0.00000406,0.00000412,0.00000385,0.00000388,43128348.00000000,1541462399999,171.50214250,8932,18806877.00000000,74.94961002,0
2018-11-06,0.00000387,0.00000425,0.00000366,0.00000401,100168415.00000000,1541548799999,395.63360314,16583,44717911.00000000,177.07491879,0
2018-11-07,0.00000403,0.00000448,0.00000385,0.00000419,246889342.00000000,1541635199999,1056.56326190,23731,137941890.00000000,593.95045595,0
2018-11-08,0.00000418,0.00000436,0.00000394,0.00000395,78803547.00000000,1541721599999,329.46426498,10098,37528789.00000000,158.79346874,0
2018-11-09,0.00000396,0.00000416,0.00000390,0.00000395,37982423.00000000,1541807999999,152.33305191,8323,16029494.00000000,64.42866464,0
2018-11-10,0.00000395,0.00000429,0.00000386,0.00000418,62318869.00000000,1541894399999,252.06738443,11877,30910745.00000000,125.15929445,0
2018-11-11,0.00000417,0.00000438,0.00000398,0.00000411,71306899.00000000,1541980799999,297.49687293,14447,29402485.00000000,123.38997817,0
2018-11-12,0.00000411,0.00000414,0.00000391,0.00000401,39867387.00000000,1542067199999,159.93014024,9127,14439936.00000000,57.99672389,0
2018-11-13,0.00000400,0.00000425,0.00000395,0.00000403,58046322.00000000,1542153599999,237.91516483,11760,27966230.00000000,115.00381535,0
