timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2021-02-02,0.05056000,0.05056000,0.03970000,0.04134000,4629740.40000000,1612310399999,196659.26850900,1006,1887905.60000000,81057.07770700,0
2021-02-03,0.04134000,0.05195000,0.04077000,0.04892000,9311846.70000000,1612396799999,420761.81873500,1580,4983023.60000000,224681.51021200,0
2021-02-04,0.04901000,0.08000000,0.04707000,0.07008000,63700367.10000000,1612483199999,4134707.71582900,10338,31546108.20000000,2043084.09072200,0
2021-02-05,0.06999000,0.07150000,0.05711000,0.06110000,18537185.50000000,1612569599999,1156699.32548100,4536,8071926.20000000,504921.41992400,0
2021-02-06,0.06136000,0.07662000,0.05811000,0.07529000,17945696.90000000,1612655999999,1207218.59409700,4212,9037238.30000000,613922.98155900,0
2021-02-07,0.07539000,0.11555000,0.06965000,0.10233000,47510792.20000000,1612742399999,4184795.40583000,9587,25171607.00000000,2226579.06536800,0
2021-02-08,0.10200000,0.11111000,0.08100000,0.10299000,33080258.90000000,1612828799999,3243242.98802800,7604,16917262.00000000,1676252.60589100,0
2021-02-09,0.10306000,0.10900000,0.08270000,0.09051000,18321937.30000000,1612915199999,1812791.78293800,5339,7791169.90000000,778377.48836500,0
2021-02-10,0.09196000,0.10630000,0.08700000,0.09490000,16196730.50000000,1613001599999,1558699.19185600,4240,7972790.50000000,772273.89280500,0
2021-02-11,0.09476000,0.09843000,0.08861000,0.09066000,5767406.90000000,1613087999999,539158.82447100,2115,2340139.00000000,219884.30726900,0
2021-02-12,0.09073000,0.09500000,0.07900000,0.09059000,11746803.80000000,1613174399999,1029095.20152700,2752,5457389.40000000,482103.50346400,0
2021-02-13,0.09059000,0.09336000,0.08532000,0.08636000,4463428.40000000,1613260799999,399831.73954700,1617,2275574.90000000,204261.87733300,0
2021-02-14,0.08624000,0.08639000,0.07260000,0.08100000,9024931.50000000,1613347199999,727411.09440500,2707,3679959.00000000,297392.84942000,0
2021-02-15,0.08059000,0.08364000,0.06123000,0.07323000,13203755.20000000,1613433599999,966657.45116300,3425,6762914.70000000,497854.71224700,0
2021-02-16,0.07294000,0.07736000,0.06599000,0.06929000,7196797.10000000,1613519999999,524701.82186700,2140,3956212.90000000,288352.71981500,0
2021-02-17,0.06956000,0.07163000,0.06163000,0.06364000,4673754.70000000,1613606399999,315371.93027800,1590,2364362.00000000,160042.92117000,0
2021-02-18,0.06395000,0.08324000,0.06317000,0.07599000,10245965.20000000,1613692799999,739762.60815900,2709,5532432.00000000,398113.53586200,0
2021-02-19,0.07669000,0.07692000,0.06871000,0.07083000,7259651.50000000,1613779199999,525859.71203600,1817,4054497.20000000,294049.68965400,0
2021-02-20,0.07055000,0.07741000,0.06510000,0.06961000,6464911.10000000,1613865599999,465207.16419500,2005,3077505.20000000,220507.50369700,0
2021-02-21,0.06961000,0.07640000,0.06859000,0.07159000,6512427.40000000,1613951999999,469015.98335400,1602,3539246.80000000,255757.26620000,0
2021-02-22,0.07165000,0.07812000,0.05920000,0.06840000,12171165.90000000,1614038399999,870337.99433300,2828,5086428.00000000,368357.14129200,0
2021-02-23,0.06826000,0.06826000,0.05304000,0.06119000,7551418.80000000,1614124799999,454809.64708500,2820,3718790.20000000,224581.13825800,0
2021-02-24,0.06124000,0.07705000,0.05895000,0.07186000,13758693.70000000,1614211199999,977364.83514600,4675,7706002.70000000,547531.73246300,0
2021-02-25,0.07196000,0.07390000,0.06360000,0.06415000,5495344.90000000,1614297599999,379222.41349700,2014,2645473.50000000,183090.75036300,0
2021-02-26,0.06415000,0.06843000,0.06276000,0.06610000,6434649.40000000,1614383999999,420439.83664600,1607,3714654.10000000,243004.77711400,0
2021-02-27,0.06601000,0.06819000,0.06433000,0.06562000,4607843.40000000,1614470399999,304370.51835900,905,2981136.90000000,196835.73400100,0
2021-02-28,0.06585000,0.06594000,0.05906000,0.06243000,5971106.70000000,1614556799999,374578.48162700,1021,3553785.00000000,223299.31435900,0
2021-03-01,0.06291000,0.06788000,0.06219000,0.06542000,4159730.40000000,1614643199999,269512.37712700,842,2029896.50000000,131538.60799200,0
2021-03-02,0.06571000,0.06810000,0.06327000,0.06447000,3677064.50000000,1614729599999,243059.59862000,872,1721657.40000000,113526.48634900,0
2021-03-03,0.06447000,0.06700000,0.06429000,0.06539000,3568112.60000000,1614815999999,233943.90782700,799,1353504.10000000,89004.71440800,0
2021-03-04,0.06539000,0.06650000,0.06224000,0.06537000,3864481.80000000,1614902399999,250514.31051000,767,2170096.70000000,141673.41401700,0
2021-03-05,0.06510000,0.06711000,0.06272000,0.06476000,2917719.40000000,1614988799999,189017.74624400,689,1835622.90000000,118919.73151600,0
2021-03-06,0.06478000,0.06890000,0.06408000,0.06627000,4386646.60000000,1615075199999,291279.10496100,954,1696314.60000000,113008.85664900,0
2021-03-07,0.06631000,0.06780000,0.06571000,0.06724000,2611250.70000000,1615161599999,174658.31548000,537,1303143.50000000,87145.14043800,0
2021-03-08,0.06773000,0.08260000,0.06750000,0.08260000,10489840.70000000,1615247999999,778010.08192000,2261,5920547.90000000,442187.06207300,0
2021-03-09,0.08260000,0.08260000,0.07304000,0.07622000,8343401.30000000,1615334399999,639204.27276300,1544,4268935.60000000,326262.92587100,0
