timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2021-09-09,3.00100000,16.41000000,3.00100000,12.97000000,18416725.80000000,1631231999999,253087130.57130000,741552,9050853.09000000,124687885.41994000,0
2021-09-10,12.97100000,14.45500000,9.82300000,10.40600000,3569685.84000000,1631318399999,42754013.64434000,108620,1619917.47000000,19440083.30442000,0
2021-09-11,10.43000000,12.75800000,10.43000000,10.92900000,1739716.86000000,1631404799999,20014794.77710000,48973,846200.58000000,9744087.63136000,0
2021-09-12,10.92500000,12.68900000,10.70000000,11.31500000,1288016.68000000,1631491199999,14911775.39867000,45999,604113.00000000,6981791.76386000,0
2021-09-13,11.27500000,11.46700000,9.11100000,10.39300000,1524335.54000000,1631577599999,15580842.69538000,43585,693166.87000000,7090810.90770000,0
2021-09-14,10.41300000,12.20000000,10.00000000,11.69300000,1511164.78000000,1631663999999,16935149.78216000,51435,781285.60000000,8747045.11591000,0
2021-09-15,11.68200000,12.49400000,11.03500000,11.59500000,1176239.02000000,1631750399999,13935921.95049000,37985,575254.35000000,6817226.99548000,0
2021-09-16,11.59800000,16.99000000,11.59700000,15.37200000,5615924.28000000,1631836799999,83578762.23896000,218747,2840881.30000000,42336709.78596000,0
2021-09-17,15.38800000,18.33500000,14.90400000,16.50000000,4168649.17000000,1631923199999,69807016.39715000,159180,2052039.37000000,34354775.92535000,0
2021-09-18,16.49900000,18.01300000,15.51000000,16.08400000,1675874.50000000,1632009599999,27991500.43774000,67916,847387.60000000,14180923.47407000,0
2021-09-19,16.08400000,16.35200000,13.86000000,14.25500000,1212605.51000000,1632095999999,17751172.41921000,48224,549849.74000000,8049848.64608000,0
2021-09-20,14.25500000,14.27600000,11.19200000,11.83900000,2235198.56000000,1632182399999,28246707.63879000,75268,1066036.03000000,13452808.09341000,0
2021-09-21,11.84900000,13.69900000,10.82900000,12.55500000,2262372.08000000,1632268799999,28665858.59257000,74205,1090064.62000000,13866400.37804000,0
2021-09-22,12.56600000,14.98000000,12.24700000,14.61300000,1785466.12000000,1632355199999,24232002.75358000,64058,888975.87000000,12062804.54666000,0
2021-09-23,14.64500000,14.95300000,13.11200000,14.08200000,997421.41000000,1632441599999,14012101.03119000,37960,466263.66000000,6566177.00440000,0
2021-09-24,14.09100000,14.14400000,11.11100000,12.12500000,1323032.45000000,1632527999999,16424913.16105000,41672,559072.22000000,6952606.65221000,0
2021-09-25,12.14200000,14.33700000,11.45700000,13.98400000,1532261.77000000,1632614399999,20443731.41220000,65248,765938.43000000,10221024.47427000,0
2021-09-26,13.99000000,19.66800000,12.83000000,19.29800000,6184440.39000000,1632700799999,103894835.03853000,272772,3166911.64000000,53279983.89498000,0
2021-09-27,19.33500000,22.92000000,18.72400000,20.97700000,5009958.76000000,1632787199999,104450702.40564000,228511,2472049.66000000,51517966.47294000,0
2021-09-28,20.97700000,23.60000000,19.28400000,22.55600000,3614910.21000000,1632873599999,76678846.61332000,163381,1727900.63000000,36620605.65826000,0
2021-09-29,22.56300000,26.88300000,21.81100000,26.74000000,3281741.14000000,1632959999999,81139857.89091000,179603,1665784.84000000,41193645.83064000,0
2021-09-30,26.74700000,27.86700000,23.11300000,23.57000000,2225134.22000000,1633046399999,56945057.52643000,111479,1073654.22000000,27523493.49577000,0
