timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2021-09-08,0.78350000,0.84610000,0.77000000,0.81600000,16992240.70000000,1631145599999,13703595.52751000,41198,10033881.70000000,8103168.01255000,0
2021-09-09,0.81600000,1.03000000,0.77500000,0.89580000,14070365.30000000,1631231999999,12681336.52007000,33926,6895668.70000000,6188849.65717000,0
2021-09-10,0.89580000,0.99000000,0.78740000,0.81800000,11342291.40000000,1631318399999,10240644.76509000,31647,5648513.90000000,5104671.86064000,0
2021-09-11,0.81960000,0.89000000,0.77430000,0.80330000,3958208.30000000,1631404799999,3275419.31120000,10642,1874737.60000000,1557236.09485000,0
2021-09-12,0.80330000,0.83840000,0.77600000,0.81090000,3727773.70000000,1631491199999,2976820.06208000,11574,1877571.20000000,1503266.79593000,0
2021-09-13,0.81360000,0.83000000,0.68030000,0.72130000,4160181.00000000,1631577599999,3028029.99606000,10755,2025433.30000000,1474875.11254000,0
2021-09-14,0.72040000,0.73280000,0.68770000,0.71940000,2108609.20000000,1631663999999,1499667.50461000,7336,1056180.40000000,751368.71521000,0
2021-09-15,0.71890000,0.79370000,0.71140000,0.75290000,9434238.50000000,1631750399999,7080208.43817000,25682,4775633.50000000,3584764.85419000,0
2021-09-16,0.75300000,0.82000000,0.70930000,0.77450000,34068171.90000000,1631836799999,25868977.28106000,114526,17130457.10000000,13013111.60626000,0
2021-09-17,0.77460000,1.38000000,0.75560000,1.00070000,179633209.50000000,1631923199999,194706658.32028000,628578,87248067.10000000,94679125.02528000,0
2021-09-18,1.00070000,1.06800000,0.89180000,0.92160000,32215836.20000000,1632009599999,31327797.68269000,151483,15280798.40000000,14909014.05904000,0
2021-09-19,0.92090000,0.93080000,0.83330000,0.84650000,9530384.50000000,1632095999999,8424643.49123000,49952,4469142.50000000,3952420.60143000,0
2021-09-20,0.84650000,1.07500000,0.76010000,0.85780000,47589454.00000000,1632182399999,43190366.67108000,170949,23998154.40000000,21758558.02238000,0
2021-09-21,0.85750000,0.93000000,0.72570000,0.74840000,15510095.30000000,1632268799999,12926442.95812000,78569,7946091.10000000,6627342.79782000,0
2021-09-22,0.74880000,0.84990000,0.72990000,0.83840000,6644456.40000000,1632355199999,5291788.56111000,35916,3279846.80000000,2614271.50180000,0
2021-09-23,0.84000000,0.85000000,0.75000000,0.78780000,13604396.30000000,1632441599999,10682494.02361000,46104,5246713.10000000,4140846.07302000,0
2021-09-24,0.78860000,0.78890000,0.66660000,0.71230000,7391738.80000000,1632527999999,5371134.00085000,24529,3390159.30000000,2450112.74469000,0
2021-09-25,0.71070000,0.71880000,0.65800000,0.67320000,3216947.20000000,1632614399999,2206686.71286000,12073,1570251.90000000,1075275.05153000,0
