timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2021-11-10,0.06930000,0.13750000,0.03000000,0.12039000,203907.09000000,1636588799999,21563.30893060,32887,82404.70000000,8646.06310990,0
2021-11-11,0.12072000,0.14091000,0.08759000,0.08835000,109755.50000000,1636675199999,12341.44314990,15220,45075.66000000,5112.39747430,0
2021-11-12,0.08851000,0.10257000,0.08145000,0.08706000,38271.85000000,1636761599999,3449.76265420,5140,17580.05000000,1589.12523880,0
2021-11-13,0.08706000,0.10066000,0.07712000,0.08537000,51402.68000000,1636847999999,4480.48662690,4667,25332.52000000,2245.33698700,0
2021-11-14,0.08555000,0.09785000,0.08255000,0.08604000,22541.46000000,1636934399999,2023.50173560,2492,9920.06000000,895.54099390,0
2021-11-15,0.08631000,0.09296000,0.07895000,0.08819000,42604.35000000,1637020799999,3647.95417610,3380,20576.05000000,1782.10834620,0
2021-11-16,0.08786000,0.09315000,0.08129000,0.08173000,40258.68000000,1637107199999,3499.08706900,3144,18778.53000000,1637.00272410,0
2021-11-17,0.08167000,0.08846000,0.07817000,0.08319000,34529.32000000,1637193599999,2874.44064680,2721,19215.84000000,1605.85500370,0
2021-11-18,0.08302000,0.08713000,0.07531000,0.07756000,22063.52000000,1637279999999,1789.13972960,1755,9248.73000000,758.86677600,0
2021-11-19,0.07781000,0.08949000,0.07303000,0.08191000,22349.71000000,1637366399999,1817.80170230,2441,10364.03000000,841.66781710,0
2021-11-20,0.08243000,0.08436000,0.07739000,0.07743000,10660.21000000,1637452799999,852.40863270,986,4574.63000000,366.96752780,0
2021-11-21,0.07704000,0.07795000,0.07027000,0.07156000,13389.47000000,1637539199999,993.93571280,1134,6783.11000000,502.73094970,0
2021-11-22,0.07205000,0.08059000,0.06965000,0.07329000,21161.39000000,1637625599999,1570.99350550,1778,9307.09000000,696.18970730,0
2021-11-23,0.07308000,0.08891000,0.07250000,0.08533000,19895.68000000,1637711999999,1599.46680500,2325,8768.12000000,701.36313970,0
2021-11-24,0.08604000,0.08635000,0.07846000,0.08300000,13999.68000000,1637798399999,1145.28602530,1340,6789.52000000,556.81726290,0
2021-11-25,0.08325000,0.11671000,0.08088000,0.10674000,62944.06000000,1637884799999,6367.86381300,7656,30302.99000000,3088.91233320,0
2021-11-26,0.10730000,0.12230000,0.09795000,0.10119000,66253.83000000,1637971199999,7128.34008330,6748,27654.95000000,3003.27011590,0
2021-11-27,0.10134000,0.13800000,0.10087000,0.12299000,63740.56000000,1638057599999,8027.08243560,7230,34800.12000000,4353.22873320,0
2021-11-28,0.12253000,0.13160000,0.11318000,0.12454000,30544.10000000,1638143999999,3692.38781800,3496,14393.10000000,1747.60065320,0
2021-11-29,0.12490000,0.13604000,0.11141000,0.11244000,28924.65000000,1638230399999,3591.56507380,3332,10811.36000000,1338.18077620,0
2021-11-30,0.11253000,0.12350000,0.10944000,0.11273000,22807.86000000,1638316799999,2645.83835690,2480,9462.01000000,1089.51584170,0
2021-12-01,0.11232000,0.11888000,0.10010000,0.10379000,13595.59000000,1638403199999,1445.10436910,1724,5898.42000000,627.74078580,0
2021-12-02,0.10333000,0.10333000,0.09579000,0.09934000,7669.85000000,1638489599999,759.80107590,1071,2992.71000000,297.38933870,0
2021-12-03,0.09994000,0.10225000,0.08647000,0.09077000,9043.10000000,1638575999999,845.40031010,1469,3942.64000000,371.52859410,0
2021-12-04,0.09108000,0.09255000,0.07647000,0.08957000,17725.25000000,1638662399999,1523.20413980,2680,8397.34000000,731.55516080,0
2021-12-05,0.08913000,0.09466000,0.08301000,0.08887000,13016.15000000,1638748799999,1147.31959740,1704,6248.14000000,554.21228230,0
2021-12-06,0.08827000,0.09000000,0.07825000,0.08751000,15332.88000000,1638835199999,1278.30706610,1585,7625.21000000,635.77734910,0
2021-12-07,0.08714000,0.09154000,0.08372000,0.08855000,5163.10000000,1638921599999,450.17281040,714,2877.74000000,252.11936100,0
2021-12-08,0.08844000,0.09033000,0.08091000,0.08097000,3298.33000000,1639007999999,280.93912640,602,1278.35000000,109.78100210,0
2021-12-09,0.08138000,0.08294000,0.07835000,0.07880000,5936.36000000,1639094399999,477.19671380,776,4068.29000000,327.02778000,0
2021-12-10,0.07880000,0.08004000,0.07641000,0.07723000,4031.90000000,1639180799999,314.45379220,547,2330.60000000,182.05209770,0
2021-12-11,0.07698000,0.08709000,0.07500000,0.08442000,16110.90000000,1639267199999,1269.06418810,1526,7489.59000000,597.13503110,0
