timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2022-05-13,159.30000000,785.00000000,145.20000000,155.60000000,99884.51900000,1652486399999,16233211.13010000,6751,41883.13500000,6938353.38610000,0
2022-05-14,156.70000000,174.40000000,135.90000000,153.80000000,40863.30500000,1652572799999,6200448.59010000,2742,20722.12100000,3172714.23310000,0
2022-05-15,153.80000000,164.70000000,131.50000000,164.70000000,32316.20700000,1652659199999,4844946.81780000,1779,15950.33100000,2405061.95140000,0
2022-05-16,160.10000000,180.00000000,140.00000000,169.30000000,96222.71200000,1652745599999,15370624.75510000,5810,45914.58800000,7350578.92840000,0
2022-05-17,170.00000000,206.50000000,162.90000000,198.80000000,142645.44000000,1652831999999,26317673.28320000,9954,69655.51200000,12867145.20140000,0
2022-05-18,198.80000000,208.50000000,171.40000000,171.40000000,58015.31900000,1652918399999,11123230.98120000,4700,28552.85800000,5480002.08090000,0
2022-05-19,171.40000000,206.70000000,164.50000000,203.10000000,44188.66900000,1653004799999,8429601.75200000,3726,21789.63600000,4155076.57810000,0
2022-05-20,202.90000000,220.00000000,192.40000000,209.50000000,92444.91600000,1653091199999,19382566.06070000,8112,43566.09700000,9149750.72400000,0
2022-05-21,209.50000000,221.30000000,200.80000000,208.60000000,27033.02700000,1653177599999,5684039.89230000,2266,12047.68300000,2543198.40400000,0
2022-05-22,205.90000000,212.40000000,193.00000000,202.30000000,34679.76800000,1653263999999,6963226.16050000,2449,15671.28400000,3159722.34320000,0
2022-05-23,202.30000000,222.90000000,191.00000000,205.40000000,53410.91600000,1653350399999,11334678.68160000,3619,29014.34100000,6168629.16620000,0
2022-05-24,205.40000000,216.00000000,186.00000000,201.40000000,27153.60300000,1653436799999,5326696.65490000,2177,11335.39800000,2219443.07900000,0
2022-05-25,201.40000000,214.80000000,194.10000000,202.90000000,34541.20100000,1653523199999,7088163.80340000,2205,17111.42000000,3522603.36590000,0
2022-05-26,205.80000000,210.00000000,166.10000000,172.20000000,51027.63300000,1653609599999,9270445.45560000,2981,20038.54600000,3636934.48790000,0
2022-05-27,172.20000000,174.80000000,156.70000000,160.30000000,38361.66200000,1653695999999,6325132.66220000,1979,15649.50400000,2573931.41320000,0
2022-05-28,160.40000000,169.40000000,157.00000000,167.80000000,9581.89100000,1653782399999,1581051.09140000,802,5111.93000000,843635.86590000,0
2022-05-29,167.80000000,169.80000000,161.10000000,167.00000000,13264.75500000,1653868799999,2192171.71310000,892,6917.53800000,1144700.42950000,0
2022-05-30,167.40000000,210.00000000,164.20000000,206.50000000,71712.20300000,1653955199999,14126502.07320000,3887,37133.91100000,7279758.67950000,0
2022-05-31,206.10000000,218.00000000,181.60000000,195.20000000,29456.69000000,1654041599999,5930701.64760000,1922,13513.84300000,2737256.84200000,0
