timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2021-01-25,2.25000000,2.28200000,2.18200000,2.20000000,24995.36800000,1611619199999,55727.13971000,492,12371.28800000,27632.50952800,0
2021-01-26,2.18300000,2.23900000,2.10800000,2.16700000,24699.52400000,1611705599999,53153.44447200,435,13939.73600000,30089.53603700,0
2021-01-27,2.14600000,2.15600000,2.04300000,2.07600000,31153.33800000,1611791999999,65495.55937500,594,14949.20000000,31437.37810400,0
2021-01-28,2.07600000,2.30800000,2.05800000,2.24400000,84796.99100000,1611878399999,186734.58722700,1017,34848.41400000,77467.18420200,0
2021-01-29,2.24800000,2.39400000,2.19300000,2.25500000,100182.29600000,1611964799999,228880.46359700,1497,52968.12400000,121303.72679300,0
2021-01-30,2.26300000,2.55900000,2.21700000,2.42500000,107814.40600000,1612051199999,259018.61748300,1894,55524.67800000,133542.21651000,0
2021-01-31,2.42000000,2.54100000,2.31600000,2.42000000,81021.55500000,1612137599999,196610.80142100,1657,32331.25900000,78281.20151700,0
2021-02-01,2.42500000,2.71100000,2.39500000,2.53500000,335668.65700000,1612223999999,855356.75650000,6116,167595.79500000,428328.10805300,0
2021-02-02,2.53000000,2.55100000,2.45500000,2.49500000,91191.85700000,1612310399999,227989.85013800,2184,43268.72200000,108271.11948700,0
2021-02-03,2.49700000,2.62000000,2.48500000,2.55000000,97217.55200000,1612396799999,247576.26695500,2159,50308.68100000,128267.57121500,0
2021-02-04,2.54800000,2.62900000,2.48000000,2.53500000,155531.71800000,1612483199999,396598.63367900,3184,73839.36400000,188994.44610800,0
2021-02-05,2.53800000,2.81700000,2.52300000,2.75900000,202379.57900000,1612569599999,540032.33492800,6464,110609.71200000,295877.55952400,0
2021-02-06,2.76100000,2.76400000,2.61000000,2.67400000,130007.04100000,1612655999999,348616.29180100,5417,66105.52300000,177357.62367300,0
2021-02-07,2.67900000,3.00000000,2.52500000,2.86700000,265381.39500000,1612742399999,741909.69623800,9300,134071.80700000,377092.86541100,0
2021-02-08,2.86700000,2.99000000,2.70000000,2.99000000,211113.87400000,1612828799999,610540.19865600,7265,93273.87000000,271557.00677500,0
2021-02-09,2.99200000,3.57400000,2.89200000,3.45000000,458372.10500000,1612915199999,1487077.63656600,15218,232443.28400000,751589.37202300,0
2021-02-10,3.45700000,3.75900000,3.02300000,3.41900000,500669.42500000,1613001599999,1715057.59002500,19465,226367.79700000,776379.85351900,0
2021-02-11,3.41700000,3.88000000,3.31700000,3.78500000,380555.76700000,1613087999999,1376367.43261300,16345,190961.23900000,692956.18924900,0
2021-02-12,3.78500000,4.01000000,3.50000000,3.93700000,365376.48000000,1613174399999,1391470.02447000,12474,181617.31900000,691148.57524000,0
2021-02-13,3.94000000,4.61000000,3.64500000,4.61000000,429801.18100000,1613260799999,1803842.23981400,18947,221113.29100000,928420.17686500,0
2021-02-14,4.61200000,4.64300000,4.01300000,4.19400000,291246.68100000,1613347199999,1262707.05275800,14822,137699.40900000,598469.81124800,0
2021-02-15,4.20100000,4.33900000,3.38200000,3.89000000,404432.75600000,1613433599999,1590436.85457700,14781,199486.45200000,787088.21216100,0
2021-02-16,3.89600000,4.09600000,3.67400000,3.85200000,257021.31800000,1613519999999,995289.94952500,6971,112804.04300000,436926.05669800,0
2021-02-17,3.86000000,4.05300000,3.66900000,4.02900000,240682.69300000,1613606399999,948834.65798900,6527,125337.11400000,494216.58183600,0
2021-02-18,4.03500000,4.15600000,3.87600000,3.99700000,219825.41400000,1613692799999,887272.89837100,7671,113609.81600000,459386.87998700,0
2021-02-19,4.00500000,4.45000000,3.86400000,4.32700000,334220.51100000,1613779199999,1420446.70642500,11636,157947.93700000,672115.59298500,0
2021-02-20,4.32500000,4.48500000,3.72100000,4.00500000,312742.79600000,1613865599999,1331281.45718800,10696,128814.76000000,547900.34613300,0
2021-02-21,4.00200000,4.43600000,3.91800000,4.21100000,182196.62000000,1613951999999,766333.33803300,7526,87412.49200000,369322.56545100,0
2021-02-22,4.22100000,4.38000000,3.37200000,3.87000000,405101.80600000,1614038399999,1596119.65555100,15770,177319.53400000,704188.82214700,0
2021-02-23,3.87500000,3.89200000,2.63000000,3.17600000,820587.24000000,1614124799999,2616654.39194700,17461,327070.49100000,1043998.60431600,0
2021-02-24,3.17700000,3.42700000,3.03500000,3.20600000,399687.83500000,1614211199999,1303149.31053200,8178,205085.84600000,672528.58067100,0
2021-02-25,3.20400000,3.35500000,2.99400000,3.03400000,172233.31900000,1614297599999,553208.49037800,5472,76995.60500000,248238.84131200,0
2021-02-26,3.02500000,3.12300000,2.81700000,2.95800000,195493.70500000,1614383999999,582119.09799600,4862,88199.28200000,263437.22829000,0
2021-02-27,2.95500000,3.19100000,2.95500000,3.05600000,177224.48300000,1614470399999,547151.29041600,3951,90728.97100000,280024.42365500,0
2021-02-28,3.05600000,3.07900000,2.70200000,2.88100000,176144.33900000,1614556799999,502376.05414900,3527,83130.32900000,236829.59742200,0
2021-03-01,2.88200000,3.13400000,2.86400000,3.08100000,154528.75000000,1614643199999,464012.90176900,3279,79668.28700000,239339.62890200,0
2021-03-02,3.08300000,3.21400000,2.95800000,3.04400000,223293.23500000,1614729599999,686425.10412700,4683,115051.08500000,354218.63382900,0
2021-03-03,3.04100000,3.37100000,3.02800000,3.19000000,231206.11500000,1614815999999,748070.07859700,4881,126273.89100000,408735.58027200,0
2021-03-04,3.18200000,3.26200000,3.04600000,3.14100000,120629.76600000,1614902399999,381055.51660900,3186,57170.06400000,180752.00370600,0
2021-03-05,3.12300000,3.14900000,2.98600000,3.11100000,103084.60400000,1614988799999,317162.05588200,2303,55115.11800000,169658.98613600,0
2021-03-06,3.10700000,3.17400000,3.02700000,3.13200000,93878.56500000,1615075199999,293090.09985900,1561,44626.56600000,139410.40842300,0
2021-03-07,3.12900000,3.22700000,3.09300000,3.20500000,223905.55800000,1615161599999,706543.33614500,2808,99244.98600000,313484.25836900,0
2021-03-08,3.22000000,3.29400000,3.15300000,3.28300000,271468.16200000,1615247999999,878487.47980800,4028,134914.88400000,437188.74452500,0
2021-03-09,3.28900000,3.52200000,3.24300000,3.50400000,310361.70100000,1615334399999,1049387.59416000,5611,153752.24800000,520629.07836800,0
2021-03-10,3.51600000,3.52600000,3.29000000,3.35000000,223969.59300000,1615420799999,763002.65218700,4539,102370.83500000,348679.26971900,0
2021-03-11,3.35700000,3.40200000,3.20000000,3.30000000,137901.70300000,1615507199999,453873.64114800,3127,63232.11100000,208407.15112800,0
2021-03-12,3.30100000,3.34000000,3.08700000,3.16600000,135057.70200000,1615593599999,434838.46214900,2957,60105.83400000,194255.39302900,0
2021-03-13,3.15400000,3.60500000,3.08200000,3.52000000,155141.06500000,1615679999999,523986.66193100,3862,92180.90000000,312220.33120900,0
2021-03-14,3.52000000,3.60000000,3.27900000,3.27900000,135330.81200000,1615766399999,465403.57272000,3635,69483.18300000,238887.25474600,0
2021-03-15,3.28300000,3.35600000,3.13200000,3.20900000,315989.39700000,1615852799999,1018386.20566000,4213,156385.60700000,504431.55360200,0
2021-03-16,3.20400000,3.46800000,3.09300000,3.41900000,291342.38200000,1615939199999,956472.79444800,4315,142859.98400000,470005.83415500,0
2021-03-17,3.41700000,3.42300000,3.25000000,3.40900000,160245.01200000,1616025599999,534276.13944200,2706,81930.85900000,273314.52275300,0
2021-03-18,3.41200000,3.62300000,3.39700000,3.48500000,189317.73100000,1616111999999,662763.87886200,4043,95623.84500000,334897.05640100,0
2021-03-19,3.48500000,3.58500000,3.39100000,3.48400000,124744.95200000,1616198399999,439344.31993000,2760,60922.42100000,215218.22822900,0
2021-03-20,3.48400000,3.78400000,3.47500000,3.64400000,164229.23200000,1616284799999,602666.63103400,4103,91298.65900000,334529.27846800,0
2021-03-21,3.64000000,3.71300000,3.47600000,3.50300000,168247.20600000,1616371199999,598041.60040900,3522,66737.23700000,237568.68438600,0
2021-03-22,3.51400000,3.65100000,3.38000000,3.43700000,409429.24200000,1616457599999,1446155.73494400,4895,206356.51300000,730947.01434800,0
2021-03-23,3.43700000,3.59000000,3.39600000,3.45700000,243990.45100000,1616543999999,854535.12851000,3159,126544.79100000,444249.04234200,0
2021-03-24,3.45800000,3.64500000,2.94400000,3.13700000,361292.53400000,1616630399999,1233094.70584900,5175,188671.71700000,647076.51614000,0
2021-03-25,3.13200000,3.21100000,2.99900000,3.12500000,167639.58600000,1616716799999,524290.80844300,3057,95649.48900000,299581.00936400,0
2021-03-26,3.12200000,3.56200000,3.12200000,3.55200000,223563.31600000,1616803199999,763995.02421700,3795,127361.56400000,435644.30935200,0
2021-03-27,3.55400000,3.56200000,3.37700000,3.46900000,69280.74900000,1616889599999,240251.21487800,2041,34294.16200000,118971.94258400,0
