timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2020-08-11,394.16000000,998.96000000,74.87000000,375.20000000,639.44482000,1597190399999,238209.15904030,4933,522.50985000,196386.19940880,0
2020-08-12,375.19000000,399.05000000,145.01000000,383.43000000,519.88810000,1597276799999,193094.17904260,2737,355.83742000,133773.06051640,0
2020-08-13,383.08000000,423.55000000,370.00000000,418.02000000,1307.47523000,1597363199999,531191.48772710,875,1123.06476000,457252.71276500,0
2020-08-14,421.05000000,441.53000000,412.92000000,435.86000000,404.54915000,1597449599999,171450.93056720,486,243.88507000,103472.43234820,0
2020-08-15,435.86000000,439.64000000,424.90000000,427.34000000,249.07432000,1597535999999,108236.10364990,384,119.33195000,51665.15618610,0
2020-08-16,427.68000000,432.40000000,410.00000000,431.00000000,148.88866000,1597622399999,62789.99032880,255,82.71227000,34926.43696330,0
2020-08-17,428.51000000,443.74000000,418.00000000,428.67000000,366.48464000,1597708799999,156761.13573400,354,223.29462000,95540.90597520,0
2020-08-18,429.00000000,432.50000000,414.13000000,420.06000000,230.00345000,1597795199999,97628.38938340,225,124.52278000,52933.76593220,0
2020-08-19,421.82000000,423.00000000,390.89000000,405.22000000,461.59343000,1597881599999,187609.16115010,444,215.96688000,87337.94462880,0
2020-08-20,406.27000000,416.62000000,401.50000000,414.21000000,225.01746000,1597967999999,91809.59238140,233,136.76830000,55926.21318500,0
2020-08-21,415.37000000,415.93000000,382.46000000,384.10000000,551.30011000,1598054399999,219601.44150600,536,192.41759000,76739.24020020,0
2020-08-22,385.29000000,394.98000000,377.00000000,394.02000000,775.27732000,1598140799999,298923.69726370,500,207.27206000,80310.82698870,0
2020-08-23,394.03000000,394.03000000,381.65000000,390.39000000,570.46849000,1598227199999,221450.02703000,258,237.13928000,91780.07387740,0
2020-08-24,387.48000000,408.71000000,385.68000000,402.26000000,1271.24575000,1598313599999,505781.54687040,610,607.15384000,244073.10170030,0
2020-08-25,402.26000000,403.02000000,365.00000000,377.28000000,1049.10614000,1598399999999,399022.09895780,643,500.38811000,189460.52366790,0
2020-08-26,376.23000000,387.23000000,371.88000000,380.58000000,451.35831000,1598486399999,172152.88267360,328,250.93252000,95873.72168780,0
2020-08-27,381.67000000,390.00000000,366.60000000,377.26000000,587.58216000,1598572799999,221337.35496160,382,225.33640000,84902.53579130,0
2020-08-28,375.93000000,394.16000000,375.03000000,391.33000000,1269.82986000,1598659199999,493598.19280530,431,599.23131000,232897.94755720,0
2020-08-29,389.06000000,399.56000000,388.19000000,394.16000000,385.29813000,1598745599999,151077.82213760,265,162.11393000,63406.65166040,0
2020-08-30,394.23000000,422.44000000,393.51000000,421.16000000,819.54530000,1598831999999,333264.62011530,521,244.98802000,98428.67287110,0
2020-08-31,421.51000000,433.15000000,412.27000000,428.36000000,705.03235000,1598918399999,299223.81627180,558,545.91330000,231937.77590120,0
2020-09-01,426.06000000,481.09000000,425.72000000,469.86000000,1179.46939000,1599004799999,545631.64710340,1065,642.66080000,299377.61441460,0
