timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2021-09-10,3488.77000000,4799.99000000,1200.96000000,3208.14000000,178.48950000,1631318399999,550133.83105100,768,84.72600000,276740.69163100,0
2021-09-11,3208.14000000,3347.00000000,3208.14000000,3258.84000000,275.01010000,1631404799999,903495.39550800,483,149.78320000,492990.89785100,0
2021-09-12,3260.23000000,3469.08000000,3235.84000000,3409.82000000,586.90420000,1631491199999,1980380.78296600,899,277.61370000,935745.47647100,0
2021-09-13,3394.90000000,3405.89000000,3101.01000000,3293.56000000,774.62300000,1631577599999,2520348.61147000,2420,429.04530000,1395215.81462300,0
2021-09-14,3263.83000000,3436.52000000,3263.82000000,3435.39000000,318.63770000,1631663999999,1063988.45671700,298,199.93970000,668311.11612700,0
2021-09-15,3435.14000000,3611.00000000,3357.23000000,3611.00000000,134.86690000,1631750399999,468180.51876000,345,45.71350000,157716.91363600,0
2021-09-16,3595.65000000,3665.67000000,3487.70000000,3553.46000000,167.70770000,1631836799999,603011.37534900,379,101.60620000,365886.31178000,0
2021-09-17,3580.87000000,3584.00000000,3355.73000000,3410.47000000,89.81000000,1631923199999,312119.98992900,208,50.71310000,178118.88930700,0
2021-09-18,3388.82000000,3526.60000000,3378.57000000,3428.94000000,34.77470000,1632009599999,121246.21495700,108,24.48770000,85429.51224300,0
2021-09-19,3445.23000000,3445.23000000,3243.07000000,3327.00000000,115.57420000,1632095999999,394662.83658900,259,96.18510000,330041.60600900,0
2021-09-20,3311.02000000,3318.51000000,2925.62000000,2970.00000000,365.56710000,1632182399999,1114546.12690500,836,97.29610000,298758.60233200,0
2021-09-21,2964.01000000,3087.76000000,2549.42000000,2760.00000000,194.78780000,1632268799999,565622.24637900,355,57.23930000,169560.41608500,0
2021-09-22,2789.66000000,3094.20000000,2734.07000000,3064.06000000,166.60830000,1632355199999,497331.59610700,340,101.05020000,305354.83223300,0
2021-09-23,3073.26000000,3166.40000000,3042.51000000,3142.28000000,75.24790000,1632441599999,233028.21854400,148,32.76430000,102264.60469100,0
2021-09-24,3138.27000000,3138.27000000,2741.69000000,2915.06000000,73.86810000,1632527999999,216514.26523500,258,21.37440000,63451.54349000,0
2021-09-25,2940.38000000,2959.80000000,2801.60000000,2933.20000000,130.70050000,1632614399999,377598.77909700,247,46.71960000,135816.01558700,0
2021-09-26,2907.14000000,3100.00000000,2665.60000000,3048.29000000,175.39210000,1632700799999,496468.72449200,603,155.03240000,436937.82764800,0
2021-09-27,3042.71000000,3199.42000000,2929.19000000,2950.00000000,216.78810000,1632787199999,666803.73265300,371,176.89710000,544701.55430400,0
2021-09-28,2923.22000000,2967.53000000,2789.49000000,2808.36000000,108.79100000,1632873599999,314575.74985000,262,103.79880000,300178.36702100,0
2021-09-29,2817.24000000,2932.89000000,2782.90000000,2834.98000000,81.05560000,1632959999999,233014.36096700,166,41.65980000,118947.28503900,0
2021-09-30,2866.39000000,3040.00000000,2859.92000000,2991.12000000,175.76600000,1633046399999,523775.55279600,356,90.46060000,269262.83433400,0
2021-10-01,2994.59000000,3323.65000000,2977.11000000,3313.94000000,342.38190000,1633132799999,1089887.69677300,789,258.55060000,828332.24439500,0
2021-10-02,3279.29000000,3471.03000000,3260.10000000,3380.29000000,68.35650000,1633219199999,231046.42838000,253,45.13040000,152599.48255700,0
2021-10-03,3397.85000000,3490.18000000,3334.18000000,3420.95000000,76.99480000,1633305599999,264056.54454500,202,60.40290000,207414.18320200,0
2021-10-04,3404.79000000,3432.39000000,3265.99000000,3383.38000000,160.68270000,1633391999999,536244.39778700,353,91.69120000,307782.03816100,0
2021-10-05,3413.52000000,3549.10000000,3370.71000000,3519.09000000,54.26560000,1633478399999,188946.53989500,226,39.13610000,136552.94846900,0
2021-10-06,3527.19000000,3700.01000000,3359.29000000,3580.51000000,210.66700000,1633564799999,739295.03117600,687,167.97720000,588780.02289000,0
2021-10-07,3572.54000000,3643.49000000,3501.38000000,3570.00000000,70.29130000,1633651199999,249395.90942600,219,49.42200000,175232.83551800,0
2021-10-08,3595.69000000,3694.70000000,3530.57000000,3574.74000000,158.97600000,1633737599999,575423.74451800,461,80.77780000,295035.06924000,0
2021-10-09,3570.60000000,3640.48000000,3547.56000000,3593.52000000,54.87700000,1633823999999,197593.66283000,325,40.72060000,146786.84567800,0
2021-10-10,3570.70000000,3606.28000000,3400.00000000,3401.62000000,57.77530000,1633910399999,203323.50068800,343,20.91420000,74060.16091300,0
