timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2021-08-11,196.40000000,971.00000000,196.40000000,288.50000000,135901.36600000,1628726399999,47494149.97050000,185239,64163.64700000,22218057.40600000,0
2021-08-12,290.10000000,325.60000000,272.60000000,290.40000000,29884.80600000,1628812799999,8725339.65020000,38776,15005.82300000,4392617.41620000,0
2021-08-13,291.30000000,306.00000000,285.00000000,300.00000000,5121.55100000,1628899199999,1491716.98530000,6002,2415.31200000,705789.14070000,0
2021-08-14,298.50000000,307.60000000,266.50000000,274.00000000,6283.65000000,1628985599999,1783984.27210000,9417,2853.57400000,812249.67410000,0
2021-08-15,273.90000000,274.60000000,253.30000000,269.30000000,6521.04600000,1629071999999,1714133.35930000,7627,2769.40600000,728890.86710000,0
2021-08-16,269.30000000,274.00000000,252.60000000,255.40000000,4424.55900000,1629158399999,1164910.30540000,5943,1942.22900000,511944.59100000,0
2021-08-17,255.30000000,300.00000000,241.00000000,263.10000000,11974.22600000,1629244799999,3200820.13410000,11905,5992.87800000,1605711.24230000,0
2021-08-18,263.50000000,290.00000000,255.10000000,258.00000000,12233.05200000,1629331199999,3304686.12340000,13605,5802.94600000,1570580.29590000,0
2021-08-19,257.80000000,274.50000000,250.60000000,264.60000000,7340.76100000,1629417599999,1911150.31300000,10332,3645.11300000,951322.14950000,0
2021-08-20,265.00000000,270.70000000,252.50000000,259.90000000,6218.30800000,1629503999999,1622451.44460000,9564,2648.11600000,692155.88540000,0
2021-08-21,259.50000000,266.00000000,247.00000000,253.60000000,4758.21900000,1629590399999,1237591.42370000,7807,2188.17500000,570737.65140000,0
2021-08-22,253.90000000,255.00000000,234.90000000,244.60000000,8187.78900000,1629676799999,1987136.66210000,11167,3700.83800000,899211.98520000,0
2021-08-23,244.50000000,244.90000000,235.20000000,242.30000000,5802.43200000,1629763199999,1394600.12710000,6916,2897.86700000,697199.04790000,0
2021-08-24,242.30000000,245.00000000,215.30000000,224.00000000,4043.51200000,1629849599999,947391.75470000,6018,1884.47400000,441618.08750000,0
2021-08-25,225.50000000,245.00000000,219.00000000,230.30000000,4582.97800000,1629935999999,1061794.34880000,7580,2083.80000000,484901.13140000,0
2021-08-26,231.60000000,234.60000000,216.50000000,216.50000000,3546.41000000,1630022399999,801711.69290000,5856,1446.06300000,327471.29270000,0
2021-08-27,216.10000000,242.50000000,211.20000000,239.80000000,5363.07800000,1630108799999,1218152.91010000,8024,2654.72100000,604771.05660000,0
2021-08-28,239.40000000,387.60000000,231.40000000,303.30000000,175692.67700000,1630195199999,57490330.31490000,205679,86463.50600000,28303269.06860000,0
2021-08-29,303.40000000,326.50000000,268.00000000,274.50000000,61900.95800000,1630281599999,17932218.49610000,75921,29829.92100000,8627322.55430000,0
2021-08-30,274.60000000,285.00000000,251.00000000,253.30000000,28342.24100000,1630367999999,7529107.93920000,33194,13033.39100000,3470312.25010000,0
2021-08-31,252.40000000,280.00000000,243.10000000,246.40000000,22457.69900000,1630454399999,5886192.97670000,26425,11139.52300000,2933058.49200000,0
2021-09-01,246.40000000,263.60000000,238.20000000,259.00000000,11415.55800000,1630540799999,2857706.41310000,14985,5714.67600000,1432960.36610000,0
2021-09-02,258.70000000,274.60000000,251.20000000,255.20000000,11429.55300000,1630627199999,2959265.10540000,15578,5340.86800000,1382224.86840000,0
2021-09-03,254.40000000,254.90000000,238.30000000,246.80000000,11375.75700000,1630713599999,2820110.87700000,13079,5471.94300000,1358376.49700000,0
2021-09-04,247.00000000,252.90000000,242.00000000,243.50000000,5451.91200000,1630799999999,1345198.38170000,7837,2375.89400000,586764.32930000,0
2021-09-05,243.30000000,274.00000000,242.70000000,261.20000000,13368.64800000,1630886399999,3426726.09380000,18035,6355.14900000,1629913.41750000,0
