timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2021-09-13,0.00000046,0.00000188,0.00000046,0.00000106,438417448.00000000,1631577599999,577.64542928,62128,209861522.00000000,278.33454504,0
2021-09-14,0.00000105,0.00000119,0.00000093,0.00000093,186147125.00000000,1631663999999,198.49318709,14886,84783509.00000000,91.14803089,0
2021-09-15,0.00000094,0.00000119,0.00000091,0.00000107,125307933.00000000,1631750399999,124.47454518,11992,63210849.00000000,63.10756572,0
2021-09-16,0.00000107,0.00000309,0.00000106,0.00000209,990485791.00000000,1631836799999,2134.21998748,145751,484925179.00000000,1039.70279566,0
2021-09-17,0.00000210,0.00000262,0.00000180,0.00000247,500677636.00000000,1631923199999,1074.29157271,80764,254583578.00000000,546.92998695,0
2021-09-18,0.00000246,0.00000285,0.00000214,0.00000240,419472202.00000000,1632009599999,1033.04450496,90398,199576518.00000000,494.18119332,0
2021-09-19,0.00000240,0.00000269,0.00000227,0.00000233,177209295.00000000,1632095999999,438.87933047,36179,85965958.00000000,213.20492158,0
2021-09-20,0.00000234,0.00000240,0.00000201,0.00000210,195754638.00000000,1632182399999,432.31717958,40144,99194347.00000000,219.75346150,0
2021-09-21,0.00000211,0.00000263,0.00000203,0.00000244,211128030.00000000,1632268799999,504.09241207,53758,106060662.00000000,253.55486201,0
2021-09-22,0.00000244,0.00000261,0.00000235,0.00000248,97596188.00000000,1632355199999,239.84298568,26147,49042986.00000000,120.57827033,0
2021-09-23,0.00000247,0.00000277,0.00000244,0.00000251,97635474.00000000,1632441599999,251.83706957,33395,47391991.00000000,122.50588238,0
2021-09-24,0.00000252,0.00000257,0.00000218,0.00000227,96834208.00000000,1632527999999,224.66939329,29118,47172353.00000000,109.49186105,0
2021-09-25,0.00000227,0.00000238,0.00000215,0.00000216,59540491.00000000,1632614399999,133.16095781,15828,28695853.00000000,64.26453506,0
2021-09-26,0.00000216,0.00000226,0.00000196,0.00000204,84528093.00000000,1632700799999,176.31701919,20525,40907064.00000000,85.55063091,0
2021-09-27,0.00000204,0.00000217,0.00000198,0.00000199,54919088.00000000,1632787199999,113.50541560,14132,26507575.00000000,54.90766983,0
2021-09-28,0.00000200,0.00000205,0.00000185,0.00000187,42329447.00000000,1632873599999,82.77625329,9531,18468326.00000000,36.11475985,0
2021-09-29,0.00000187,0.00000212,0.00000186,0.00000201,72223525.00000000,1632959999999,143.25532766,14571,38590319.00000000,76.55896713,0
2021-09-30,0.00000201,0.00000232,0.00000191,0.00000230,93883682.00000000,1633046399999,199.13172745,28598,47835548.00000000,101.83013279,0
2021-10-01,0.00000230,0.00000245,0.00000199,0.00000209,106831630.00000000,1633132799999,234.86655994,22222,51059279.00000000,112.42077925,0
2021-10-02,0.00000209,0.00000231,0.00000209,0.00000213,72850961.00000000,1633219199999,158.71455908,15970,34967508.00000000,76.33856684,0
2021-10-03,0.00000213,0.00000258,0.00000204,0.00000237,131190860.00000000,1633305599999,309.18199341,27312,68341221.00000000,161.08148376,0
2021-10-04,0.00000237,0.00000250,0.00000218,0.00000228,84205800.00000000,1633391999999,196.92413713,19317,40985314.00000000,96.45318529,0
2021-10-05,0.00000229,0.00000230,0.00000202,0.00000203,57945656.00000000,1633478399999,123.90911192,11631,25027497.00000000,53.73975273,0
2021-10-06,0.00000204,0.00000208,0.00000177,0.00000179,59439884.00000000,1633564799999,113.22917326,11113,25385990.00000000,48.51184339,0
2021-10-07,0.00000179,0.00000188,0.00000173,0.00000180,32394191.00000000,1633651199999,58.63785899,6372,17455047.00000000,31.68005316,0
2021-10-08,0.00000180,0.00000195,0.00000177,0.00000185,41956423.00000000,1633737599999,77.13670154,8329,20490833.00000000,37.75783399,0
2021-10-09,0.00000185,0.00000199,0.00000178,0.00000180,35337014.00000000,1633823999999,66.11939554,7499,16405936.00000000,30.70648908,0
2021-10-10,0.00000180,0.00000182,0.00000165,0.00000165,37718984.00000000,1633910399999,65.08072668,5800,16546233.00000000,28.57343626,0
2021-10-11,0.00000166,0.00000167,0.00000150,0.00000154,41690816.00000000,1633996799999,67.12823610,6334,17967429.00000000,29.07849991,0
2021-10-12,0.00000155,0.00000156,0.00000141,0.00000154,42042583.00000000,1634083199999,62.60616932,6491,19946715.00000000,29.75840385,0
2021-10-13,0.00000153,0.00000162,0.00000146,0.00000148,36098642.00000000,1634169599999,55.32189519,6100,19642308.00000000,30.16367081,0
2021-10-14,0.00000148,0.00000172,0.00000146,0.00000159,67698492.00000000,1634255999999,106.73910949,11663,32940112.00000000,51.97901297,0
2021-10-15,0.00000159,0.00000160,0.00000139,0.00000145,67634140.00000000,1634342399999,98.95188360,10057,29680091.00000000,43.48292654,0
2021-10-16,0.00000145,0.00000149,0.00000140,0.00000143,29382683.00000000,1634428799999,42.54488442,4968,11671010.00000000,16.92641304,0
2021-10-17,0.00000142,0.00000148,0.00000135,0.00000136,25414488.00000000,1634515199999,36.07796093,3883,10874711.00000000,15.47351736,0
2021-10-18,0.00000136,0.00000137,0.00000131,0.00000135,21422109.00000000,1634601599999,28.73739226,2880,7988539.00000000,10.75193967,0
2021-10-19,0.00000135,0.00000137,0.00000128,0.00000129,17351792.00000000,1634687999999,22.98881761,2789,7609083.00000000,10.10573176,0
2021-10-20,0.00000129,0.00000139,0.00000127,0.00000132,52886276.00000000,1634774399999,69.92718962,5103,17536993.00000000,23.28262272,0
2021-10-21,0.00000131,0.00000136,0.00000130,0.00000134,27076323.00000000,1634860799999,35.92735472,4088,13688231.00000000,18.20526894,0
2021-10-22,0.00000134,0.00000139,0.00000131,0.00000139,21919948.00000000,1634947199999,29.58093966,2940,9704319.00000000,13.12296655,0
2021-10-23,0.00000139,0.00000141,0.00000136,0.00000137,14018442.00000000,1635033599999,19.37982082,2740,6402724.00000000,8.86966602,0
2021-10-24,0.00000137,0.00000141,0.00000133,0.00000134,17488346.00000000,1635119999999,24.00557302,3086,8554282.00000000,11.79655553,0
2021-10-25,0.00000135,0.00000135,0.00000130,0.00000134,21047036.00000000,1635206399999,27.96711680,3281,10674225.00000000,14.21326164,0
2021-10-26,0.00000134,0.00000151,0.00000134,0.00000150,46261358.00000000,1635292799999,64.81700097,12415,26713131.00000000,37.46395379,0
2021-10-27,0.00000150,0.00000161,0.00000120,0.00000129,107621070.00000000,1635379199999,150.60110182,22165,53445224.00000000,75.06150626,0
2021-10-28,0.00000129,0.00000138,0.00000126,0.00000134,49974723.00000000,1635465599999,65.21904391,10317,28268712.00000000,36.97722473,0
2021-10-29,0.00000134,0.00000159,0.00000132,0.00000149,139020145.00000000,1635551999999,208.20622414,35036,74880900.00000000,112.12068905,0
2021-10-30,0.00000149,0.00000187,0.00000147,0.00000169,166088536.00000000,1635638399999,278.39219045,41389,85711599.00000000,143.85788135,0
2021-10-31,0.00000170,0.00000190,0.00000150,0.00000156,113753349.00000000,1635724799999,187.04925618,23318,54758653.00000000,90.51167264,0
2021-11-01,0.00000155,0.00000158,0.00000147,0.00000150,54650820.00000000,1635811199999,82.36422654,12175,27605117.00000000,41.66515213,0
2021-11-02,0.00000149,0.00000161,0.00000145,0.00000155,102638645.00000000,1635897599999,156.30377732,17625,53386004.00000000,81.45423192,0
2021-11-03,0.00000155,0.00000165,0.00000145,0.00000151,65137655.00000000,1635983999999,100.38220087,14958,30100804.00000000,46.59807328,0
2021-11-04,0.00000151,0.00000158,0.00000147,0.00000150,37631250.00000000,1636070399999,57.00600558,9776,19476249.00000000,29.56903969,0
2021-11-05,0.00000150,0.00000154,0.00000148,0.00000150,26511829.00000000,1636156799999,39.90311892,7692,14076330.00000000,21.22854959,0
2021-11-06,0.00000149,0.00000153,0.00000141,0.00000147,29760824.00000000,1636243199999,43.93892965,6244,14710323.00000000,21.77761976,0
2021-11-07,0.00000147,0.00000150,0.00000143,0.00000144,15556419.00000000,1636329599999,22.83804499,4799,7044310.00000000,10.37299954,0
2021-11-08,0.00000143,0.00000144,0.00000134,0.00000138,33661945.00000000,1636415999999,46.38411581,6768,15966247.00000000,22.01376314,0
2021-11-09,0.00000137,0.00000138,0.00000131,0.00000133,32328389.00000000,1636502399999,43.42234452,6019,12629107.00000000,16.98912660,0
2021-11-10,0.00000133,0.00000138,0.00000116,0.00000127,56011361.00000000,1636588799999,72.11626964,8866,28381959.00000000,36.67071724,0
2021-11-11,0.00000126,0.00000136,0.00000125,0.00000133,29190864.00000000,1636675199999,38.58652314,4990,16244859.00000000,21.47944792,0
2021-11-12,0.00000132,0.00000140,0.00000129,0.00000132,33136575.00000000,1636761599999,44.05988561,5738,16355821.00000000,21.77985429,0
2021-11-13,0.00000132,0.00000161,0.00000130,0.00000146,117716517.00000000,1636847999999,175.56881465,21689,63366593.00000000,94.47915636,0
2021-11-14,0.00000147,0.00000151,0.00000140,0.00000143,56189662.00000000,1636934399999,81.23766694,10016,27422938.00000000,39.77014391,0
2021-11-15,0.00000142,0.00000201,0.00000141,0.00000197,204375182.00000000,1637020799999,348.67602734,36311,107938902.00000000,185.13578932,0
2021-11-16,0.00000198,0.00000232,0.00000183,0.00000191,334368532.00000000,1637107199999,692.44481413,86863,163865053.00000000,340.24644135,0
2021-11-17,0.00000192,0.00000470,0.00000188,0.00000382,482900985.00000000,1637193599999,1620.43700416,190645,252998226.00000000,845.31797914,0
2021-11-18,0.00000382,0.00000485,0.00000341,0.00000404,387205317.00000000,1637279999999,1528.46592482,162333,197690697.00000000,782.05957491,0
2021-11-19,0.00000403,0.00000460,0.00000378,0.00000404,205889208.00000000,1637366399999,852.58138633,91287,102635536.00000000,425.87971740,0
2021-11-20,0.00000404,0.00000678,0.00000398,0.00000594,348189761.00000000,1637452799999,1977.89356321,188408,180111072.00000000,1021.76381806,0
2021-11-21,0.00000594,0.00000832,0.00000579,0.00000632,288882372.00000000,1637539199999,2042.35194533,177237,142691594.00000000,1011.62927189,0
2021-11-22,0.00000631,0.00000759,0.00000626,0.00000698,160691881.00000000,1637625599999,1100.93420348,106506,81606583.00000000,559.60008011,0
2021-11-23,0.00000698,0.00000719,0.00000627,0.00000655,92125605.00000000,1637711999999,616.34937022,66935,45336522.00000000,303.66412240,0
2021-11-24,0.00000654,0.00001035,0.00000647,0.00001018,298822843.00000000,1637798399999,2452.90321398,209372,153636151.00000000,1258.13468152,0
2021-11-25,0.00001020,0.00001330,0.00000909,0.00001261,299508072.00000000,1637884799999,3432.42467100,317065,147923816.00000000,1699.36265964,0
2021-11-26,0.00001260,0.00001469,0.00001115,0.00001324,174290999.00000000,1637971199999,2265.49284080,216092,87743312.00000000,1140.00896636,0
2021-11-27,0.00001325,0.00001331,0.00001148,0.00001207,97168934.00000000,1638057599999,1193.95326107,108508,49502884.00000000,608.75961499,0
2021-11-28,0.00001207,0.00001305,0.00001061,0.00001240,121393479.00000000,1638143999999,1418.08092049,110299,61332679.00000000,715.22920450,0
2021-11-29,0.00001242,0.00001309,0.00001116,0.00001127,70469479.00000000,1638230399999,859.47020678,71456,35010584.00000000,427.44799731,0
2021-11-30,0.00001126,0.00001156,0.00001062,0.00001090,41951866.00000000,1638316799999,467.52108514,43356,21686207.00000000,241.80042821,0
2021-12-01,0.00001090,0.00001170,0.00001067,0.00001127,40276830.00000000,1638403199999,446.26741055,39833,19360134.00000000,214.58629968,0
2021-12-02,0.00001128,0.00001191,0.00001009,0.00001049,43284419.00000000,1638489599999,463.17337909,43932,21871904.00000000,233.74579771,0
2021-12-03,0.00001051,0.00001058,0.00000908,0.00000944,46103607.00000000,1638575999999,443.02278637,46018,23562201.00000000,226.41635500,0
2021-12-04,0.00000945,0.00001181,0.00000820,0.00001136,153803694.00000000,1638662399999,1487.95852943,153731,77573817.00000000,752.90905586,0
2021-12-05,0.00001136,0.00001184,0.00000940,0.00000984,94599302.00000000,1638748799999,992.40415358,103635,45564032.00000000,479.13725059,0
