timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2022-03-25,3.41000000,5.55500000,3.22800000,3.74400000,157920.30000000,1648252799999,580121.79590000,778,81278.50000000,303652.19330000,0
2022-03-26,3.74300000,4.00000000,3.59600000,3.64400000,159212.60000000,1648339199999,601976.17060000,927,82292.90000000,311941.94990000,0
2022-03-27,3.65200000,3.79000000,3.53800000,3.67100000,119131.20000000,1648425599999,436051.75110000,905,61978.20000000,227243.21710000,0
2022-03-28,3.67100000,5.53000000,3.64300000,5.43700000,1477753.50000000,1648511999999,7223774.54500000,9154,787663.20000000,3847130.86130000,0
2022-03-29,5.43700000,9.00000000,4.95000000,8.07200000,3790022.80000000,1648598399999,26738600.57160000,26061,1896750.30000000,13344827.16800000,0
2022-03-30,8.07200000,11.00600000,7.58100000,9.76900000,5281073.50000000,1648684799999,50374663.76690000,46622,2669901.00000000,25451514.06750000,0
2022-03-31,9.79700000,12.64900000,8.56000000,11.91600000,5032934.70000000,1648771199999,55168480.19460000,46248,2596200.40000000,28432789.21180000,0
2022-04-01,11.92500000,14.96800000,11.40000000,12.67800000,4455707.80000000,1648857599999,60031903.25280000,46185,2229788.30000000,30066894.55320000,0
2022-04-02,12.67500000,13.59400000,10.68900000,10.88500000,2443790.30000000,1648943999999,29797692.26270000,23319,1171538.60000000,14300401.31050000,0
2022-04-03,10.88300000,12.90000000,10.55700000,11.53000000,2183109.80000000,1649030399999,25402287.13340000,18233,1081537.70000000,12600834.43920000,0
2022-04-04,11.56600000,12.01400000,9.57700000,10.05300000,1679015.40000000,1649116799999,18002166.89510000,13669,772364.30000000,8275642.97720000,0
2022-04-05,10.03700000,10.80000000,9.76300000,9.99300000,1598134.40000000,1649203199999,16424395.14610000,12650,763744.80000000,7869543.76660000,0
2022-04-06,9.99900000,12.66500000,9.96300000,11.14400000,3217726.90000000,1649289599999,36638026.50500000,24809,1685000.30000000,19209941.82880000,0
2022-04-07,11.12600000,11.27700000,9.68000000,10.48400000,1257526.90000000,1649375999999,13138789.95420000,10271,572463.00000000,5995880.18930000,0
2022-04-08,10.51300000,11.65900000,9.98300000,10.32800000,1709028.30000000,1649462399999,17990377.28490000,12422,886282.10000000,9358588.54410000,0
2022-04-09,10.29400000,11.02600000,9.98900000,10.92500000,1341451.00000000,1649548799999,14088643.36680000,9359,702934.00000000,7414993.44400000,0
