timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2022-03-09,0.00000024,0.00000590,0.00000024,0.00000317,82822048.10000000,1646870399999,287.57112826,41394,36425077.80000000,126.55531927,0
2022-03-10,0.00000317,0.00000368,0.00000282,0.00000296,53145437.90000000,1646956799999,170.70716357,20270,26782034.00000000,85.49198710,0
2022-03-11,0.00000297,0.00000429,0.00000260,0.00000413,58648385.60000000,1647043199999,204.14822399,30211,29268660.20000000,102.12749907,0
2022-03-12,0.00000414,0.00000809,0.00000402,0.00000735,167791648.50000000,1647129599999,1040.88805431,124924,74534181.00000000,461.50681790,0
2022-03-13,0.00000736,0.00001131,0.00000650,0.00001057,118208956.30000000,1647215999999,1069.93768969,119792,55777035.90000000,504.26922770,0
2022-03-14,0.00001056,0.00001184,0.00000879,0.00000907,57401628.60000000,1647302399999,567.49798492,68175,25040011.20000000,248.35255342,0
2022-03-15,0.00000904,0.00001026,0.00000711,0.00000844,65024243.70000000,1647388799999,542.69728076,66748,31357047.90000000,261.86253932,0
2022-03-16,0.00000844,0.00001410,0.00000809,0.00001350,72975996.50000000,1647475199999,854.17685118,120811,34658760.00000000,406.90317081,0
2022-03-17,0.00001351,0.00002090,0.00001313,0.00002049,61235294.90000000,1647561599999,1029.81288477,150185,30298248.70000000,508.59442731,0
2022-03-18,0.00002049,0.00002070,0.00001609,0.00001678,40672342.70000000,1647647999999,726.84347487,96193,19232473.80000000,344.33978700,0
2022-03-19,0.00001674,0.00001863,0.00001548,0.00001593,21952614.30000000,1647734399999,371.92788819,47600,9626288.80000000,163.44629635,0
2022-03-20,0.00001595,0.00001671,0.00001391,0.00001401,13415747.50000000,1647820799999,203.63885621,26318,6472952.70000000,98.56773806,0
2022-03-21,0.00001400,0.00002025,0.00001397,0.00001950,37578968.20000000,1647907199999,671.12507653,84512,19641309.90000000,349.84125957,0
2022-03-22,0.00001950,0.00002174,0.00001764,0.00001906,22878526.20000000,1647993599999,439.87264964,48335,12082027.10000000,232.91732028,0
2022-03-23,0.00001905,0.00001942,0.00001752,0.00001795,8198552.00000000,1648079999999,148.47160417,18513,3890039.20000000,70.58362906,0
2022-03-24,0.00001794,0.00001840,0.00001579,0.00001592,7440216.90000000,1648166399999,127.88570675,18320,3003999.80000000,52.03131931,0
2022-03-25,0.00001595,0.00001792,0.00001527,0.00001763,16105133.20000000,1648252799999,267.70470200,39715,7714556.90000000,128.14692093,0
2022-03-26,0.00001763,0.00001890,0.00001688,0.00001720,15004381.50000000,1648339199999,267.75818613,34783,7047129.50000000,125.91583539,0
2022-03-27,0.00001717,0.00001779,0.00001624,0.00001647,6157681.30000000,1648425599999,104.87935886,16799,3092261.30000000,52.71155395,0
2022-03-28,0.00001647,0.00002435,0.00001628,0.00002402,37218355.10000000,1648511999999,774.08727453,98014,18679089.80000000,389.43872450,0
2022-03-29,0.00002401,0.00003954,0.00002174,0.00003545,45371794.70000000,1648598399999,1319.05953970,162937,22891714.70000000,665.50218799,0
2022-03-30,0.00003548,0.00004963,0.00003413,0.00004329,46720409.10000000,1648684799999,1969.56229734,220355,23829420.10000000,1005.65751639,0
2022-03-31,0.00004327,0.00005867,0.00003779,0.00005474,40610809.50000000,1648771199999,1942.39367838,204918,20811307.20000000,996.28133024,0
2022-04-01,0.00005471,0.00006968,0.00005226,0.00005811,28129839.30000000,1648857599999,1757.11278421,183110,15096806.30000000,944.34833864,0
2022-04-02,0.00005813,0.00006217,0.00004924,0.00005048,22714279.00000000,1648943999999,1265.04928124,125798,12443178.70000000,693.95062186,0
2022-04-03,0.00005049,0.00005969,0.00004837,0.00005283,23590974.80000000,1649030399999,1259.74831397,111256,12203240.00000000,650.09647016,0
2022-04-04,0.00005290,0.00005550,0.00004520,0.00004650,15768996.80000000,1649116799999,776.15865873,76007,8338095.80000000,410.92090772,0
2022-04-05,0.00004649,0.00005027,0.00004518,0.00004683,12167727.80000000,1649203199999,578.51190244,62709,6603326.80000000,314.30151024,0
2022-04-06,0.00004684,0.00006006,0.00004682,0.00005401,23486265.40000000,1649289599999,1273.08225050,127215,12540136.60000000,680.65490164,0
2022-04-07,0.00005394,0.00005470,0.00004666,0.00005038,11412275.10000000,1649375999999,567.66153760,54655,5691615.90000000,283.70089076,0
2022-04-08,0.00005044,0.00005593,0.00004872,0.00005150,11832938.20000000,1649462399999,605.02220897,60056,5890531.00000000,301.00226652,0
2022-04-09,0.00005150,0.00005480,0.00004980,0.00005387,7278330.60000000,1649548799999,380.19378396,43542,3557836.00000000,186.14024481,0
2022-04-10,0.00005385,0.00005599,0.00005188,0.00005352,8218350.50000000,1649635199999,444.03762122,45179,3857791.20000000,208.60614378,0
2022-04-11,0.00005360,0.00006678,0.00005330,0.00006033,16372863.90000000,1649721599999,979.31605202,94224,7885870.60000000,472.86484944,0
2022-04-12,0.00006037,0.00006064,0.00005375,0.00005529,11277425.50000000,1649807999999,630.18325532,57521,5270516.10000000,294.37947811,0
2022-04-13,0.00005530,0.00005605,0.00005101,0.00005290,5167668.50000000,1649894399999,277.20739758,32797,2675207.50000000,143.69201348,0
2022-04-14,0.00005292,0.00005685,0.00005248,0.00005576,6457643.70000000,1649980799999,352.66420281,39152,3145295.10000000,171.88103804,0
