timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2021-09-22,0.01018000,0.01734000,0.01018000,0.01255000,10238.09800000,1632355199999,131.30121736,18810,4817.64300000,61.98783363,0
2021-09-23,0.01255000,0.01485000,0.01227000,0.01291000,7312.42000000,1632441599999,99.91147789,13453,3480.67900000,47.38998347,0
2021-09-24,0.01294000,0.01297000,0.01150000,0.01192000,3238.20800000,1632527999999,38.77674800,5825,1761.29300000,21.10801420,0
2021-09-25,0.01193000,0.01239000,0.01163000,0.01209000,1200.58300000,1632614399999,14.41501148,1787,600.19500000,7.24087218,0
2021-09-26,0.01211000,0.01261000,0.01158000,0.01198000,1145.01800000,1632700799999,13.77873553,1881,605.76700000,7.27239588,0
2021-09-27,0.01199000,0.01220000,0.01175000,0.01187000,694.02700000,1632787199999,8.29567931,1381,376.53700000,4.50200358,0
2021-09-28,0.01184000,0.01199000,0.01099000,0.01129000,815.22300000,1632873599999,9.41288515,1482,417.14200000,4.81552377,0
2021-09-29,0.01123000,0.01246000,0.01112000,0.01132000,923.34200000,1632959999999,10.64755524,2212,492.29800000,5.67004849,0
2021-09-30,0.01130000,0.01183000,0.01130000,0.01141000,1132.80300000,1633046399999,13.09214188,1802,628.43900000,7.25558994,0
2021-10-01,0.01136000,0.01178000,0.01113000,0.01136000,1023.43600000,1633132799999,11.67418938,1599,449.08400000,5.12549938,0
2021-10-02,0.01136000,0.01244000,0.01132000,0.01185000,1730.36300000,1633219199999,20.51069997,2315,823.08700000,9.72513188,0
2021-10-03,0.01191000,0.01284000,0.01163000,0.01186000,2512.69000000,1633305599999,29.97339107,4342,1176.62500000,14.03873726,0
2021-10-04,0.01185000,0.01205000,0.01139000,0.01151000,1023.80400000,1633391999999,12.00717609,1350,429.92000000,5.06254723,0
2021-10-05,0.01154000,0.01224000,0.01139000,0.01173000,2890.34900000,1633478399999,33.79173392,4087,951.29100000,11.20605383,0
