timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2022-01-10,3.75200000,4.33000000,3.42400000,3.78100000,292300.59000000,1641859199999,1101499.32364000,2774,116014.70000000,439903.52057000,0
2022-01-11,3.79600000,3.89000000,3.32000000,3.60000000,477957.44000000,1641945599999,1679322.91348000,3636,261799.87000000,916567.70669000,0
2022-01-12,3.59800000,3.84100000,3.52500000,3.71800000,437889.45000000,1642031999999,1617313.38917000,3141,233656.28000000,861234.21114000,0
2022-01-13,3.71800000,3.78100000,3.50000000,3.50300000,345487.75000000,1642118399999,1251068.72935000,2687,177153.19000000,640912.24154000,0
2022-01-14,3.52100000,3.64700000,3.48100000,3.56100000,268955.25000000,1642204799999,955368.29374000,1654,183071.95000000,650978.76953000,0
2022-01-15,3.56200000,3.70800000,3.53100000,3.62400000,246739.60000000,1642291199999,890195.15368000,1675,134518.95000000,486147.20869000,0
2022-01-16,3.61700000,4.71800000,3.61300000,4.15900000,1785137.36000000,1642377599999,7458579.58645000,21470,843637.63000000,3518581.53270000,0
2022-01-17,4.15900000,4.28500000,3.68700000,3.76500000,525295.94000000,1642463999999,2094640.61452000,5287,247976.99000000,989444.14768000,0
2022-01-18,3.77000000,3.84500000,3.50700000,3.73400000,314701.04000000,1642550399999,1148559.88460000,3078,150005.40000000,548681.80272000,0
2022-01-19,3.73400000,3.80400000,3.50000000,3.56600000,189855.10000000,1642636799999,688228.15159000,1798,96738.25000000,351371.51897000,0
2022-01-20,3.57100000,3.75400000,3.34900000,3.35400000,300224.64000000,1642723199999,1069038.23607000,2418,124302.69000000,444106.55520000,0
2022-01-21,3.36000000,3.42700000,2.65600000,2.71000000,727272.78000000,1642809599999,2227093.71096000,5634,368669.10000000,1126317.04457000,0
2022-01-22,2.70300000,2.90600000,1.97300000,2.46300000,1443637.90000000,1642895999999,3450463.84366000,8764,748114.92000000,1811209.18637000,0
2022-01-23,2.45200000,2.59800000,2.25000000,2.50200000,496698.92000000,1642982399999,1201341.91555000,3896,250168.73000000,607007.46515000,0
2022-01-24,2.50500000,2.50500000,2.00800000,2.31900000,654278.28000000,1643068799999,1428434.49601000,4653,340934.68000000,745261.15693000,0
2022-01-25,2.32700000,2.46200000,2.19300000,2.35600000,247211.10000000,1643155199999,574262.73418000,2324,139393.12000000,324176.63153000,0
2022-01-26,2.35600000,3.33000000,2.30700000,3.00400000,1654247.53000000,1643241599999,4733691.12877000,13254,815618.79000000,2336598.19383000,0
2022-01-27,3.00400000,3.08100000,2.49800000,2.65100000,1147591.59000000,1643327999999,3140540.61254000,9043,493989.05000000,1353932.49716000,0
2022-01-28,2.65400000,2.88600000,2.46300000,2.82700000,509085.00000000,1643414399999,1368830.06802000,4162,242855.32000000,655903.91701000,0
2022-01-29,2.81500000,2.93700000,2.66100000,2.82700000,473830.93000000,1643500799999,1330795.35493000,3762,227705.41000000,640724.36103000,0
2022-01-30,2.82100000,2.84500000,2.49000000,2.56500000,301088.20000000,1643587199999,803018.90688000,2857,123184.44000000,329548.24396000,0
2022-01-31,2.58900000,2.75600000,2.46600000,2.70300000,271773.36000000,1643673599999,704947.23319000,2250,156726.79000000,407171.95518000,0
2022-02-01,2.70100000,3.02900000,2.67800000,2.88200000,386463.08000000,1643759999999,1108386.97440000,2561,219379.19000000,626651.31676000,0
2022-02-02,2.87800000,3.19200000,2.76500000,3.02300000,607680.09000000,1643846399999,1801552.94380000,5811,277482.09000000,823840.44319000,0
2022-02-03,3.03100000,4.28500000,3.01400000,3.37800000,5622167.73000000,1643932799999,20898050.84194000,50166,2769914.58000000,10253540.85389000,0
2022-02-04,3.38400000,3.45500000,2.75400000,2.99500000,3720583.45000000,1644019199999,11137868.23788000,21852,1621010.89000000,4854987.10049000,0
2022-02-05,2.99800000,3.20000000,2.80100000,2.88000000,2126110.49000000,1644105599999,6342008.27629000,11694,1023121.39000000,3057895.73961000,0
2022-02-06,2.88000000,2.98600000,2.72300000,2.82500000,1341648.32000000,1644191999999,3822774.23891000,6488,691008.16000000,1974787.33268000,0
2022-02-07,2.82400000,3.07500000,2.75700000,2.85700000,1306235.96000000,1644278399999,3781352.25250000,8321,646220.45000000,1868807.54662000,0
2022-02-08,2.86200000,3.82100000,2.61000000,2.78200000,2709309.27000000,1644364799999,8321750.76465000,16211,1258661.64000000,3879698.36280000,0
2022-02-09,2.78200000,2.90300000,2.64200000,2.82300000,815416.42000000,1644451199999,2262101.76728000,4912,402950.41000000,1120500.22471000,0
2022-02-10,2.82300000,2.86800000,2.56000000,2.60300000,851520.85000000,1644537599999,2316460.82392000,5675,409619.51000000,1116852.30390000,0
2022-02-11,2.60500000,2.70900000,2.22600000,2.30500000,825353.37000000,1644623999999,2068681.29138000,5366,391165.91000000,984018.49143000,0
2022-02-12,2.30100000,2.37900000,2.20600000,2.29900000,758422.90000000,1644710399999,1729346.36202000,3769,358736.57000000,819639.18068000,0
2022-02-13,2.30400000,2.47400000,2.24900000,2.29100000,1126165.53000000,1644796799999,2647090.45594000,5752,510498.52000000,1203080.72994000,0
2022-02-14,2.29200000,2.35000000,2.16800000,2.29100000,709363.05000000,1644883199999,1604895.69237000,3419,345104.31000000,782441.81545000,0
2022-02-15,2.30000000,2.49200000,2.27800000,2.48400000,657460.72000000,1644969599999,1590782.10091000,3672,336716.94000000,814917.76565000,0
2022-02-16,2.47600000,2.50600000,2.32800000,2.38900000,633660.51000000,1645055999999,1527065.01437000,3280,321721.16000000,775380.37542000,0
2022-02-17,2.40000000,2.41800000,2.10700000,2.12900000,522434.95000000,1645142399999,1183949.10082000,3275,244000.73000000,552426.64090000,0
2022-02-18,2.12500000,2.20100000,2.03100000,2.05300000,903435.05000000,1645228799999,1916167.88882000,3480,419708.47000000,891761.54786000,0
2022-02-19,2.04800000,2.10200000,1.89400000,1.97800000,570256.04000000,1645315199999,1135291.39471000,2730,266511.34000000,529177.82989000,0
2022-02-20,1.97300000,1.97300000,1.77500000,1.81100000,795298.28000000,1645401599999,1467288.62770000,3488,404133.93000000,744302.75920000,0
2022-02-21,1.81200000,1.96300000,1.55300000,1.57000000,1650773.39000000,1645487999999,2954621.19609000,5961,857577.05000000,1545642.75059000,0
2022-02-22,1.57300000,1.69200000,1.56200000,1.65500000,1729964.73000000,1645574399999,2801796.16145000,4485,1050145.95000000,1701213.99624000,0
2022-02-23,1.64600000,1.72400000,1.54400000,1.55400000,693432.27000000,1645660799999,1137281.76023000,1939,344358.62000000,566787.10425000,0
2022-02-24,1.54900000,1.55900000,1.31700000,1.50300000,1630196.65000000,1645747199999,2285092.46479000,4780,888776.64000000,1241027.13610000,0
2022-02-25,1.50100000,1.58200000,1.45300000,1.53500000,786872.12000000,1645833599999,1183347.89087000,2709,465939.83000000,699297.86470000,0
2022-02-26,1.53500000,1.62300000,1.48900000,1.49700000,674620.84000000,1645919999999,1046391.28967000,2073,324623.00000000,503721.51928000,0
2022-02-27,1.49400000,1.59300000,1.37200000,1.41200000,1172372.45000000,1646006399999,1741262.98010000,4715,657884.40000000,975333.46331000,0
2022-02-28,1.41000000,1.56100000,1.37600000,1.55900000,1115611.22000000,1646092799999,1620669.33611000,3453,525119.48000000,765990.75090000,0
2022-03-01,1.55900000,1.64500000,1.50300000,1.58500000,1559522.51000000,1646179199999,2437405.17150000,5758,769767.19000000,1204805.09731000,0
2022-03-02,1.58400000,1.58400000,1.45300000,1.46600000,715619.94000000,1646265599999,1087881.62917000,3511,350415.69000000,533771.13022000,0
2022-03-03,1.46400000,1.49300000,1.40300000,1.45700000,711366.39000000,1646351999999,1029822.60595000,2528,306463.29000000,442654.16805000,0
2022-03-04,1.45800000,1.48500000,1.27900000,1.32000000,967943.76000000,1646438399999,1308458.51066000,3810,414480.19000000,560986.19763000,0
2022-03-05,1.32300000,1.33000000,1.25200000,1.28100000,658309.28000000,1646524799999,847121.69383000,2952,409928.96000000,527780.35849000,0
2022-03-06,1.28200000,1.28400000,1.14900000,1.15000000,991700.54000000,1646611199999,1202745.57135000,3828,518521.50000000,632756.22007000,0
2022-03-07,1.14800000,1.77600000,1.10300000,1.58500000,13954611.06000000,1646697599999,21046061.80982000,46251,7009601.34000000,10625205.18747000,0
2022-03-08,1.58500000,1.83900000,1.46200000,1.52000000,9736682.49000000,1646783999999,15964748.90452000,34790,4573987.98000000,7527384.78974000,0
2022-03-09,1.51800000,1.76600000,1.42800000,1.60200000,6973185.40000000,1646870399999,11003763.86471000,21868,3581710.41000000,5643889.54423000,0
2022-03-10,1.60300000,1.69700000,1.45800000,1.51000000,5809747.27000000,1646956799999,9035588.72629000,16302,2844446.79000000,4424091.19505000,0
2022-03-11,1.51100000,1.86000000,1.48800000,1.70400000,7983309.12000000,1647043199999,13642496.28870000,25182,4093417.47000000,6996397.62933000,0
2022-03-12,1.70300000,1.96700000,1.67800000,1.86300000,6873781.19000000,1647129599999,12881525.41085000,24751,3435213.90000000,6444843.73921000,0
2022-03-13,1.86300000,1.98100000,1.66000000,1.69400000,4087781.95000000,1647215999999,7583094.67705000,13738,1921710.82000000,3573273.73355000,0
2022-03-14,1.68600000,1.74500000,1.56000000,1.65100000,2295212.18000000,1647302399999,3845910.60611000,8548,1108457.58000000,1859177.05662000,0
2022-03-15,1.65100000,1.66500000,1.50200000,1.51000000,1513890.92000000,1647388799999,2364300.13420000,5884,699041.84000000,1092031.66131000,0
2022-03-16,1.51300000,1.67200000,1.45200000,1.64900000,2265303.53000000,1647475199999,3474339.91927000,9357,1177231.67000000,1808824.83863000,0
2022-03-17,1.65200000,1.69200000,1.55500000,1.58600000,1521075.10000000,1647561599999,2462260.80888000,7357,682125.16000000,1105986.53101000,0
2022-03-18,1.58500000,1.64700000,1.49100000,1.64200000,1082442.86000000,1647647999999,1672460.36167000,4863,548695.28000000,851981.39501000,0
2022-03-19,1.64500000,2.21700000,1.59400000,2.08600000,8342461.57000000,1647734399999,16419930.49898000,42781,4086813.01000000,8041349.97442000,0
2022-03-20,2.08400000,2.36400000,1.93200000,2.18600000,5087911.87000000,1647820799999,10860102.75126000,27577,2438524.30000000,5216636.48678000,0
2022-03-21,2.19000000,2.30800000,1.99600000,2.14000000,3913976.06000000,1647907199999,8435191.12988000,17620,1906279.65000000,4111097.45567000,0
2022-03-22,2.14200000,2.44200000,2.08400000,2.31800000,3513074.59000000,1647993599999,8013473.68620000,16763,1739950.70000000,3981105.02800000,0
2022-03-23,2.31300000,2.42600000,2.14100000,2.27000000,3492836.37000000,1648079999999,7892249.20264000,15732,1675758.90000000,3801327.29097000,0
2022-03-24,2.27200000,2.36700000,2.10600000,2.16100000,2271255.64000000,1648166399999,4999914.34257000,10253,978787.09000000,2157420.96587000,0
2022-03-25,2.16400000,2.27700000,2.11000000,2.25500000,2467120.85000000,1648252799999,5406340.74035000,11453,1207649.72000000,2650828.84264000,0
2022-03-26,2.26000000,2.26800000,2.15200000,2.20200000,1080092.43000000,1648339199999,2386192.36936000,5533,593152.08000000,1309397.53722000,0
2022-03-27,2.20100000,2.40200000,2.17400000,2.32100000,2218044.46000000,1648425599999,5063767.71319000,12713,998141.91000000,2283694.26512000,0
2022-03-28,2.32200000,2.69100000,2.27200000,2.67500000,4185321.41000000,1648511999999,10500085.44396000,26221,2183676.29000000,5478836.32354000,0
2022-03-29,2.68000000,2.78900000,2.50500000,2.69900000,2973105.64000000,1648598399999,7905947.14823000,20541,1488649.55000000,3968304.63856000,0
2022-03-30,2.70000000,2.74100000,2.52300000,2.63900000,1482936.73000000,1648684799999,3901313.11176000,9877,631684.32000000,1665234.13548000,0
2022-03-31,2.63600000,2.84900000,2.29900000,2.35200000,2839976.44000000,1648771199999,7262152.75831000,14616,1360344.82000000,3501033.89441000,0
2022-04-01,2.35200000,2.56000000,2.21500000,2.49400000,2204299.03000000,1648857599999,5266698.77815000,11844,1081669.19000000,2591313.64942000,0
2022-04-02,2.49700000,2.77200000,2.40000000,2.42000000,2617595.86000000,1648943999999,6840005.17278000,16309,1276926.35000000,3346282.54818000,0
2022-04-03,2.42100000,2.67400000,2.34700000,2.61000000,1920720.07000000,1649030399999,4896247.76429000,13190,986933.66000000,2520397.47265000,0
