timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2021-11-22,0.00024850,0.00070890,0.00024850,0.00042400,31892858.40000000,1637625599999,13386.15595878,23801,14337582.80000000,6016.92639624,0
2021-11-23,0.00042400,0.00043800,0.00032630,0.00033880,10415737.60000000,1637711999999,3796.27104920,8403,4416547.80000000,1615.94965871,0
2021-11-24,0.00034050,0.00034050,0.00029450,0.00031470,3607588.80000000,1637798399999,1142.61279558,2771,1605996.00000000,509.61210695,0
2021-11-25,0.00031540,0.00038310,0.00027680,0.00032130,6072570.00000000,1637884799999,1911.15808230,3253,2691131.60000000,849.70963491,0
2021-11-26,0.00032200,0.00032350,0.00028970,0.00029250,5567081.30000000,1637971199999,1693.38186524,2225,2508919.80000000,766.98303994,0
2021-11-27,0.00029190,0.00031740,0.00028540,0.00029490,1771260.00000000,1638057599999,532.61313134,767,1061601.40000000,320.47768193,0
2021-11-28,0.00029470,0.00029470,0.00027340,0.00027690,2343221.20000000,1638143999999,663.61981750,1184,868033.20000000,245.11555216,0
2021-11-29,0.00027670,0.00028510,0.00026690,0.00026900,1200444.90000000,1638230399999,331.78632979,755,566586.60000000,156.90747506,0
2021-11-30,0.00026940,0.00028130,0.00024330,0.00026660,1332045.10000000,1638316799999,354.30808354,611,745050.10000000,200.02348435,0
2021-12-01,0.00026650,0.00027260,0.00025370,0.00026770,919914.20000000,1638403199999,242.83470354,643,374352.40000000,99.15775743,0
2021-12-02,0.00026710,0.00031500,0.00026200,0.00028280,2129079.60000000,1638489599999,595.97665035,1125,1046187.20000000,293.70932869,0
2021-12-03,0.00028630,0.00030110,0.00027030,0.00027280,1168817.00000000,1638575999999,330.50509849,700,538378.40000000,153.15982832,0
2021-12-04,0.00027450,0.00027800,0.00021960,0.00024670,3809908.20000000,1638662399999,956.74551909,1441,1305718.40000000,330.52414672,0
2021-12-05,0.00024430,0.00024840,0.00022840,0.00023620,1105441.90000000,1638748799999,262.21831537,568,375717.10000000,89.34687396,0
2021-12-06,0.00023660,0.00024280,0.00019240,0.00021530,2585235.50000000,1638835199999,558.34479841,957,989140.70000000,213.97687264,0
2021-12-07,0.00021500,0.00022050,0.00019880,0.00020360,2133204.10000000,1638921599999,457.54323957,668,596382.40000000,127.03504024,0
2021-12-08,0.00020190,0.00021450,0.00019250,0.00019670,1998193.90000000,1639007999999,403.40801673,718,930362.50000000,188.42671234,0
2021-12-09,0.00019750,0.00019810,0.00017690,0.00018130,2240676.00000000,1639094399999,413.58553638,870,1155312.30000000,212.31594796,0
2021-12-10,0.00018050,0.00018140,0.00016670,0.00017220,3197823.40000000,1639180799999,555.55317689,916,1457416.10000000,254.48661628,0
2021-12-11,0.00017200,0.00018250,0.00016160,0.00017960,6110828.30000000,1639267199999,1055.11511887,1234,3710641.60000000,649.43776535,0
2021-12-12,0.00018030,0.00018030,0.00016790,0.00017190,2978120.10000000,1639353599999,514.98286899,716,1039591.80000000,179.81756775,0
2021-12-13,0.00017120,0.00017170,0.00015740,0.00016150,2466703.80000000,1639439999999,408.76366421,670,854196.70000000,141.71196320,0
2021-12-14,0.00016090,0.00019490,0.00015880,0.00016430,4197947.50000000,1639526399999,691.87560955,953,2908502.30000000,482.38996751,0
2021-12-15,0.00016390,0.00017140,0.00016140,0.00017080,1984981.50000000,1639612799999,328.87634835,650,968178.40000000,161.00166223,0
2021-12-16,0.00017260,0.00017620,0.00015200,0.00015420,2694955.50000000,1639699199999,434.55303924,787,913716.60000000,146.71756198,0
2021-12-17,0.00015430,0.00015920,0.00013070,0.00013560,5153175.40000000,1639785599999,732.14760963,1268,1746234.30000000,249.84665970,0
2021-12-18,0.00013610,0.00013730,0.00013130,0.00013600,1978495.00000000,1639871999999,264.66967872,600,903438.30000000,121.16817689,0
2021-12-19,0.00013580,0.00014920,0.00013010,0.00013420,3465176.90000000,1639958399999,480.93627611,735,1750471.70000000,244.68888612,0
2021-12-20,0.00013380,0.00013470,0.00011990,0.00012490,3495876.20000000,1640044799999,439.27310283,709,1197805.70000000,150.07532643,0
2021-12-21,0.00012430,0.00023130,0.00012410,0.00018550,24818912.00000000,1640131199999,4471.49356216,6344,12428357.70000000,2196.28810686,0
2021-12-22,0.00018530,0.00019680,0.00016000,0.00016450,28405367.80000000,1640217599999,4991.43563122,8022,11461752.00000000,2035.82669385,0
