timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2022-03-25,0.57210000,0.68710000,0.56400000,0.58260000,265713648.00000000,1648252799999,157532523.31380000,39610,104744176.00000000,61978901.92820000,0
2022-03-26,0.58270000,0.60770000,0.52070000,0.54440000,296104964.00000000,1648339199999,165620528.67560000,38468,119044442.00000000,66889235.74550000,0
2022-03-27,0.54450000,0.55000000,0.49000000,0.54110000,398849019.00000000,1648425599999,207960100.59560000,45073,186011792.00000000,97094288.62700000,0
2022-03-28,0.54110000,0.55740000,0.50710000,0.50850000,450040085.00000000,1648511999999,242032486.24560000,42692,217284706.00000000,117349755.82440000,0
2022-03-29,0.50850000,0.53920000,0.48400000,0.50460000,219930005.00000000,1648598399999,112922388.44090000,22636,89615545.00000000,46182851.45740000,0
2022-03-30,0.50490000,0.59640000,0.49100000,0.55820000,642886205.00000000,1648684799999,357221601.47960000,65868,363760466.00000000,201869860.17700000,0
2022-03-31,0.55700000,0.56260000,0.49110000,0.52260000,438115403.00000000,1648771199999,227204182.67560000,46554,181908132.00000000,94379036.79980000,0
2022-04-01,0.52250000,0.52250000,0.45380000,0.48250000,542433649.00000000,1648857599999,260559296.39060000,51020,231378967.00000000,111332891.38060000,0
2022-04-02,0.48210000,0.49500000,0.45520000,0.45800000,385600915.00000000,1648943999999,183926479.17990000,37649,163399568.00000000,78269396.19710000,0
2022-04-03,0.45810000,0.46210000,0.41940000,0.43870000,429391816.00000000,1649030399999,189272061.69270000,39201,176750168.00000000,77955578.25710000,0
2022-04-04,0.43950000,0.46100000,0.42100000,0.44360000,702196817.00000000,1649116799999,312269261.75770000,51798,370433604.00000000,165272406.06390000,0
2022-04-05,0.44360000,0.46650000,0.42500000,0.42870000,431995854.00000000,1649203199999,193020715.54490000,37112,202142211.00000000,90825850.73900000,0
2022-04-06,0.42870000,0.51120000,0.42190000,0.47220000,1035757534.00000000,1649289599999,487348245.12670000,85075,591833433.00000000,278891599.53420000,0
2022-04-07,0.47220000,0.48650000,0.42780000,0.44700000,450661244.00000000,1649375999999,204616597.93470000,39250,208060012.00000000,94686706.40600000,0
2022-04-08,0.44700000,0.44810000,0.38470000,0.39290000,407849893.00000000,1649462399999,168240531.72810000,37037,163289935.00000000,67268799.61530000,0
2022-04-09,0.39260000,0.40890000,0.37390000,0.40330000,254620449.00000000,1649548799999,99371441.06760000,20566,122047698.00000000,47665695.13730000,0
2022-04-10,0.40350000,0.40600000,0.36800000,0.37370000,248601848.00000000,1649635199999,97429098.70300000,21941,118376891.00000000,46491224.75340000,0
