timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2021-06-17,0.53840000,0.98000000,0.53840000,0.62650000,39480341.00000000,1623974399999,26477803.71490000,111477,19020259.00000000,12783684.85710000,0
2021-06-18,0.62550000,0.63580000,0.49960000,0.52440000,8264534.00000000,1624060799999,4585137.33250000,27963,3736780.00000000,2072715.93670000,0
2021-06-19,0.52380000,0.52720000,0.44360000,0.45690000,7165116.00000000,1624147199999,3383114.73970000,18432,3071516.00000000,1447123.24610000,0
2021-06-20,0.45750000,0.47460000,0.39610000,0.41620000,4501000.00000000,1624233599999,1918312.36560000,11437,2102186.00000000,897334.99800000,0
2021-06-21,0.41680000,0.41680000,0.29590000,0.30090000,6488402.00000000,1624319999999,2267825.35220000,13720,2849977.00000000,990821.88140000,0
2021-06-22,0.29940000,0.32970000,0.23960000,0.25320000,9996387.00000000,1624406399999,2753467.78100000,19586,4450214.00000000,1229412.97920000,0
2021-06-23,0.25360000,0.30180000,0.24020000,0.27140000,5487142.00000000,1624492799999,1519710.84090000,9775,2729211.00000000,756128.95340000,0
2021-06-24,0.27100000,0.29600000,0.25620000,0.26990000,2925256.00000000,1624579199999,799702.46380000,6065,1355183.00000000,370799.46250000,0
2021-06-25,0.27040000,0.28900000,0.24290000,0.24310000,5373081.00000000,1624665599999,1416732.69080000,6750,2487143.00000000,654209.85260000,0
2021-06-26,0.24410000,0.24980000,0.22470000,0.24580000,4723544.00000000,1624751999999,1119039.18870000,5781,2330838.00000000,553020.08620000,0
2021-06-27,0.24560000,0.37050000,0.24300000,0.29790000,19605016.00000000,1624838399999,5633564.41530000,25043,9952144.00000000,2866128.81790000,0
2021-06-28,0.29780000,0.29800000,0.27320000,0.28500000,5494870.00000000,1624924799999,1562066.66430000,8917,2542081.00000000,724122.05400000,0
2021-06-29,0.28500000,0.31690000,0.27680000,0.28560000,3887970.00000000,1625011199999,1132751.65440000,6835,1873764.00000000,546904.51820000,0
