timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2020-11-03,172.68000000,214.96000000,145.00000000,156.46000000,7216.81842000,1604447999999,1311123.83809150,5522,3298.29189000,607710.68891140,0
2020-11-04,156.60000000,161.05000000,101.24000000,137.17000000,6024.82927000,1604534399999,801596.19025450,3700,2083.78069000,274452.03784620,0
2020-11-05,137.16000000,139.98000000,110.00000000,116.96000000,4751.67307000,1604620799999,590974.61714480,2899,1627.19198000,205259.16222400,0
2020-11-06,118.27000000,180.00000000,117.86000000,168.00000000,6257.93679000,1604707199999,896158.82045800,4517,3236.54527000,468588.18223520,0
2020-11-07,167.98000000,197.00000000,121.00000000,136.70000000,7174.90793000,1604793599999,1104009.97670150,5521,2383.42605000,374526.22839800,0
2020-11-08,135.10000000,143.62000000,122.00000000,137.87000000,2976.13648000,1604879999999,393977.76261310,2119,1520.59564000,202385.25335890,0
2020-11-09,137.88000000,168.00000000,120.10000000,124.20000000,6756.93550000,1604966399999,929984.88513420,4643,2945.96793000,413364.13027740,0
2020-11-10,124.19000000,133.27000000,103.02000000,121.57000000,10077.09025000,1605052799999,1195595.06272110,4411,4305.85304000,515015.54903590,0
2020-11-11,122.25000000,140.00000000,115.03000000,124.08000000,6444.58232000,1605139199999,811783.59692180,2938,2740.60857000,348493.88491430,0
2020-11-12,122.06000000,124.16000000,110.14000000,113.48000000,3112.79289000,1605225599999,366322.27348560,1407,895.17989000,105911.10360670,0
2020-11-13,113.37000000,117.00000000,90.25000000,94.12000000,7130.34462000,1605311999999,721610.59408330,3783,2818.20317000,286895.44157290,0
2020-11-14,94.13000000,98.35000000,82.01000000,88.11000000,6095.83744000,1605398399999,549433.82797090,1914,2634.44361000,238360.67709470,0
2020-11-15,89.24000000,125.00000000,87.28000000,114.00000000,12431.72939000,1605484799999,1347659.14465880,4536,6534.73599000,717541.58842580,0
2020-11-16,113.50000000,159.80000000,111.26000000,140.00000000,17082.21452000,1605571199999,2393831.04631090,7653,9259.95082000,1307672.66638180,0
2020-11-17,140.00000000,148.87000000,124.00000000,137.00000000,11410.62901000,1605657599999,1549022.02925770,5034,4819.19072000,658532.13402380,0
2020-11-18,137.56000000,167.01000000,131.00000000,147.89000000,13481.97723000,1605743999999,1977423.24866660,7290,6962.89969000,1026878.81687350,0
2020-11-19,146.35000000,190.00000000,133.00000000,174.89000000,14219.64312000,1605830399999,2242519.24415020,6886,7452.03482000,1184241.00057910,0
2020-11-20,174.98000000,275.00000000,174.98000000,218.45000000,30191.13127000,1605916799999,6993880.21467750,20381,16396.40097000,3772422.25457910,0
2020-11-21,218.45000000,264.00000000,205.00000000,246.98000000,13352.99693000,1606003199999,3186032.56172300,9181,6667.94139000,1595650.00526040,0
2020-11-22,247.00000000,248.99000000,190.03000000,214.47000000,17826.22088000,1606089599999,3825739.78546790,8021,8156.27945000,1751303.36039270,0
2020-11-23,214.00000000,281.22000000,205.00000000,262.00000000,16046.41977000,1606175999999,3989890.01316960,10385,8364.39492000,2082508.96386170,0
2020-11-24,260.81000000,269.28000000,193.00000000,212.65000000,24783.39351000,1606262399999,5492113.18655570,16553,9638.80523000,2151372.16712440,0
2020-11-25,212.98000000,219.18000000,166.60000000,176.23000000,16386.80666000,1606348799999,3124751.56044300,9896,6734.10997000,1291219.35527250,0
2020-11-26,178.55000000,189.00000000,125.00000000,166.80000000,19784.17762000,1606435199999,3099779.56558650,9091,8633.28527000,1361077.59240220,0
2020-11-27,167.00000000,198.00000000,160.00000000,182.40000000,16943.13410000,1606521599999,2970106.97962430,9056,8312.92828000,1471123.26164640,0
2020-11-28,182.40000000,219.18000000,172.85000000,205.98000000,10137.57672000,1606607999999,1969727.38497750,6170,5039.74989000,983123.03697060,0
2020-11-29,205.98000000,218.85000000,195.10000000,210.73000000,5523.27847000,1606694399999,1154766.44730310,3212,2441.28509000,512730.97296870,0
2020-11-30,210.99000000,221.00000000,180.00000000,188.04000000,9396.13114000,1606780799999,1861699.28170320,4837,3714.71681000,744195.23328720,0
2020-12-01,188.03000000,249.90000000,181.46000000,225.96000000,17905.98102000,1606867199999,3956858.36366870,10624,9041.27184000,1998824.43887980,0
2020-12-02,225.95000000,348.96000000,215.00000000,320.01000000,25176.44664000,1606953599999,6995354.34617570,17403,13946.57581000,3874443.75568270,0
