timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2022-03-18,64.96000000,78.26000000,62.64000000,66.27000000,1385.82000000,1647647999999,90013.57240000,355,712.03000000,46427.49320000,0
2022-03-19,66.27000000,71.12000000,66.21000000,69.67000000,1257.81000000,1647734399999,86422.97340000,329,513.99000000,35609.98770000,0
2022-03-20,69.52000000,73.77000000,68.30000000,68.74000000,2936.02000000,1647820799999,204922.80730000,422,1584.61000000,110797.98510000,0
2022-03-21,68.57000000,74.39000000,68.57000000,72.49000000,53261.68000000,1647907199999,3885276.91240000,683,24146.87000000,1778829.76430000,0
2022-03-22,71.77000000,73.93000000,65.05000000,70.69000000,1815.88000000,1647993599999,128086.62800000,480,582.49000000,41392.17820000,0
2022-03-23,70.34000000,74.00000000,69.02000000,72.45000000,1365.32000000,1648079999999,97768.38580000,349,787.20000000,56457.45080000,0
2022-03-24,71.56000000,74.87000000,69.52000000,70.98000000,2673.42000000,1648166399999,191852.98170000,571,1358.94000000,97893.56520000,0
2022-03-25,70.77000000,73.99000000,67.00000000,68.09000000,1844.66000000,1648252799999,129598.22940000,521,1023.59000000,72210.30800000,0
2022-03-26,69.02000000,74.87000000,61.91000000,69.73000000,2521.89000000,1648339199999,173127.71310000,536,1138.29000000,79834.39650000,0
2022-03-27,69.22000000,73.16000000,67.00000000,71.69000000,1675.89000000,1648425599999,116597.26590000,393,849.45000000,59505.25900000,0
2022-03-28,71.08000000,77.75000000,70.61000000,73.90000000,3904.12000000,1648511999999,290736.55580000,845,2235.19000000,166658.67450000,0
2022-03-29,74.08000000,84.00000000,73.22000000,82.52000000,5344.08000000,1648598399999,427519.31860000,1099,2636.43000000,211400.77080000,0
2022-03-30,83.16000000,84.77000000,78.70000000,81.01000000,2491.92000000,1648684799999,203233.31740000,622,1354.77000000,110583.86560000,0
2022-03-31,81.30000000,83.00000000,76.59000000,78.20000000,3312.60000000,1648771199999,264878.79550000,715,1274.55000000,102597.15060000,0
2022-04-01,78.35000000,82.91000000,75.32000000,80.87000000,1566.98000000,1648857599999,124851.27190000,472,941.22000000,75401.41610000,0
2022-04-02,81.33000000,95.63000000,81.33000000,87.82000000,3731.48000000,1648943999999,323106.02760000,660,2558.78000000,221742.53400000,0
2022-04-03,88.37000000,90.00000000,81.70000000,85.84000000,2271.85000000,1649030399999,197030.24450000,599,763.97000000,66822.43950000,0
2022-04-04,86.38000000,89.80000000,83.56000000,89.18000000,1734.97000000,1649116799999,149914.63950000,574,925.00000000,80397.82680000,0
2022-04-05,88.39000000,91.02000000,87.17000000,89.09000000,1195.74000000,1649203199999,106472.44170000,424,703.03000000,62703.34880000,0
2022-04-06,88.45000000,90.70000000,80.26000000,83.24000000,3289.44000000,1649289599999,278905.08660000,772,1337.66000000,114224.39570000,0
2022-04-07,83.78000000,83.78000000,76.88000000,79.45000000,4200.63000000,1649375999999,338935.98670000,714,1656.97000000,134262.02710000,0
2022-04-08,79.25000000,82.49000000,71.76000000,72.48000000,2665.54000000,1649462399999,205498.13360000,711,951.19000000,72907.41830000,0
2022-04-09,72.86000000,77.67000000,70.96000000,74.65000000,1404.52000000,1649548799999,102823.30650000,418,785.53000000,57890.09730000,0
