timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2020-07-30,0.04618000,0.07462000,0.04436000,0.04814000,296917.40000000,1596153599999,14229.95268800,60,165559.50000000,7924.55558400,0
2020-07-31,0.04650000,0.04806000,0.04197000,0.04687000,275410.00000000,1596239999999,12727.97201300,123,115326.90000000,5427.52600400,0
2020-08-01,0.04568000,0.04799000,0.04499000,0.04650000,255331.30000000,1596326399999,11857.48323700,99,120947.20000000,5628.67317100,0
2020-08-02,0.04619000,0.04704000,0.04343000,0.04475000,182234.20000000,1596412799999,8145.50177900,81,137967.30000000,6166.72930600,0
2020-08-03,0.04596000,0.04687000,0.04521000,0.04564000,51308.00000000,1596499199999,2355.80608400,55,32939.20000000,1515.92335600,0
2020-08-04,0.04530000,0.04662000,0.04448000,0.04530000,252691.40000000,1596585599999,11556.52453800,74,194596.40000000,8933.50383200,0
2020-08-05,0.04527000,0.05549000,0.04527000,0.05371000,1511168.00000000,1596671999999,75091.31023200,760,791230.10000000,39574.28785600,0
2020-08-06,0.05407000,0.06500000,0.04800000,0.05758000,3102344.70000000,1596758399999,179256.15010400,718,1069123.80000000,60938.62269800,0
2020-08-07,0.05791000,0.07602000,0.05791000,0.07483000,2786397.20000000,1596844799999,190235.85609500,2424,1128158.50000000,76936.20822400,0
2020-08-08,0.07487000,0.11109000,0.07296000,0.10195000,2024973.90000000,1596931199999,176353.34545300,1104,1050602.70000000,92964.70460500,0
2020-08-09,0.10362000,0.13528000,0.10000000,0.10000000,3746118.90000000,1597017599999,414213.18859100,1781,953513.20000000,105828.79548800,0
2020-08-10,0.10000000,0.11208000,0.09286000,0.10108000,3282093.60000000,1597103999999,332546.10150600,2040,1505109.80000000,153313.46684200,0
2020-08-11,0.10108000,0.10218000,0.08436000,0.09082000,1741639.30000000,1597190399999,159658.48197700,1128,798954.40000000,73121.00622300,0
2020-08-12,0.09027000,0.10151000,0.08581000,0.09812000,1537982.30000000,1597276799999,146916.40665600,771,707103.00000000,67985.14742100,0
2020-08-13,0.09791000,0.10486000,0.09125000,0.09264000,1279966.40000000,1597363199999,124585.64143600,742,584894.90000000,57416.81851500,0
2020-08-14,0.09154000,0.10355000,0.09061000,0.09486000,1118356.60000000,1597449599999,106973.40196100,620,489304.50000000,47399.46634900,0
2020-08-15,0.09573000,0.10144000,0.09500000,0.09846000,826166.20000000,1597535999999,80602.58206500,576,485962.50000000,47598.93879800,0
2020-08-16,0.09883000,0.10015000,0.09410000,0.09841000,681020.70000000,1597622399999,66366.62417500,408,181848.70000000,17820.71583700,0
2020-08-17,0.09841000,0.09999000,0.09475000,0.09599000,1741161.90000000,1597708799999,170524.97251300,724,1500288.20000000,147117.81528500,0
2020-08-18,0.09602000,0.09602000,0.08643000,0.09018000,699973.90000000,1597795199999,63679.85475400,426,290105.60000000,26523.36575500,0
2020-08-19,0.09047000,0.09150000,0.08073000,0.08312000,547033.30000000,1597881599999,46732.79537700,363,223463.60000000,19131.31493200,0
2020-08-20,0.08323000,0.09133000,0.08113000,0.09132000,391977.10000000,1597967999999,33605.51004000,239,228004.20000000,19490.46181600,0
2020-08-21,0.09165000,0.09451000,0.08495000,0.09416000,1292964.10000000,1598054399999,116371.74883800,915,830760.00000000,74847.99003000,0
2020-08-22,0.09440000,0.11196000,0.08666000,0.09622000,4036751.40000000,1598140799999,405875.14920700,1863,2042694.90000000,205922.74220900,0
2020-08-23,0.09694000,0.09725000,0.08910000,0.09233000,346534.70000000,1598227199999,31806.72883100,294,121101.70000000,11203.79085200,0
2020-08-24,0.09144000,0.09660000,0.09104000,0.09174000,572701.30000000,1598313599999,53529.41525600,412,261582.50000000,24573.31893700,0
2020-08-25,0.09148000,0.09309000,0.08277000,0.08577000,286046.50000000,1598399999999,25101.15873200,218,84865.70000000,7519.44064200,0
2020-08-26,0.08531000,0.08717000,0.08387000,0.08687000,226264.40000000,1598486399999,19432.40526100,162,111128.00000000,9585.94818700,0
2020-08-27,0.08711000,0.09446000,0.08650000,0.09446000,1134186.10000000,1598572799999,102663.26978600,598,474369.40000000,43119.99173600,0
2020-08-28,0.09416000,0.11369000,0.09136000,0.10660000,2515815.00000000,1598659199999,267145.87380200,1147,1287883.40000000,137867.54374200,0
2020-08-29,0.10726000,0.12148000,0.10143000,0.10905000,2517597.00000000,1598745599999,282221.26069500,1203,1345297.50000000,153501.64216600,0
2020-08-30,0.10856000,0.11149000,0.10196000,0.10370000,636713.60000000,1598831999999,67238.21649900,374,241558.80000000,25451.95253900,0
2020-08-31,0.10370000,0.10585000,0.09729000,0.09907000,618861.10000000,1598918399999,61742.36693300,303,266479.60000000,26571.08912600,0
2020-09-01,0.09839000,0.10201000,0.09637000,0.10093000,539819.60000000,1599004799999,53305.22536000,330,160812.60000000,16025.84793600,0
2020-09-02,0.10100000,0.10431000,0.09063000,0.10051000,817968.10000000,1599091199999,80587.35859300,445,349760.40000000,34749.09915000,0
2020-09-03,0.10027000,0.10101000,0.08100000,0.08245000,1077618.10000000,1599177599999,98660.13736300,759,408068.90000000,37603.18384400,0
2020-09-04,0.08255000,0.08960000,0.08120000,0.08777000,857995.70000000,1599263999999,73235.48407500,576,421144.00000000,36093.29619200,0
2020-09-05,0.08750000,0.08980000,0.07215000,0.07818000,780092.90000000,1599350399999,64271.73385600,543,273354.90000000,22868.61639500,0
2020-09-06,0.07880000,0.08041000,0.07251000,0.07850000,644936.40000000,1599436799999,49948.71789100,405,269889.50000000,20907.26187100,0
2020-09-07,0.07909000,0.08078000,0.07019000,0.07705000,551827.60000000,1599523199999,41175.22252500,283,247777.60000000,18581.60141900,0
2020-09-08,0.07706000,0.07706000,0.07100000,0.07387000,400586.30000000,1599609599999,29278.64026900,225,95425.30000000,7038.81284800,0
2020-09-09,0.07348000,0.07879000,0.07169000,0.07737000,648114.40000000,1599695999999,49108.12829700,294,323625.10000000,24451.96961200,0
2020-09-10,0.07803000,0.08234000,0.07698000,0.08234000,682476.00000000,1599782399999,54085.53247200,343,332830.80000000,26487.44152900,0
2020-09-11,0.08267000,0.08613000,0.08011000,0.08524000,733778.60000000,1599868799999,61372.28555500,314,465529.30000000,38996.37216400,0
2020-09-12,0.08444000,0.08529000,0.08162000,0.08509000,356991.50000000,1599955199999,29933.91711500,181,172507.70000000,14523.60221900,0
2020-09-13,0.08510000,0.08571000,0.07901000,0.08190000,459887.40000000,1600041599999,37887.71082400,233,143639.30000000,11847.94582100,0
2020-09-14,0.07995000,0.08354000,0.07944000,0.08192000,231449.20000000,1600127999999,18972.74231200,138,181291.50000000,14871.02881000,0
2020-09-15,0.08243000,0.08356000,0.07935000,0.07942000,323454.70000000,1600214399999,26149.13383400,147,56073.30000000,4561.24483400,0
2020-09-16,0.07901000,0.08021000,0.07627000,0.07793000,370642.00000000,1600300799999,29108.34040900,219,217840.80000000,17160.14395000,0
2020-09-17,0.07847000,0.08150000,0.07682000,0.08045000,321120.50000000,1600387199999,25370.19470500,184,110567.90000000,8767.05086400,0
2020-09-18,0.08009000,0.08297000,0.07857000,0.07904000,210939.90000000,1600473599999,17029.01441800,153,119774.00000000,9689.63567200,0
2020-09-19,0.07874000,0.08068000,0.07849000,0.08068000,188513.80000000,1600559999999,14999.10214400,121,84834.50000000,6762.36431100,0
