timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2019-04-26,0.00036000,0.00047000,0.00021000,0.00023500,1061774172.00000000,1556323199999,266056.01120600,13686,482258631.00000000,121831.52118800,0
2019-04-27,0.00023500,0.00025700,0.00022800,0.00023500,204940573.00000000,1556409599999,49112.55999300,4084,86809263.00000000,20886.52291800,0
2019-04-28,0.00023300,0.00023500,0.00018700,0.00019100,213630520.00000000,1556495999999,45057.18017900,3529,74119672.00000000,15599.67019100,0
2019-04-29,0.00019200,0.00019800,0.00015900,0.00016000,159163291.00000000,1556582399999,28778.31964200,2528,72476243.00000000,13223.84616100,0
2019-04-30,0.00016100,0.00023100,0.00016100,0.00020000,284312700.00000000,1556668799999,58197.11012300,4851,119367174.00000000,24242.60615300,0
2019-05-01,0.00020100,0.00021100,0.00018700,0.00019800,146696467.00000000,1556755199999,28617.49222900,2360,55409008.00000000,10817.46328600,0
2019-05-02,0.00019800,0.00021600,0.00017100,0.00017900,132610670.00000000,1556841599999,25423.96925900,1763,53812679.00000000,10319.32878900,0
2019-05-03,0.00017800,0.00018600,0.00016900,0.00017700,50882951.00000000,1556927999999,8928.60620700,745,23139237.00000000,4080.60239600,0
2019-05-04,0.00017800,0.00018300,0.00016900,0.00017300,37409349.00000000,1557014399999,6577.46613400,538,14696424.00000000,2599.38614300,0
2019-05-05,0.00017300,0.00017700,0.00015900,0.00016300,30801981.00000000,1557100799999,5155.86326600,459,10871634.00000000,1849.30079900,0
2019-05-06,0.00016200,0.00017700,0.00015600,0.00017100,51288398.00000000,1557187199999,8620.46874700,824,24741306.00000000,4182.91600100,0
2019-05-07,0.00016800,0.00017400,0.00016100,0.00016100,28769455.00000000,1557273599999,4794.49141500,428,9280598.00000000,1554.49523500,0
2019-05-08,0.00016100,0.00017300,0.00015700,0.00016300,79118938.00000000,1557359999999,12869.30144900,763,42362755.00000000,6939.31636500,0
2019-05-09,0.00016300,0.00017100,0.00015400,0.00016700,84008096.00000000,1557446399999,13619.25631800,1011,48299055.00000000,7866.26812400,0
2019-05-10,0.00016700,0.00019800,0.00016200,0.00019300,118688867.00000000,1557532799999,21854.05147100,2037,61073759.00000000,11305.38422700,0
2019-05-11,0.00019300,0.00023500,0.00018700,0.00021900,156718541.00000000,1557619199999,33115.78790000,2590,92717509.00000000,19691.65392700,0
2019-05-12,0.00022100,0.00027200,0.00021500,0.00025300,218242818.00000000,1557705599999,54922.43472400,3912,106043346.00000000,26802.68237800,0
2019-05-13,0.00025400,0.00039800,0.00024900,0.00037000,424202072.00000000,1557791999999,136629.80163800,8404,187890654.00000000,60308.87859300,0
2019-05-14,0.00036800,0.00047500,0.00030500,0.00033100,395361387.00000000,1557878399999,158613.60459700,10483,181372943.00000000,73089.45730900,0
2019-05-15,0.00032600,0.00037800,0.00026700,0.00035600,203963453.00000000,1557964799999,68396.88763600,5446,86934786.00000000,28994.30491700,0
2019-05-16,0.00035600,0.00046400,0.00030100,0.00041400,187175651.00000000,1558051199999,73318.99790700,11066,75757664.00000000,29687.60364600,0
2019-05-17,0.00041400,0.00061000,0.00038100,0.00056300,746638039.00000000,1558137599999,392625.68117000,39655,296149879.00000000,155334.48217400,0
2019-05-18,0.00056400,0.00058100,0.00042100,0.00042800,268524346.00000000,1558223999999,131267.06803300,21224,137582410.00000000,66950.55244000,0
2019-05-19,0.00042900,0.00070400,0.00042900,0.00069200,447574237.00000000,1558310399999,267818.00506400,43818,203969931.00000000,123284.95730300,0
2019-05-20,0.00069300,0.00119000,0.00065500,0.00100300,682845164.00000000,1558396799999,611991.46471600,86152,288674565.00000000,262861.99349700,0
2019-05-21,0.00100300,0.00160000,0.00075300,0.00091000,954324369.00000000,1558483199999,1118385.78860400,128854,418796771.00000000,488456.57142800,0
2019-05-22,0.00091200,0.00099900,0.00064000,0.00071800,516841208.00000000,1558569599999,401700.70345000,66408,234730548.00000000,181780.37643400,0
2019-05-23,0.00071800,0.00111800,0.00070700,0.00086800,685061045.00000000,1558655999999,634878.27070800,78602,315994472.00000000,291453.48457300,0
2019-05-24,0.00086900,0.00090900,0.00066600,0.00074200,390460327.00000000,1558742399999,295946.32192600,53860,182156215.00000000,137954.67658700,0
2019-05-25,0.00074200,0.00081100,0.00067000,0.00070400,345797407.00000000,1558828799999,256239.05990600,40606,158505612.00000000,117118.28289900,0
2019-05-26,0.00070500,0.00081600,0.00068900,0.00073000,234696969.00000000,1558915199999,178015.76383800,32131,121263230.00000000,92150.67442800,0
2019-05-27,0.00073100,0.00074000,0.00060900,0.00066800,185936858.00000000,1559001599999,124610.24060500,26741,76779260.00000000,51487.09517000,0
2019-05-28,0.00066700,0.00077400,0.00060800,0.00071800,208556715.00000000,1559087999999,145536.18224700,29085,96818236.00000000,67180.25201500,0
2019-05-29,0.00071800,0.00076000,0.00065500,0.00065900,132361857.00000000,1559174399999,93090.65487800,18631,54549027.00000000,38501.38286200,0
2019-05-30,0.00065900,0.00069000,0.00060300,0.00062300,131698372.00000000,1559260799999,85718.08115900,17570,59186659.00000000,38656.35329000,0
2019-05-31,0.00062400,0.00072000,0.00061000,0.00067300,119922196.00000000,1559347199999,80457.80061800,16834,65053541.00000000,43614.70235200,0
2019-06-01,0.00067300,0.00069600,0.00060700,0.00063300,96900250.00000000,1559433599999,62751.60022400,15237,43875607.00000000,28459.62702700,0
2019-06-02,0.00063400,0.00066800,0.00058900,0.00060800,61652806.00000000,1559519999999,39022.91818900,9109,26164147.00000000,16636.86589700,0
2019-06-03,0.00060900,0.00066200,0.00059700,0.00062100,104558032.00000000,1559606399999,65138.05492900,10847,54918237.00000000,34194.37048500,0
2019-06-04,0.00062000,0.00075500,0.00059900,0.00073300,164190170.00000000,1559692799999,109206.23506300,21939,80952201.00000000,54449.22702300,0
2019-06-05,0.00073200,0.00077000,0.00065400,0.00074100,197948824.00000000,1559779199999,140095.05912600,27682,84517220.00000000,59874.02448700,0
2019-06-06,0.00074000,0.00080000,0.00071400,0.00075900,153546167.00000000,1559865599999,115764.11093100,29173,61588840.00000000,46572.92476500,0
2019-06-07,0.00075900,0.00080000,0.00071200,0.00077400,67552857.00000000,1559951999999,50707.08134100,14497,35754057.00000000,26989.52796400,0
2019-06-08,0.00077400,0.00084000,0.00073900,0.00081400,94915302.00000000,1560038399999,75709.61141100,23910,40855375.00000000,32603.65919100,0
2019-06-09,0.00081400,0.00087500,0.00079100,0.00084200,108251194.00000000,1560124799999,91240.00519200,28132,45582463.00000000,38417.56639900,0
2019-06-10,0.00084200,0.00085900,0.00078000,0.00084200,79408606.00000000,1560211199999,64953.31645000,25873,36135562.00000000,29598.18424700,0
2019-06-11,0.00084300,0.00085900,0.00073500,0.00075000,79996993.00000000,1560297599999,62819.95777600,23659,36189793.00000000,28454.00549200,0
2019-06-12,0.00074900,0.00075900,0.00065600,0.00066100,105468647.00000000,1560383999999,74780.76383800,22036,48308936.00000000,34346.27285400,0
2019-06-13,0.00066100,0.00071200,0.00062700,0.00065600,95563343.00000000,1560470399999,63122.22849400,19748,49462663.00000000,32681.96483400,0
2019-06-14,0.00065600,0.00070200,0.00062200,0.00063400,99406673.00000000,1560556799999,65002.63296500,25922,48441934.00000000,31780.91210500,0
2019-06-15,0.00063600,0.00069200,0.00061800,0.00066600,88708587.00000000,1560643199999,58239.18686900,19196,41432601.00000000,27269.02909500,0
2019-06-16,0.00066600,0.00070800,0.00063400,0.00069600,63368960.00000000,1560729599999,42354.65126400,19386,31759652.00000000,21273.58793700,0
2019-06-17,0.00069600,0.00073500,0.00063000,0.00064200,65454104.00000000,1560815999999,44505.49986700,18087,32188034.00000000,21939.99842000,0
2019-06-18,0.00064200,0.00066600,0.00061300,0.00065200,50064595.00000000,1560902399999,32072.03086400,12604,23649382.00000000,15154.22515800,0
2019-06-19,0.00065300,0.00069200,0.00063400,0.00065500,79876763.00000000,1560988799999,53123.32667900,17942,39571215.00000000,26364.49083600,0
2019-06-20,0.00065600,0.00068500,0.00060400,0.00060800,90550379.00000000,1561075199999,57346.00073400,17500,43805728.00000000,27766.02349000,0
2019-06-21,0.00060800,0.00064200,0.00053600,0.00054500,84523759.00000000,1561161599999,49802.28589900,11907,40248843.00000000,23759.69765600,0
2019-06-22,0.00054400,0.00059700,0.00053000,0.00057700,90191857.00000000,1561247999999,50293.95705600,11319,46788708.00000000,25998.93728300,0
2019-06-23,0.00057600,0.00059000,0.00055500,0.00056500,29930671.00000000,1561334399999,17126.29560500,6046,14249807.00000000,8158.23182700,0
2019-06-24,0.00056500,0.00058800,0.00054100,0.00055300,34952662.00000000,1561420799999,19694.03819700,5403,17449748.00000000,9834.44763200,0
2019-06-25,0.00055300,0.00055600,0.00052300,0.00053000,48016967.00000000,1561507199999,25859.03502100,7480,21384939.00000000,11527.89074500,0
2019-06-26,0.00053100,0.00054100,0.00045100,0.00049700,143896056.00000000,1561593599999,71088.89302600,18676,70407505.00000000,34881.90270000,0
2019-06-27,0.00049700,0.00062500,0.00048300,0.00056500,140361381.00000000,1561679999999,79849.60752000,29661,69161308.00000000,39474.53233400,0
2019-06-28,0.00056600,0.00061500,0.00055100,0.00055400,67469337.00000000,1561766399999,38962.14984300,18609,30388243.00000000,17580.41222300,0
2019-06-29,0.00055500,0.00075300,0.00055500,0.00067900,136471495.00000000,1561852799999,91110.62466900,31180,66813229.00000000,44549.51290400,0
2019-06-30,0.00067900,0.00077300,0.00067200,0.00069000,140902487.00000000,1561939199999,101952.22542300,30337,69441456.00000000,50365.37086200,0
2019-07-01,0.00069200,0.00071200,0.00056000,0.00067200,84853022.00000000,1562025599999,56655.99509000,18537,41578015.00000000,27803.72833600,0
2019-07-02,0.00067200,0.00068300,0.00059800,0.00062500,49717231.00000000,1562111999999,31597.61898700,13215,21327192.00000000,13553.59129900,0
2019-07-03,0.00062600,0.00064000,0.00057800,0.00059100,81358378.00000000,1562198399999,49568.04818300,15013,31481094.00000000,19237.05469400,0
2019-07-04,0.00059200,0.00059300,0.00051200,0.00054400,77451148.00000000,1562284799999,42493.27884100,13101,33203332.00000000,18247.30657600,0
