timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2021-07-05,0.00235200,0.00750000,0.00235200,0.00301100,49992.05000000,1625529599999,158.97354276,20354,24991.53000000,79.79608836,0
2021-07-06,0.00300900,0.00348300,0.00294900,0.00295600,17579.02000000,1625615999999,55.20633688,8100,8384.46000000,26.38092861,0
2021-07-07,0.00295900,0.00310400,0.00271200,0.00272700,4090.99000000,1625702399999,11.90214215,3317,2107.00000000,6.14811492,0
2021-07-08,0.00272600,0.00281500,0.00253600,0.00253600,4576.46000000,1625788799999,12.31956278,2673,2104.80000000,5.67376555,0
2021-07-09,0.00255000,0.00275000,0.00241800,0.00264300,4140.05000000,1625875199999,10.42238829,1483,1970.10000000,4.96450197,0
2021-07-10,0.00266700,0.00306200,0.00262500,0.00279500,16218.80000000,1625961599999,46.06262788,8453,8360.07000000,23.78350329,0
2021-07-11,0.00278700,0.00279300,0.00262500,0.00264300,2627.49000000,1626047999999,7.07381001,1850,1290.63000000,3.48203319,0
2021-07-12,0.00264700,0.00269200,0.00253900,0.00258400,1258.67000000,1626134399999,3.30521572,734,641.45000000,1.68229933,0
2021-07-13,0.00259000,0.00278200,0.00248600,0.00248600,2976.77000000,1626220799999,7.74648907,1400,1439.45000000,3.77142410,0
2021-07-14,0.00250600,0.00264000,0.00239700,0.00246800,3050.85000000,1626307199999,7.54564515,1226,1232.63000000,3.05724973,0
2021-07-15,0.00247000,0.00257400,0.00237700,0.00240500,2186.55000000,1626393599999,5.35368976,914,905.98000000,2.22932970,0
2021-07-16,0.00243900,0.00288700,0.00236100,0.00242800,6566.95000000,1626479999999,17.25621379,2793,3137.88000000,8.23775265,0
2021-07-17,0.00242700,0.00266400,0.00237600,0.00245400,4092.70000000,1626566399999,10.06119092,1632,2243.14000000,5.51876231,0
2021-07-18,0.00244900,0.00246300,0.00238400,0.00240800,1458.34000000,1626652799999,3.53306331,531,676.08000000,1.63808928,0
2021-07-19,0.00240400,0.00244800,0.00219500,0.00221400,2657.59000000,1626739199999,6.19827294,1181,1337.41000000,3.13423069,0
2021-07-20,0.00220400,0.00226900,0.00211200,0.00216100,2111.71000000,1626825599999,4.60847476,968,1072.68000000,2.34446812,0
2021-07-21,0.00216400,0.00249600,0.00209100,0.00222800,2609.54000000,1626911999999,5.83806930,1393,1413.69000000,3.14894049,0
2021-07-22,0.00222800,0.00227500,0.00213900,0.00218200,3431.66000000,1626998399999,7.56191891,1441,1788.51000000,3.94881185,0
2021-07-23,0.00218100,0.00224100,0.00213800,0.00214800,1973.28000000,1627084799999,4.30885658,935,923.94000000,2.01965443,0
2021-07-24,0.00216100,0.00223300,0.00203600,0.00205200,2485.17000000,1627171199999,5.28055502,936,1264.10000000,2.69392255,0
2021-07-25,0.00205900,0.00226200,0.00205200,0.00212200,3713.51000000,1627257599999,7.87100047,1374,1881.76000000,3.97990098,0
2021-07-26,0.00212100,0.00212100,0.00189600,0.00191100,3617.92000000,1627343999999,7.09242553,1481,1875.10000000,3.65920839,0
2021-07-27,0.00192800,0.00192800,0.00183400,0.00183500,1572.45000000,1627430399999,2.95631819,719,783.29000000,1.47447496,0
2021-07-28,0.00183100,0.00187200,0.00177500,0.00181200,4386.97000000,1627516799999,8.00301469,1265,1819.46000000,3.31695761,0
2021-07-29,0.00181200,0.00184700,0.00180400,0.00182200,951.40000000,1627603199999,1.73281927,587,394.65000000,0.71874473,0
2021-07-30,0.00182900,0.00208800,0.00181800,0.00185400,4073.09000000,1627689599999,7.87752642,2029,2181.64000000,4.21685120,0
2021-07-31,0.00184800,0.00190300,0.00182400,0.00190300,1214.81000000,1627775999999,2.25093398,2157,513.63000000,0.95221193,0
2021-08-01,0.00189800,0.00245000,0.00186900,0.00209400,8175.19000000,1627862399999,17.53589890,4834,3428.38000000,7.40704132,0
2021-08-02,0.00209300,0.00312000,0.00197900,0.00271800,41418.39000000,1627948799999,107.85121344,20550,20316.79000000,53.16313323,0
2021-08-03,0.00272900,0.00341000,0.00263700,0.00276500,38409.46000000,1628035199999,116.67939736,19078,18106.73000000,55.00186591,0
2021-08-04,0.00275700,0.00282000,0.00251600,0.00253700,12840.11000000,1628121599999,34.26569589,6519,6295.37000000,16.85873518,0
2021-08-05,0.00254300,0.00259900,0.00231300,0.00231300,6064.79000000,1628207999999,14.94309206,3175,2982.45000000,7.35409653,0
2021-08-06,0.00231600,0.00238900,0.00218400,0.00220100,4026.17000000,1628294399999,9.21149792,2116,1980.93000000,4.54443739,0
2021-08-07,0.00220900,0.00229400,0.00213700,0.00214600,4050.24000000,1628380799999,8.96980680,1983,2401.93000000,5.32869450,0
2021-08-08,0.00214600,0.00215300,0.00201900,0.00205700,3060.70000000,1628467199999,6.36203855,1651,1529.21000000,3.18517363,0
2021-08-09,0.00205700,0.00208700,0.00198600,0.00199200,2387.24000000,1628553599999,4.86059496,1459,1250.11000000,2.54812674,0
