timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2021-11-08,0.60240000,0.80000000,0.60020000,0.60440000,5079.74300000,1636415999999,3333.37333670,6902,2406.92600000,1579.81512350,0
2021-11-09,0.60170000,0.63340000,0.57260000,0.59400000,1461.02700000,1636502399999,877.70622520,1528,748.49200000,450.17352250,0
2021-11-10,0.59100000,0.59190000,0.51970000,0.54290000,1313.62100000,1636588799999,734.59602800,1757,588.90900000,330.57639470,0
2021-11-11,0.54430000,0.59780000,0.51460000,0.59650000,1169.61800000,1636675199999,640.91751530,1590,671.82900000,370.46825260,0
2021-11-12,0.59120000,0.61420000,0.54300000,0.55830000,1168.24900000,1636761599999,663.70163120,1502,551.41300000,315.29708250,0
2021-11-13,0.55690000,0.57990000,0.53610000,0.54640000,1065.35700000,1636847999999,590.09950290,872,398.68600000,222.03431030,0
2021-11-14,0.54670000,0.60760000,0.53350000,0.57160000,1116.55600000,1636934399999,632.16917370,1444,560.17400000,317.94249620,0
2021-11-15,0.57060000,0.68400000,0.55760000,0.60490000,2389.38000000,1637020799999,1483.73430030,3067,1253.23800000,783.05717450,0
2021-11-16,0.60000000,0.66460000,0.56570000,0.59570000,2372.24400000,1637107199999,1423.40337780,2144,1049.41600000,633.53650480,0
2021-11-17,0.59600000,0.66970000,0.59000000,0.60540000,2900.92800000,1637193599999,1794.98001590,2128,958.02600000,597.90979080,0
2021-11-18,0.60530000,0.62640000,0.57270000,0.60200000,2566.45500000,1637279999999,1520.65273810,1959,1256.05300000,747.66145840,0
2021-11-19,0.60110000,0.60690000,0.57120000,0.58670000,1169.06900000,1637366399999,692.90882410,1115,634.83000000,377.89491920,0
2021-11-20,0.58590000,0.71100000,0.56360000,0.66260000,1434.08700000,1637452799999,902.76776890,2160,705.43500000,444.21175670,0
2021-11-21,0.66260000,0.72980000,0.62820000,0.65880000,2684.10000000,1637539199999,1837.90606390,3027,1350.43100000,925.01188160,0
2021-11-22,0.65360000,0.72090000,0.64160000,0.66650000,3080.25500000,1637625599999,2084.38572400,2450,1391.51900000,947.46976330,0
2021-11-23,0.66650000,0.68250000,0.63290000,0.67920000,1638.67000000,1637711999999,1077.67475420,1568,574.21600000,381.35312410,0
2021-11-24,0.67610000,0.69510000,0.59680000,0.60110000,1217.46400000,1637798399999,773.56726180,1348,646.26300000,411.86465570,0
2021-11-25,0.60350000,0.61210000,0.54000000,0.55860000,659.62200000,1637884799999,374.72057460,897,289.35200000,164.69926710,0
2021-11-26,0.55790000,0.56270000,0.50960000,0.52890000,2137.69500000,1637971199999,1154.05891870,1845,962.46300000,519.26760600,0
2021-11-27,0.53010000,0.56290000,0.52490000,0.53870000,1361.12600000,1638057599999,741.39567150,1133,713.80900000,388.90893390,0
2021-11-28,0.54130000,0.55330000,0.49320000,0.51430000,935.64900000,1638143999999,483.04451050,1041,332.05500000,172.06894300,0
