timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2022-04-29,2.20100000,5.64800000,2.09900000,2.34300000,6313500.45000000,1651276799999,17877178.38730000,56121,2810146.58000000,7852395.66172000,0
2022-04-30,2.34300000,3.08000000,2.27200000,2.33200000,9984306.24000000,1651363199999,26264777.17771000,76142,4731429.96000000,12472853.18229000,0
2022-05-01,2.33700000,2.44500000,2.15000000,2.26700000,1692960.14000000,1651449599999,3873073.60852000,16668,736467.65000000,1691063.59316000,0
2022-05-02,2.26300000,2.34600000,2.12000000,2.20700000,806938.52000000,1651535999999,1789310.36664000,8377,387845.16000000,861374.19421000,0
2022-05-03,2.20700000,2.25400000,2.01100000,2.02700000,641076.39000000,1651622399999,1377580.25721000,6635,250397.06000000,541667.91708000,0
2022-05-04,2.03200000,2.29100000,2.01000000,2.18700000,670286.46000000,1651708799999,1429075.41037000,7782,358044.54000000,763415.27454000,0
2022-05-05,2.19000000,2.24400000,1.85500000,2.02000000,885865.96000000,1651795199999,1816801.92747000,10395,368169.19000000,755952.35935000,0
2022-05-06,2.02200000,2.03800000,1.80100000,1.88200000,340283.12000000,1651881599999,658367.37746000,4284,142853.53000000,277639.69095000,0
2022-05-07,1.88800000,2.01400000,1.83600000,1.89000000,436532.02000000,1651967999999,838801.64005000,3872,214767.02000000,413445.64981000,0
2022-05-08,1.89300000,1.94100000,1.79800000,1.87200000,478583.99000000,1652054399999,882594.93883000,3057,215724.93000000,398133.45153000,0
2022-05-09,1.87500000,1.91400000,1.62700000,1.67300000,563457.20000000,1652140799999,1004912.42052000,3878,258538.15000000,461501.37679000,0
2022-05-10,1.67300000,1.86000000,1.56400000,1.73100000,543152.10000000,1652227199999,953520.43235000,4364,272528.73000000,478687.15637000,0
2022-05-11,1.73600000,1.78400000,1.24000000,1.40000000,930208.68000000,1652313599999,1401182.45548000,5261,396591.43000000,594763.11162000,0
2022-05-12,1.39900000,1.59300000,0.87100000,1.23700000,930025.34000000,1652399999999,1135440.27394000,5328,456734.31000000,561985.72188000,0
2022-05-13,1.22700000,1.42200000,1.21000000,1.30500000,327430.02000000,1652486399999,442032.18899000,2667,159096.83000000,214756.71434000,0
2022-05-14,1.30400000,1.35700000,1.25200000,1.35400000,454039.00000000,1652572799999,595804.75274000,2581,186696.72000000,245001.03064000,0
2022-05-15,1.35300000,1.41300000,1.30600000,1.39800000,252893.74000000,1652659199999,342204.57468000,1366,119993.17000000,162693.20895000,0
