timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2021-03-08,0.28160000,0.79000000,0.28160000,0.43380000,33686750.13000000,1615247999999,15443091.99926900,75514,15718746.08000000,7202853.94633600,0
2021-03-09,0.43410000,0.44150000,0.36530000,0.40320000,13697726.37000000,1615334399999,5474843.06317700,36384,6716942.41000000,2680094.03351500,0
2021-03-10,0.40250000,0.40880000,0.34010000,0.34580000,3688521.78000000,1615420799999,1377361.71993600,9949,1583583.90000000,592770.41250300,0
2021-03-11,0.34550000,0.39390000,0.33140000,0.37820000,3184017.38000000,1615507199999,1150430.90809300,10535,1762435.57000000,639629.57017400,0
2021-03-12,0.37990000,0.42450000,0.35140000,0.37940000,3028579.99000000,1615593599999,1178290.87745700,9969,1459401.75000000,571198.31535900,0
2021-03-13,0.37810000,0.49110000,0.37000000,0.42910000,4093257.17000000,1615679999999,1734984.37584900,12414,2042180.50000000,866107.97011300,0
2021-03-14,0.42770000,0.76460000,0.42770000,0.73020000,7219305.60000000,1615766399999,3923647.54752200,25858,3793476.83000000,2062864.92075600,0
2021-03-15,0.73900000,0.88050000,0.53610000,0.72340000,18523840.25000000,1615852799999,13092144.59232700,72297,9131117.71000000,6487136.73245700,0
2021-03-16,0.72410000,0.72420000,0.50670000,0.58180000,6554366.02000000,1615939199999,3950572.05671900,30296,2917790.51000000,1759411.37959800,0
2021-03-17,0.58270000,0.58440000,0.50530000,0.54850000,3003774.56000000,1616025599999,1634187.87822100,13144,1393424.88000000,760701.76581100,0
2021-03-18,0.54850000,0.58150000,0.51000000,0.51440000,2189843.15000000,1616111999999,1196702.94433000,8455,954834.96000000,522305.18702900,0
2021-03-19,0.51220000,0.59790000,0.50520000,0.55450000,1686248.86000000,1616198399999,901238.89854400,6742,922012.22000000,494810.97903300,0
2021-03-20,0.55450000,0.64080000,0.53640000,0.53640000,2189954.09000000,1616284799999,1299507.60217100,10971,1117899.48000000,665730.65422200,0
2021-03-21,0.53620000,0.58500000,0.50130000,0.52500000,1236646.40000000,1616371199999,664854.25103000,5303,574079.70000000,310695.70903400,0
2021-03-22,0.52480000,0.58380000,0.45400000,0.45700000,3072107.14000000,1616457599999,1613204.67728200,10314,1358883.95000000,719058.62583800,0
2021-03-23,0.45600000,0.49570000,0.42160000,0.44760000,2745939.66000000,1616543999999,1260269.74669000,8256,1306468.51000000,602925.61843300,0
2021-03-24,0.44690000,0.49680000,0.40130000,0.41450000,1936926.61000000,1616630399999,880092.43105300,5559,888418.06000000,405338.87501800,0
2021-03-25,0.41450000,0.42370000,0.37100000,0.39540000,2030899.61000000,1616716799999,811018.82538300,5240,968049.31000000,387444.16193100,0
2021-03-26,0.39410000,0.44880000,0.39070000,0.44510000,1395011.71000000,1616803199999,593558.39065000,4456,748142.89000000,318993.66176100,0
2021-03-27,0.44510000,0.48520000,0.42890000,0.43700000,1845702.38000000,1616889599999,836399.57393800,6145,737627.58000000,336320.44160400,0
2021-03-28,0.43850000,0.50870000,0.43630000,0.45700000,1764029.30000000,1616975999999,824932.43703600,6262,952617.50000000,446895.48153500,0
2021-03-29,0.45770000,0.54560000,0.45770000,0.51960000,2374838.51000000,1617062399999,1199833.78670500,8297,1253655.24000000,632742.79410200,0
2021-03-30,0.52180000,0.56090000,0.50000000,0.51540000,1787534.16000000,1617148799999,937092.63967700,7916,805205.06000000,424026.52818100,0
2021-03-31,0.51550000,0.53730000,0.48000000,0.50310000,2095780.86000000,1617235199999,1060729.39661400,7436,871170.43000000,443837.42636700,0
2021-04-01,0.50140000,0.55000000,0.50030000,0.54520000,1092087.72000000,1617321599999,570416.57061000,6883,594027.13000000,311526.12982300,0
2021-04-02,0.54320000,0.54400000,0.48050000,0.49140000,1165377.60000000,1617407999999,598616.10622800,6659,410406.28000000,211384.53542500,0
2021-04-03,0.49140000,0.49190000,0.44030000,0.44600000,1467331.81000000,1617494399999,693275.64178700,6936,566074.31000000,267243.00524100,0
2021-04-04,0.44600000,0.48370000,0.44010000,0.47440000,1448284.07000000,1617580799999,666212.74268700,5468,680705.15000000,314053.62388800,0
2021-04-05,0.47350000,0.47530000,0.44040000,0.44810000,1612992.55000000,1617667199999,735683.83541900,5750,700549.81000000,320626.75067500,0
2021-04-06,0.44790000,0.46900000,0.41470000,0.45460000,1661142.58000000,1617753599999,739318.81271400,5551,772914.36000000,345350.43949500,0
2021-04-07,0.45520000,0.45860000,0.39290000,0.40880000,1568753.61000000,1617839999999,648268.13875600,4737,582435.32000000,240329.77050600,0
2021-04-08,0.41020000,0.46500000,0.40520000,0.44680000,2013423.47000000,1617926399999,875139.90350400,6028,1145395.87000000,499627.83511000,0
2021-04-09,0.44690000,0.49330000,0.42740000,0.48280000,2367882.65000000,1618012799999,1070964.28195300,6854,1215766.69000000,552190.45267000,0
2021-04-10,0.48280000,0.55710000,0.45300000,0.47700000,3901600.63000000,1618099199999,1956506.25106300,15986,1961422.43000000,989016.18200200,0
2021-04-11,0.47690000,0.52060000,0.46550000,0.49480000,1914446.26000000,1618185599999,933916.26818900,8354,954545.28000000,467597.47208400,0
2021-04-12,0.49490000,0.50000000,0.43940000,0.44820000,1639198.91000000,1618271999999,764148.96312800,6344,693117.06000000,322799.45052300,0
2021-04-13,0.44900000,0.45800000,0.42570000,0.43810000,1521939.20000000,1618358399999,669407.84442400,4603,580371.70000000,255995.75635000,0
2021-04-14,0.43800000,0.46470000,0.41630000,0.42650000,1888885.60000000,1618444799999,822773.10465800,4782,893493.13000000,390513.12101100,0
