timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2018-03-08,0.00022000,0.00100000,0.00011111,0.00030446,51254071.00000000,1520553599999,11564.28388484,227408,25333140.00000000,5710.69405905,0
2018-03-09,0.00030625,0.00033739,0.00015900,0.00017899,51141137.00000000,1520639999999,11504.35274870,237990,23822245.00000000,5377.19157980,0
2018-03-10,0.00017899,0.00020700,0.00016772,0.00017022,14174017.00000000,1520726399999,2629.27872985,76838,6512059.00000000,1210.14854863,0
2018-03-11,0.00017037,0.00018351,0.00016503,0.00016800,4781136.00000000,1520812799999,833.59472758,32271,2348113.00000000,410.02195262,0
2018-03-12,0.00016819,0.00017250,0.00015200,0.00015533,4573620.00000000,1520899199999,741.13166529,25821,2081681.00000000,338.04801960,0
2018-03-13,0.00015533,0.00016050,0.00014702,0.00015280,4464435.00000000,1520985599999,678.17764359,22332,1858750.00000000,283.09878878,0
2018-03-14,0.00015280,0.00018599,0.00015238,0.00017892,16817959.00000000,1521071999999,2877.94260502,72237,8065601.00000000,1382.94465194,0
2018-03-15,0.00017852,0.00020750,0.00016633,0.00020299,15323348.00000000,1521158399999,2865.21709989,69732,7491432.00000000,1405.08873983,0
2018-03-16,0.00020299,0.00022139,0.00017585,0.00017702,17844840.00000000,1521244799999,3575.36487740,85413,8450984.00000000,1695.02649532,0
2018-03-17,0.00017702,0.00018248,0.00013800,0.00016237,11688033.00000000,1521331199999,1923.92553209,50235,5694800.00000000,938.87496311,0
2018-03-18,0.00016235,0.00016380,0.00013642,0.00015565,5079565.00000000,1521417599999,759.61468242,25185,2456036.00000000,367.88662328,0
2018-03-19,0.00015561,0.00015748,0.00014000,0.00014807,4571256.00000000,1521503999999,670.21213560,22306,2161144.00000000,316.78618605,0
2018-03-20,0.00014807,0.00016600,0.00014552,0.00015487,4331796.00000000,1521590399999,674.27877350,21422,2058574.00000000,320.65912700,0
2018-03-21,0.00015500,0.00017000,0.00015023,0.00015820,3435584.00000000,1521676799999,546.38305615,18074,1771310.00000000,283.19195525,0
2018-03-22,0.00015864,0.00016287,0.00014374,0.00015093,2936924.00000000,1521763199999,446.51550067,13786,1147329.00000000,174.51203138,0
2018-03-23,0.00015105,0.00016090,0.00014600,0.00015481,2376925.00000000,1521849599999,364.52840770,10884,1106195.00000000,169.77762552,0
2018-03-24,0.00015481,0.00016770,0.00015421,0.00016508,2315850.00000000,1521935999999,373.83681330,11585,1113092.00000000,179.82656211,0
2018-03-25,0.00016509,0.00017971,0.00015800,0.00017381,1894664.00000000,1522022399999,315.21603575,8885,941868.00000000,157.12580445,0
2018-03-26,0.00017407,0.00024200,0.00017190,0.00021493,22749309.00000000,1522108799999,4655.86029099,96529,10959988.00000000,2249.02555308,0
2018-03-27,0.00021499,0.00031500,0.00020499,0.00028000,25210436.00000000,1522195199999,6690.65746029,138934,12451584.00000000,3318.06435421,0
2018-03-28,0.00027922,0.00035760,0.00025878,0.00029342,27137216.00000000,1522281599999,8677.77154648,187002,13800108.00000000,4421.54696606,0
2018-03-29,0.00029370,0.00032000,0.00026100,0.00029873,12674052.00000000,1522367999999,3635.92720799,92932,6258293.00000000,1796.32083645,0
2018-03-30,0.00029952,0.00034500,0.00029444,0.00033538,11023693.00000000,1522454399999,3590.79252204,81153,5560803.00000000,1813.18734854,0
2018-03-31,0.00033600,0.00033750,0.00029000,0.00029607,4075055.00000000,1522540799999,1278.85858603,34383,1945874.00000000,609.66939390,0
2018-04-01,0.00029602,0.00031999,0.00027180,0.00030590,3515354.00000000,1522627199999,1052.67904735,32284,1566172.00000000,470.68087768,0
2018-04-02,0.00030592,0.00031490,0.00028710,0.00029015,2506332.00000000,1522713599999,753.41612065,24558,1143611.00000000,344.16249361,0
2018-04-03,0.00029026,0.00031995,0.00028500,0.00030747,3199586.00000000,1522799999999,967.22152888,30945,1700935.00000000,515.14858489,0
2018-04-04,0.00030747,0.00036500,0.00030075,0.00035900,6690532.00000000,1522886399999,2220.84701286,54430,3579266.00000000,1190.60218205,0
2018-04-05,0.00035879,0.00042869,0.00034709,0.00042135,12308776.00000000,1522972799999,4845.60776540,108033,5851906.00000000,2309.92251308,0
2018-04-06,0.00042199,0.00046959,0.00039000,0.00046334,11256748.00000000,1523059199999,4910.11282159,105344,5764200.00000000,2515.35331769,0
2018-04-07,0.00046136,0.00057900,0.00046001,0.00054651,23143398.00000000,1523145599999,12439.48140505,204020,11881741.00000000,6384.07350263,0
2018-04-08,0.00054727,0.00054727,0.00049100,0.00050238,10047758.00000000,1523231999999,5139.45627141,122055,4737332.00000000,2424.96289361,0
2018-04-09,0.00050129,0.00054833,0.00045000,0.00051699,13045187.00000000,1523318399999,6480.82267781,128516,6302889.00000000,3136.82447104,0
2018-04-10,0.00051700,0.00069970,0.00051601,0.00068200,22297672.00000000,1523404799999,13682.62448585,200215,11699725.00000000,7189.30407572,0
2018-04-11,0.00068200,0.00069250,0.00058500,0.00061980,15606918.50000000,1523491199999,10058.94836339,183840,7418154.70000000,4787.82445952,0
