timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2021-01-25,1.00000000,1.00020000,0.99860000,0.99990000,321177.40000000,1611619199999,321059.21232600,153,85278.44000000,85283.92927200,0
2021-01-26,0.99990000,1.00020000,0.99870000,0.99980000,210584.29000000,1611705599999,210518.04748000,316,10842.16000000,10843.64607300,0
2021-01-27,0.99980000,1.00020000,0.99980000,0.99990000,165376.21000000,1611791999999,165376.27269200,586,55591.74000000,55602.32752900,0
2021-01-28,0.99980000,1.00020000,0.99940000,0.99990000,1691096.03000000,1611878399999,1690939.62151100,949,289641.06000000,289660.31248400,0
2021-01-29,0.99990000,1.00360000,0.99900000,0.99980000,6130462.82000000,1611964799999,6130171.02950300,3243,2525883.06000000,2526073.99471100,0
2021-01-30,0.99980000,1.00320000,0.99970000,0.99990000,1224712.20000000,1612051199999,1224642.46126300,1110,606818.60000000,606809.82826800,0
2021-01-31,1.00000000,1.00740000,0.99980000,1.00000000,3104351.94000000,1612137599999,3104235.99505400,1888,1784876.89000000,1784903.13792900,0
2021-02-01,1.00000000,1.00020000,0.99980000,0.99990000,1627752.96000000,1612223999999,1627703.49894900,2052,906657.27000000,906679.03169600,0
2021-02-02,1.00000000,1.00000000,0.99940000,0.99990000,4559615.20000000,1612310399999,4559223.38195500,1976,1400182.04000000,1400132.74073400,0
2021-02-03,1.00000000,1.00060000,0.99890000,1.00000000,7198696.41000000,1612396799999,7198254.43207800,3236,2718236.54000000,2718264.11453500,0
2021-02-04,0.99990000,1.00010000,0.99930000,0.99990000,3435967.22000000,1612483199999,3435810.87763200,1490,1408164.36000000,1408222.69265700,0
2021-02-05,0.99990000,1.00220000,0.99990000,1.00000000,1775617.47000000,1612569599999,1775618.96799300,854,1088929.99000000,1089000.07514500,0
2021-02-06,0.99990000,1.00010000,0.99980000,1.00000000,1774336.31000000,1612655999999,1774277.25257200,968,882938.20000000,882968.97803100,0
2021-02-07,0.99990000,1.00010000,0.99980000,0.99990000,1138385.36000000,1612742399999,1138327.49577600,957,473587.14000000,473596.55605500,0
2021-02-08,0.99990000,1.00260000,0.92000000,0.99990000,3781211.15000000,1612828799999,3780620.37615800,1794,1833100.38000000,1833467.50257800,0
2021-02-09,1.00000000,1.00210000,0.99930000,1.00010000,3042063.97000000,1612915199999,3042055.36886300,1637,1224186.99000000,1224370.84935500,0
2021-02-10,0.99990000,1.00050000,0.99690000,1.00010000,3467931.60000000,1613001599999,3467985.31495000,2048,2143972.74000000,2144182.71944700,0
2021-02-11,0.99990000,1.00040000,0.99900000,1.00010000,2970711.42000000,1613087999999,2970601.39146900,1147,1143117.18000000,1143226.42533000,0
2021-02-12,1.00010000,1.00010000,0.99880000,0.99990000,2861139.30000000,1613174399999,2860896.74412700,1420,368942.48000000,368969.33360800,0
2021-02-13,1.00010000,1.00060000,0.99960000,1.00000000,1772010.90000000,1613260799999,1772101.14928900,1150,1394123.55000000,1394252.70805300,0
2021-02-14,0.99980000,1.00020000,0.99960000,0.99980000,1297871.06000000,1613347199999,1297745.56836900,1012,394773.21000000,394774.31523000,0
2021-02-15,1.00000000,1.00070000,0.99950000,1.00010000,1474229.21000000,1613433599999,1474217.42296900,1178,829256.41000000,829329.74403400,0
2021-02-16,0.99990000,1.00040000,0.99920000,0.99990000,2730234.57000000,1613519999999,2730233.46023700,1178,1730306.76000000,1730462.69933300,0
2021-02-17,0.99990000,1.00030000,0.99920000,1.00010000,2123650.05000000,1613606399999,2123478.79128400,1139,685369.59000000,685412.04320700,0
2021-02-18,0.99990000,1.00100000,0.96980000,0.99950000,4036738.71000000,1613692799999,4036394.14245200,1718,1748586.38000000,1748698.81976300,0
2021-02-19,1.00000000,1.00010000,0.99730000,1.00000000,2540217.92000000,1613779199999,2539929.69177700,2372,1062314.91000000,1062327.57815800,0
2021-02-20,1.00000000,1.00060000,0.99020000,0.99990000,4077941.45000000,1613865599999,4077836.58613100,1978,2113887.68000000,2114062.79752400,0
2021-02-21,0.99990000,1.00040000,0.99950000,0.99990000,2236889.99000000,1613951999999,2236811.38326900,1175,901577.72000000,901654.27150600,0
2021-02-22,0.99990000,1.00990000,0.99980000,1.00000000,2391475.89000000,1614038399999,2391567.92064400,2111,1584237.09000000,1584423.80693100,0
2021-02-23,1.00000000,1.00100000,0.99900000,0.99990000,4191907.59000000,1614124799999,4191931.55710200,3274,2508556.47000000,2508803.33009400,0
2021-02-24,0.99990000,1.00040000,0.99940000,0.99980000,1922427.75000000,1614211199999,1922330.89508800,1656,835455.43000000,835500.05721700,0
2021-02-25,1.00000000,1.00100000,0.99950000,0.99990000,1376721.65000000,1614297599999,1376747.67785600,997,900453.14000000,900564.57946200,0
2021-02-26,0.99980000,1.00100000,0.99920000,1.00000000,1946320.93000000,1614383999999,1946275.37235500,1298,1334701.60000000,1334739.87522800,0
2021-02-27,1.00000000,1.00050000,0.99980000,0.99990000,1697278.68000000,1614470399999,1697203.63274900,1108,670783.85000000,670802.62430100,0
2021-02-28,0.99990000,1.00020000,0.99970000,0.99980000,1728113.23000000,1614556799999,1727977.89141900,1208,560375.70000000,560376.45717500,0
2021-03-01,0.99980000,1.00020000,0.99920000,1.00000000,2079564.24000000,1614643199999,2079368.74639300,1121,1039109.69000000,1039111.39877600,0
2021-03-02,1.00010000,1.00020000,0.99950000,0.99990000,582675.09000000,1614729599999,582660.68184000,680,322967.67000000,322986.83148900,0
2021-03-03,0.99990000,1.00040000,0.99980000,1.00000000,964071.29000000,1614815999999,964040.83377900,885,465159.02000000,465179.33215800,0
2021-03-04,1.00000000,1.00030000,0.99980000,1.00000000,611039.50000000,1614902399999,611039.48770600,538,393191.76000000,393218.55537100,0
2021-03-05,1.00010000,1.00030000,0.99960000,1.00000000,921635.02000000,1614988799999,921577.41564800,759,375305.87000000,375310.36079300,0
2021-03-06,1.00000000,1.00010000,0.99980000,0.99990000,1834308.43000000,1615075199999,1834257.21769400,686,1316935.09000000,1316937.72654300,0
