timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2019-08-26,0.00000738,0.00003300,0.00000738,0.00001111,249093231.00000000,1566863999999,3199.49774136,109341,111729362.00000000,1441.45269995,0
2019-08-27,0.00001110,0.00001276,0.00001013,0.00001102,129151585.00000000,1566950399999,1482.69089209,55622,54215620.00000000,625.27840041,0
2019-08-28,0.00001101,0.00001164,0.00000969,0.00000997,64291500.00000000,1567036799999,691.53536820,31283,24540192.00000000,264.07003666,0
2019-08-29,0.00000997,0.00000999,0.00000935,0.00000955,25110144.00000000,1567123199999,242.69263811,12943,10092681.00000000,97.70333301,0
2019-08-30,0.00000956,0.00001080,0.00000944,0.00000963,45272370.00000000,1567209599999,460.05685166,24376,20378882.00000000,207.80173336,0
2019-08-31,0.00000965,0.00000977,0.00000881,0.00000903,15341206.00000000,1567295999999,143.48981160,6984,6036742.00000000,56.45122563,0
2019-09-01,0.00000903,0.00000979,0.00000882,0.00000923,16289392.00000000,1567382399999,150.66624881,8494,6914577.00000000,63.85800507,0
2019-09-02,0.00000921,0.00000925,0.00000794,0.00000810,32539248.00000000,1567468799999,276.56717916,11573,14443937.00000000,122.96458571,0
2019-09-03,0.00000814,0.00000862,0.00000772,0.00000809,19808836.00000000,1567555199999,161.94599308,7759,8557367.00000000,69.99475903,0
2019-09-04,0.00000809,0.00000955,0.00000799,0.00000880,51994515.00000000,1567641599999,463.70813479,19913,25045623.00000000,224.59174499,0
2019-09-05,0.00000880,0.00000975,0.00000828,0.00000841,57796803.00000000,1567727999999,528.72405369,24274,26114531.00000000,239.29095548,0
2019-09-06,0.00000840,0.00000863,0.00000743,0.00000794,39647456.00000000,1567814399999,314.87386392,14577,16955539.00000000,134.90821456,0
2019-09-07,0.00000793,0.00000798,0.00000757,0.00000772,18028457.00000000,1567900799999,139.43432612,6110,8826325.00000000,68.32297243,0
2019-09-08,0.00000772,0.00000813,0.00000762,0.00000783,14402659.00000000,1567987199999,112.68369137,4834,6616607.00000000,51.88198882,0
2019-09-09,0.00000781,0.00000793,0.00000762,0.00000772,10271278.00000000,1568073599999,79.50729500,3918,4195221.00000000,32.55626316,0
2019-09-10,0.00000774,0.00000810,0.00000766,0.00000770,12207152.00000000,1568159999999,95.68930146,4883,4922874.00000000,38.63997199,0
2019-09-11,0.00000773,0.00000787,0.00000655,0.00000669,24263387.00000000,1568246399999,175.64426033,9878,9599770.00000000,69.34601324,0
2019-09-12,0.00000667,0.00000705,0.00000631,0.00000637,18032021.00000000,1568332799999,119.16084107,6862,7508033.00000000,49.74718758,0
2019-09-13,0.00000636,0.00000659,0.00000613,0.00000618,8010254.00000000,1568419199999,50.64065001,3852,3363148.00000000,21.28033847,0
2019-09-14,0.00000618,0.00000625,0.00000580,0.00000593,11126291.00000000,1568505599999,66.45265683,4121,5346013.00000000,31.98553049,0
2019-09-15,0.00000595,0.00000625,0.00000581,0.00000613,9284963.00000000,1568591999999,55.76859744,3129,4334173.00000000,26.04768752,0
2019-09-16,0.00000613,0.00000616,0.00000553,0.00000564,19382789.00000000,1568678399999,112.00249407,5754,7708839.00000000,44.68248983,0
2019-09-17,0.00000564,0.00000580,0.00000557,0.00000566,18966000.00000000,1568764799999,107.38925675,5189,8106462.00000000,45.97439218,0
2019-09-18,0.00000564,0.00000615,0.00000551,0.00000593,34550217.00000000,1568851199999,202.38582239,10898,14023853.00000000,82.11579504,0
2019-09-19,0.00000595,0.00000595,0.00000531,0.00000544,26684413.00000000,1568937599999,146.50059184,7007,10602879.00000000,58.22340305,0
2019-09-20,0.00000543,0.00000684,0.00000524,0.00000551,89842214.00000000,1569023999999,543.26368443,16600,46928576.00000000,286.03361208,0
2019-09-21,0.00000550,0.00000619,0.00000550,0.00000585,37885618.00000000,1569110399999,223.06361364,10799,16891029.00000000,99.57555808,0
2019-09-22,0.00000585,0.00000591,0.00000513,0.00000521,27372043.00000000,1569196799999,150.45732915,8197,10279620.00000000,56.65979228,0
2019-09-23,0.00000520,0.00000529,0.00000467,0.00000489,23492091.00000000,1569283199999,116.04893377,7568,9446826.00000000,46.72864016,0
2019-09-24,0.00000489,0.00000506,0.00000410,0.00000421,24611230.00000000,1569369599999,114.20873981,7155,9168932.00000000,42.64845576,0
2019-09-25,0.00000421,0.00000447,0.00000400,0.00000425,15700516.00000000,1569455999999,65.67464683,6136,6257873.00000000,26.26527874,0
2019-09-26,0.00000424,0.00000457,0.00000394,0.00000408,27270224.00000000,1569542399999,115.70035239,8315,11107383.00000000,47.33936031,0
2019-09-27,0.00000408,0.00000425,0.00000395,0.00000421,16792256.00000000,1569628799999,68.87733788,4477,7198514.00000000,29.63426573,0
2019-09-28,0.00000420,0.00000426,0.00000402,0.00000414,11666576.00000000,1569715199999,48.30336790,2850,4993765.00000000,20.72839027,0
2019-09-29,0.00000413,0.00000420,0.00000387,0.00000400,14411765.00000000,1569801599999,58.09134175,3280,5383710.00000000,21.77869258,0
2019-09-30,0.00000400,0.00000410,0.00000389,0.00000396,12388845.00000000,1569887999999,49.34190481,2816,4642926.00000000,18.55966040,0
2019-10-01,0.00000395,0.00000447,0.00000393,0.00000427,32165681.00000000,1569974399999,136.39683486,7082,16967446.00000000,72.11540780,0
