timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2021-11-17,0.52340000,0.84970000,0.51000000,0.71370000,48875539.00000000,1637193599999,35460430.62230000,107374,23595252.00000000,17090450.55920000,0
2021-11-18,0.71360000,0.71370000,0.51560000,0.52550000,14829685.00000000,1637279999999,8802019.65610000,25842,6754863.00000000,3974536.38030000,0
2021-11-19,0.52620000,0.54460000,0.48190000,0.53780000,5726497.00000000,1637366399999,2961865.46880000,9812,2790291.00000000,1446000.73040000,0
2021-11-20,0.53800000,0.83250000,0.51890000,0.78600000,44468775.00000000,1637452799999,32503248.87410000,63838,22145908.00000000,16192146.83530000,0
2021-11-21,0.78840000,0.95710000,0.72590000,0.79060000,16360606.00000000,1637539199999,13650350.33170000,26619,7848618.00000000,6540632.39800000,0
2021-11-22,0.79060000,0.79060000,0.71310000,0.73210000,3446022.00000000,1637625599999,2556044.93640000,5051,1641486.00000000,1216901.19770000,0
2021-11-23,0.73470000,0.80730000,0.72800000,0.76260000,4129311.00000000,1637711999999,3118414.09560000,6112,2122976.00000000,1605234.86840000,0
2021-11-24,0.76370000,0.81230000,0.72090000,0.76750000,4457529.00000000,1637798399999,3409580.10350000,5175,2537707.00000000,1938906.26560000,0
2021-11-25,0.76290000,0.76590000,0.68760000,0.71640000,2771113.00000000,1637884799999,1984525.89580000,3635,1497757.00000000,1073322.21110000,0
2021-11-26,0.71630000,0.72870000,0.59500000,0.62430000,2103514.00000000,1637971199999,1385481.58050000,2709,997225.00000000,657826.15330000,0
2021-11-27,0.62620000,0.66750000,0.61510000,0.64960000,1286883.00000000,1638057599999,830414.98280000,1521,608834.00000000,392793.75380000,0
2021-11-28,0.65400000,0.65860000,0.57930000,0.63080000,1057400.00000000,1638143999999,649569.77720000,1235,580970.00000000,357480.66790000,0
2021-11-29,0.62850000,0.68660000,0.62310000,0.65140000,1592847.00000000,1638230399999,1051214.37270000,1967,1014794.00000000,669822.08440000,0
2021-11-30,0.65120000,0.65120000,0.60100000,0.60760000,790737.00000000,1638316799999,488713.33610000,1255,405180.00000000,250499.66100000,0
