timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2021-08-10,0.01097000,0.01590000,0.00441000,0.01130000,274154.10000000,1628639999999,3361.44813800,2981,93346.60000000,1191.04476800,0
2021-08-11,0.01126000,0.01281000,0.01065000,0.01067000,105374.80000000,1628726399999,1194.77799700,955,37891.60000000,429.68875700,0
2021-08-12,0.01072000,0.01227000,0.01070000,0.01168000,108950.60000000,1628812799999,1243.27940000,1170,57481.90000000,657.35392100,0
2021-08-13,0.01169000,0.01291000,0.01150000,0.01237000,62541.20000000,1628899199999,766.38272300,838,31684.50000000,388.76396400,0
2021-08-14,0.01247000,0.01311000,0.01189000,0.01212000,37478.20000000,1628985599999,460.22376600,1218,15267.90000000,188.29677100,0
2021-08-15,0.01222000,0.01476000,0.01170000,0.01413000,100053.70000000,1629071999999,1311.12284300,1629,50755.90000000,668.32113500,0
2021-08-16,0.01418000,0.01630000,0.01392000,0.01501000,239564.30000000,1629158399999,3610.39469900,3431,139718.50000000,2108.57755900,0
2021-08-17,0.01501000,0.02254000,0.01461000,0.01717000,302887.60000000,1629244799999,5405.70699700,3926,136774.40000000,2415.67656900,0
2021-08-18,0.01721000,0.02100000,0.01638000,0.01927000,194011.10000000,1629331199999,3737.47172900,3073,112290.40000000,2170.17252200,0
2021-08-19,0.01935000,0.01998000,0.01692000,0.01730000,68831.90000000,1629417599999,1261.22208300,1214,33233.90000000,614.65793300,0
2021-08-20,0.01732000,0.01883000,0.01718000,0.01807000,79787.80000000,1629503999999,1439.84762000,1667,41230.90000000,746.30297000,0
2021-08-21,0.01806000,0.01806000,0.01605000,0.01653000,84793.00000000,1629590399999,1449.36793400,1580,43982.10000000,749.27425600,0
2021-08-22,0.01643000,0.01727000,0.01564000,0.01597000,38766.50000000,1629676799999,639.94652500,842,16872.70000000,281.61572300,0
2021-08-23,0.01612000,0.01693000,0.01420000,0.01444000,34776.30000000,1629763199999,535.81104800,844,15035.80000000,233.92268500,0
2021-08-24,0.01448000,0.01665000,0.01435000,0.01481000,66840.40000000,1629849599999,1033.68350800,1236,27403.40000000,423.67410200,0
2021-08-25,0.01470000,0.01514000,0.01411000,0.01437000,71486.60000000,1629935999999,1035.00769100,995,27487.90000000,399.58874400,0
2021-08-26,0.01437000,0.01536000,0.01400000,0.01429000,56477.00000000,1630022399999,815.39380700,936,36017.40000000,520.99943800,0
2021-08-27,0.01442000,0.02697000,0.01430000,0.02049000,439613.70000000,1630108799999,9399.90447600,10886,201018.60000000,4255.71782400,0
2021-08-28,0.02049000,0.03659000,0.01963000,0.02331000,1032858.10000000,1630195199999,27874.29214500,26158,288315.90000000,7665.47647100,0
2021-08-29,0.02321000,0.02653000,0.02187000,0.02390000,191494.70000000,1630281599999,4599.24088500,5543,79963.50000000,1930.24592200,0
2021-08-30,0.02389000,0.02800000,0.02288000,0.02544000,210377.80000000,1630367999999,5333.34725700,6881,97895.40000000,2497.40752700,0
2021-08-31,0.02544000,0.03245000,0.02455000,0.02590000,190258.80000000,1630454399999,5181.56612400,6329,87173.50000000,2376.92496400,0
2021-09-01,0.02588000,0.02638000,0.02359000,0.02381000,72434.50000000,1630540799999,1797.48311900,2181,38181.40000000,950.71700400,0
2021-09-02,0.02374000,0.02653000,0.02259000,0.02426000,89183.80000000,1630627199999,2172.12154000,2737,45488.40000000,1116.63541600,0
2021-09-03,0.02435000,0.02838000,0.02430000,0.02599000,102667.70000000,1630713599999,2729.58961800,4055,50424.00000000,1345.47953200,0
2021-09-04,0.02595000,0.02791000,0.02445000,0.02483000,58189.20000000,1630799999999,1524.29513200,2404,19761.90000000,517.32649400,0
2021-09-05,0.02497000,0.02568000,0.02412000,0.02473000,43055.70000000,1630886399999,1067.72281500,1524,22841.90000000,566.48332100,0
2021-09-06,0.02464000,0.02643000,0.02088000,0.02585000,97941.40000000,1630972799999,2408.89932100,2973,55657.80000000,1372.57558900,0
2021-09-07,0.02584000,0.03167000,0.02519000,0.02814000,272388.60000000,1631059199999,7730.45960900,13037,119425.90000000,3411.22563400,0
2021-09-08,0.02822000,0.03170000,0.02579000,0.03013000,82327.40000000,1631145599999,2310.57306800,4798,40715.20000000,1151.28120000,0
2021-09-09,0.03037000,0.03907000,0.02997000,0.03503000,250633.00000000,1631231999999,8854.53343700,11301,99390.70000000,3510.86615600,0
2021-09-10,0.03504000,0.03664000,0.03167000,0.03592000,81141.80000000,1631318399999,2741.14779900,4050,37929.80000000,1287.80078200,0
2021-09-11,0.03605000,0.04355000,0.03551000,0.03698000,122129.30000000,1631404799999,4646.25668100,6720,48826.90000000,1882.64254200,0
2021-09-12,0.03698000,0.04086000,0.03600000,0.03960000,53358.00000000,1631491199999,2029.63608600,3887,28642.30000000,1088.70977200,0
2021-09-13,0.03960000,0.04006000,0.03402000,0.03633000,54827.40000000,1631577599999,1986.96627600,2914,19938.00000000,723.74076800,0
2021-09-14,0.03619000,0.03660000,0.03074000,0.03227000,50578.90000000,1631663999999,1699.80230300,2135,20583.30000000,695.04476900,0
2021-09-15,0.03200000,0.03351000,0.03069000,0.03156000,34159.30000000,1631750399999,1092.95412100,1668,14144.00000000,453.51544700,0
2021-09-16,0.03151000,0.03176000,0.03033000,0.03048000,27530.10000000,1631836799999,854.65105800,1037,16505.30000000,513.05319500,0
2021-09-17,0.03044000,0.03106000,0.02881000,0.02999000,29575.30000000,1631923199999,882.49744900,1157,12746.20000000,380.97234100,0
2021-09-18,0.02999000,0.03310000,0.02928000,0.03225000,52480.60000000,1632009599999,1626.41243000,2242,24310.90000000,754.54117600,0
2021-09-19,0.03225000,0.03293000,0.02930000,0.02934000,34382.90000000,1632095999999,1067.37041900,1294,22499.50000000,700.85300300,0
2021-09-20,0.02941000,0.02965000,0.02762000,0.02762000,38117.80000000,1632182399999,1091.57468400,1129,18300.00000000,524.03924600,0
2021-09-21,0.02780000,0.02892000,0.02635000,0.02671000,22595.30000000,1632268799999,626.13481700,763,10255.70000000,284.85371500,0
2021-09-22,0.02647000,0.02832000,0.02634000,0.02788000,24534.20000000,1632355199999,673.48054900,895,10150.50000000,277.88151400,0
2021-09-23,0.02801000,0.03081000,0.02795000,0.03033000,27279.20000000,1632441599999,792.10271900,1085,16810.80000000,489.50238700,0
2021-09-24,0.03031000,0.03036000,0.02799000,0.02833000,26910.60000000,1632527999999,770.94526500,1093,9333.50000000,268.81562200,0
2021-09-25,0.02846000,0.03180000,0.02778000,0.02820000,23061.70000000,1632614399999,659.17071800,689,12736.00000000,365.85832500,0
2021-09-26,0.02820000,0.02913000,0.02747000,0.02814000,16302.40000000,1632700799999,460.18489200,660,6350.50000000,179.96454900,0
2021-09-27,0.02814000,0.03158000,0.02766000,0.02870000,54008.30000000,1632787199999,1578.05801100,1118,16213.60000000,477.72442100,0
2021-09-28,0.02873000,0.02897000,0.02727000,0.02736000,20379.70000000,1632873599999,566.46250600,428,11561.70000000,320.65426700,0
2021-09-29,0.02753000,0.02788000,0.02450000,0.02480000,22182.60000000,1632959999999,578.92664400,517,5501.70000000,143.50882300,0
2021-09-30,0.02499000,0.02523000,0.02421000,0.02486000,15606.30000000,1633046399999,388.67798400,354,9837.80000000,245.07677200,0
2021-10-01,0.02475000,0.02648000,0.02413000,0.02611000,28322.40000000,1633132799999,712.94178900,769,12580.40000000,318.37732300,0
2021-10-02,0.02624000,0.02850000,0.02569000,0.02609000,23742.50000000,1633219199999,629.29683900,774,14088.60000000,374.94911300,0
2021-10-03,0.02594000,0.02778000,0.02594000,0.02680000,16003.10000000,1633305599999,433.69492300,490,7251.80000000,196.39185800,0
2021-10-04,0.02688000,0.02705000,0.02600000,0.02614000,13656.10000000,1633391999999,362.10968500,387,6608.20000000,175.54528100,0
2021-10-05,0.02612000,0.02624000,0.02492000,0.02495000,14301.70000000,1633478399999,364.98850800,382,7559.80000000,194.05300500,0
2021-10-06,0.02499000,0.02554000,0.02401000,0.02474000,18977.60000000,1633564799999,466.82019500,468,10504.60000000,258.32363300,0
2021-10-07,0.02470000,0.02477000,0.02339000,0.02346000,7931.20000000,1633651199999,190.01166200,309,3864.90000000,92.97252000,0
2021-10-08,0.02350000,0.02523000,0.02350000,0.02456000,23882.70000000,1633737599999,582.77092300,565,12265.20000000,299.38274100,0
2021-10-09,0.02456000,0.02677000,0.02426000,0.02440000,17584.90000000,1633823999999,434.25393100,407,10014.80000000,248.78616800,0
2021-10-10,0.02435000,0.02454000,0.02369000,0.02372000,12775.00000000,1633910399999,308.13629600,337,5676.00000000,136.82386700,0
2021-10-11,0.02359000,0.02393000,0.02251000,0.02282000,32587.80000000,1633996799999,754.62210700,1028,14837.00000000,344.24372400,0
2021-10-12,0.02285000,0.02343000,0.02127000,0.02160000,68391.60000000,1634083199999,1518.92029300,2660,30861.50000000,686.72520700,0
2021-10-13,0.02160000,0.02250000,0.02031000,0.02132000,147823.70000000,1634169599999,3155.73285100,5734,77326.10000000,1652.06194200,0
2021-10-14,0.02132000,0.02170000,0.02091000,0.02091000,67057.50000000,1634255999999,1429.89991200,2397,28634.90000000,611.00581500,0
2021-10-15,0.02094000,0.02264000,0.02080000,0.02150000,101024.10000000,1634342399999,2189.50260900,3935,55319.70000000,1197.84561200,0
2021-10-16,0.02148000,0.02188000,0.02098000,0.02112000,32660.70000000,1634428799999,695.65059500,1278,15970.20000000,340.18394000,0
2021-10-17,0.02115000,0.02142000,0.02026000,0.02031000,32491.40000000,1634515199999,679.56334600,1256,16685.60000000,348.81967500,0
2021-10-18,0.02030000,0.02058000,0.01916000,0.01924000,39223.30000000,1634601599999,783.50339400,1379,18673.60000000,373.53825100,0
2021-10-19,0.01923000,0.01961000,0.01901000,0.01936000,34776.10000000,1634687999999,670.92649600,1250,19828.30000000,382.67671100,0
2021-10-20,0.01938000,0.02065000,0.01938000,0.02060000,60881.50000000,1634774399999,1217.84439900,2554,33081.10000000,661.61991000,0
2021-10-21,0.02061000,0.02190000,0.02061000,0.02171000,111751.70000000,1634860799999,2388.20490800,4824,57775.90000000,1234.88953600,0
2021-10-22,0.02169000,0.02278000,0.02148000,0.02212000,128767.10000000,1634947199999,2859.01722000,4955,66266.70000000,1471.94281300,0
2021-10-23,0.02212000,0.02245000,0.02132000,0.02150000,45202.50000000,1635033599999,989.81678400,1689,22525.50000000,493.55067100,0
2021-10-24,0.02151000,0.02161000,0.02093000,0.02149000,32311.20000000,1635119999999,686.63378600,1279,18459.60000000,392.04177900,0
2021-10-25,0.02147000,0.02291000,0.02123000,0.02195000,74870.60000000,1635206399999,1654.45360800,2940,39706.20000000,878.31889300,0
2021-10-26,0.02191000,0.02319000,0.02131000,0.02159000,60974.00000000,1635292799999,1342.76904900,2098,28212.70000000,624.00543100,0
2021-10-27,0.02155000,0.02224000,0.01961000,0.02076000,136626.50000000,1635379199999,2872.42925200,4873,74591.00000000,1572.48461300,0
2021-10-28,0.02076000,0.02085000,0.01988000,0.02030000,59738.30000000,1635465599999,1217.56797900,2609,30339.30000000,618.76354800,0
2021-10-29,0.02026000,0.02090000,0.01935000,0.01964000,55457.80000000,1635551999999,1126.11179100,2463,26568.80000000,539.79448400,0
2021-10-30,0.01962000,0.02191000,0.01914000,0.02058000,96175.10000000,1635638399999,1987.66520300,4005,46571.30000000,962.27382300,0
2021-10-31,0.02057000,0.02057000,0.01954000,0.02020000,53763.90000000,1635724799999,1079.75713000,2354,25368.60000000,509.41951200,0
2021-11-01,0.02017000,0.02085000,0.01961000,0.01961000,73370.90000000,1635811199999,1480.56340000,2988,35106.20000000,709.29893300,0
2021-11-02,0.01963000,0.02052000,0.01935000,0.02049000,75258.30000000,1635897599999,1504.38081800,3618,38512.80000000,770.26441400,0
2021-11-03,0.02048000,0.02431000,0.02038000,0.02234000,388516.30000000,1635983999999,8820.30507300,16111,185614.80000000,4204.35020000,0
2021-11-04,0.02237000,0.02328000,0.02143000,0.02183000,112509.90000000,1636070399999,2501.23874100,5647,55119.50000000,1226.97619900,0
2021-11-05,0.02183000,0.02187000,0.01906000,0.01921000,106430.40000000,1636156799999,2126.98017000,3955,41673.90000000,825.06547100,0
2021-11-06,0.01920000,0.02026000,0.01901000,0.01965000,92851.70000000,1636243199999,1825.51095700,4130,48284.30000000,949.46551500,0
2021-11-07,0.01966000,0.01978000,0.01858000,0.01948000,67378.80000000,1636329599999,1289.77138800,3066,35878.30000000,687.56553600,0
2021-11-08,0.01947000,0.01969000,0.01866000,0.01899000,61280.70000000,1636415999999,1176.23456400,2927,28783.20000000,552.90299200,0
2021-11-09,0.01900000,0.01921000,0.01828000,0.01892000,67069.30000000,1636502399999,1259.33920700,2691,33296.20000000,625.68932700,0
2021-11-10,0.01898000,0.01931000,0.01722000,0.01832000,123207.40000000,1636588799999,2291.29072900,5165,59713.00000000,1113.07479600,0
2021-11-11,0.01829000,0.01854000,0.01767000,0.01793000,46009.40000000,1636675199999,837.34018600,1810,21982.60000000,400.75620100,0
2021-11-12,0.01792000,0.01833000,0.01760000,0.01766000,42105.60000000,1636761599999,753.58613800,1611,21458.90000000,384.63622000,0
2021-11-13,0.01767000,0.01792000,0.01737000,0.01755000,40630.50000000,1636847999999,715.53123800,1534,19476.30000000,343.00230000,0
2021-11-14,0.01758000,0.01767000,0.01700000,0.01722000,26937.90000000,1636934399999,466.10777100,1234,13298.90000000,230.34986500,0
2021-11-15,0.01724000,0.01787000,0.01708000,0.01753000,27504.60000000,1637020799999,482.26545300,1221,14214.30000000,249.31795200,0
2021-11-16,0.01753000,0.01796000,0.01641000,0.01742000,88007.00000000,1637107199999,1537.20755500,3579,45365.20000000,793.17080000,0
2021-11-17,0.01740000,0.01845000,0.01740000,0.01798000,55640.90000000,1637193599999,1003.57892400,2413,27717.30000000,499.73636900,0
2021-11-18,0.01795000,0.01799000,0.01718000,0.01771000,57941.40000000,1637279999999,1020.93743400,2342,26333.20000000,464.45214500,0
2021-11-19,0.01768000,0.01776000,0.01713000,0.01736000,41030.90000000,1637366399999,712.94101200,1807,18823.10000000,327.15798400,0
2021-11-20,0.01740000,0.01774000,0.01703000,0.01703000,40240.60000000,1637452799999,700.69991600,1557,18323.90000000,319.30056500,0
2021-11-21,0.01702000,0.01782000,0.01701000,0.01763000,38270.40000000,1637539199999,668.90398200,1484,18517.20000000,323.20054800,0
2021-11-22,0.01761000,0.01793000,0.01721000,0.01758000,58856.50000000,1637625599999,1031.45393700,1982,29485.50000000,517.80455700,0
2021-11-23,0.01757000,0.01766000,0.01662000,0.01708000,39564.10000000,1637711999999,676.04767500,1532,17943.50000000,306.54671800,0
2021-11-24,0.01712000,0.01771000,0.01680000,0.01689000,46817.50000000,1637798399999,801.35904100,2026,23617.40000000,404.63272900,0
2021-11-25,0.01689000,0.01695000,0.01591000,0.01613000,57878.90000000,1637884799999,949.12084500,2262,25668.60000000,421.37675900,0
2021-11-26,0.01613000,0.01672000,0.01571000,0.01615000,106455.60000000,1637971199999,1729.78536900,4124,55444.80000000,901.48661300,0
2021-11-27,0.01617000,0.01650000,0.01585000,0.01619000,46329.80000000,1638057599999,749.44699300,1804,20855.80000000,337.68655800,0
2021-11-28,0.01617000,0.01646000,0.01579000,0.01632000,59901.40000000,1638143999999,967.78582700,2317,30553.00000000,494.21555400,0
2021-11-29,0.01630000,0.01740000,0.01621000,0.01702000,87731.70000000,1638230399999,1487.71003900,3211,40834.00000000,691.67511100,0
2021-11-30,0.01705000,0.01785000,0.01693000,0.01750000,84788.20000000,1638316799999,1477.80614100,3393,41235.60000000,720.06152400,0
2021-12-01,0.01748000,0.01819000,0.01730000,0.01777000,88581.80000000,1638403199999,1561.75830000,3611,44247.80000000,780.93495900,0
2021-12-02,0.01778000,0.01905000,0.01770000,0.01806000,101262.00000000,1638489599999,1859.12802600,4317,52018.30000000,954.46060100,0
2021-12-03,0.01809000,0.01823000,0.01740000,0.01757000,62578.40000000,1638575999999,1118.81161200,2480,29719.10000000,532.05263900,0
2021-12-04,0.01754000,0.01816000,0.01625000,0.01648000,238381.00000000,1638662399999,4007.80313000,8497,120387.70000000,2024.73400000,0
2021-12-05,0.01649000,0.01682000,0.01583000,0.01613000,46402.80000000,1638748799999,750.48449500,2285,21586.50000000,349.39066900,0
2021-12-06,0.01613000,0.01629000,0.01489000,0.01507000,71488.50000000,1638835199999,1102.25510300,2952,34014.80000000,523.95524800,0
2021-12-07,0.01505000,0.01542000,0.01489000,0.01508000,29712.90000000,1638921599999,452.00893800,1333,14328.90000000,218.14498300,0
2021-12-08,0.01512000,0.01527000,0.01461000,0.01461000,35879.70000000,1639007999999,535.74004600,1336,16816.10000000,251.54682500,0
2021-12-09,0.01463000,0.01478000,0.01433000,0.01439000,38430.50000000,1639094399999,558.80694000,1311,19576.60000000,284.91812600,0
2021-12-10,0.01441000,0.01448000,0.01371000,0.01392000,37967.60000000,1639180799999,532.31764500,1368,17561.40000000,246.14295600,0
2021-12-11,0.01393000,0.01436000,0.01377000,0.01406000,42346.80000000,1639267199999,593.92478000,1154,29309.10000000,411.05650700,0
2021-12-12,0.01405000,0.01426000,0.01381000,0.01404000,23199.10000000,1639353599999,325.02798300,881,12338.70000000,173.04855400,0
2021-12-13,0.01402000,0.01413000,0.01362000,0.01379000,35821.80000000,1639439999999,494.40361900,1293,18563.80000000,256.09294200,0
2021-12-14,0.01377000,0.01418000,0.01354000,0.01406000,34976.90000000,1639526399999,484.58874500,1302,17729.70000000,245.92382000,0
2021-12-15,0.01409000,0.01451000,0.01394000,0.01444000,36995.50000000,1639612799999,524.05357600,1567,19485.40000000,276.19713100,0
2021-12-16,0.01443000,0.01476000,0.01437000,0.01448000,26120.10000000,1639699199999,380.16645300,1108,12419.90000000,180.90496100,0
2021-12-17,0.01449000,0.01450000,0.01355000,0.01373000,53788.20000000,1639785599999,755.20010000,1688,20298.90000000,284.27084300,0
2021-12-18,0.01371000,0.01420000,0.01365000,0.01375000,29424.80000000,1639871999999,408.63696700,1034,16140.00000000,224.37720100,0
2021-12-19,0.01373000,0.01380000,0.01356000,0.01357000,19158.60000000,1639958399999,262.29947200,779,9409.90000000,128.97027300,0
2021-12-20,0.01357000,0.01366000,0.01335000,0.01346000,46015.00000000,1640044799999,621.39995000,1510,23918.40000000,323.30943200,0
2021-12-21,0.01346000,0.01370000,0.01340000,0.01367000,19496.70000000,1640131199999,264.55594900,717,10010.10000000,135.93194600,0
2021-12-22,0.01365000,0.01391000,0.01348000,0.01375000,43368.40000000,1640217599999,596.10135400,1519,21188.20000000,291.44448000,0
2021-12-23,0.01376000,0.01433000,0.01366000,0.01419000,38809.60000000,1640303999999,545.24772500,1300,22648.90000000,318.35430300,0
2021-12-24,0.01421000,0.01458000,0.01380000,0.01391000,33917.50000000,1640390399999,483.76655500,1275,17950.70000000,256.43101300,0
2021-12-25,0.01391000,0.01414000,0.01381000,0.01409000,24515.30000000,1640476799999,341.85507200,824,13274.70000000,185.24742200,0
2021-12-26,0.01407000,0.01429000,0.01384000,0.01390000,22953.40000000,1640563199999,322.36682700,921,10720.40000000,150.65414800,0
2021-12-27,0.01391000,0.01409000,0.01328000,0.01338000,50685.60000000,1640649599999,699.44443300,1752,23648.70000000,326.65473100,0
2021-12-28,0.01336000,0.01336000,0.01300000,0.01301000,39057.10000000,1640735999999,515.32021600,1413,18985.20000000,250.56386100,0
2021-12-29,0.01303000,0.01306000,0.01255000,0.01274000,32250.10000000,1640822399999,412.42264100,1122,15166.00000000,193.80698700,0
2021-12-30,0.01274000,0.01282000,0.01257000,0.01260000,26235.70000000,1640908799999,333.86794900,790,8922.00000000,113.44612900,0
2021-12-31,0.01261000,0.01277000,0.01239000,0.01242000,21189.30000000,1640995199999,266.65880100,743,9431.40000000,118.72213800,0
2022-01-01,0.01240000,0.01249000,0.01228000,0.01244000,20155.80000000,1641081599999,249.68393600,629,10175.50000000,126.13774700,0
2022-01-02,0.01242000,0.01326000,0.01240000,0.01297000,44385.40000000,1641167999999,571.04018800,1340,24138.00000000,310.30257000,0
2022-01-03,0.01297000,0.01329000,0.01261000,0.01285000,34133.00000000,1641254399999,442.01847200,1091,17693.40000000,229.41515400,0
2022-01-04,0.01285000,0.01308000,0.01260000,0.01281000,32207.70000000,1641340799999,412.59311700,1055,16546.50000000,212.33561100,0
2022-01-05,0.01280000,0.01326000,0.01236000,0.01275000,64315.10000000,1641427199999,824.14736600,2222,32433.20000000,415.92292800,0
2022-01-06,0.01274000,0.01285000,0.01222000,0.01239000,34024.10000000,1641513599999,426.32505500,1096,15341.90000000,192.46548700,0
2022-01-07,0.01240000,0.01240000,0.01186000,0.01193000,62897.80000000,1641599999999,764.06415300,1922,29316.30000000,356.33622600,0
2022-01-08,0.01195000,0.01232000,0.01184000,0.01218000,54186.90000000,1641686399999,652.98884200,1527,28762.60000000,346.65113000,0
