timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2021-11-27,6.10300000,7.99000000,6.10300000,7.45000000,1145642.45000000,1638057599999,8159343.48196000,16187,596904.23000000,4269750.09966000,0
2021-11-28,7.48300000,7.86500000,6.10700000,6.95200000,613834.98000000,1638143999999,4169956.59213000,6859,277608.81000000,1891529.80754000,0
2021-11-29,6.95500000,7.21300000,6.35100000,6.79700000,253813.35000000,1638230399999,1701742.54499000,3725,141947.77000000,948282.26751000,0
2021-11-30,6.79800000,6.82700000,6.17300000,6.26300000,354218.40000000,1638316799999,2290029.19995000,3713,148292.82000000,964913.66288000,0
2021-12-01,6.27900000,6.36900000,5.15000000,5.40800000,764336.39000000,1638403199999,4306057.06378000,9572,341053.90000000,1924425.27852000,0
2021-12-02,5.40800000,5.73300000,4.92000000,5.62800000,480520.30000000,1638489599999,2542318.37304000,6146,282763.98000000,1498970.90295000,0
2021-12-03,5.63800000,6.80000000,4.84700000,5.10500000,879558.80000000,1638575999999,5110774.41367000,10263,420096.87000000,2437102.48384000,0
2021-12-04,5.11700000,6.07900000,3.90100000,5.27100000,1185794.71000000,1638662399999,6086023.23900000,11492,505465.94000000,2625912.84720000,0
2021-12-05,5.29500000,5.87500000,4.38600000,4.85800000,511227.93000000,1638748799999,2613957.30829000,8465,232671.32000000,1195547.89063000,0
2021-12-06,4.84900000,4.98300000,3.89300000,4.89600000,967516.93000000,1638835199999,4233399.34295000,7258,491081.06000000,2159040.32290000,0
2021-12-07,4.89400000,5.09700000,4.42200000,4.46700000,309164.15000000,1638921599999,1485218.03887000,4916,165140.44000000,795125.87777000,0
2021-12-08,4.46800000,4.63200000,4.21800000,4.25000000,221313.00000000,1639007999999,980520.60056000,3709,94739.46000000,420285.06205000,0
2021-12-09,4.26900000,4.43700000,3.90000000,3.90900000,391073.83000000,1639094399999,1626898.21661000,4552,196308.96000000,814544.38800000,0
2021-12-10,3.91400000,4.09600000,3.50000000,3.50000000,344280.13000000,1639180799999,1307744.32604000,5511,167035.47000000,633186.64743000,0
2021-12-11,3.53900000,3.82400000,3.43500000,3.79700000,334503.17000000,1639267199999,1227601.13111000,3936,155817.87000000,571551.36303000,0
2021-12-12,3.77200000,5.46700000,3.77200000,4.97500000,2300108.56000000,1639353599999,10987428.24079000,28971,1137507.44000000,5426605.60859000,0
2021-12-13,4.97900000,5.09400000,3.82600000,4.04600000,1265742.38000000,1639439999999,5470471.16919000,15436,531150.31000000,2306260.46385000,0
2021-12-14,4.05600000,4.35000000,3.71000000,4.08500000,768281.20000000,1639526399999,3074267.59950000,9728,344262.09000000,1379412.16366000,0
2021-12-15,4.08500000,4.63000000,3.80100000,4.24400000,687380.00000000,1639612799999,2836358.78163000,9857,321717.81000000,1330884.97803000,0
2021-12-16,4.24300000,4.89800000,4.12100000,4.28800000,511927.49000000,1639699199999,2253831.40674000,9296,237147.41000000,1044143.58497000,0
2021-12-17,4.29200000,4.46200000,3.91100000,4.16500000,310801.97000000,1639785599999,1284061.99778000,3954,149270.91000000,616867.46657000,0
2021-12-18,4.15700000,4.84000000,4.04700000,4.50700000,437436.86000000,1639871999999,1962183.67827000,7117,214064.84000000,961839.69082000,0
2021-12-19,4.50800000,5.00000000,4.29300000,4.68000000,400492.78000000,1639958399999,1864357.29630000,7046,210569.28000000,984385.48147000,0
2021-12-20,4.67800000,4.83400000,4.16600000,4.47900000,447063.38000000,1640044799999,1997619.75858000,6074,207667.86000000,924111.26826000,0
2021-12-21,4.47900000,6.39400000,4.34200000,5.51400000,1893495.55000000,1640131199999,10566010.34597000,33018,945639.94000000,5271961.06223000,0
2021-12-22,5.52300000,6.51900000,5.50800000,5.72500000,1286476.02000000,1640217599999,7690041.87761000,24324,626031.84000000,3748343.31258000,0
2021-12-23,5.73900000,6.33900000,5.60100000,6.16400000,584330.78000000,1640303999999,3465516.30759000,10477,311220.37000000,1843350.32408000,0
2021-12-24,6.17000000,6.66000000,5.50500000,5.57100000,473969.38000000,1640390399999,2852193.88523000,9151,186025.61000000,1130724.27987000,0
2021-12-25,5.58500000,5.91600000,5.53800000,5.63000000,246085.71000000,1640476799999,1404649.66858000,4306,135969.23000000,777177.03494000,0
2021-12-26,5.60400000,5.68700000,5.13300000,5.41800000,371368.30000000,1640563199999,1988208.97738000,5368,183172.40000000,980808.57323000,0
2021-12-27,5.42000000,5.74400000,5.15700000,5.16300000,292815.58000000,1640649599999,1591533.18641000,5335,135372.15000000,736174.48047000,0
2021-12-28,5.16400000,5.37500000,4.70900000,4.91200000,409307.77000000,1640735999999,2061501.92928000,7799,195540.87000000,986581.72333000,0
2021-12-29,4.88300000,5.02900000,4.51100000,4.61500000,428193.67000000,1640822399999,2057935.81714000,7136,212394.35000000,1023522.78709000,0
2021-12-30,4.61600000,4.92200000,4.52200000,4.60000000,401667.59000000,1640908799999,1872730.81762000,6813,188763.74000000,879726.92565000,0
2021-12-31,4.61100000,5.10400000,4.53300000,4.60200000,286438.60000000,1640995199999,1355147.44535000,5245,129833.33000000,615443.53662000,0
2022-01-01,4.61800000,4.81800000,4.38200000,4.79300000,254913.79000000,1641081599999,1165192.66544000,4331,125955.63000000,576500.16651000,0
2022-01-02,4.79000000,4.86400000,4.52800000,4.57500000,184330.41000000,1641167999999,860765.09221000,3289,95494.65000000,444791.34146000,0
2022-01-03,4.57500000,5.41700000,4.51100000,5.26000000,803104.78000000,1641254399999,4075833.08719000,14347,417500.03000000,2126786.62825000,0
2022-01-04,5.26900000,5.49500000,4.76900000,4.81700000,835455.91000000,1641340799999,4197537.05119000,14678,372332.30000000,1873138.66768000,0
2022-01-05,4.81500000,5.12700000,4.03400000,4.27100000,1094318.92000000,1641427199999,5192278.24913000,14315,544814.66000000,2586380.74014000,0
2022-01-06,4.27200000,4.60000000,4.06100000,4.17400000,1249791.53000000,1641513599999,5239426.07976000,12945,649351.50000000,2723626.27011000,0
2022-01-07,4.17900000,4.18000000,3.64300000,3.68700000,1021619.44000000,1641599999999,3965175.36663000,12479,501126.54000000,1946190.59164000,0
2022-01-08,3.69300000,3.85200000,3.41000000,3.58900000,739517.82000000,1641686399999,2709119.14387000,7341,362599.54000000,1327999.11348000,0
2022-01-09,3.58100000,3.99700000,3.46700000,3.76000000,785191.69000000,1641772799999,2907249.97346000,8032,407210.81000000,1504353.00251000,0
2022-01-10,3.76400000,3.77500000,3.21900000,3.49600000,545110.57000000,1641859199999,1900792.65975000,5600,272424.71000000,949106.11281000,0
2022-01-11,3.49100000,3.60500000,3.24900000,3.47600000,689647.41000000,1641945599999,2374935.71968000,5723,328220.27000000,1129906.20698000,0
2022-01-12,3.48100000,4.00000000,3.41900000,3.97500000,660532.39000000,1642031999999,2405771.87544000,6463,322773.84000000,1175344.36222000,0
