timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2022-05-27,42.12000000,43.17000000,38.68000000,39.78000000,64615.08000000,1653695999999,2650051.98640000,1244,30788.12000000,1259250.41950000,0
2022-05-28,41.14000000,43.50000000,39.60000000,42.12000000,107335.87000000,1653782399999,4457907.27280000,1322,57204.46000000,2372311.59960000,0
2022-05-29,42.01000000,45.91000000,40.28000000,44.26000000,180682.97000000,1653868799999,7855614.09970000,3186,90085.18000000,3914604.01990000,0
2022-05-30,44.26000000,57.00000000,43.67000000,53.94000000,247532.71000000,1653955199999,12943570.57490000,4505,120411.93000000,6290291.29630000,0
2022-05-31,54.08000000,57.26000000,49.01000000,52.08000000,169973.88000000,1654041599999,9160277.13450000,2863,79674.87000000,4295830.06510000,0
2022-06-01,52.29000000,53.31000000,45.08000000,46.07000000,71323.48000000,1654127999999,3533813.53160000,1462,34287.33000000,1693877.98900000,0
2022-06-02,45.79000000,49.86000000,44.73000000,47.84000000,50543.01000000,1654214399999,2386191.82860000,1037,22679.21000000,1073319.66010000,0
2022-06-03,47.84000000,48.71000000,44.34000000,45.24000000,40631.44000000,1654300799999,1859198.89090000,797,15785.16000000,726344.38730000,0
2022-06-04,45.27000000,50.01000000,44.49000000,49.14000000,185367.82000000,1654387199999,8994611.10850000,2768,92557.63000000,4486737.34940000,0
2022-06-05,49.13000000,51.36000000,46.50000000,47.45000000,32985.47000000,1654473599999,1598028.87990000,846,16686.75000000,811611.89590000,0
2022-06-06,46.76000000,54.77000000,46.76000000,52.08000000,162379.78000000,1654559999999,8491126.60070000,2765,84245.06000000,4401693.15580000,0
2022-06-07,51.82000000,51.85000000,47.46000000,48.76000000,46308.26000000,1654646399999,2286585.87670000,1138,18342.36000000,904715.19960000,0
2022-06-08,48.76000000,50.61000000,47.65000000,49.03000000,30927.30000000,1654732799999,1529330.82280000,751,14281.49000000,708169.44920000,0
2022-06-09,49.03000000,51.11000000,46.59000000,48.36000000,21339.84000000,1654819199999,1042987.11050000,551,9596.50000000,472517.60350000,0
2022-06-10,48.47000000,49.11000000,45.00000000,45.23000000,24921.36000000,1654905599999,1170919.64560000,583,7751.88000000,364360.35760000,0
2022-06-11,45.85000000,46.79000000,42.25000000,42.98000000,26108.66000000,1654991999999,1167481.57830000,495,11560.56000000,515297.01490000,0
2022-06-12,42.98000000,43.35000000,38.71000000,38.71000000,29162.89000000,1655078399999,1206956.37070000,706,14911.14000000,618186.28520000,0
2022-06-13,39.28000000,39.28000000,31.03000000,31.85000000,279425.95000000,1655164799999,9273881.70540000,3911,108016.20000000,3581039.17880000,0
2022-06-14,31.85000000,34.40000000,29.50000000,33.90000000,140831.98000000,1655251199999,4650402.59350000,2126,83153.03000000,2752158.15880000,0
2022-06-15,33.52000000,35.51000000,28.85000000,35.40000000,118841.42000000,1655337599999,3733351.12090000,2016,56962.02000000,1802832.00480000,0
2022-06-16,35.70000000,36.09000000,28.89000000,29.42000000,103268.65000000,1655423999999,3332306.65260000,1348,50882.40000000,1664965.15120000,0
2022-06-17,29.42000000,31.02000000,29.03000000,29.96000000,307440.66000000,1655510399999,9308082.28550000,2590,129620.98000000,3929564.22870000,0
2022-06-18,29.95000000,30.65000000,25.15000000,27.49000000,222258.72000000,1655596799999,6092683.38960000,1854,103851.00000000,2836400.55050000,0
