timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2020-12-01,0.00000163,0.00000790,0.00000163,0.00000385,104359023.00000000,1606867199999,470.32938567,43151,46966160.00000000,211.68830209,0
2020-12-02,0.00000384,0.00000427,0.00000370,0.00000425,16856153.00000000,1606953599999,65.36219811,7332,7924167.00000000,30.79670367,0
2020-12-03,0.00000425,0.00000570,0.00000411,0.00000510,49425757.00000000,1607039999999,237.42060215,18289,22457647.00000000,107.70043267,0
2020-12-04,0.00000510,0.00000876,0.00000510,0.00000795,121476835.00000000,1607126399999,828.75491040,62613,58266045.00000000,400.76703857,0
2020-12-05,0.00000795,0.00000825,0.00000638,0.00000725,104051637.00000000,1607212799999,767.02259243,56063,48024666.00000000,354.95299331,0
2020-12-06,0.00000726,0.00000778,0.00000569,0.00000596,39895925.00000000,1607299199999,261.20541068,20561,16485956.00000000,108.02248357,0
2020-12-07,0.00000596,0.00000717,0.00000572,0.00000622,43008579.00000000,1607385599999,278.71607798,17948,19276244.00000000,125.37508637,0
2020-12-08,0.00000623,0.00000738,0.00000574,0.00000676,57619117.00000000,1607471999999,374.86378386,30110,26518668.00000000,173.22637589,0
2020-12-09,0.00000675,0.00000792,0.00000609,0.00000743,55258064.00000000,1607558399999,393.96107113,32910,25759532.00000000,184.53098658,0
2020-12-10,0.00000741,0.00000816,0.00000680,0.00000682,39992206.00000000,1607644799999,297.15400360,23515,17727468.00000000,132.66189955,0
2020-12-11,0.00000682,0.00000703,0.00000635,0.00000639,28902521.00000000,1607731199999,194.44729722,13535,11803700.00000000,79.39394625,0
2020-12-12,0.00000639,0.00000712,0.00000637,0.00000654,30547723.00000000,1607817599999,205.22516276,12668,14204195.00000000,95.55279806,0
2020-12-13,0.00000654,0.00000658,0.00000598,0.00000616,15676281.00000000,1607903999999,98.80967825,9252,6347692.00000000,40.04981925,0
2020-12-14,0.00000617,0.00000626,0.00000574,0.00000599,15446729.00000000,1607990399999,92.53967034,8139,6646102.00000000,39.97025557,0
2020-12-15,0.00000599,0.00000641,0.00000583,0.00000600,20215414.00000000,1608076799999,123.74284685,8028,9542104.00000000,58.62414506,0
2020-12-16,0.00000600,0.00000615,0.00000520,0.00000528,19049002.00000000,1608163199999,107.29977141,7575,9869944.00000000,55.67331512,0
2020-12-17,0.00000528,0.00000536,0.00000432,0.00000435,16008086.00000000,1608249599999,75.94993890,6021,7776584.00000000,36.88742066,0
