timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2021-09-09,2966048.00,3899919.00,2300026.00,2708606.00,991.43450000,1631231999999,2850647523.94,1331,263.33710000,759245637.66,0
2021-09-10,2708606.00,2820001.00,2400000.00,2584560.00,1768.97320000,1631318399999,4633052439.35,2625,612.98860000,1604872688.69,0
2021-09-11,2630000.00,2790000.00,2544040.00,2584977.00,1103.89550000,1631404799999,2939565426.47,1941,512.38560000,1369432526.33,0
2021-09-12,2594784.00,2626534.00,2460000.00,2519913.00,1146.12280000,1631491199999,2928858406.55,1942,359.52710000,922960597.93,0
2021-09-13,2511136.00,2523830.00,2175002.00,2432733.00,2578.30670000,1631577599999,5941894472.43,2972,880.76870000,2039228726.01,0
2021-09-14,2427141.00,2468390.00,2041598.00,2266908.00,1596.77900000,1631663999999,3670926271.49,2260,585.44520000,1358638401.19,0
2021-09-15,2270000.00,2389688.00,2214000.00,2270105.00,1876.42360000,1631750399999,4293086094.67,2310,909.55120000,2085398960.08,0
2021-09-16,2270105.00,2339998.00,2120000.00,2186457.00,2084.06910000,1631836799999,4638856854.52,2381,1004.72270000,2244666419.53,0
2021-09-17,2190962.00,2205021.00,1930227.00,2117278.00,3952.45880000,1631923199999,8127854709.89,3631,1683.72370000,3486423396.59,0
2021-09-18,2113733.00,2481159.00,2069223.00,2425507.00,4099.58760000,1632009599999,9342989150.98,3904,2290.01450000,5238503910.48,0
2021-09-19,2435663.00,2452027.00,2165001.00,2200727.00,1988.38310000,1632095999999,4597196515.62,2524,912.59510000,2120461905.90,0
2021-09-20,2202220.00,2207104.00,1885003.00,1902554.00,3246.45660000,1632182399999,6628070952.18,3457,1227.04970000,2515708133.33,0
2021-09-21,1920837.00,2093780.00,1683776.00,1802898.00,3801.52470000,1632268799999,7325175535.40,2987,1345.26090000,2647364305.78,0
2021-09-22,1794543.00,2170000.00,1767056.00,2116366.00,3310.39190000,1632355199999,6588287292.89,3055,2001.20120000,4037468276.78,0
2021-09-23,2125244.00,2185716.00,2046283.00,2123330.00,2125.87360000,1632441599999,4505299807.69,2360,1085.53230000,2305920396.93,0
2021-09-24,2137291.00,2156718.00,1841973.00,1988045.00,4065.33020000,1632527999999,8185355789.22,2888,1432.84370000,2862064525.76,0
2021-09-25,1993002.00,2069997.00,1925000.00,1965000.00,1890.59740000,1632614399999,3781008449.69,1676,996.12260000,1996383294.77,0
2021-09-26,1963001.00,2020000.00,1806078.00,1948552.00,2434.10610000,1632700799999,4651647135.31,2147,1025.49380000,1972802620.96,0
2021-09-27,1955921.00,2133195.00,1925159.00,1962391.00,3298.57080000,1632787199999,6803740919.66,2341,2083.78110000,4326269152.67,0
2021-09-28,1967945.00,1999399.00,1845000.00,1887374.00,1981.70030000,1632873599999,3818561157.27,1948,641.02230000,1237921023.19,0
2021-09-29,1908008.00,2016000.00,1890000.00,1944998.00,1567.33830000,1632959999999,3067711965.35,1597,614.09470000,1211067778.94,0
2021-09-30,1944998.00,2040000.00,1920000.00,2012855.00,2611.82180000,1633046399999,5182621847.90,2101,1311.84730000,2615792534.08,0
2021-10-01,2023949.00,2350000.00,1974448.00,2303570.00,4324.62800000,1633132799999,9339864023.49,4012,2132.10690000,4544171015.96,0
2021-10-02,2303570.00,2500000.00,2229029.00,2406432.00,3286.88070000,1633219199999,7748072456.35,3302,1899.65710000,4496235335.74,0
2021-10-03,2412015.00,2532250.00,2361377.00,2461414.00,3593.51160000,1633305599999,8842317193.05,3115,2427.70000000,5968965438.69,0
2021-10-04,2465753.00,2472308.00,2320000.00,2373427.00,3437.93470000,1633391999999,8261316415.59,3004,1757.92020000,4229089198.69,0
2021-10-05,2383737.00,2423874.00,2280358.00,2331814.00,2985.79480000,1633478399999,7058301807.21,2940,1356.08160000,3209724465.58,0
2021-10-06,2338922.00,2351079.00,2152615.00,2195612.00,4223.95630000,1633564799999,9501373152.74,3580,2012.81980000,4524762491.78,0
2021-10-07,2195325.00,2297698.00,2148001.00,2191982.00,4300.93260000,1633651199999,9555061659.17,3201,1966.10940000,4376778385.89,0
2021-10-08,2195855.00,2398988.00,2170000.00,2258016.00,4220.62890000,1633737599999,9647390186.78,3788,2234.86540000,5109344914.68,0
2021-10-09,2265791.00,2298549.00,2199999.00,2233249.00,3149.68460000,1633823999999,7107315826.02,2982,1312.94550000,2967592034.08,0
2021-10-10,2230003.00,2256000.00,2087163.00,2112909.00,2421.14370000,1633910399999,5303297750.20,2581,1001.19860000,2200399654.75,0
2021-10-11,2109794.00,2196591.00,2006338.00,2068973.00,3480.72770000,1633996799999,7373169665.86,2647,1470.40280000,3126139739.53,0
2021-10-12,2079644.00,2184210.00,1965000.00,2180000.00,2560.94350000,1634083199999,5299830603.38,2547,1187.61420000,2465599202.11,0
2021-10-13,2169125.00,2215000.00,2054900.00,2099311.00,3084.63880000,1634169599999,6516807003.73,2592,1378.61100000,2921181671.24,0
2021-10-14,2102011.00,2198789.00,2090798.00,2111918.00,2697.83180000,1634255999999,5765813256.25,2432,1280.33650000,2738912411.46,0
2021-10-15,2111620.00,2324254.00,2070000.00,2290157.00,4545.01010000,1634342399999,10125270958.14,3972,2657.91870000,5921192189.99,0
2021-10-16,2293743.00,2311710.00,2196001.00,2212382.00,2231.17070000,1634428799999,5020134218.73,2592,1169.47430000,2637740294.74,0
2021-10-17,2215233.00,2351910.00,2150000.00,2237721.00,2475.30340000,1634515199999,5638804208.83,2634,1253.30960000,2864767515.29,0
2021-10-18,2245910.00,2283569.00,2185001.00,2215518.00,2400.48420000,1634601599999,5346615211.26,2297,1127.51650000,2513792976.60,0
2021-10-19,2212151.00,2239998.00,2155046.00,2189658.00,1802.84960000,1634687999999,3979979620.09,1945,831.53030000,1837471944.52,0
2021-10-20,2193506.00,2463675.00,2181659.00,2463674.00,3957.56670000,1634774399999,9194244646.90,3740,2146.06210000,4978679303.55,0
2021-10-21,2463675.00,2723061.00,2457535.00,2685008.00,7978.99610000,1634860799999,20848468866.97,6633,3963.65120000,10329283781.35,0
2021-10-22,2679244.00,3040679.00,2642185.00,2769945.00,6198.67890000,1634947199999,17718982688.91,5564,2941.29410000,8438320397.52,0
2021-10-23,2769822.00,2907394.00,2720000.00,2797181.00,4039.53680000,1635033599999,11383301408.22,3320,1948.86470000,5511414869.76,0
2021-10-24,2797225.00,2889999.00,2614832.00,2847463.00,3761.41660000,1635119999999,10317638342.88,3641,1781.56840000,4892130075.23,0
2021-10-25,2849670.00,3094684.00,2787715.00,2968033.00,4851.11270000,1635206399999,14330423010.59,4352,2340.35450000,6895328898.63,0
2021-10-26,2962497.00,3020662.00,2784988.00,2840622.00,4216.58120000,1635292799999,12318984810.13,4235,1942.64590000,5681154673.86,0
2021-10-27,2839338.00,2906685.00,2510001.00,2641882.00,5784.85890000,1635379199999,15832975673.76,4979,2367.95600000,6498601618.78,0
2021-10-28,2637153.00,2858676.00,2600140.00,2773698.00,6308.82070000,1635465599999,17413993770.55,4166,3335.64960000,9260110478.14,0
2021-10-29,2775457.00,2904344.00,2763918.00,2829973.00,3530.70450000,1635551999999,10026743444.34,3167,1812.91570000,5153374435.86,0
2021-10-30,2839214.00,2853715.00,2670000.00,2789996.00,2864.09170000,1635638399999,7949011130.25,2986,1358.48870000,3771648706.85,0
2021-10-31,2788000.00,2910893.00,2644207.00,2876826.00,4435.25100000,1635724799999,12270033676.53,3824,2257.22380000,6278549699.43,0
2021-11-01,2877081.00,3013232.00,2813055.00,2908526.00,6811.97230000,1635811199999,19857529244.37,5077,3496.58350000,10199876213.28,0
2021-11-02,2909819.00,3156290.00,2868000.00,3135281.00,5603.80390000,1635897599999,16707716442.65,4462,2868.01020000,8556024062.44,0
2021-11-03,3127024.00,3511164.00,3069336.00,3467724.00,10642.22420000,1635983999999,34906701985.41,7630,5609.27840000,18422754632.28,0
