timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2022-08-19,0.00001449,0.00004290,0.00001449,0.00004042,13498740.20000000,1660953599999,439.39561753,51387,6079943.10000000,201.43514037,0
2022-08-20,0.00004042,0.00004954,0.00003179,0.00003373,8513460.10000000,1661039999999,335.27875182,37587,3986186.00000000,158.65174716,0
2022-08-21,0.00003359,0.00003540,0.00002816,0.00002976,2034975.30000000,1661126399999,63.47813363,9272,805543.10000000,25.30887262,0
2022-08-22,0.00002981,0.00003653,0.00002959,0.00003300,3848736.20000000,1661212799999,125.74071759,14388,1793690.50000000,58.70274122,0
2022-08-23,0.00003293,0.00003783,0.00003146,0.00003534,2253682.20000000,1661299199999,78.16546577,9493,1146332.10000000,39.89307195,0
2022-08-24,0.00003535,0.00004237,0.00003415,0.00003465,3635161.80000000,1661385599999,138.35531188,16585,1682374.70000000,64.09156757,0
2022-08-25,0.00003478,0.00005025,0.00003365,0.00004778,8103938.60000000,1661471999999,351.82129829,44007,3807491.30000000,166.08259090,0
2022-08-26,0.00004767,0.00005349,0.00004297,0.00004595,5309377.70000000,1661558399999,252.10781819,28220,2662247.80000000,126.46458585,0
2022-08-27,0.00004597,0.00004664,0.00003711,0.00003956,3928479.40000000,1661644799999,160.38312446,13122,1803688.50000000,74.02657396,0
2022-08-28,0.00003971,0.00004242,0.00003720,0.00004108,1752763.80000000,1661731199999,69.16411131,7665,1008585.70000000,39.78347156,0
2022-08-29,0.00004113,0.00004235,0.00003888,0.00004135,1232638.80000000,1661817599999,50.36523905,7037,648097.10000000,26.52967664,0
2022-08-30,0.00004123,0.00004178,0.00003520,0.00003595,1306114.80000000,1661903999999,49.45277906,7367,690898.60000000,26.18369678,0
2022-08-31,0.00003601,0.00003701,0.00003169,0.00003326,1016455.40000000,1661990399999,34.77509778,6344,481180.40000000,16.51650058,0
2022-09-01,0.00003312,0.00003312,0.00002833,0.00003141,2873548.50000000,1662076799999,89.43816195,12234,1297413.70000000,40.33592349,0
2022-09-02,0.00003141,0.00003500,0.00003141,0.00003271,1961391.00000000,1662163199999,65.34574887,8202,1152820.60000000,38.44696013,0
2022-09-03,0.00003279,0.00003324,0.00003079,0.00003142,404898.80000000,1662249599999,13.07446497,1965,203990.10000000,6.59615021,0
2022-09-04,0.00003135,0.00003230,0.00003067,0.00003160,346174.30000000,1662335999999,10.84408371,1676,200681.70000000,6.29092583,0
2022-09-05,0.00003165,0.00003165,0.00002909,0.00003058,705966.70000000,1662422399999,21.40206901,3009,353395.00000000,10.75185821,0
2022-09-06,0.00003063,0.00003444,0.00002971,0.00003324,1387989.40000000,1662508799999,44.42672273,8080,758258.90000000,24.24805553,0
2022-09-07,0.00003326,0.00004066,0.00003324,0.00004036,5267016.60000000,1662595199999,196.31417341,25794,3063278.20000000,112.82907167,0
2022-09-08,0.00004032,0.00004400,0.00003883,0.00004208,4301267.00000000,1662681599999,180.36548545,15795,2351700.60000000,98.90183296,0
2022-09-09,0.00004214,0.00004264,0.00003573,0.00003708,3416519.90000000,1662767999999,135.86389581,16461,1714406.20000000,68.13734253,0
2022-09-10,0.00003708,0.00003807,0.00003417,0.00003534,2565750.70000000,1662854399999,91.54031423,11374,1310062.80000000,46.77975382,0
2022-09-11,0.00003534,0.00003687,0.00003297,0.00003346,2292548.30000000,1662940799999,79.85701709,9834,1136948.20000000,39.67185150,0
2022-09-12,0.00003337,0.00003337,0.00002841,0.00002855,1994394.70000000,1663027199999,61.09965147,8604,988378.60000000,30.27351670,0
2022-09-13,0.00002858,0.00003327,0.00002785,0.00003222,1265675.40000000,1663113599999,38.30241606,5464,739088.40000000,22.53453181,0
2022-09-14,0.00003219,0.00003270,0.00002877,0.00002960,1386078.50000000,1663199999999,42.83903424,4018,676821.40000000,20.91787934,0
2022-09-15,0.00002947,0.00002947,0.00002749,0.00002788,946371.50000000,1663286399999,26.91282910,3376,446270.70000000,12.68159497,0
2022-09-16,0.00002780,0.00002996,0.00002769,0.00002894,675733.60000000,1663372799999,19.41865431,2140,337149.50000000,9.68656600,0
2022-09-17,0.00002894,0.00002913,0.00002829,0.00002888,388608.50000000,1663459199999,11.14395810,735,174186.10000000,4.99442167,0
2022-09-18,0.00002890,0.00003163,0.00002653,0.00002692,1348453.10000000,1663545599999,40.05522807,5274,679463.10000000,20.24656301,0
2022-09-19,0.00002690,0.00002809,0.00002664,0.00002737,637281.10000000,1663631999999,17.41734076,2748,318598.80000000,8.69706740,0
2022-09-20,0.00002737,0.00002792,0.00002696,0.00002719,779130.70000000,1663718399999,21.41266141,2342,320990.70000000,8.82746373,0
2022-09-21,0.00002719,0.00002895,0.00002659,0.00002853,1062487.10000000,1663804799999,29.51256264,3502,624166.50000000,17.33387906,0
2022-09-22,0.00002850,0.00002978,0.00002783,0.00002793,469175.00000000,1663891199999,13.54602475,3235,244567.00000000,7.06025046,0
2022-09-23,0.00002805,0.00002917,0.00002798,0.00002808,260422.70000000,1663977599999,7.46446706,2217,140930.20000000,4.03679989,0
2022-09-24,0.00002807,0.00002926,0.00002807,0.00002918,177602.80000000,1664063999999,5.06919674,1655,72100.50000000,2.06395138,0
2022-09-25,0.00002911,0.00003131,0.00002911,0.00002951,1285507.00000000,1664150399999,39.04230635,4315,532037.80000000,16.15332396,0
2022-09-26,0.00002947,0.00002958,0.00002771,0.00002810,606468.50000000,1664236799999,17.12583619,2485,419956.70000000,11.83097009,0
2022-09-27,0.00002826,0.00002874,0.00002718,0.00002844,475237.20000000,1664323199999,13.24453521,2293,231414.90000000,6.44403115,0
2022-09-28,0.00002848,0.00002848,0.00002666,0.00002724,290137.00000000,1664409599999,7.92688033,2492,115305.00000000,3.15287276,0
2022-09-29,0.00002718,0.00002738,0.00002655,0.00002664,198657.30000000,1664495999999,5.35926891,1670,61440.60000000,1.65688114,0
2022-09-30,0.00002666,0.00002806,0.00002631,0.00002716,425332.80000000,1664582399999,11.47057352,1679,217707.10000000,5.85376821,0
2022-10-01,0.00002720,0.00002734,0.00002681,0.00002703,119452.20000000,1664668799999,3.23668894,406,36175.10000000,0.98161697,0
