timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2020-11-24,0.07712000,0.25000000,0.07712000,0.09161000,570609.00000000,1606262399999,49958.04972900,529,240031.60000000,21926.19441600,0
2020-11-25,0.09161000,0.10999000,0.06868000,0.09326000,2070980.70000000,1606348799999,188712.02122100,1606,788344.20000000,72931.39897400,0
2020-11-26,0.09148000,0.09510000,0.07002000,0.07814000,997255.60000000,1606435199999,80197.64958300,1167,459242.10000000,36566.00766600,0
2020-11-27,0.07813000,0.09000000,0.07100000,0.08377000,647234.40000000,1606521599999,50011.29030900,910,283960.70000000,21828.40588300,0
2020-11-28,0.08377000,0.11870000,0.08170000,0.09366000,1801456.50000000,1606607999999,172992.55158600,1264,806806.30000000,78062.64681000,0
2020-11-29,0.09300000,0.10200000,0.08700000,0.09781000,775180.50000000,1606694399999,73688.80607100,994,241050.50000000,22697.22600900,0
2020-11-30,0.09778000,0.10650000,0.08144000,0.09685000,1318664.90000000,1606780799999,130041.85172700,1093,321616.70000000,31954.09523400,0
2020-12-01,0.09688000,0.13826000,0.08502000,0.08502000,1287631.10000000,1606867199999,120563.42705800,1165,391571.90000000,38102.50271600,0
2020-12-02,0.08530000,0.09610000,0.07826000,0.08026000,2636714.10000000,1606953599999,225521.83303900,1616,1150423.90000000,99206.67881700,0
2020-12-03,0.08026000,0.08600000,0.07349000,0.07464000,2480942.70000000,1607039999999,194964.72740400,1865,751623.40000000,59905.30373800,0
2020-12-04,0.07464000,0.07700000,0.06598000,0.06687000,2146342.10000000,1607126399999,151942.05940300,1596,690303.50000000,49115.60608200,0
2020-12-05,0.06676000,0.07680000,0.06584000,0.07418000,1803391.70000000,1607212799999,132410.27977000,3254,1001411.70000000,73629.66306400,0
2020-12-06,0.07415000,0.07700000,0.06830000,0.06882000,2079140.50000000,1607299199999,149405.21874700,3271,941892.20000000,68252.64118600,0
2020-12-07,0.06882000,0.07200000,0.06800000,0.06910000,948944.50000000,1607385599999,66139.67905600,1638,452006.40000000,31687.32646800,0
2020-12-08,0.06909000,0.07700000,0.06125000,0.06148000,1448489.20000000,1607471999999,96390.80044900,1525,663111.40000000,44634.04043200,0
2020-12-09,0.06149000,0.06362000,0.05528000,0.06171000,1769363.70000000,1607558399999,104073.61283500,767,820160.00000000,48307.22216500,0
2020-12-10,0.06176000,0.06962000,0.05999000,0.06017000,990267.70000000,1607644799999,64318.69971600,1849,517573.80000000,34088.73596200,0
2020-12-11,0.06017000,0.06017000,0.05534000,0.05733000,1363802.20000000,1607731199999,78682.55356300,650,666248.00000000,38399.79176500,0
2020-12-12,0.05725000,0.06435000,0.05721000,0.06180000,1627551.90000000,1607817599999,98347.04156900,766,1047101.10000000,63077.16630500,0
2020-12-13,0.06180000,0.06557000,0.06127000,0.06278000,948086.10000000,1607903999999,59143.22887800,575,354873.20000000,22257.29193600,0
2020-12-14,0.06260000,0.06716000,0.06219000,0.06567000,2303334.50000000,1607990399999,147948.24382300,914,1096492.50000000,70617.36669300,0
2020-12-15,0.06561000,0.07300000,0.06290000,0.06346000,1698103.20000000,1608076799999,111427.86870000,973,810957.30000000,53652.11758800,0
2020-12-16,0.06346000,0.06359000,0.05854000,0.06198000,1950205.70000000,1608163199999,118969.89069400,889,918113.20000000,56145.64064200,0
2020-12-17,0.06194000,0.06298000,0.05572000,0.05844000,2619273.80000000,1608249599999,154026.64316800,1032,1016895.30000000,59776.19441300,0
2020-12-18,0.05835000,0.06869000,0.05800000,0.06099000,2346949.60000000,1608335999999,143481.83151300,1005,1405433.40000000,85713.07191100,0
2020-12-19,0.06141000,0.06850000,0.05964000,0.06256000,1058371.20000000,1608422399999,67290.77037800,777,504403.30000000,32193.43713800,0
2020-12-20,0.06256000,0.06680000,0.06025000,0.06392000,1273724.20000000,1608508799999,81236.85556100,657,720675.90000000,46065.35138200,0
2020-12-21,0.06312000,0.07100000,0.05964000,0.06183000,1868078.20000000,1608595199999,119427.53929300,976,1138752.30000000,72482.14305900,0
