timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2019-05-24,0.02500000,0.02600000,0.01222000,0.01515000,1090620009.50000000,1558742399999,16881697.65796700,41260,483233538.60000000,7518750.37299000,0
2019-05-25,0.01514000,0.02478000,0.01503000,0.02200000,2299062770.50000000,1558828799999,48250834.93838600,97033,1084441472.90000000,22737929.18427900,0
2019-05-26,0.02195000,0.02308000,0.01691000,0.01756000,1336342202.30000000,1558915199999,25650409.29409800,55696,601283918.00000000,11559953.03283900,0
2019-05-27,0.01760000,0.01800000,0.01575000,0.01646000,682880948.80000000,1559001599999,11505662.86336400,27133,289197604.10000000,4889775.95775900,0
2019-05-28,0.01642000,0.01704000,0.01550000,0.01643000,488613396.50000000,1559087999999,7885607.70406600,16629,211318515.60000000,3424134.52051000,0
2019-05-29,0.01643000,0.01865000,0.01580000,0.01798000,767504163.30000000,1559174399999,13171756.18311900,27712,389838169.80000000,6700631.21693500,0
2019-05-30,0.01793000,0.01804000,0.01331000,0.01445000,627599342.50000000,1559260799999,10044016.02192100,23833,275380275.00000000,4397752.99685300,0
2019-05-31,0.01444000,0.01490000,0.01373000,0.01477000,320560664.20000000,1559347199999,4613636.28232400,11131,139256989.10000000,2007615.34075800,0
2019-06-01,0.01477000,0.01496000,0.01350000,0.01416000,391357409.40000000,1559433599999,5589921.22354100,13982,172785941.60000000,2468552.59160400,0
2019-06-02,0.01415000,0.01526000,0.01405000,0.01465000,240528606.00000000,1559519999999,3503585.51429200,9583,115355059.20000000,1684818.03491400,0
2019-06-03,0.01467000,0.01468000,0.01322000,0.01335000,172830450.90000000,1559606399999,2402548.55742700,8173,74339537.80000000,1034125.43506900,0
2019-06-04,0.01334000,0.01368000,0.01212000,0.01262000,225064807.40000000,1559692799999,2924208.25120200,9529,96782296.70000000,1259988.58760300,0
2019-06-05,0.01263000,0.01377000,0.01240000,0.01327000,302914891.40000000,1559779199999,3963726.20028000,12108,144367770.30000000,1895490.35786300,0
2019-06-06,0.01323000,0.01520000,0.01313000,0.01409000,503244100.20000000,1559865599999,7129848.53695200,18710,246486222.10000000,3503815.42920200,0
2019-06-07,0.01412000,0.01470000,0.01378000,0.01445000,193937537.60000000,1559951999999,2780050.50034500,8194,103552346.40000000,1486986.06226400,0
2019-06-08,0.01443000,0.01520000,0.01360000,0.01499000,221327155.00000000,1560038399999,3235682.56643600,8863,120012124.10000000,1757236.50254400,0
2019-06-09,0.01504000,0.01577000,0.01267000,0.01330000,357137406.40000000,1560124799999,5104574.45989800,14064,152842017.80000000,2192320.08088600,0
2019-06-10,0.01325000,0.01432000,0.01265000,0.01403000,250862847.80000000,1560211199999,3424941.93750500,9872,123627398.40000000,1690306.96546000,0
2019-06-11,0.01407000,0.01416000,0.01306000,0.01363000,145608455.20000000,1560297599999,1971574.26587200,5643,62600310.60000000,847512.59506800,0
2019-06-12,0.01361000,0.01364000,0.01325000,0.01348000,100609259.90000000,1560383999999,1349248.07007200,4445,43814710.10000000,588094.87247800,0
2019-06-13,0.01349000,0.01357000,0.01297000,0.01318000,108543279.10000000,1560470399999,1438003.56885000,4465,44172528.50000000,586018.31476900,0
2019-06-14,0.01318000,0.01339000,0.01169000,0.01254000,173336509.40000000,1560556799999,2155117.34952700,8957,71232450.90000000,882305.94263000,0
2019-06-15,0.01252000,0.01266000,0.01187000,0.01220000,129927326.30000000,1560643199999,1588398.24041200,6007,51489938.10000000,630784.63465200,0
2019-06-16,0.01219000,0.01233000,0.01173000,0.01199000,103531784.50000000,1560729599999,1239051.53847300,5118,48754879.50000000,584368.79210400,0
2019-06-17,0.01201000,0.01250000,0.01192000,0.01204000,113051993.60000000,1560815999999,1381996.33791200,5782,56107286.70000000,686821.56947900,0
