timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2021-08-20,50.02000000,52.07000000,47.46000000,50.73000000,67714.00000000,1629503999999,3427402.94000000,254,25767.00000000,1312744.53000000,0
2021-08-21,50.60000000,51.20000000,46.00000000,48.39000000,85525.00000000,1629590399999,4112827.45000000,176,29437.00000000,1491899.30000000,0
2021-08-22,49.86000000,50.80000000,45.00000000,46.79000000,112643.00000000,1629676799999,5447201.86000000,189,67595.00000000,3371293.64000000,0
2021-08-23,46.47000000,49.20000000,45.68000000,46.79000000,33067.00000000,1629763199999,1555839.96000000,175,16220.00000000,768317.88000000,0
2021-08-24,46.83000000,48.53000000,41.70000000,42.41000000,87963.00000000,1629849599999,4058220.96000000,201,59501.00000000,2791611.54000000,0
2021-08-25,42.08000000,45.40000000,38.39000000,44.64000000,96229.00000000,1629935999999,4204489.31000000,219,60503.00000000,2685660.78000000,0
2021-08-26,44.65000000,44.65000000,39.37000000,39.47000000,19223.00000000,1630022399999,800293.64000000,129,8482.00000000,360827.72000000,0
2021-08-27,39.71000000,43.30000000,38.50000000,43.30000000,28623.00000000,1630108799999,1178365.56000000,158,18063.00000000,750518.86000000,0
2021-08-28,42.19000000,42.67000000,39.34000000,40.35000000,22642.00000000,1630195199999,925486.80000000,157,4162.00000000,170987.06000000,0
2021-08-29,39.72000000,47.00000000,38.92000000,44.37000000,98785.00000000,1630281599999,4344964.49000000,223,48725.00000000,2154242.72000000,0
2021-08-30,45.65000000,47.80000000,39.87000000,39.87000000,38015.00000000,1630367999999,1604496.77000000,199,9339.00000000,403108.56000000,0
2021-08-31,39.66000000,41.03000000,38.35000000,38.90000000,73819.00000000,1630454399999,2956738.49000000,152,22779.00000000,914819.64000000,0
2021-09-01,40.03000000,45.29000000,38.50000000,45.29000000,3303302.00000000,1630540799999,136780486.05000000,660,1400393.00000000,58422013.18000000,0
2021-09-02,46.00000000,47.00000000,41.11000000,41.80000000,4533551.00000000,1630627199999,195938822.76000000,735,2185530.00000000,95355350.11000000,0
2021-09-03,41.80000000,43.00000000,40.00000000,42.55000000,33295.00000000,1630713599999,1374347.00000000,147,12341.00000000,516625.73000000,0
2021-09-04,41.43000000,44.58000000,41.43000000,42.59000000,25481.00000000,1630799999999,1095837.38000000,154,9582.00000000,413882.17000000,0
2021-09-05,42.29000000,48.00000000,41.99000000,44.53000000,838300.00000000,1630886399999,37238951.78000000,561,407025.00000000,18192814.34000000,0
2021-09-06,44.98000000,48.17000000,43.00000000,46.70000000,5550245.00000000,1630972799999,250150444.34000000,1185,2789184.00000000,127194115.65000000,0
2021-09-07,46.28000000,53.09000000,30.64000000,35.96000000,7385166.00000000,1631059199999,350902700.71000000,2074,3712172.00000000,178261041.17000000,0
2021-09-08,34.82000000,37.70000000,32.36000000,35.50000000,5430772.00000000,1631145599999,198197624.29000000,1075,2788834.00000000,102979452.47000000,0
2021-09-09,35.67000000,38.88000000,34.51000000,34.78000000,535791.00000000,1631231999999,19094874.13000000,405,298893.00000000,10817500.04000000,0
2021-09-10,35.16000000,35.16000000,29.96000000,31.23000000,93623.00000000,1631318399999,3006274.81000000,270,43222.00000000,1382698.27000000,0
2021-09-11,31.30000000,35.10000000,30.36000000,31.19000000,2305866.00000000,1631404799999,74917006.06000000,901,1157771.00000000,37903707.04000000,0
2021-09-12,31.23000000,37.12000000,30.64000000,36.55000000,3654441.00000000,1631491199999,126069916.19000000,1176,1800677.00000000,62624062.08000000,0
2021-09-13,37.42000000,39.10000000,31.21000000,32.15000000,243226.00000000,1631577599999,8585512.52000000,363,95452.00000000,3415653.04000000,0
2021-09-14,32.15000000,44.67000000,31.66000000,42.38000000,1617555.00000000,1631663999999,65661676.34000000,1003,820038.00000000,33470674.81000000,0
2021-09-15,42.68000000,48.50000000,39.57000000,42.20000000,1988569.00000000,1631750399999,81780647.52000000,1007,960699.00000000,39752676.27000000,0
2021-09-16,43.00000000,49.00000000,39.35000000,46.50000000,180963.00000000,1631836799999,8217530.77000000,558,73345.00000000,3395703.84000000,0
2021-09-17,46.97000000,47.02000000,40.47000000,40.47000000,1368594.00000000,1631923199999,57392182.78000000,723,661208.00000000,27972828.48000000,0
2021-09-18,40.48000000,44.76000000,39.97000000,40.89000000,2912068.00000000,1632009599999,119401439.56000000,1367,1521290.00000000,63019813.96000000,0
2021-09-19,41.09000000,41.71000000,39.06000000,39.85000000,39104.00000000,1632095999999,1588350.83000000,220,13251.00000000,536153.43000000,0
2021-09-20,39.45000000,39.45000000,31.61000000,33.04000000,1932893.00000000,1632182399999,66879951.96000000,1046,1005012.00000000,35059376.75000000,0
2021-09-21,32.49000000,39.26000000,31.00000000,32.95000000,1687458.00000000,1632268799999,57119822.00000000,934,828457.00000000,28328783.39000000,0
2021-09-22,33.19000000,38.41000000,33.19000000,35.33000000,381109.00000000,1632355199999,13854039.95000000,505,178758.00000000,6494354.22000000,0
2021-09-23,35.71000000,40.30000000,34.66000000,37.08000000,2511717.00000000,1632441599999,94670159.20000000,992,1213683.00000000,46016822.54000000,0
2021-09-24,37.01000000,37.01000000,31.00000000,33.48000000,612963.00000000,1632527999999,20041306.05000000,669,286935.00000000,9444335.03000000,0
2021-09-25,33.59000000,34.70000000,32.29000000,32.82000000,2140974.00000000,1632614399999,71139255.64000000,780,1000982.00000000,33188234.31000000,0
2021-09-26,32.79000000,33.98000000,29.50000000,31.64000000,2841155.00000000,1632700799999,91364014.09000000,2242,1349687.00000000,43756172.79000000,0
2021-09-27,31.71000000,33.40000000,30.55000000,31.00000000,50515.00000000,1632787199999,1625203.53000000,281,27579.00000000,886092.42000000,0
2021-09-28,30.70000000,32.60000000,29.42000000,29.52000000,4593996.00000000,1632873599999,140080316.67000000,1990,2357945.00000000,72668209.92000000,0
2021-09-29,29.76000000,32.00000000,29.39000000,30.33000000,5780584.00000000,1632959999999,174553182.68000000,2893,2794555.00000000,85283836.65000000,0
2021-09-30,30.48000000,32.11000000,29.80000000,31.86000000,1355846.00000000,1633046399999,41413203.27000000,1031,673290.00000000,20674771.34000000,0
2021-10-01,32.08000000,35.79000000,30.88000000,34.82000000,2638098.00000000,1633132799999,91001653.34000000,2043,1366662.00000000,47392096.04000000,0
2021-10-02,34.89000000,37.46000000,33.66000000,35.26000000,1291427.00000000,1633219199999,45214042.21000000,964,624797.00000000,21901854.55000000,0
