timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2021-02-23,1.82000000,6.00000000,1.82000000,3.18970000,10215696.35000000,1614124799999,30214677.15562200,87141,5167844.57000000,15490465.71582600,0
2021-02-24,3.18110000,3.34140000,2.50000000,2.64830000,3967990.07000000,1614211199999,11337802.65720000,54907,1832792.35000000,5251916.99922500,0
2021-02-25,2.64900000,2.79790000,2.01000000,2.01070000,1894262.90000000,1614297599999,4565219.34033800,24130,799364.03000000,1936892.22932500,0
2021-02-26,2.01210000,2.30000000,1.80000000,1.96660000,1334393.86000000,1614383999999,2675526.65093700,15598,551163.91000000,1111861.50381300,0
2021-02-27,1.96580000,2.49500000,1.85000000,2.37020000,1362434.91000000,1614470399999,2968631.51026900,19587,675864.06000000,1474243.52143600,0
2021-02-28,2.37030000,2.45000000,1.90570000,2.13760000,1091238.58000000,1614556799999,2292958.30942200,14463,488321.61000000,1032644.34222300,0
2021-03-01,2.13750000,3.84000000,2.02280000,3.09390000,4203740.47000000,1614643199999,12932493.98634800,68355,2125268.12000000,6516910.01557500,0
2021-03-02,3.09380000,3.38000000,2.55000000,2.86240000,1677998.36000000,1614729599999,5040717.93809300,31480,718931.57000000,2170933.52000500,0
2021-03-03,2.86570000,3.31000000,2.83000000,2.83140000,1283246.98000000,1614815999999,3931507.16902000,23519,592879.04000000,1831528.35074100,0
2021-03-04,2.83140000,3.05910000,2.71700000,2.81790000,972646.91000000,1614902399999,2805346.35176800,16035,397800.18000000,1150267.89730200,0
2021-03-05,2.81780000,2.82080000,2.40000000,2.58870000,832146.58000000,1614988799999,2116807.19205100,11830,396314.22000000,1008570.66755100,0
2021-03-06,2.58700000,2.79850000,2.55000000,2.62750000,457344.68000000,1615075199999,1218425.22858200,8265,211661.92000000,564375.57658600,0
2021-03-07,2.62250000,3.22500000,2.55000000,2.99470000,608504.10000000,1615161599999,1661384.30133000,10510,289272.08000000,799223.59638500,0
2021-03-08,2.99460000,3.28360000,2.74000000,2.91300000,1115867.54000000,1615247999999,3392412.30036100,19724,522917.90000000,1597520.01895700,0
2021-03-09,2.91290000,3.10000000,2.75430000,2.93290000,939208.18000000,1615334399999,2711138.07382700,16925,472971.58000000,1371610.82400900,0
2021-03-10,2.93290000,3.20000000,2.70000000,2.88020000,1017981.04000000,1615420799999,2978134.95106000,23824,441365.08000000,1296324.21438400,0
2021-03-11,2.88000000,3.93000000,2.77630000,3.67910000,2093164.21000000,1615507199999,6911122.90491600,55000,1078094.33000000,3589647.47003400,0
2021-03-12,3.66690000,3.70000000,3.06000000,3.41170000,1014885.68000000,1615593599999,3455427.77239000,32721,466527.93000000,1587772.07527300,0
2021-03-13,3.41440000,4.05000000,3.21680000,3.77420000,1149838.97000000,1615679999999,4281378.22146400,40025,602497.56000000,2252990.30167500,0
2021-03-14,3.77420000,3.98660000,3.35990000,3.74160000,869979.74000000,1615766399999,3163378.98959300,35926,379832.39000000,1392925.54214200,0
2021-03-15,3.74160000,3.92800000,3.26260000,3.39870000,1196631.79000000,1615852799999,4266188.03595200,45966,508786.23000000,1826884.54151300,0
2021-03-16,3.39880000,3.49550000,3.03000000,3.25210000,911572.68000000,1615939199999,2989279.25823900,30211,414274.77000000,1360892.04238400,0
