timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2021-02-23,0.00114400,0.00470000,0.00114400,0.00201600,2511824.65000000,1614124799999,4948.16600488,40586,1063832.53000000,2139.01144966,0
2021-02-24,0.00201500,0.00217800,0.00153600,0.00163000,859043.79000000,1614211199999,1516.65789306,17943,318309.49000000,577.96961951,0
2021-02-25,0.00163400,0.00172000,0.00131300,0.00137300,364370.36000000,1614297599999,537.77468527,5320,142017.98000000,208.80878642,0
2021-02-26,0.00136500,0.00150500,0.00125000,0.00136200,269591.92000000,1614383999999,367.03657651,5021,126333.65000000,173.72999816,0
2021-02-27,0.00135500,0.00169800,0.00123000,0.00163300,218329.75000000,1614470399999,322.61965067,4446,107819.29000000,159.87030146,0
2021-02-28,0.00162500,0.00168400,0.00140000,0.00150700,189746.20000000,1614556799999,288.52042593,5065,89088.17000000,136.33132181,0
2021-03-01,0.00150300,0.00250000,0.00140400,0.00196800,501785.02000000,1614643199999,1026.87408361,15685,265832.52000000,545.39702832,0
2021-03-02,0.00196900,0.00219900,0.00174200,0.00192200,264171.76000000,1614729599999,510.91466956,9197,125361.39000000,243.84303740,0
2021-03-03,0.00192700,0.00207800,0.00177600,0.00180100,148887.96000000,1614815999999,286.55911954,6820,62428.62000000,121.60280591,0
2021-03-04,0.00181000,0.00195500,0.00176300,0.00182900,129322.66000000,1614902399999,239.12627081,7034,69867.95000000,130.09655550,0
2021-03-05,0.00183400,0.00183800,0.00160100,0.00169000,153223.94000000,1614988799999,262.21783512,5599,65381.46000000,112.67617537,0
2021-03-06,0.00168900,0.00178800,0.00156300,0.00159200,83063.51000000,1615075199999,139.97627247,2860,28331.80000000,47.87088326,0
2021-03-07,0.00159200,0.00182100,0.00153500,0.00171900,119342.71000000,1615161599999,193.52138860,4577,67043.55000000,109.43999255,0
2021-03-08,0.00172000,0.00191000,0.00156100,0.00159900,191352.62000000,1615247999999,335.04917837,7572,78826.05000000,138.66832330,0
2021-03-09,0.00158900,0.00172000,0.00148300,0.00156700,137598.61000000,1615334399999,218.22078121,3885,59829.71000000,95.14076611,0
2021-03-10,0.00156500,0.00174400,0.00148700,0.00160500,160078.68000000,1615420799999,255.59459082,4763,71917.30000000,115.61361841,0
2021-03-11,0.00160700,0.00239800,0.00154600,0.00201000,320169.46000000,1615507199999,592.61692710,8621,155727.60000000,290.52114975,0
2021-03-12,0.00200200,0.00202200,0.00176900,0.00194000,166764.66000000,1615593599999,319.19992086,5328,65718.65000000,126.84637027,0
2021-03-13,0.00194500,0.00230000,0.00183000,0.00196400,219035.00000000,1615679999999,446.52910264,7502,112725.59000000,231.24309892,0
2021-03-14,0.00196400,0.00212100,0.00178500,0.00202000,148006.42000000,1615766399999,286.86850638,6250,75942.72000000,148.12539279,0
2021-03-15,0.00202000,0.00210000,0.00182000,0.00189900,239160.78000000,1615852799999,465.47665820,7630,81434.19000000,159.67250153,0
2021-03-16,0.00189900,0.00194300,0.00175500,0.00180500,120041.92000000,1615939199999,220.34722702,4453,55223.95000000,101.65168955,0
2021-03-17,0.00180200,0.00205600,0.00170300,0.00176600,133676.64000000,1616025599999,249.43224346,3727,60833.50000000,113.52337079,0
2021-03-18,0.00174500,0.00216200,0.00172100,0.00183800,206817.69000000,1616111999999,383.48450068,4167,87253.61000000,162.22102963,0
2021-03-19,0.00183800,0.00188000,0.00176100,0.00178500,138188.43000000,1616198399999,250.38661805,3058,73550.42000000,133.77932063,0
2021-03-20,0.00178500,0.00182400,0.00164000,0.00167200,168741.91000000,1616284799999,291.95474349,3503,85760.43000000,149.10479152,0
2021-03-21,0.00166600,0.00169600,0.00140700,0.00156600,261671.35000000,1616371199999,409.45550357,4363,100850.10000000,158.80765003,0
2021-03-22,0.00156700,0.00162300,0.00145900,0.00151600,154433.59000000,1616457599999,236.80534939,3775,67873.99000000,104.60365621,0
2021-03-23,0.00152000,0.00180000,0.00135700,0.00175600,288506.09000000,1616543999999,441.57439174,7337,133440.61000000,205.61028345,0
2021-03-24,0.00175600,0.00192200,0.00162800,0.00170600,419169.96000000,1616630399999,745.98958069,14241,172326.45000000,310.12209259,0
2021-03-25,0.00170700,0.00183000,0.00160800,0.00167600,293367.26000000,1616716799999,497.11059197,12372,136620.23000000,232.64008143,0
2021-03-26,0.00167600,0.00188300,0.00164100,0.00173300,250397.35000000,1616803199999,440.66398580,10527,98359.45000000,173.49296660,0
2021-03-27,0.00172500,0.00201600,0.00169000,0.00183000,334842.76000000,1616889599999,619.91816881,14311,147244.05000000,273.96654740,0
2021-03-28,0.00182200,0.00194000,0.00169700,0.00182100,226424.90000000,1616975999999,412.57852638,11268,80046.60000000,146.67267798,0
2021-03-29,0.00182100,0.00185000,0.00165700,0.00166300,359918.09000000,1617062399999,630.60708092,15422,151530.12000000,267.38574710,0
2021-03-30,0.00166100,0.00181300,0.00151100,0.00153100,566097.19000000,1617148799999,934.94266135,28567,298571.36000000,496.42292588,0
2021-03-31,0.00153100,0.00160800,0.00133300,0.00146600,563578.19000000,1617235199999,827.49656069,19021,261105.00000000,384.64703636,0
2021-04-01,0.00146000,0.00146000,0.00120500,0.00126000,531823.76000000,1617321599999,689.86507028,11200,176803.63000000,230.02857298,0
2021-04-02,0.00125300,0.00138400,0.00115400,0.00117200,340252.55000000,1617407999999,435.54691356,11927,153588.86000000,197.38465252,0
2021-04-03,0.00117400,0.00120100,0.00108000,0.00113200,222414.98000000,1617494399999,255.48473683,7161,83900.56000000,96.61677433,0
2021-04-04,0.00113700,0.00118600,0.00111100,0.00114400,151839.51000000,1617580799999,172.99102820,4623,61982.08000000,70.93609399,0
2021-04-05,0.00114500,0.00128500,0.00109500,0.00120300,260320.19000000,1617667199999,306.14883661,6221,101825.59000000,120.34490572,0
2021-04-06,0.00120200,0.00123900,0.00114000,0.00118300,258372.78000000,1617753599999,304.64948043,6131,115891.37000000,136.66121701,0
2021-04-07,0.00118300,0.00143400,0.00113300,0.00141100,408946.67000000,1617839999999,530.52800704,14328,208363.15000000,269.59116787,0
2021-04-08,0.00140900,0.00148300,0.00127300,0.00127900,251513.35000000,1617926399999,342.90825287,7642,105316.73000000,143.89092226,0
2021-04-09,0.00127600,0.00130000,0.00114700,0.00120800,240515.47000000,1618012799999,297.54773412,5298,94438.37000000,118.31598578,0
2021-04-10,0.00121000,0.00123400,0.00109900,0.00115400,131361.35000000,1618099199999,152.69643774,3435,65971.47000000,76.95958853,0
2021-04-11,0.00115400,0.00115800,0.00109400,0.00112000,78214.57000000,1618185599999,87.88479668,2362,32858.61000000,37.02347204,0
2021-04-12,0.00112100,0.00114800,0.00107300,0.00109100,105915.73000000,1618271999999,116.39308050,2925,54506.10000000,59.97604464,0
2021-04-13,0.00108900,0.00110100,0.00095700,0.00097100,124200.87000000,1618358399999,125.89715654,2892,40582.34000000,41.50681940,0
2021-04-14,0.00097100,0.00106800,0.00091000,0.00098100,167871.80000000,1618444799999,162.05510949,3914,80893.23000000,78.47341222,0
2021-04-15,0.00098200,0.00104700,0.00091800,0.00093200,144486.02000000,1618531199999,140.92181002,3051,40479.88000000,39.51826066,0
2021-04-16,0.00092600,0.00096700,0.00075500,0.00080300,481152.13000000,1618617599999,403.49088335,6640,207704.70000000,176.26040355,0
