timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2021-03-12,25.98000000,28.93300000,24.69600000,25.83100000,7823.55300000,1615593599999,200521.50292400,691,3272.03800000,83705.88205900,0
2021-03-13,25.74400000,27.70200000,25.27200000,26.61100000,11951.26700000,1615679999999,322200.39179500,1218,6488.85200000,175164.80771100,0
2021-03-14,26.74100000,27.86500000,25.60000000,25.60000000,6123.22800000,1615766399999,163245.08736900,1106,3218.67600000,85863.37560400,0
2021-03-15,25.63000000,26.26000000,24.82000000,24.99400000,13262.53300000,1615852799999,335424.41542100,1311,6113.49600000,154879.81592400,0
2021-03-16,24.99400000,25.22500000,23.55100000,25.21900000,12339.84900000,1615939199999,300808.66236600,1363,5405.04300000,132035.49316100,0
2021-03-17,25.21900000,26.51000000,24.82000000,26.12200000,15771.84300000,1616025599999,405201.10092000,1516,8656.27100000,222776.62776000,0
2021-03-18,26.24200000,26.34200000,25.03000000,25.26700000,12263.89600000,1616111999999,315134.42140100,1234,4482.91800000,115160.26462500,0
2021-03-19,25.27500000,29.35000000,24.77800000,28.01800000,24588.31800000,1616198399999,672512.42549200,2580,14545.32800000,398363.63754500,0
2021-03-20,27.91100000,29.64400000,26.80100000,27.00000000,16916.82800000,1616284799999,476588.90453400,2303,7565.98900000,213690.09214400,0
2021-03-21,26.96300000,28.11700000,26.58300000,27.76500000,9175.81200000,1616371199999,250362.41372000,1705,4004.80600000,109320.60475000,0
2021-03-22,27.76900000,30.06800000,26.89600000,27.60800000,28681.87100000,1616457599999,817448.24709700,3780,14636.33300000,418311.39654400,0
2021-03-23,27.71100000,30.96200000,25.70000000,26.23200000,54959.94200000,1616543999999,1545951.33095000,5813,24543.49100000,690941.40796500,0
2021-03-24,26.16900000,26.93800000,21.86200000,23.27800000,49099.26700000,1616630399999,1239644.72218600,5105,20477.42400000,519347.53450900,0
2021-03-25,23.25400000,23.74500000,21.71500000,22.59300000,43426.43600000,1616716799999,995187.60584700,4104,18344.96900000,419992.61812900,0
2021-03-26,22.52700000,24.68500000,22.52700000,24.53700000,20807.02600000,1616803199999,494420.87716100,2248,11154.56700000,264982.74015000,0
2021-03-27,24.53700000,24.99400000,23.62900000,23.90000000,16744.90700000,1616889599999,404480.95432000,1876,8197.27200000,198270.37876800,0
2021-03-28,23.90100000,24.44600000,23.28100000,23.64500000,9737.95800000,1616975999999,233020.34307500,1323,3640.91400000,87301.44107900,0
2021-03-29,23.65700000,24.98400000,23.35300000,24.62600000,20413.44800000,1617062399999,498217.38387900,1880,10430.10500000,255774.02753600,0
2021-03-30,24.62600000,25.20000000,24.09200000,24.41500000,21502.35700000,1617148799999,527620.57646900,1852,11707.26000000,287498.71875000,0
2021-03-31,24.45800000,24.77800000,22.79900000,23.88500000,28051.76300000,1617235199999,669790.67007200,2381,17176.90000000,410627.18538200,0
2021-04-01,23.96400000,25.80700000,22.80000000,24.41700000,38784.33000000,1617321599999,968357.02794500,3493,17539.51000000,437901.95345600,0
2021-04-02,24.51900000,25.70400000,24.00000000,25.56500000,19233.03300000,1617407999999,480447.13730100,1976,10922.46600000,273737.02275400,0
2021-04-03,25.67900000,28.44800000,25.12100000,25.16800000,34602.30100000,1617494399999,917716.68986400,4293,16575.39100000,441126.61970900,0
2021-04-04,25.16800000,26.82200000,24.81100000,26.37200000,10802.77400000,1617580799999,281035.90636000,1704,4133.48800000,107679.74861000,0
2021-04-05,26.38100000,26.50900000,25.34600000,26.02500000,19710.67300000,1617667199999,512078.88426400,2152,6360.07700000,165847.52442400,0
2021-04-06,26.02500000,27.41400000,25.57400000,26.38700000,46317.06900000,1617753599999,1220375.43455900,3886,24537.41300000,649455.98855400,0
2021-04-07,26.46100000,26.50000000,23.50100000,24.15000000,38392.51500000,1617839999999,951598.00850400,3890,14385.72600000,354915.43935700,0
2021-04-08,24.23300000,25.44000000,24.01400000,25.41000000,17927.98700000,1617926399999,446652.73509100,1882,7399.34400000,184591.15277600,0
2021-04-09,25.41000000,25.73200000,24.72500000,24.91800000,13121.65100000,1618012799999,331410.07229100,1679,5804.12800000,146924.39020300,0
2021-04-10,24.90000000,25.57200000,24.51500000,24.94800000,18724.84200000,1618099199999,469407.42475500,1871,9586.90800000,240990.68100900,0
2021-04-11,25.00000000,25.75700000,24.45200000,25.10200000,24292.62500000,1618185599999,611520.81804100,1977,13047.05600000,329076.35189200,0
2021-04-12,25.14600000,32.03900000,24.81100000,30.81100000,122142.70900000,1618271999999,3540449.40341300,9891,68214.21900000,1973207.02143200,0
2021-04-13,30.86600000,31.25800000,28.75500000,29.69700000,51437.72500000,1618358399999,1528347.91587100,4793,23629.33700000,703294.46191600,0
2021-04-14,29.71500000,30.76100000,28.00000000,30.07100000,46202.64100000,1618444799999,1363667.33879600,4478,22929.43400000,677927.95100700,0
2021-04-15,30.19000000,33.13000000,29.74900000,31.58800000,46624.13800000,1618531199999,1481966.08254200,4942,23501.79600000,747250.27743300,0
2021-04-16,31.65200000,31.96400000,28.57900000,30.27800000,37391.16300000,1618617599999,1138046.43248300,3713,16587.74900000,505659.80812200,0
2021-04-17,30.43700000,31.36900000,29.15500000,29.31300000,25580.36200000,1618703999999,774819.77966700,2662,12115.52400000,368127.94076200,0
2021-04-18,29.37600000,29.56500000,23.84500000,26.62700000,73116.03200000,1618790399999,1906195.50197800,6767,33275.45800000,863101.65193900,0
2021-04-19,26.62000000,27.40500000,24.68800000,26.15900000,31582.08700000,1618876799999,834416.54111700,2799,14532.98200000,384170.83762100,0
2021-04-20,26.24100000,26.84700000,23.50000000,26.65500000,37217.49000000,1618963199999,935128.68165200,3118,16144.04500000,407520.58761800,0
2021-04-21,26.63600000,30.40200000,25.50700000,27.94300000,57823.08400000,1619049599999,1613205.93583700,5755,27732.84000000,776694.15034800,0
2021-04-22,28.02000000,31.90100000,27.23500000,28.45400000,75359.52300000,1619135999999,2270642.83085900,7868,37639.12300000,1137115.40067900,0
2021-04-23,28.41800000,29.05000000,24.74100000,27.22800000,69319.13600000,1619222399999,1840797.21132100,4511,32522.25200000,863818.44440300,0
2021-04-24,27.35500000,27.35500000,24.93600000,25.12800000,21313.28800000,1619308799999,559068.49582600,1523,7067.60500000,185134.30428300,0
2021-04-25,25.12900000,29.00000000,24.99000000,28.50000000,42972.62800000,1619395199999,1175982.50494900,3445,21158.84200000,578128.88885700,0
2021-04-26,28.51700000,31.94800000,28.34000000,31.58300000,51596.04200000,1619481599999,1545017.77776900,4500,26548.58000000,796682.75055900,0
2021-04-27,31.67800000,33.70700000,30.96400000,32.81400000,62282.97200000,1619567999999,2049305.75084100,4673,38794.73000000,1280210.41818900,0
