timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2021-06-06,0.00052460,0.00100000,0.00013010,0.00051000,435793216.00000000,1623023999999,224444.12307430,1727,177866130.00000000,92718.44802520,0
2021-06-07,0.00051170,0.00055000,0.00045420,0.00046400,601263283.00000000,1623110399999,302913.06341140,3092,235561035.00000000,119091.14718150,0
2021-06-08,0.00046420,0.00047460,0.00040650,0.00045520,581171817.00000000,1623196799999,255604.06691460,3200,299930431.00000000,130994.90762540,0
2021-06-09,0.00045500,0.00049250,0.00043270,0.00048510,593276887.00000000,1623283199999,277739.62401530,3918,279026639.00000000,130916.98178130,0
2021-06-10,0.00048500,0.00048820,0.00044050,0.00045050,597628495.00000000,1623369599999,279390.83255030,3004,251677981.00000000,117784.87160910,0
2021-06-11,0.00045050,0.00046940,0.00043660,0.00044030,437615192.00000000,1623455999999,198730.98443790,2666,196392235.00000000,89470.66257450,0
2021-06-12,0.00044030,0.00044140,0.00041030,0.00042430,395082785.00000000,1623542399999,168308.76309170,2017,187141343.00000000,79974.01143380,0
2021-06-13,0.00042760,0.00046200,0.00042000,0.00045550,559358995.00000000,1623628799999,244652.98626910,2587,282160633.00000000,123151.69060610,0
2021-06-14,0.00045760,0.00047180,0.00044540,0.00046240,745285108.00000000,1623715199999,341597.40076620,3400,380331828.00000000,174508.26162680,0
2021-06-15,0.00046490,0.00048160,0.00045180,0.00046900,743735233.00000000,1623801599999,346475.69814480,3607,317562749.00000000,148142.47017300,0
2021-06-16,0.00046850,0.00048600,0.00044800,0.00045440,795217328.00000000,1623887999999,370595.77205620,4353,370789906.00000000,173018.64792200,0
2021-06-17,0.00045430,0.00057780,0.00044840,0.00052000,5566607695.00000000,1623974399999,2937559.60427260,18182,2727987700.00000000,1439310.93306620,0
2021-06-18,0.00052020,0.00056440,0.00045700,0.00047140,9257136659.00000000,1624060799999,4761102.31072040,38867,4453290403.00000000,2294859.81853130,0
2021-06-19,0.00047140,0.00048160,0.00045640,0.00045760,1589246450.00000000,1624147199999,745019.07573710,7249,673426509.00000000,316484.04375880,0
2021-06-20,0.00045750,0.00046500,0.00041880,0.00045730,1485631433.00000000,1624233599999,658861.27750470,5077,350339259.00000000,157573.46663840,0
2021-06-21,0.00045960,0.00046650,0.00035780,0.00035950,1005241072.00000000,1624319999999,415079.40235680,4707,429594568.00000000,178174.98304050,0
2021-06-22,0.00036150,0.00039060,0.00028360,0.00033300,1565836130.00000000,1624406399999,536932.39060970,4913,953388094.00000000,328361.50833140,0
2021-06-23,0.00033600,0.00039930,0.00032230,0.00038650,776713131.00000000,1624492799999,293355.67377810,3752,345998183.00000000,129743.96016080,0
2021-06-24,0.00038650,0.00044990,0.00038140,0.00041650,1669003892.00000000,1624579199999,698588.43612660,8501,878103400.00000000,368815.49831610,0
2021-06-25,0.00041760,0.00043000,0.00035990,0.00037070,853782801.00000000,1624665599999,336772.75141430,4776,475044893.00000000,188386.64321410,0
2021-06-26,0.00037040,0.00038490,0.00035140,0.00037970,531746690.00000000,1624751999999,197794.72368950,2907,234285851.00000000,87217.52909980,0
2021-06-27,0.00037970,0.00039060,0.00036800,0.00039060,513140652.00000000,1624838399999,194324.63978360,2614,257694759.00000000,97929.65902090,0
2021-06-28,0.00039060,0.00040710,0.00038430,0.00039560,606688441.00000000,1624924799999,239775.85385060,4289,316637509.00000000,125493.02501560,0
2021-06-29,0.00039630,0.00044560,0.00039360,0.00042700,1049038364.00000000,1625011199999,445818.76839290,6169,434718924.00000000,184440.06071550,0
2021-06-30,0.00042830,0.00043240,0.00038350,0.00041750,703759157.00000000,1625097599999,286416.08083270,4927,317910174.00000000,129697.24893840,0
2021-07-01,0.00041690,0.00041690,0.00038180,0.00038700,355811543.00000000,1625183999999,140347.17043200,3137,158907594.00000000,62807.36017620,0
2021-07-02,0.00038920,0.00039710,0.00038000,0.00039710,241654862.00000000,1625270399999,93472.21919890,1580,130940823.00000000,50741.93715780,0
2021-07-03,0.00039710,0.00041000,0.00038730,0.00039600,507654880.00000000,1625356799999,201357.80676400,2380,247766769.00000000,98430.72524900,0
2021-07-04,0.00039600,0.00040620,0.00038800,0.00039790,490615954.00000000,1625443199999,195768.81131340,2505,186450829.00000000,74445.84703600,0
2021-07-05,0.00039780,0.00039830,0.00037670,0.00038250,1002330916.00000000,1625529599999,389620.37384480,2590,196019665.00000000,75903.83372300,0
2021-07-06,0.00038510,0.00039990,0.00038300,0.00039100,476361552.00000000,1625615999999,186149.67523240,2324,228684303.00000000,89286.46069310,0
2021-07-07,0.00038980,0.00040230,0.00038750,0.00039170,866656335.00000000,1625702399999,342239.24859340,3017,394382498.00000000,155777.14647540,0
2021-07-08,0.00039200,0.00039340,0.00035540,0.00036200,510075318.00000000,1625788799999,190320.89405680,2806,195259686.00000000,72951.76491570,0
2021-07-09,0.00036050,0.00037360,0.00035000,0.00036600,398870378.00000000,1625875199999,145116.96731130,2048,184069785.00000000,67024.81763510,0
2021-07-10,0.00036600,0.00037280,0.00035630,0.00036230,337719965.00000000,1625961599999,122504.75016540,2176,151334716.00000000,55020.19660120,0
2021-07-11,0.00036230,0.00037330,0.00035600,0.00036950,383594232.00000000,1626047999999,140040.44767260,1574,177100425.00000000,64700.08141460,0
2021-07-12,0.00036940,0.00037620,0.00034620,0.00035420,482624671.00000000,1626134399999,174718.32727920,2249,226682096.00000000,82188.36839700,0
2021-07-13,0.00035210,0.00035390,0.00033710,0.00034280,307909593.00000000,1626220799999,106461.32317470,1544,162642048.00000000,56325.29553830,0
2021-07-14,0.00034270,0.00035430,0.00032700,0.00034540,453312213.00000000,1626307199999,155637.92991980,2154,188926787.00000000,64934.04555660,0
2021-07-15,0.00034440,0.00034990,0.00032310,0.00033220,480584450.00000000,1626393599999,162088.40136580,2292,215094831.00000000,72547.01208760,0
2021-07-16,0.00032950,0.00033730,0.00031250,0.00031420,342038170.00000000,1626479999999,110796.55054670,1470,141772811.00000000,45968.17059820,0
2021-07-17,0.00031360,0.00032000,0.00030600,0.00031410,293550598.00000000,1626566399999,91763.82108530,1306,119787970.00000000,37439.17815060,0
2021-07-18,0.00031310,0.00032390,0.00031120,0.00031400,401848534.00000000,1626652799999,127242.84942130,1443,208451116.00000000,66089.07138600,0
2021-07-19,0.00031220,0.00032530,0.00029530,0.00029810,457098667.00000000,1626739199999,138717.14095990,1796,199237465.00000000,60537.23751040,0
2021-07-20,0.00030020,0.00030290,0.00026700,0.00027520,350740031.00000000,1626825599999,97369.54400310,1695,156082283.00000000,43313.96923010,0
2021-07-21,0.00027470,0.00030560,0.00026840,0.00029510,467480562.00000000,1626911999999,136090.35466990,1905,237920584.00000000,69356.92866990,0
2021-07-22,0.00029350,0.00030440,0.00028880,0.00029420,371727772.00000000,1626998399999,110008.52738190,1586,178503312.00000000,52772.25829390,0
2021-07-23,0.00029470,0.00033350,0.00029230,0.00032400,983236072.00000000,1627084799999,305540.17859380,3585,474457615.00000000,147618.24085810,0
2021-07-24,0.00032400,0.00032660,0.00030660,0.00031640,1037083310.00000000,1627171199999,325467.88234660,3695,518680209.00000000,162862.17496810,0
2021-07-25,0.00031640,0.00035870,0.00030770,0.00035080,2239433472.00000000,1627257599999,747234.55562430,6600,1067799382.00000000,356647.75489470,0
2021-07-26,0.00035080,0.00041960,0.00034760,0.00035500,9669504658.00000000,1627343999999,3780197.33695200,30610,4644765117.00000000,1817125.98569800,0
2021-07-27,0.00035480,0.00037500,0.00033360,0.00036250,1455202680.00000000,1627430399999,516888.05762890,6408,746145905.00000000,265204.88027390,0
2021-07-28,0.00036100,0.00037200,0.00035150,0.00035510,1092165907.00000000,1627516799999,394725.10029650,4251,506892115.00000000,183412.20958820,0
2021-07-29,0.00035510,0.00036240,0.00035200,0.00035850,731817282.00000000,1627603199999,260478.80582990,2844,357121112.00000000,127140.56204160,0
2021-07-30,0.00035840,0.00036420,0.00033480,0.00036130,1008700947.00000000,1627689599999,351569.65033460,3839,532800437.00000000,185710.81395970,0
2021-07-31,0.00036140,0.00036670,0.00035200,0.00035840,1404094742.00000000,1627775999999,504514.32122870,4663,608782128.00000000,218921.12524640,0
2021-08-01,0.00035830,0.00038000,0.00035530,0.00035850,1518691061.00000000,1627862399999,559263.56937600,4859,654009212.00000000,241105.40318990,0
2021-08-02,0.00035760,0.00036420,0.00035420,0.00035760,639793807.00000000,1627948799999,229274.28710580,2448,296406933.00000000,106377.07970390,0
