timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2021-04-09,0.00156900,0.00156900,0.00124200,0.00140700,758111623.00000000,1618012799999,1090533.89574400,4586,366101046.00000000,528553.12078500,0
2021-04-10,0.00139900,0.00141800,0.00110700,0.00123300,1242322954.00000000,1618099199999,1557467.14506800,6622,596218123.00000000,749328.63234800,0
2021-04-11,0.00123600,0.00158600,0.00109100,0.00143400,2569922477.00000000,1618185599999,3489379.43072100,12119,1309190117.00000000,1783062.96923700,0
2021-04-12,0.00144000,0.00157300,0.00123900,0.00127400,2014979914.00000000,1618271999999,2778653.95996500,13565,930863006.00000000,1289536.93424500,0
2021-04-13,0.00127200,0.00142300,0.00122300,0.00128500,1813491512.00000000,1618358399999,2376221.39574900,13819,845131609.00000000,1113874.34727700,0
2021-04-14,0.00128500,0.00133400,0.00118000,0.00122500,1460103563.00000000,1618444799999,1800107.72200300,8572,606622378.00000000,749534.65778800,0
2021-04-15,0.00122500,0.00154000,0.00118800,0.00138400,3408416977.00000000,1618531199999,4792114.37892300,21331,1765610471.00000000,2481972.87198500,0
2021-04-16,0.00138400,0.00140400,0.00121200,0.00126600,3490649669.00000000,1618617599999,4469366.82540000,22592,1377708587.00000000,1769710.48413900,0
2021-04-17,0.00126300,0.00150000,0.00125800,0.00133300,2473643395.00000000,1618703999999,3351726.24343400,18234,1295212174.00000000,1762177.49130700,0
2021-04-18,0.00133500,0.00134000,0.00110700,0.00118400,1919459724.00000000,1618790399999,2312443.16147100,13012,779176108.00000000,939296.66530900,0
2021-04-19,0.00118500,0.00129700,0.00109000,0.00109000,1437256923.00000000,1618876799999,1681499.74432100,10282,619442611.00000000,725348.36764000,0
2021-04-20,0.00109400,0.00112300,0.00086600,0.00108300,1969670542.00000000,1618963199999,2059719.31935200,9985,880911698.00000000,922840.64962400,0
2021-04-21,0.00108500,0.00112800,0.00096100,0.00097600,1268142887.00000000,1619049599999,1316404.96937600,7170,552718633.00000000,575952.23999500,0
2021-04-22,0.00097600,0.00100300,0.00074200,0.00081000,1850632718.00000000,1619135999999,1676129.11324500,8848,839320517.00000000,763047.74872100,0
2021-04-23,0.00080900,0.00124900,0.00055800,0.00101000,4290408476.00000000,1619222399999,3477347.10024300,16359,2104691245.00000000,1731956.06246300,0
2021-04-24,0.00101600,0.00112500,0.00087900,0.00091800,3853932589.00000000,1619308799999,3892155.99135200,18198,1726957922.00000000,1750690.22951200,0
2021-04-25,0.00091500,0.00100500,0.00080100,0.00088200,1388537794.00000000,1619395199999,1281723.59047600,7570,636989261.00000000,589608.45018100,0
2021-04-26,0.00088500,0.00108000,0.00087600,0.00104400,2403741099.00000000,1619481599999,2420022.85567400,13928,1164832478.00000000,1176768.33587200,0
2021-04-27,0.00104400,0.00128100,0.00101000,0.00118200,3357975921.00000000,1619567999999,3943120.35341000,19098,1643348163.00000000,1934141.97201700,0
2021-04-28,0.00118100,0.00119900,0.00100000,0.00110500,1982373422.00000000,1619654399999,2181220.54318600,11136,964491002.00000000,1062142.40161700,0
2021-04-29,0.00111000,0.00117400,0.00104800,0.00109000,1435170790.00000000,1619740799999,1590571.02345300,7696,701174888.00000000,778347.01963600,0
2021-04-30,0.00109200,0.00115600,0.00106300,0.00113500,1169583636.00000000,1619827199999,1303201.95857800,6551,581256865.00000000,649149.79989000,0
2021-05-01,0.00113500,0.00116300,0.00107900,0.00110700,915692442.00000000,1619913599999,1021391.50198600,5628,436164382.00000000,487313.62287800,0
2021-05-02,0.00110800,0.00115800,0.00104800,0.00110000,1367351312.00000000,1619999999999,1503578.19641000,8037,672001581.00000000,742171.75913100,0
2021-05-03,0.00109800,0.00115500,0.00106600,0.00107900,1523570304.00000000,1620086399999,1692736.30274500,8267,714141244.00000000,797434.51385100,0
2021-05-04,0.00107900,0.00107900,0.00089400,0.00096500,2187231186.00000000,1620172799999,2193356.12315200,11770,1016038839.00000000,1021926.14293600,0
2021-05-05,0.00096600,0.00109600,0.00095200,0.00103800,2343565935.00000000,1620259199999,2402742.22536800,13551,1150564022.00000000,1180783.39231900,0
2021-05-06,0.00103800,0.00113300,0.00100000,0.00109400,2246537432.00000000,1620345599999,2414342.77908700,13669,1134922851.00000000,1225365.19734200,0
2021-05-07,0.00109700,0.00124100,0.00103300,0.00108400,2997190883.00000000,1620431999999,3412928.19123700,19593,1451666724.00000000,1661807.90056400,0
2021-05-08,0.00107900,0.00112500,0.00104200,0.00105700,1165029051.00000000,1620518399999,1255220.56230400,7319,479444674.00000000,517971.01580600,0
2021-05-09,0.00105700,0.00106800,0.00098400,0.00102400,1211064601.00000000,1620604799999,1243053.01573800,9036,518107865.00000000,533901.91129700,0
2021-05-10,0.00102700,0.00107200,0.00081000,0.00088800,2375722571.00000000,1620691199999,2283811.25130000,14034,979890439.00000000,942843.20770900,0
2021-05-11,0.00089000,0.00095200,0.00084800,0.00091600,1432710354.00000000,1620777599999,1285826.42376200,8011,640011162.00000000,576618.65672800,0
2021-05-12,0.00091600,0.00094400,0.00072600,0.00074700,1275703657.00000000,1620863999999,1081750.36751800,6879,530041193.00000000,449689.47055300,0
2021-05-13,0.00074700,0.00083100,0.00068000,0.00074700,2056568322.00000000,1620950399999,1555098.51398800,8084,956909204.00000000,724546.57700100,0
2021-05-14,0.00074400,0.00082100,0.00072900,0.00076800,2208685946.00000000,1621036799999,1702835.42284900,7479,1072375950.00000000,827322.40981100,0
2021-05-15,0.00076300,0.00077300,0.00069100,0.00069300,1927131680.00000000,1621123199999,1397748.88335500,6243,847268230.00000000,615778.57566000,0
2021-05-16,0.00069400,0.00089400,0.00069000,0.00076600,3945046291.00000000,1621209599999,3048045.29613500,12037,1978576352.00000000,1529121.78018400,0
2021-05-17,0.00076600,0.00076800,0.00067400,0.00071000,2064757786.00000000,1621295999999,1484830.34211900,7304,959217093.00000000,690749.95585400,0
2021-05-18,0.00070800,0.00073800,0.00067400,0.00068700,1299585540.00000000,1621382399999,912430.81543200,4483,613815069.00000000,431292.64909500,0
2021-05-19,0.00068700,0.00069400,0.00030900,0.00045000,2997547664.00000000,1621468799999,1562104.57934600,10257,1453589280.00000000,755898.00890200,0
2021-05-20,0.00044900,0.00057400,0.00040600,0.00051700,4709385447.00000000,1621555199999,2377428.93600700,10987,2181443692.00000000,1103275.01380200,0
2021-05-21,0.00052200,0.00054700,0.00037300,0.00042800,2535956490.00000000,1621641599999,1204002.46953900,5798,1187011534.00000000,562596.28038800,0
2021-05-22,0.00043200,0.00047100,0.00038000,0.00042400,3181473984.00000000,1621727999999,1355610.69373700,5263,1468600417.00000000,625933.25476400,0
2021-05-23,0.00042300,0.00043600,0.00029200,0.00035100,2288140096.00000000,1621814399999,895013.97531500,5246,1000942788.00000000,394221.62967500,0
2021-05-24,0.00035100,0.00045300,0.00033900,0.00043100,3365525773.00000000,1621900799999,1317202.05249200,6523,1742263976.00000000,682475.08565700,0
2021-05-25,0.00043000,0.00047100,0.00038400,0.00043400,5415095435.00000000,1621987199999,2290161.99989100,9108,2517204143.00000000,1062883.34646500,0
2021-05-26,0.00043400,0.00053000,0.00042100,0.00053000,5379846009.00000000,1622073599999,2518489.21345300,9967,2734224364.00000000,1279469.66316700,0
2021-05-27,0.00052400,0.00052400,0.00045400,0.00046100,4940478925.00000000,1622159999999,2390895.48866600,9841,2333108444.00000000,1128819.74938500,0
2021-05-28,0.00046200,0.00046700,0.00039100,0.00040900,1130512236.00000000,1622246399999,476262.52703200,3532,504953099.00000000,213866.53527600,0
2021-05-29,0.00041000,0.00042600,0.00037500,0.00039200,2927533927.00000000,1622332799999,1177108.67477500,5505,1458253633.00000000,587081.42871100,0
2021-05-30,0.00039300,0.00042800,0.00037800,0.00040900,2609202545.00000000,1622419199999,1066344.31380000,4844,1286879369.00000000,525299.42113300,0
2021-05-31,0.00040800,0.00044000,0.00039700,0.00043300,2867267733.00000000,1622505599999,1185464.87042700,5452,1408660637.00000000,581745.30879300,0
2021-06-01,0.00043300,0.00044500,0.00041200,0.00042100,4961987104.00000000,1622591999999,2094368.07645000,8042,2378373750.00000000,1002515.12217200,0
2021-06-02,0.00042200,0.00044300,0.00041000,0.00042900,2263106091.00000000,1622678399999,968150.58591700,3496,1099953922.00000000,470161.39633500,0
2021-06-03,0.00042800,0.00047900,0.00042300,0.00047900,3493597757.00000000,1622764799999,1571000.39662600,6412,1725404086.00000000,774435.94849900,0
2021-06-04,0.00047900,0.00047900,0.00040000,0.00042300,3355948476.00000000,1622851199999,1457890.31496400,4581,1456477166.00000000,632270.21559100,0
2021-06-05,0.00042200,0.00044700,0.00040200,0.00041500,3022852605.00000000,1622937599999,1281971.19772500,3543,1394895382.00000000,592355.57382800,0
2021-06-06,0.00041400,0.00042700,0.00041100,0.00042000,810215324.00000000,1623023999999,339854.44103300,1293,396889380.00000000,166630.19825500,0
2021-06-07,0.00042200,0.00043100,0.00037700,0.00037700,1775574874.00000000,1623110399999,735622.35181200,2363,676102721.00000000,281719.81242900,0
2021-06-08,0.00038000,0.00039000,0.00033600,0.00037500,2044956811.00000000,1623196799999,746907.02474100,2511,919620797.00000000,335101.52719000,0
2021-06-09,0.00037400,0.00039800,0.00035600,0.00039600,5019182873.00000000,1623283199999,1915124.15792300,5391,2455414651.00000000,936483.37432700,0
2021-06-10,0.00039600,0.00040100,0.00036100,0.00037000,1993897640.00000000,1623369599999,769304.06050500,2276,869065023.00000000,334696.74953300,0
2021-06-11,0.00037000,0.00038500,0.00036100,0.00036500,1774887385.00000000,1623455999999,669862.08710500,1941,800168445.00000000,301926.27419300,0
2021-06-12,0.00036300,0.00036300,0.00034000,0.00035200,1980499781.00000000,1623542399999,692735.77858600,2837,897064559.00000000,313220.25017900,0
2021-06-13,0.00035300,0.00038200,0.00034900,0.00037800,2043617696.00000000,1623628799999,735655.54577500,2300,1006866453.00000000,361756.00605400,0
2021-06-14,0.00037200,0.00038800,0.00036700,0.00038200,1530849908.00000000,1623715199999,575472.21301800,1399,707584678.00000000,265882.51366400,0
2021-06-15,0.00038200,0.00039700,0.00037300,0.00038800,1717268100.00000000,1623801599999,664489.91297200,1831,794749931.00000000,307351.31518500,0
2021-06-16,0.00038600,0.00040000,0.00037100,0.00037800,2840351071.00000000,1623887999999,1082723.54800200,2727,1374765995.00000000,523723.82913900,0
2021-06-17,0.00037900,0.00048400,0.00037700,0.00043700,3686349009.00000000,1623974399999,1568185.13226800,4297,1451080575.00000000,615542.70680100,0
2021-06-18,0.00043600,0.00047400,0.00038600,0.00039800,5486170272.00000000,1624060799999,2363198.54081800,6469,1995471761.00000000,863504.95342600,0
2021-06-19,0.00039800,0.00040700,0.00038600,0.00038700,1453443565.00000000,1624147199999,575549.46680100,1838,564616977.00000000,224154.05222000,0
2021-06-20,0.00038700,0.00039300,0.00035600,0.00038800,1283682340.00000000,1624233599999,484900.85229100,1640,545087846.00000000,206645.99612400,0
2021-06-21,0.00038800,0.00038800,0.00030100,0.00030300,3339761815.00000000,1624319999999,1154797.22363500,5093,1193179590.00000000,412514.55754800,0
2021-06-22,0.00030200,0.00032400,0.00024000,0.00027900,1164949533.00000000,1624406399999,329111.43168600,2338,529981369.00000000,149031.12597100,0
2021-06-23,0.00028100,0.00033300,0.00027000,0.00032300,989258985.00000000,1624492799999,311796.21039800,1742,447301985.00000000,140541.17767300,0
2021-06-24,0.00032600,0.00037500,0.00032100,0.00034900,3632668909.00000000,1624579199999,1243203.36773100,5131,1798380038.00000000,614144.03337600,0
2021-06-25,0.00035100,0.00036100,0.00030200,0.00031200,1907199854.00000000,1624665599999,621476.68984200,2839,856630355.00000000,278804.26823800,0
2021-06-26,0.00031100,0.00032300,0.00029600,0.00031500,746632260.00000000,1624751999999,232984.21869700,1587,296853887.00000000,92700.46654500,0
2021-06-27,0.00031700,0.00032700,0.00030900,0.00032700,1181846168.00000000,1624838399999,376179.04360900,1488,550017735.00000000,174671.10591900,0
2021-06-28,0.00032800,0.00033900,0.00032400,0.00033200,1962191500.00000000,1624924799999,653544.84392100,1872,884684692.00000000,294337.40106900,0
2021-06-29,0.00033200,0.00037500,0.00033200,0.00035900,1867505206.00000000,1625011199999,662511.13968400,1971,802572952.00000000,283706.57459100,0
2021-06-30,0.00035900,0.00036300,0.00032300,0.00035100,1402096271.00000000,1625097599999,478903.04103900,1591,570734379.00000000,194814.62310200,0
2021-07-01,0.00035100,0.00035100,0.00032300,0.00032700,874530511.00000000,1625183999999,290685.78693400,1175,459286507.00000000,152359.94750100,0
2021-07-02,0.00032700,0.00033500,0.00032100,0.00033500,908485565.00000000,1625270399999,296009.28507900,1001,378057335.00000000,122793.83286400,0
2021-07-03,0.00033400,0.00033800,0.00032700,0.00033200,493506579.00000000,1625356799999,165492.53039000,505,152356719.00000000,51117.98518000,0
2021-07-04,0.00033300,0.00034100,0.00032800,0.00033600,1083111711.00000000,1625443199999,364360.62605000,1042,416737972.00000000,140209.05752800,0
2021-07-05,0.00033500,0.00033600,0.00031700,0.00032200,967841612.00000000,1625529599999,313775.76806100,1170,441497882.00000000,142790.12061600,0
2021-07-06,0.00032200,0.00033600,0.00032200,0.00033000,654910964.00000000,1625615999999,215366.49841800,1168,240464709.00000000,79194.29454600,0
2021-07-07,0.00033000,0.00034000,0.00032800,0.00033300,1393222825.00000000,1625702399999,464614.65296500,1051,666714833.00000000,222329.12688600,0
2021-07-08,0.00033200,0.00033200,0.00030100,0.00030600,874438329.00000000,1625788799999,273199.47708500,1543,267874457.00000000,83759.16186000,0
2021-07-09,0.00030500,0.00031500,0.00029600,0.00031000,2726116321.00000000,1625875199999,838180.39333100,3054,1292972510.00000000,397334.97332400,0
2021-07-10,0.00031000,0.00031400,0.00030100,0.00030500,911086603.00000000,1625961599999,280171.57414200,783,387093346.00000000,118909.37094200,0
2021-07-11,0.00030500,0.00031400,0.00030100,0.00031200,486782967.00000000,1626047999999,149148.70679200,728,174639591.00000000,53498.57884000,0
2021-07-12,0.00031100,0.00031700,0.00029300,0.00029800,416501048.00000000,1626134399999,126469.80605000,624,101481086.00000000,30914.00762400,0
2021-07-13,0.00029700,0.00029900,0.00028800,0.00029200,1152864240.00000000,1626220799999,338896.38677000,1284,399774657.00000000,117672.97717500,0
