timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2019-09-04,0.01910000,0.01960000,0.01867000,0.01910000,402615587.90000000,1567641599999,7740477.34994300,2029,170335267.60000000,3280891.25230200,0
2019-09-05,0.01910000,0.02077000,0.01888000,0.01911000,14289552082.90000000,1567727999999,273461523.63718300,17158,7045569490.60000000,134862823.86267100,0
2019-09-06,0.01914000,0.01916000,0.01771000,0.01809000,24927414900.70000000,1567814399999,454025530.35315300,28230,12194017134.80000000,222048963.21203500,0
2019-09-07,0.01811000,0.01821000,0.01600000,0.01694000,31049375265.00000000,1567900799999,539569468.20597900,29038,15476516521.30000000,268834386.19903500,0
2019-09-08,0.01693000,0.01700000,0.01511000,0.01585000,35110626903.70000000,1567987199999,570353072.33262000,36096,17958384726.30000000,291547838.24509100,0
2019-09-09,0.01585000,0.01623000,0.01552000,0.01580000,32554042021.30000000,1568073599999,517420294.05127300,32626,14427399447.10000000,229341343.90391100,0
2019-09-10,0.01581000,0.01615000,0.01521000,0.01540000,51157832087.20000000,1568159999999,802646302.87120500,173270,24543346487.00000000,385167433.55320700,0
2019-09-11,0.01541000,0.01588000,0.01501000,0.01519000,27384946647.20000000,1568246399999,421633246.81521100,125773,12959819599.10000000,199623096.78541100,0
2019-09-12,0.01518000,0.01547000,0.01414000,0.01508000,3065244302.10000000,1568332799999,45821040.22130200,9759,1440871869.80000000,21592093.70339800,0
2019-09-13,0.01509000,0.01517000,0.01449000,0.01458000,495078006.20000000,1568419199999,7374054.56577800,5834,247625828.00000000,3688518.27125100,0
2019-09-14,0.01461000,0.01514000,0.01431000,0.01459000,440068537.60000000,1568505599999,6462034.98140300,6354,231277255.50000000,3399328.82299700,0
2019-09-15,0.01455000,0.01489000,0.01420000,0.01451000,698847233.50000000,1568591999999,10199794.27195700,7998,466873612.10000000,6824905.21659600,0
2019-09-16,0.01452000,0.01468000,0.01407000,0.01412000,579395029.70000000,1568678399999,8330586.32618300,10016,283340614.00000000,4082213.59442000,0
2019-09-17,0.01413000,0.01428000,0.01320000,0.01387000,1127123047.00000000,1568764799999,15507252.59304000,9977,611501854.30000000,8448307.29240500,0
2019-09-18,0.01387000,0.01400000,0.01280000,0.01351000,1133050558.30000000,1568851199999,15127752.12644800,10972,555881963.30000000,7432149.42757000,0
2019-09-19,0.01351000,0.01405000,0.01318000,0.01377000,1149714999.70000000,1568937599999,15589239.73651000,10223,656328320.70000000,8917856.12511700,0
2019-09-20,0.01377000,0.01394000,0.01271000,0.01365000,912095786.20000000,1569023999999,12388961.09283600,9262,552490512.60000000,7523210.72852500,0
2019-09-21,0.01366000,0.01399000,0.01294000,0.01351000,936973863.60000000,1569110399999,12752437.83049900,9499,495830493.80000000,6762768.33925200,0
2019-09-22,0.01351000,0.01410000,0.01291000,0.01381000,901354353.00000000,1569196799999,12237624.06497900,9845,486257166.40000000,6604885.27150600,0
2019-09-23,0.01381000,0.01434000,0.01310000,0.01343000,1394563568.90000000,1569283199999,18893147.11824700,13864,725931219.80000000,9889740.99743900,0
2019-09-24,0.01344000,0.01410000,0.01307000,0.01399000,1963177365.60000000,1569369599999,26599715.38205400,18674,1028925616.40000000,14011044.69406300,0
2019-09-25,0.01397000,0.01397000,0.01303000,0.01318000,1827945956.40000000,1569455999999,24416527.67921500,16533,852999945.20000000,11411693.19854100,0
2019-09-26,0.01317000,0.01343000,0.01278000,0.01310000,1445901674.60000000,1569542399999,18895552.43063300,13012,650491597.40000000,8524191.09718400,0
2019-09-27,0.01308000,0.01308000,0.01220000,0.01239000,969749249.60000000,1569628799999,12243269.86368000,9660,424272683.50000000,5357937.16105200,0
2019-09-28,0.01239000,0.01282000,0.01218000,0.01278000,779600076.90000000,1569715199999,9779536.49659300,8696,439681463.20000000,5514629.67699800,0
2019-09-29,0.01273000,0.01315000,0.01236000,0.01250000,1034979283.60000000,1569801599999,13282075.93482800,12629,509364976.50000000,6548121.81361000,0
2019-09-30,0.01250000,0.01280000,0.00596000,0.01024000,2251909588.40000000,1569887999999,24518263.82894100,14934,1083695176.70000000,11833986.04600500,0
2019-10-01,0.01024000,0.01048000,0.00993000,0.01010000,1536307421.90000000,1569974399999,15679997.07546800,9683,759388782.00000000,7761381.07039300,0
2019-10-02,0.01010000,0.01017000,0.00945000,0.00945000,1112490891.40000000,1570060799999,10867402.35591900,8717,642983032.60000000,6270831.48985500,0
2019-10-03,0.00945000,0.01028000,0.00941000,0.00989000,1274861256.90000000,1570147199999,12570802.39543000,9726,586072316.90000000,5793125.06584900,0
2019-10-04,0.00989000,0.01044000,0.00988000,0.01015000,1129847906.20000000,1570233599999,11476499.04594600,9488,423784667.20000000,4310121.28392100,0
2019-10-05,0.01016000,0.01019000,0.00945000,0.00956000,902817799.40000000,1570319999999,8821801.00911200,8902,425012292.40000000,4157784.33868400,0
2019-10-06,0.00957000,0.00957000,0.00917000,0.00937000,991189549.80000000,1570406399999,9309545.12351300,8781,498454220.20000000,4682900.82758700,0
2019-10-07,0.00937000,0.00938000,0.00860000,0.00866000,1081225616.50000000,1570492799999,9722721.89966400,9239,531119729.30000000,4780581.54532600,0
2019-10-08,0.00867000,0.00888000,0.00840000,0.00866000,1075790138.00000000,1570579199999,9340874.17167000,9341,583044288.30000000,5068931.31929400,0
2019-10-09,0.00869000,0.00938000,0.00865000,0.00895000,1134389873.70000000,1570665599999,10157689.11063100,8818,564772524.70000000,5060265.17221800,0
2019-10-10,0.00895000,0.00944000,0.00875000,0.00903000,1010775588.40000000,1570751999999,9128366.72119200,8166,576684717.00000000,5219018.22901700,0
2019-10-11,0.00903000,0.00989000,0.00895000,0.00965000,1064387614.00000000,1570838399999,9919203.12515500,8709,538959848.90000000,5027185.41712700,0
2019-10-12,0.00965000,0.00982000,0.00931000,0.00965000,859594439.30000000,1570924799999,8244568.96626000,7876,496425313.90000000,4764832.73881600,0
2019-10-13,0.00965000,0.00979000,0.00600000,0.00942000,1341140302.30000000,1571011199999,12671984.64958200,11369,594650000.90000000,5679664.18854500,0
2019-10-14,0.00939000,0.01028000,0.00905000,0.00978000,1129625879.60000000,1571097599999,10795711.32117000,12059,606438536.20000000,5815246.46279900,0
2019-10-15,0.00978000,0.01004000,0.00946000,0.00981000,1290206246.20000000,1571183999999,12569521.29113600,10623,770030529.60000000,7495356.01724800,0
2019-10-16,0.00979000,0.00981000,0.00867000,0.00916000,1230896595.50000000,1571270399999,11312811.65411200,13000,506271478.40000000,4656525.75061000,0
2019-10-17,0.00916000,0.01095000,0.00914000,0.01004000,2333256439.00000000,1571356799999,23073551.95438900,16241,1410183846.30000000,13925310.90553200,0
2019-10-18,0.01004000,0.01052000,0.00956000,0.00967000,1328632962.90000000,1571443199999,13193964.59299100,12942,646586366.60000000,6433081.56105600,0
2019-10-19,0.00967000,0.00984000,0.00921000,0.00930000,1198840328.00000000,1571529599999,11351675.45646800,10625,593412958.40000000,5626937.94714600,0
2019-10-20,0.00930000,0.00945000,0.00909000,0.00920000,1097863365.20000000,1571615999999,10135819.25511600,9733,519630666.50000000,4802429.22110100,0
2019-10-21,0.00922000,0.00936000,0.00910000,0.00929000,928786529.90000000,1571702399999,8573909.20521100,9320,509723801.10000000,4710940.65362700,0
2019-10-22,0.00931000,0.00933000,0.00895000,0.00912000,954778297.10000000,1571788799999,8759801.69272600,10473,486296526.80000000,4469523.03987200,0
2019-10-23,0.00913000,0.00924000,0.00869000,0.00888000,1222839510.20000000,1571875199999,10934485.05296600,12501,579282694.80000000,5195103.10594800,0
2019-10-24,0.00889000,0.00900000,0.00846000,0.00887000,1253247520.10000000,1571961599999,10975080.33300300,11977,584874380.60000000,5128037.32397800,0
2019-10-25,0.00887000,0.00889000,0.00789000,0.00799000,1867253362.40000000,1572047999999,15900698.07634200,13555,739099431.60000000,6325054.45610900,0
2019-10-26,0.00796000,0.00961000,0.00781000,0.00840000,1467817552.20000000,1572134399999,12189869.14750300,14751,706789540.90000000,5906439.60345300,0
2019-10-27,0.00837000,0.00884000,0.00770000,0.00799000,1864126056.30000000,1572220799999,15427876.86127400,13794,710881538.40000000,5880278.51708900,0
2019-10-28,0.00799000,0.00799000,0.00710000,0.00746000,1656302986.30000000,1572307199999,12484468.43589400,14068,749348934.60000000,5643810.41869500,0
2019-10-29,0.00746000,0.00776000,0.00704000,0.00733000,1671202190.00000000,1572393599999,12452736.52957400,19064,750120193.70000000,5599061.09274400,0
2019-10-30,0.00729000,0.00844000,0.00708000,0.00824000,1651720032.50000000,1572479999999,12975761.27384500,14665,760509150.50000000,5990058.06452000,0
2019-10-31,0.00824000,0.01203000,0.00814000,0.00998000,3347457474.60000000,1572566399999,32304011.58848800,24629,1524988350.70000000,14751817.61510600,0
2019-11-01,0.00999000,0.01146000,0.00965000,0.00976000,1878513405.40000000,1572652799999,19085203.00851900,14698,806169853.60000000,8201855.70984900,0
2019-11-02,0.00978000,0.01010000,0.00942000,0.00946000,1247307431.60000000,1572739199999,12039310.76354100,11203,579331741.70000000,5602873.53602000,0
2019-11-03,0.00946000,0.00959000,0.00900000,0.00923000,1256594674.90000000,1572825599999,11793749.09951000,10404,694931931.80000000,6524595.14449500,0
2019-11-04,0.00923000,0.01078000,0.00789000,0.00910000,2631789963.40000000,1572911999999,24275232.49856100,14684,1715938747.90000000,15759883.63308300,0
2019-11-05,0.00910000,0.00913000,0.00872000,0.00907000,989100853.30000000,1572998399999,8857488.33516200,10217,477713052.80000000,4281182.34117000,0
2019-11-06,0.00909000,0.00934000,0.00860000,0.00880000,1201239744.30000000,1573084799999,10774702.31229800,10933,588426557.90000000,5291223.21206200,0
2019-11-07,0.00880000,0.00905000,0.00865000,0.00887000,1168091174.20000000,1573171199999,10286702.46651400,10850,538351720.10000000,4745174.70214900,0
2019-11-08,0.00887000,0.00914000,0.00884000,0.00914000,1087775139.20000000,1573257599999,9755544.30283900,11134,561693664.90000000,5040763.38798800,0
2019-11-09,0.00914000,0.00969000,0.00897000,0.00946000,1346685136.20000000,1573343999999,12405604.05179100,12734,678207344.10000000,6250597.51009500,0
2019-11-10,0.00947000,0.01097000,0.00921000,0.00968000,1839575425.00000000,1573430399999,17998154.40522900,21822,889438502.30000000,8733172.09492200,0
2019-11-11,0.00968000,0.00974000,0.00926000,0.00948000,1037290498.40000000,1573516799999,9836807.89376000,13137,488998613.50000000,4640383.46662900,0
2019-11-12,0.00948000,0.00961000,0.00905000,0.00926000,864341380.00000000,1573603199999,8061418.98360200,12012,342233763.70000000,3198619.40676400,0
2019-11-13,0.00925000,0.00936000,0.00890000,0.00906000,680239703.40000000,1573689599999,6201997.00169300,10172,284935285.40000000,2602887.09311700,0
2019-11-14,0.00906000,0.00930000,0.00897000,0.00916000,794727280.30000000,1573775999999,7271542.35307700,10493,488882095.80000000,4483047.52182300,0
2019-11-15,0.00915000,0.00974000,0.00909000,0.00940000,935989590.10000000,1573862399999,8689809.88244200,19649,493475960.40000000,4585031.15505800,0
2019-11-16,0.00940000,0.00957000,0.00931000,0.00937000,420475175.80000000,1573948799999,3965893.81676400,16781,196462907.20000000,1854360.60911000,0
2019-11-17,0.00937000,0.00948000,0.00906000,0.00918000,477920556.70000000,1574035199999,4437220.39641200,18364,223334193.80000000,2076932.74775000,0
2019-11-18,0.00917000,0.00948000,0.00904000,0.00923000,828171856.50000000,1574121599999,7641112.68718000,14577,467005624.20000000,4315898.89851700,0
2019-11-19,0.00924000,0.00932000,0.00911000,0.00916000,850375478.40000000,1574207999999,7848094.76367100,14880,447895813.40000000,4138454.86386100,0
2019-11-20,0.00917000,0.00920000,0.00892000,0.00912000,793654634.50000000,1574294399999,7186670.89088500,10550,380168092.30000000,3439225.97520600,0
2019-11-21,0.00912000,0.00914000,0.00868000,0.00870000,814181455.10000000,1574380799999,7257726.69653000,13893,392060370.20000000,3502672.68044100,0
2019-11-22,0.00870000,0.00901000,0.00860000,0.00876000,1071972118.50000000,1574467199999,9398324.80855600,13247,504478312.30000000,4434494.70519500,0
2019-11-23,0.00876000,0.00887000,0.00816000,0.00841000,798585831.00000000,1574553599999,6757444.31700700,12440,354042220.00000000,2998757.80413700,0
