timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2020-02-05,0.00108400,0.00370000,0.00108400,0.00339000,86051613.00000000,1580947199999,263069.04419400,25449,36960558.00000000,113944.94011200,0
2020-02-06,0.00338900,0.00719300,0.00305100,0.00586700,33169586.00000000,1581033599999,169844.90392000,20402,16214201.00000000,82138.03419300,0
2020-02-07,0.00589700,0.00789900,0.00427700,0.00512200,15565616.00000000,1581119999999,96559.23618400,14832,7480773.00000000,46135.15886200,0
2020-02-08,0.00513800,0.00592800,0.00485400,0.00510600,8049527.00000000,1581206399999,42796.71149100,7313,3820406.00000000,20332.13977800,0
2020-02-09,0.00513700,0.00539200,0.00355000,0.00372700,5918468.00000000,1581292799999,26806.48397700,3436,2269739.00000000,10413.19536800,0
2020-02-10,0.00383800,0.00519100,0.00354500,0.00374100,6387134.00000000,1581379199999,25381.93626900,2803,3072150.00000000,12352.28169500,0
2020-02-11,0.00379000,0.00420000,0.00360000,0.00360000,3356302.00000000,1581465599999,12756.33565700,1865,1453100.00000000,5522.62125600,0
2020-02-12,0.00362700,0.00535800,0.00360000,0.00456500,7290685.00000000,1581551999999,31726.71305100,5454,3473679.00000000,15275.03805800,0
2020-02-13,0.00456500,0.00513300,0.00387000,0.00424400,5470597.00000000,1581638399999,23374.62516300,4973,2369902.00000000,10200.43475200,0
2020-02-14,0.00424400,0.00485000,0.00404400,0.00421500,2254214.00000000,1581724799999,9604.87257400,2905,962825.00000000,4125.30122600,0
2020-02-15,0.00423600,0.00448900,0.00392000,0.00410000,2385986.00000000,1581811199999,10099.80478500,2689,913314.00000000,3878.48467100,0
2020-02-16,0.00409500,0.00416200,0.00355600,0.00387700,5115356.00000000,1581897599999,19450.00835700,3572,2031449.00000000,7779.57291400,0
2020-02-17,0.00387800,0.00450000,0.00362500,0.00373100,6332914.00000000,1581983999999,24883.14234700,3977,3073918.00000000,12142.37418900,0
2020-02-18,0.00374200,0.00393900,0.00370900,0.00378800,2083732.00000000,1582070399999,7896.74971700,1234,611423.00000000,2330.53705400,0
2020-02-19,0.00375900,0.00405000,0.00366000,0.00375400,1293686.00000000,1582156799999,4969.76773100,1086,609690.00000000,2344.27706700,0
2020-02-20,0.00376400,0.00383400,0.00352600,0.00362200,1843338.00000000,1582243199999,6791.99024200,1393,778512.00000000,2867.28849700,0
2020-02-21,0.00358800,0.00396500,0.00356400,0.00381300,1509397.00000000,1582329599999,5742.71909000,1144,736810.00000000,2816.56667100,0
2020-02-22,0.00379400,0.00388600,0.00360000,0.00368200,964080.00000000,1582415999999,3573.49006900,870,251412.00000000,939.44379700,0
2020-02-23,0.00366500,0.00378300,0.00359600,0.00375400,2495682.00000000,1582502399999,9237.36380500,1375,1201254.00000000,4458.62697400,0
2020-02-24,0.00375400,0.00375700,0.00347700,0.00360000,747154.00000000,1582588799999,2680.10775200,703,256599.00000000,926.12578300,0
2020-02-25,0.00361600,0.00369900,0.00345000,0.00364900,1635255.00000000,1582675199999,5849.99374500,1411,768860.00000000,2763.85635300,0
2020-02-26,0.00363100,0.00363100,0.00310700,0.00337800,4499779.00000000,1582761599999,15283.74332500,2876,1347082.00000000,4590.56967100,0
2020-02-27,0.00339500,0.00366700,0.00326400,0.00328100,3393701.00000000,1582847999999,11691.99950000,2459,1527594.00000000,5276.88602900,0
2020-02-28,0.00327900,0.00343900,0.00322900,0.00329300,985469.00000000,1582934399999,3280.12445800,1113,437214.00000000,1460.03078200,0
2020-02-29,0.00329400,0.00335000,0.00300100,0.00312400,982877.00000000,1583020799999,3099.33078400,686,303415.00000000,963.56442100,0
2020-03-01,0.00310000,0.00330500,0.00307700,0.00329100,609949.00000000,1583107199999,1945.36288700,420,261077.00000000,837.21586200,0
2020-03-02,0.00327100,0.00381300,0.00324100,0.00351600,5214961.00000000,1583193599999,18916.14336700,2840,2495930.00000000,9055.15489300,0
2020-03-03,0.00352300,0.00381300,0.00347600,0.00381000,2867228.00000000,1583279999999,10369.19951200,2191,1447857.00000000,5253.26851900,0
2020-03-04,0.00378100,0.00644900,0.00370800,0.00626400,15240930.00000000,1583366399999,80003.13458500,9232,7809587.00000000,41118.99205900,0
2020-03-05,0.00629300,0.00730000,0.00560000,0.00592400,12778812.00000000,1583452799999,82246.58218400,9615,6126143.00000000,39570.56014500,0
2020-03-06,0.00591900,0.00749700,0.00581000,0.00721000,6868803.00000000,1583539199999,46710.43804600,5612,3231580.00000000,22103.86317800,0
2020-03-07,0.00725900,0.01100000,0.00715700,0.01002400,15034065.00000000,1583625599999,144446.62056400,15295,7008306.00000000,66805.47281100,0
