timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2022-01-28,2.22500000,3.00000000,2.05700000,2.29000000,491935.55000000,1643414399999,1188790.63615000,5204,191071.93000000,463847.25093000,0
2022-01-29,2.28700000,2.45100000,2.24700000,2.28900000,346938.01000000,1643500799999,810214.60977000,2578,230976.92000000,540394.82421000,0
2022-01-30,2.31300000,2.33100000,2.17600000,2.20800000,31279.14000000,1643587199999,70863.38322000,570,15645.92000000,35454.14231000,0
2022-01-31,2.20600000,2.26000000,2.10100000,2.14200000,72856.63000000,1643673599999,157693.03064000,1166,34333.12000000,74718.56288000,0
2022-02-01,2.13000000,2.24000000,2.10400000,2.15000000,64118.12000000,1643759999999,139281.08961000,1162,37282.39000000,81279.73175000,0
2022-02-02,2.14500000,2.20000000,2.08000000,2.10200000,47441.97000000,1643846399999,101357.20670000,800,24298.17000000,52123.12410000,0
2022-02-03,2.09500000,2.17300000,2.01000000,2.07000000,242475.61000000,1643932799999,504994.22100000,1842,130627.47000000,273792.80671000,0
2022-02-04,2.06700000,2.24300000,2.05300000,2.22400000,60193.25000000,1644019199999,129750.72192000,889,33677.14000000,72770.99951000,0
2022-02-05,2.22000000,2.34200000,2.18200000,2.21000000,63857.86000000,1644105599999,144412.62821000,967,32381.32000000,73218.04750000,0
2022-02-06,2.19400000,2.42100000,2.19000000,2.25500000,73529.88000000,1644191999999,165960.74676000,1094,43034.64000000,97745.81147000,0
2022-02-07,2.25000000,2.38500000,2.22500000,2.37300000,74368.43000000,1644278399999,173069.51293000,1053,46592.62000000,108727.47281000,0
2022-02-08,2.36900000,2.43800000,2.25100000,2.36400000,127033.32000000,1644364799999,298837.14685000,1415,72022.57000000,169895.34252000,0
2022-02-09,2.36700000,2.49100000,2.31600000,2.37500000,96739.40000000,1644451199999,232001.73262000,1292,41752.10000000,100067.37424000,0
2022-02-10,2.37400000,2.46000000,2.30400000,2.35700000,80698.48000000,1644537599999,192242.48137000,1433,44719.36000000,106892.36938000,0
2022-02-11,2.36600000,2.38300000,2.16100000,2.17900000,87693.20000000,1644623999999,201324.87085000,1403,34822.88000000,80952.10022000,0
2022-02-12,2.18700000,2.23500000,2.14000000,2.16400000,48632.48000000,1644710399999,106418.36671000,893,22318.56000000,48953.35816000,0
2022-02-13,2.16400000,2.27800000,2.11000000,2.11000000,46647.08000000,1644796799999,101731.64299000,692,17383.24000000,38424.60704000,0
2022-02-14,2.11000000,2.17200000,2.09300000,2.14200000,30236.56000000,1644883199999,64663.72463000,682,11855.64000000,25402.39447000,0
2022-02-15,2.13800000,2.37200000,2.11000000,2.33800000,100880.52000000,1644969599999,227159.79595000,1381,43636.25000000,98891.74423000,0
2022-02-16,2.33600000,2.35600000,2.21200000,2.25100000,31180.19000000,1645055999999,70988.73835000,677,13835.19000000,31629.29236000,0
2022-02-17,2.25100000,2.29300000,2.07100000,2.09900000,57695.93000000,1645142399999,127530.87617000,1044,25670.53000000,57192.91997000,0
2022-02-18,2.10000000,2.14900000,2.01100000,2.06100000,60710.70000000,1645228799999,125516.43231000,911,24228.09000000,50402.19593000,0
2022-02-19,2.06400000,2.11500000,2.01800000,2.08000000,28709.03000000,1645315199999,59352.16036000,708,15256.42000000,31499.53299000,0
2022-02-20,2.07800000,2.07800000,1.89700000,1.96000000,68167.44000000,1645401599999,132431.42328000,868,26330.64000000,51321.87027000,0
2022-02-21,1.95800000,2.12400000,1.88800000,1.89000000,102606.21000000,1645487999999,208382.69551000,1676,55247.07000000,112430.83085000,0
2022-02-22,1.88400000,1.98200000,1.84000000,1.96300000,52912.40000000,1645574399999,100953.56122000,939,27590.93000000,53006.15930000,0
2022-02-23,1.96000000,2.10000000,1.89100000,1.91200000,69687.30000000,1645660799999,139517.83435000,1249,37417.52000000,75163.57426000,0
2022-02-24,1.90500000,1.91600000,1.58200000,1.76300000,194359.81000000,1645747199999,331747.57001000,2470,95369.62000000,162787.52608000,0
2022-02-25,1.77300000,1.88200000,1.76800000,1.86200000,55161.51000000,1645833599999,100931.78122000,1104,26672.16000000,48826.58715000,0
2022-02-26,1.86300000,1.93400000,1.84400000,1.85400000,68915.64000000,1645919999999,129241.06679000,845,37066.07000000,69702.02548000,0
2022-02-27,1.86300000,1.89700000,1.73200000,1.75200000,45805.29000000,1646006399999,82954.63736000,959,21443.01000000,39016.28651000,0
2022-02-28,1.74500000,1.96900000,1.70900000,1.93400000,83222.65000000,1646092799999,152815.79002000,1149,43488.68000000,79751.78360000,0
2022-03-01,1.92800000,1.94900000,1.85800000,1.91700000,76179.53000000,1646179199999,145323.50357000,1100,43436.82000000,82917.71908000,0
2022-03-02,1.91100000,1.94300000,1.84000000,1.87100000,51618.42000000,1646265599999,97491.80413000,938,25806.14000000,48788.97178000,0
2022-03-03,1.86600000,2.03000000,1.85600000,1.86600000,141052.16000000,1646351999999,273631.37086000,1694,60106.87000000,117199.99820000,0
2022-03-04,1.86600000,1.92300000,1.70000000,1.74600000,78122.22000000,1646438399999,143677.85838000,932,26848.42000000,49983.17973000,0
2022-03-05,1.73400000,1.84000000,1.72200000,1.81100000,35692.40000000,1646524799999,63939.48704000,678,18529.51000000,33067.61572000,0
2022-03-06,1.81800000,1.82100000,1.66900000,1.67300000,104244.48000000,1646611199999,178633.53123000,1274,34001.94000000,58163.60920000,0
2022-03-07,1.67500000,1.70000000,1.58700000,1.61500000,97000.16000000,1646697599999,159728.39705000,1464,40341.67000000,66709.23843000,0
