timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2020-11-26,3.03000000,3.05200000,2.47900000,2.93300000,782738.49000000,1606435199999,2124257.80900000,1399,349685.13000000,955518.36759000,0
2020-11-27,2.89500000,3.17000000,2.76300000,3.04000000,303865.45000000,1606521599999,897354.28777000,761,151071.47000000,445539.36785000,0
2020-11-28,3.06000000,3.50000000,2.92800000,3.36900000,250056.10000000,1606607999999,817799.50345000,733,124380.50000000,405446.82073000,0
2020-11-29,3.33500000,3.42900000,3.17400000,3.28600000,128390.61000000,1606694399999,423142.76861000,502,51053.57000000,168057.53927000,0
2020-11-30,3.30000000,3.60000000,3.25800000,3.55700000,233018.24000000,1606780799999,807755.38291000,907,122951.02000000,426386.86189000,0
2020-12-01,3.55700000,3.61400000,3.00200000,3.22000000,139029.55000000,1606867199999,462703.80991000,545,63812.62000000,211897.82550000,0
2020-12-02,3.22000000,3.33400000,3.17800000,3.30000000,58370.38000000,1606953599999,189411.20244000,394,30058.49000000,97620.39068000,0
2020-12-03,3.32700000,3.33000000,3.23400000,3.26500000,59550.52000000,1607039999999,195165.16893000,308,29270.96000000,95950.20292000,0
2020-12-04,3.25800000,3.26800000,2.84400000,2.90000000,156390.31000000,1607126399999,478102.67172000,606,62138.73000000,189525.29247000,0
2020-12-05,2.88400000,3.07700000,2.88000000,3.04000000,127148.05000000,1607212799999,385441.27882000,185,58477.26000000,177838.44991000,0
2020-12-06,3.05400000,3.25600000,3.01700000,3.20400000,152343.23000000,1607299199999,475991.82632000,397,65105.20000000,203980.48799000,0
2020-12-07,3.22400000,3.22400000,3.03800000,3.12600000,66280.64000000,1607385599999,207556.18154000,322,30507.70000000,95435.29024000,0
2020-12-08,3.12600000,3.13000000,2.85700000,2.89700000,106542.83000000,1607471999999,320849.76976000,457,41625.64000000,125550.63911000,0
2020-12-09,2.90000000,3.14300000,2.63200000,3.04800000,179180.42000000,1607558399999,520946.24279000,651,100302.77000000,290107.63384000,0
2020-12-10,3.04800000,3.04800000,2.87000000,2.91100000,137718.87000000,1607644799999,403951.67743000,499,67607.76000000,198372.76697000,0
2020-12-11,2.90000000,2.98000000,2.68100000,2.80500000,383853.06000000,1607731199999,1085826.42174000,1017,164974.29000000,464972.12229000,0
2020-12-12,2.81000000,2.81000000,2.20000000,2.59700000,456371.11000000,1607817599999,1188149.50669000,928,237405.49000000,613053.19067000,0
2020-12-13,2.61200000,2.67900000,2.50000000,2.60500000,114321.54000000,1607903999999,295398.97355000,318,51035.51000000,131442.91638000,0
2020-12-14,2.60000000,2.62400000,2.49100000,2.55000000,97980.44000000,1607990399999,249171.09671000,387,38681.86000000,99030.90517000,0
2020-12-15,2.55000000,2.59400000,2.37600000,2.39700000,134973.24000000,1608076799999,331235.02395000,497,49870.48000000,123017.87751000,0
